we	be
welosipedli	belo8ipedli
ykbaly	uqbolu
zawod	8obod
zähmetiniň	8EhmetiniN
Çaryýew	CoruyEb
Ösümlikleriň	E8emlekleriN
Ýangyn	yonXun
Ýeňillikli	yeNillikli
Ýurdumyzy	yurdumu8u
Ýüzlenme	ye8lEnme
çagaly	CoXolu
çagyryş	CoXuruS
çapyksuwar	Copuq8ubor
çapyksuwarlaryň	Copuq8uborloruN
çeýe	Ceye
çeşmelerini	CeSmelerini
çykarylandan	Cuqorulonnon
ölçegi	ElCEXe
ölçegleriniň	ElCEXlEriniN
öndürilişini	EnnereleSini
öwrenildi	EbrEnelli
öňlerinde	ENlErenne
ýazgylary	yo8Xuloru
ýazgyny	yo8Xunu
ýazgysyny	yo8Xu8unu
ýaýran	yoyron
ýaşaýjylaryň	yoSoyjuloruN
ýerleşdirilmegi	yerleSdirilmeXi
ýetirijileriň	yetirijileriN
ýetirijisiniň	yetiriji8iniN
ýetirilmeli	yetirilmeli
ýeňijilerine	yeNijilerine
ýokarlanmagyny	yoqorlonmoXunu
ýokdugyny	yoqduXunu
ýolbaşçylar	yolboSSulor
ýugrulan	yuXrulon
ýurdunda	yurdunno
ýygnalan	yuXnolon
ýylylygy	yululuXu
ýüklemek	yeklEmEk
şahadatnamasyny	Soxodotnomo8unu
şertnamadan	Sertnomodon
Ahmad	oxmod
Aýazbaba	oyo8bobo
Baha	boxo
Baýdak	boydoq
Baýramaly	boyromolu
DK	dk
Gutlagyny	gutloXunu
Hasabatda	xo8obotdo
Hasan	xo8on
Jemleýji	jemleyji
Kongresler	qonXre8ler
Kümüş	kemeS
Mukaddes	muqodde8
Olardan	olordon
Oýunlary	oyunloru
Sambo	8ommo
Synçylar	8unCulor
Temmäki	temmEki
Tertipnamasyna	tertipnomo8uno
agentliginiň	ogentliXiniN
agşam	oXSom
ammaryna	ommoruno
aralykdan	oroluqdon
arhitektura	orhitekturo
arzuwlarymy	or8ublorumu
auditorçylyk	ouditorCuluq
awtoryň	obtoruN
aýallara	oyolloro
aýdymçylar	oydumCulor
aýyplaw	oyuplob
aňryçäk	oNruCEk
aşakdakylar	oSoqdoqulor
bardygyna	borduXuno
bardylar	bordulor
barlyşy	borluSu
barýarys	boryoru8
baýragynyň	boyroXunuN
başartdy	boSortdu
bedewiň	bedEbiN
bergini	berXini
berilmelidigini	berilmelidiXini
berkidýär	berkidyEr
bilime	bilime
birinden	birinnen
boljakdygy	boljoqduXu
bozulmagynda	bo8ulmoXunno
boşatmaýar	boSotmoyor
bähbidi	bEhbidi
bökmek	bEkmEk
bölegiň	bElEXeN
bütewi	betEbe
býujetiň	byujetiN
dem	dem
derejelerde	derejelerde
dessurlary	de88urloru
dikeldilýär	dikellilyEr
dikeltmäge	dikeltmEge
dokalan	doqolon
doldurylan	dollurulon
döretmekden	dErEtmEkden
döwletlerde	dEblEtlErde
döwrebaplaşdyrylýar	dEbrEboploSdurulyor
düzedişler	de8EdeSler
düzgünli	de8Xenle
düýbüniň	deybeneN
edilişini	ediliSini
elde	elle
elmydama	elmudomo
esgerleri	e8Xerleri
eýelemek	eyelemek
eýelerine	eyelerine
gala	golo
garaşsyzlyk	goroS8u8luq
garaşylýan	goroSulyon
garşydaşyň	gorSudoSuN
gatnaşyjylarda	gotnoSujulordo
gatyna	gotuno
gepleşikleriniň	gepleSikleriniN
gerimde	gerimne
geçelgesini	geCelXe8ini
geçirijilik	geCirijilik
gitmäge	gitmEge
goldamaga	gollomoXo
goraglylygy	goroXluluXu
gowşurýar	gobSuryor
goýmagy	goymoXu
guramalara	guromoloro
gurlanda	gurlonno
gölleri	gEllEre
görkezilip	gErkE8elep
görkezilişi	gErkE8eleSi
göterdi	gEtErde
göterip	gEtErep
gözlemek	gE8lEmEk
günlerini	genlErene
günsaýyn	gen8oyun
gürrüňsiz	gerreN8e8
halylarynyň	xolulorunuN
hasaplanan	xo8oplonon
hasyllylygyny	xo8ulluluXunu
haýyşnamaçy	xoyuSnomoCu
howada	xobodo
howasy	xobo8u
hödürlenýän	hEderlEnyEn
ilçi	ilCi
jemgyýetimizde	jemXuyetimi88e
jemgyýetçiligiň	jemXuyeCCiliXiN
kanunlarynda	qonunlorunno
kazyýetleri	qo8uyetleri
kesgitleniler	ke8Xitleniler
kesgitnamanyň	ke8XitnomonuN
kän	kEn
kärhanalaryna	kErxonoloruno
köşgüne	kESXenE
liganyň	liXonuN
maddany	moddonu
maliýeleşdirilmegi	moliyeleSdirilmeXi
maşgalalar	moSXololor
maşgalalaryň	moSXololoruN
medeniýetleriň	medeniyetleriN
media	medio
mekdebine	mekdebine
metjit	metjit
ministrligiň	mini88rliXiN
minutda	minutdo
miweleri	mibeleri
müşderileri	meSdErelEri
neşiriň	neSiriN
nji	nji
obýektiniň	obyektiniN
oňarmandygy	oNormonnuXu
pagtanyň	poXtonuN
parkynyň	porqunuN
paýnamalaryň	poynomoloruN
pensiýalar	pen8iyolor
pikirler	pikirler
port	port
pudagyndaky	pudoXundoqu
radio	rodio
rektory	rektoru
resminamalarda	re8minomolordo
resminamasynyň	re8minomo8unuN
ruhubelent	ruxubelent
salamyny	8olomunu
sanalyp	8onolup
saýlawlarynda	8oyloblorunno
seljermegi	8eljermeXi
senäniň	8enEniN
serhediniň	8erhediniN
serişdelere	8eriSdelere
stadionlar	88odionlor
stadionynda	88odionunno
standartlarynyň	88onnortlorunuN
subýekti	8ubyekti
syýasatymyzyň	8uyo8otumu8uN
söhbetdeşlikde	8EhbEtdESlekde
söwdasyny	8Ebdo8unu
tagamlary	toXomloru
tanyş	tonuS
tanyşlygy	tonuSluXu
tapyşy	topuSu
tassyklandy	to88uqlonnu
taýýarladylar	toyyorlodulor
tehnologiýalara	tehnologiyoloro
topluma	toplumo
tutulanlardan	tutulonlordon
tälimçiler	tElimCiler
türkmenistanlylara	terkmEne88onluloro
ulagyň	uloXuN
usulyýet	u8uluyet
utgaşdyrylan	utXoSdurulon
utgaşýar	utXoSyor
uçastoklary	uCo88oqloru
wekilleriň	bekilleriN
ygtyýarnamany	uXtuyornomonu
yssy	u88u
zallarynyň	8ollorunuN
zolagyna	8oloXuno
zolaklaryny	8oloqlorunu
Özi	E8e
Ýanwar	yonbor
Ýyldyz	yullu8
çaý	Coy
çek	Cek
çempionatlarynda	Cempionotlorunno
çeşme	CeSme
çözgüdinde	CE8XedennE
önümlere	EnemlErE
önümçilikde	EnemCelekde
öwrülmegi	EbrelmEXe
öýe	Eye
öňdengörüjilikli	ENNEnXErejelekli
ýadygärligine	yodugErliXine
ýazylyp	yo8ulup
ýekşenbesinde	yekSenme8inne
ýerlerden	yerlerden
ýerleşdirilip	yerleSdirilip
ýetirilende	yetirilenne
ýolbaşçysyny	yolboSSu8unu
şekiller	Sekiller
şerekete	Serekete
şäherleri	SEherleri
şöhlelendirýär	SEhlElEnniryEr
Astrahan	o88roxon
Britaniýadan	britoniyodon
Britaniýanyň	britoniyonuN
Diýarymyzda	diyorumu88o
Durdyýew	durduyEb
Erkekleriň	erkekleriN
Geljekki	geljekki
Germaniýadan	germoniyodon
Gyrgyzystandan	gurXu8u88onnon
Hindistandan	hinni88onnon
Ilçihanasynyň	ilCihono8unuN
Indiki	inniki
Kärhanalar	kErxonolor
Manat	monot
Maryda	morudo
Meniň	meniN
Minsk	min8k
Müşderä	meSdErE
Patyşalygynyň	potuSoluXunuN
Paýtagtymyzdaky	poytoXtumu8doqu
Rejep	rejep
Ruhy	ruxu
Söweş	8EbES
Talyp	tolup
Talyplar	toluplor
Taryh	torux
Taýyp	toyup
Topar	topor
Toý	toy
Usuly	u8ulu
Watanym	botonum
Watanyň	botonuN
Zat	8ot
adyl	odul
artdyryp	ortdurup
aşyp	oSup
baglaşmagyň	boXloSmoXuN
bagtyýarlygynyň	boXtuyorluXunuN
bagyşlanylan	boXuSlonulon
bahadan	boxodon
baýragyna	boyroXuno
başladylar	boSlodulor
belgisine	belXi8ine
berijileriň	berijileriN
berilmeli	berilmeli
beripdir	beripdir
bezeginde	be8eXinne
binada	binodo
birleşdirilen	birleSdirilen
bitarap	bitorop
bolarlar	bolorlor
bolmady	bolmodu
bouling	boulinX
boýy	boyu
boşadylan	boSodulon
bölünen	bElenEn
dadyp	dodup
desgada	de8Xodo
duýgularyny	duyXulorunu
dänesi	dEne8i
döwletde	dEblEtdE
döwletimizi	dEblEteme8i
döwrebaplaşdyrylmagy	dEbrEboploSdurulmoXu
düzümindäki	de8emendEki
esgerleriň	e8XerleriN
etraplarda	etroplordo
gadym	godum
garamagynda	goromoXunno
garaýarys	goroyoru8
garaýyşlaryny	goroyuSlorunu
garaýyşlarynyň	goroyuSlorunuN
gatnawlaryň	gotnobloruN
gatnawynyň	gotnobunuN
gazdan	go88on
geçireris	geCireri8
geçiriljekdigini	geCiriljekdiXini
geçirilmäge	geCirilmEge
geçmegiň	geCmeXiN
girdiler	girdiler
goýulman	goyulmon
goşulyşmak	goSuluSmoq
guradylar	gurodulor
gurallarynyň	gurollorunuN
guraýar	guroyor
gymmatlyk	gummotluq
gyrgyz	gurXu8
güýjüne	geyjenE
harajatlary	xorojotloru
hasaplaşyga	xo8oploSuXo
hatara	xotoro
hemrasynyň	hemro8unuN
hirurgiýa	hirurXiyo
hödür	hEder
hödürleýän	hEderlEyEn
hüjüme	hejemE
hünärmeniň	henErmEniN
ilatyny	ilotunu
ilkibaşdaky	ilkiboSdoqu
içi	iCi
jogapkärçiliginden	joXopkErCiliXinnen
kartlaryny	qortlorunu
kilogramdan	kiloXromnon
konsertiň	qon8ertiN
kosmos	qo8mo8
kuwwatlyklarynyň	qubbotluqlorunuN
köne	kEnE
körpeler	kErpElEr
maksatlaryň	moq8otloruN
maliýeleşdirilýär	moliyeleSdirilyEr
mazmunyna	mo8mununo
maýyplaryň	moyuploruN
maşgalada	moSXolodo
mejlislerinde	mejli8lerinne
mejlisleriniň	mejli8leriniN
merkeze	merke8e
meýilnamalaryny	meyilnomolorunu
meýilnamanyň	meyilnomonuN
mirasymyzyň	miro8umu8uN
miýesser	miye88er
mugallymy	muXollumu
nahalyny	noxolunu
nahar	noxor
neşirleriň	neSirleriN
nyrhlar	nurhlor
obasy	obo8u
orunbasarlarynyň	orunmo8orlorunuN
paýlamak	poylomoq
pensiýalaryň	pen8iyoloruN
pidasy	pido8u
professor	profe88or
pulda	pullo
sahnalaşdyrylan	8oxnoloSdurulon
saýlan	8oylon
senesini	8ene8ini
seredilen	8eredilen
seredýär	8eredyEr
sesleriň	8e8leriN
subutnamalaryň	8ubutnomoloruN
sungatlary	8unXotloru
suwarymly	8uborumlu
sylaglaryna	8uloXloruno
sözüň	8E8eN
talabyny	tolobunu
tanymal	tonumol
tapawutlylykda	topobutluluqdo
tapyşa	topuSo
taýýarlamalary	toyyorlomoloru
tehnikasyny	tehniko8unu
teklipnamasy	teklipnomo8u
terbiýelemäge	terbiyelemEge
tertipnamasyna	tertipnomo8uno
tohumy	toxumu
toýuny	toyunu
tutýarlar	tutyorlor
tutýarys	tutyoru8
täzelikleri	tE8elikleri
töletdirip	tElEtderep
usullaryň	u8ulloruN
uçup	uCup
ykbalyny	uqbolunu
yklymynda	uqlumunno
yşyklandyryş	uSuqlonnuruS
zolaklar	8oloqlor
Çagany	CoXonu
Ýetginjekleriň	yetXinjekleriN
Ýüz	ye8
çemeleşmeleriň	CemeleSmeleriN
çep	Cep
çykanda	Cuqonno
çykar	Cuqor
çöl	CEl
ölen	ElEn
önjeýli	EnjEyli
öwrenmegi	EbrEnmEXi
özenini	E8Eneni
üýtgedilen	eytXedilen
ýadygärliginiň	yodugErliXiniN
ýalan	yolon
ýangyjyny	yonXujunu
ýaramly	yoromlu
ýarymynyň	yorumunuN
ýaňy	yoNu
ýerlenildi	yerlenilli
ýerleşdirmegiň	yerleSdirmeXiN
ýerleşip	yerleSip
ýerleşişi	yerleSiSi
ýetmäge	yetmEge
ýod	yod
ýokarlandyrýar	yoqorlonnuryor
ýokumly	yoqumlu
ýowaryna	yoboruno
ýurduna	yurduno
ýyladyşhana	yuloduSxono
ýylylygyň	yululuXuN
ýylyndan	yulunnon
Şäher	SEher
şahyrana	Soxurono
şekilli	Sekilli
şertinde	Sertinne
şolar	Solor
şäherçesi	SEherCe8i
Balyk	boluq
Baştutanyna	boStutonuno
Bilelikde	bilelikde
Biribardan	biribordon
Biržanyň	birZonuN
Düýpli	deypli
Eýrana	eyrono
Farap	forop
Horwatiýanyň	xorbotiyonuN
Jemi	jemi
Köpugurly	kEpuXurlu
Lizing	li8inX
Röwşen	rEbSEn
Serhet	8erhet
Watançylyk	botonCuluq
aglaba	oXlobo
agramly	oXromlu
agtygy	oXtuXu
akyp	oqup
alkyş	olquS
ammiak	ommioq
artdyrylýar	ortdurulyor
arzasynyň	or8o8unuN
atalyk	otoluq
atlaryny	otlorunu
atlylar	otlulor
awtoulaglary	obtouloXloru
açan	oCon
aýak	oyoq
bagyşlanypdyr	boXuSlonupdur
bahasyndan	boxo8unnon
bankda	bonkdo
barlanylýar	borlonulyor
baýdyr	boydur
baýlaşdyrylýar	boyloSdurulyor
belentlige	belentliXe
beton	beton
bezemek	be8emek
bilermeniň	bilermeniN
bilimini	bilimini
bilmegi	bilmeXi
birleşen	birleSen
birliginiň	birliXiniN
bolandygyna	bolonnuXuno
bozulmany	bo8ulmonu
boşadylyp	boSodulup
boşadylýan	boSodulyon
bölümlerine	bElemlErenE
dalaşgäri	doloSXEri
daýanýan	doyonyon
desseleri	de88eleri
deňligi	deNliXi
diplom	diplom
dokumenti	doqumenti
dolmagyň	dolmoXuN
döretmezden	dErEtmE88en
düzgünleşdirmegiň	de8XenlESdermeXiN
edebiýatynyň	edebiyotunuN
ediliş	ediliS
enjamlaşdyryldy	enjomloSdurullu
esbaplary	e8boploru
esgerler	e8Xerler
eýýamynyň	eyyomunuN
fransuz	fron8u8
ganatly	gonotlu
geografik	geoXrofik
geçirilişiniň	geCiriliSiniN
geçirmekleri	geCirmekleri
geňeşçisi	geNeSSi8i
girewe	girEbe
girizmegiň	giri8meXiN
goragynda	goroXunno
goýlup	goylup
goşantlaryny	goSontlorunu
goşulmaga	goSulmoXo
görkezmelidir	gErkE8mElidir
gürrüňdeş	gerreNNES
hemmesine	hemme8ine
hemmesini	hemme8ini
hukuklaryndan	xuquqlorunnon
hukuklydyr	xuquqludur
hüjümçisi	hejemCe8e
iberilmegi	iberilmeXi
iýulyndan	iyulunnon
işewürliginiň	iSEberleXeniN
işjeňliginiň	iSSeNliXiniN
jedelsiz	jedel8i8
jenaýatyň	jenoyotuN
jülgesiniň	jelXE8eneN
kadasyna	qodo8uno
kanunynyň	qonununuN
kapitanynyň	qopitonunuN
karty	qortu
kemçiliklere	kemCiliklere
kenarynyň	kenorunuN
kepil	kepil
keşbe	keSbe
konserte	qon8erte
kreditora	kreditoro
kämilleşdirilmegi	kEmilleSdirilmeXi
köpri	kEpre
körpe	kErpE
köçeleri	kECElEre
maldarçylygy	mollorCuluXu
manysyny	monu8unu
maslahatlaryna	mo8loxotloruno
mebelleri	mebelleri
mejlis	mejli8
merkezleşdirilen	merke8leSdirilen
myhmanlaryny	muxmonlorunu
möhletleriniň	mEhlEtlEriniN
möçberindäki	mECbErendEki
mümkinçilige	memkenCeliXe
münberine	menmErenE
neşirler	neSirler
nyň	nuN
obalar	obolor
obalarynda	obolorunno
oýnap	oynop
paýnamalary	poynomoloru
pensiýany	pen8iyonu
peýdalanylandygy	peydolonulonnuXu
pullar	pullor
restoran	re88oron
sazandalar	8o8onnolor
saýlandy	8oylonnu
saýlawlarynyň	8oyloblorunuN
seljerişiniň	8eljeriSiniN
serhetçiler	8erheCCiler
sesleri	8e8leri
sowuk	8obuq
suwlar	8ublor
suwlaryň	8ubloruN
süýümli	8eyemle
tabşyryklaryny	tobSuruqlorunu
tabşyrylmagy	tobSurulmoXu
tabşyryp	tobSurup
tanyşlygyny	tonuSluXunu
tanyşlygyň	tonuSluXuN
tarapda	toropdo
tarif	torif
tejribesinde	tejribe8inne
telekeçilere	telekeCilere
tikin	tikin
togtadylýar	toXtodulyor
tohumlar	toxumlor
tomus	tomu8
topraga	toproXo
towakganamasy	toboqXonomo8u
tygşytly	tuXSutlu
tölenmedik	tElEnmEdik
ugradylar	uXrodulor
urýan	uryon
utgaşdyrmak	utXoSdurmoq
uçýan	uCyon
wagtyna	boXtuno
wekiliýetiň	bekiliyetiN
wepat	bepot
ygtyýarlylandyrylmagy	uXtuyorlulonnurulmoXu
ygtyýarnamasy	uXtuyornomo8u
ynanyldy	unonullu
ynanýarys	unonyoru8
zenanlarynyň	8enonlorunuN
zolaklaryň	8oloqloruN
Ähtnama	Ehtnomo
Ätiýaçlandyrylan	EtiyoClonnurulon
Ýuridiki	yuridiki
ätiýaçlyklary	EtiyoCluqloru
çempionatyny	Cempionotunu
çykyşlara	CuquSloro
çäklendirilmegine	CEklennirilmeXine
ölçeglerini	ElCEXlErini
öndürijiler	Ennerejeler
özgerýär	E8XEryEr
öçmejek	ECmEjEk
öňküsi	ENke8e
ýagdaýlardan	yoXdoylordon
ýatagy	yotoXu
ýatladýar	yotlodyor
ýazgysynyň	yo8Xu8unuN
ýaşamaga	yoSomoXo
ýeňilliklerden	yeNilliklerden
ýeňişleriniň	yeNiSleriniN
ýokarlandyrylmagy	yoqorlonnurulmoXu
ýollarynda	yollorunno
ýürek	yerEk
şahyr	Soxur
şaýollarynyň	SoyollorunuN
Arçabil	orCobil
Asyr	o8ur
Aýna	oyno
Aşgabatly	oSXobotlu
Baharyň	boxoruN
Begenç	beXenC
Berlen	berlen
Bütin	beten
Daşkentde	doSkentde
Derweze	derbe8e
Diýmek	diymek
Federasiýasy	federo8iyo8u
GBS	Xb8
Göni	gEne
Hasyl	xo8ul
Hytaýa	xutoyo
Hyundai	xuunnoi
Institutyň	in88itutuN
Kaka	qoqo
Kanunyny	qonununu
Merdan	merdon
Moskwada	mo8kbodo
Nawaz	nobo8
Nesil	ne8il
Pekinde	pekinne
Pudagyň	pudoXuN
Pudaklaýyn	pudoqloyun
Raýatlar	royotlor
Russiýada	ru88iyodo
Telekeçilik	telekeCilik
Turkmenistan	turkmeni88on
Türgenler	terXEnler
Uzak	u8oq
abraýyna	obroyuno
adamynyň	odomunuN
adwokatyň	odboqotuN
agtyklary	oXtuqloru
akymlaryny	oqumlorunu
alarlar	olorlor
alnyşynyň	olnuSunuN
alyjylar	olujulor
amatlyklar	omotluqlor
ammara	ommoro
arheologiýa	orheologiyo
asgyn	o8Xun
aýdymçy	oydumCu
aýyna	oyuno
aşhana	oSxono
baba	bobo
barylýandygy	borulyonnuXu
baýdaklarynyň	boydoqlorunuN
baýlaşdyrmaga	boyloSdurmoXo
baýraklara	boyroqloro
baýraklaryň	boyroqloruN
başarjaň	boSorjoN
başlar	boSlor
bildirmegiň	billirmeXiN
bilermeni	bilermeni
bilmedik	bilmedik
bäşisi	bESi8i
bölümlerde	bElemlErde
deklarasiýasynyň	dekloro8iyo8unuN
derejäniň	derejEniN
derwaýys	derboyu8
derwezä	derbe8E
dikeldilmegi	dikellilmeXi
diwar	dibor
däldirler	dEllirler
döretdiler	dErEtdeler
dünýäsine	denyE8ine
düzgünnamaly	de8Xennomolu
düşünmek	deSenmEk
edarasyny	edoro8unu
edende	edenne
edilýänçä	edilyEnCE
eken	eken
ekinleriň	ekinleriN
ekişi	ekiSi
etdirmek	etdirmek
etrapdaky	etropdoqu
gant	gont
gatnaşmagyna	gotnoSmoXuno
gazanylandygyny	go8onulonnuXunu
gazanýar	go8onyor
gelýändigi	gelyEnniXi
geçirilmeginde	geCirilmeXinne
geçirilmelidigini	geCirilmelidiXini
girdejisi	girdeji8i
girizdi	giri88i
girýärler	giryErler
gowşurylan	gobSurulon
graždan	XroZdon
gyzgalaňly	gu8XoloNlu
gyzyklanmasyny	gu8uqlonmo8unu
görkezişi	gErkE8eSe
görkezmelerini	gErkE8mElerini
göterýär	gEtEryEr
göçürilip	gECerelep
güýjüniň	geyjeneN
hakyndan	xoqunnon
halklaryna	xolkloruno
hasabatynyň	xo8obotunuN
hemmeleriň	hemmeleriN
hojalyklarynyň	xojoluqlorunuN
howasyna	xobo8uno
hususylaşdyrmak	xu8u8uloSdurmoq
hyzmatyna	xu8motuno
hödürlemegi	hEderlEmEXi
hötdesinden	hEtdE8ennen
ilkibaşky	ilkiboSqu
isleginden	i8leXinnen
işewürleri	iSEberlEre
işlenilýär	iSlenilyEr
janly	jonlu
jismi	ji8mi
kararda	qorordo
kesgitleýji	ke8Xitleyji
kesýär	ke8yEr
keşpleri	keSpleri
kitabyň	kitobuN
kodeksi	qodek8i
kody	qodu
korporasiýasynyň	qorporo8iyo8unuN
kärhanalara	kErxonoloro
körpeleriň	kErpElEreN
lomaý	lomoy
magistral	mogi88rol
maslahatlaşmagyň	mo8loxotloSmoXuN
maýyplar	moyuplor
medet	medet
melioratiw	meliorotib
merkezleriň	merke8leriN
meýdançasynyň	meydonCo8unuN
meýilnamany	meyilnomonu
meýilnamasynda	meyilnomo8unno
myhmanhanalaryň	muxmonxonoloruN
müşderileriniň	meSdErelEriniN
nebithimiýa	nebithimiyo
nokadyna	noqoduno
obany	obonu
okuwy	oqubu
orunbasarynyň	orunmo8orunuN
oruntutary	oruntutoru
otaglarynda	otoXlorunno
owadanlygy	obodonluXu
psihiki	p8ihiki
pälwanlaryň	pElbonloruN
pürli	perle
raýdaş	roydoS
salgysy	8olXu8u
saýlawçylary	8oylobCuloru
senesinde	8ene8inne
senäni	8enEni
soraglar	8oroXlor
suratkeşler	8urotkeSler
söhbet	8EhbEt
tagallalarynyň	toXollolorunuN
tamamlan	tomomlon
tansly	ton8lu
tanyşdyrdylar	tonuSdurdulor
tapgyrdan	topXurdon
taýýarlamaly	toyyorlomolu
toplanyldy	toplonullu
toprakda	toproqdo
tälimçi	tElimCi
tälimçileriň	tElimCileriN
tölenýän	tElEnyEn
ukypsyzlyk	uqup8u8luq
ulaglar	uloXlor
un	un
wagtlar	boXtlor
wideo	bideo
zehini	8ehini
zerurlyk	8erurluq
Çap	Cop
Öň	EN
Ýene	yene
ätiýaçlandyrmak	EtiyoClonnurmoq
çapdan	Copdon
çekiler	Cekiler
çeşmeleriň	CeSmeleriN
çynlakaý	Cunloqoy
çyzgylar	Cu8Xulor
çözgütlerini	CE8XetlErene
ösdürilmeginiň	E88erelmEXeniN
üstüniň	e88eneN
ýadygärliklerini	yodugErliklerini
ýangyjy	yonXuju
ýangyjyň	yonXujuN
ýazgylaryň	yo8XuloruN
ýaýbaňlandy	yoyboNlonnu
ýaýmak	yoymoq
ýaşamagyny	yoSomoXunu
ýerleşmek	yerleSmek
ýetiriler	yetiriler
ýokarlandyrmagy	yoqorlonnurmoXu
ýurtlarymyz	yurtlorumu8
şahsyýeti	Sox8uyeti
şaýatlary	Soyotloru
şaýoly	Soyolu
şekilini	Sekilini
şertlendirer	Sertlennirer
şikaýata	Sikoyoto
şikaýatyň	SikoyotuN
şäherçe	SEherCe
žurnalistler	Zurnoli88ler
AIW	oib
Aba	obo
Aral	orol
Asyrlaryň	o8urloruN
At	ot
Bereket	bereket
Britaniýa	britoniyo
Desganyň	de8XonuN
Döwletli	dEblEtle
Futbol	futbol
Gazagystanda	go8oXu88onno
Gözden	gE88En
Ilçisi	ilCi8i
Intellektual	intellektuol
Italiýa	itoliyo
Kinematografiýa	kinemotoXrofiyo
MWt	mbt
Mejlisinde	mejli8inne
Moldowa	mollobo
Muhammad	muxommod
Oktýabr	oqtyobr
Owadan	obodon
Patyşa	potuSo
Permany	permonu
Prezidentleri	pre8identleri
Seleksiýanyň	8elek8iyonuN
Tähran	tEhron
Türkmenabatda	terkmEnobotdo
Türkmenawtoýollary	terkmEnobtoyolloru
Ukrainadan	uqroinodon
Ynanç	unonC
abraýa	obroyo
alnyşyny	olnuSunu
alyjylaryň	olujuloruN
aragatnaşygynyň	oroXotnoSuXunuN
aragatnaşyklaryň	oroXotnoSuqloruN
asyrlarboýy	o8urlorboyu
açdylar	oCdulor
açýan	oCyon
aýlaw	oylob
aýratynlyklarynyň	oyrotunluqlorunuN
aýry	oyru
aşagynda	oSoXunno
bagyşladylar	boXuSlodulor
barlaýar	borloyor
basyp	bo8up
bazarlara	bo8orloro
baýramçylygyny	boyromCuluXunu
baýramçylyklar	boyromCuluqlor
baýramçylyklary	boyromCuluqloru
berendigi	berenniXi
berlenden	berlennen
bileris	bileri8
bioserişdelerini	bio8eriSdelerini
birleşiklerini	birleSiklerini
bolçulygynyň	bolCuluXunuN
bähbitleriň	bEhbitleriN
dakylýan	doqulyon
depozit	depo8it
derejäni	derejEni
dikeldilýän	dikellilyEn
dolanyşyk	dolonuSuq
doldurmaga	dollurmoXo
doluş	doluS
durmak	durmoq
durnuklylyk	durnuqluluq
duzlarynyň	du8lorunuN
duýgusy	duyXu8u
dökünleriň	dEkenlEreN
dönderilen	dEnnErelEn
döredijiligine	dErEdejiliXine
dörär	dErEr
döwründen	dEbrennEn
edilişiniň	ediliSiniN
ekspertiza	ek8perti8o
elli	elli
elýeterlidir	elyeterlidir
eminler	eminler
esaslandyryjylary	e8o8lonnurujuloru
eýeçiligindäki	eyeCiliXindEki
fakultetiniň	foqultetiniN
forumyna	forumuno
galdyrýan	golluryon
gapylaryny	gopulorunu
gar	gor
garanda	goronno
garawuly	gorobulu
garaşylmadyk	goroSulmoduq
gatnatmagyň	gotnotmoXuN
gatnaşykda	gotnoSuqdo
gatnaşýandygy	gotnoSyonnuXu
gazanylýar	go8onulyor
geleşikleriň	geleSikleriN
geçilýän	geCilyEn
geçirer	geCirer
gidrotehniki	gidrotehniki
gijeki	gijeki
gimnastikasy	gimno88iko8u
girizilýän	giri8ilyEn
girizilýändigi	giri8ilyEnniXi
gitmegine	gitmeXine
gitmegiň	gitmeXiN
goldaýandygy	golloyonnuXu
goýberilýär	goyberilyEr
goýdular	goydulor
goşulmaýar	goSulmoyor
goşunymyzyň	goSunumu8uN
goşunyň	goSunuN
gurady	gurodu
gural	gurol
guramaçysy	guromoCu8u
guruljak	guruljoq
gutlaglar	gutloXlor
gylyçlaşmak	guluCloSmoq
gönükdirilip	gEnekderelip
gözegçiligine	gE8EXCeleXine
gürrüňsizdir	gerreN8e88er
güwänama	gebEnomo
güýjüň	geyjeN
güýçlendirmegi	geyClennirmeXi
hakykat	xoquqot
halaty	xolotu
hasaplama	xo8oplomo
haýyşnamaça	xoyuSnomoCo
hepdeligini	hepdeliXini
howuz	xobu8
hoşlaşdy	xoSloSdu
hyzmatlaryna	xu8motloruno
hünärine	henErine
iberip	iberip
institutlary	in88itutloru
jerimeleri	jerimeleri
jogapkärçiligiň	joXopkErCiliXiN
kesel	ke8el
kesilene	ke8ilene
köli	kEle
köpeldi	kEpElle
köprüsi	kEpre8e
lybasdaky	lubo8doqu
lybaslary	lubo8loru
maddasy	moddo8u
maksatnamalara	moq8otnomoloro
maliýeleşdirmäge	moliyeleSdirmEge
mana	mono
manadyň	monoduN
maslahatlarda	mo8loxotlordo
maşgalasy	moSXolo8u
mekdepde	mekdepde
mermer	mermer
meýdançanyň	meydonConuN
mirasymyzy	miro8umu8u
mowzugy	mob8uXu
mugallym	muXollum
muşdaklary	muSdoqloru
myhmana	muxmono
möhri	mEhre
netijeliliginiň	netijeliliXiniN
nyrhy	nurxu
owazlary	obo8loru
oýunçylary	oyunCuloru
patente	potente
paýlanylýar	poylonulyor
pensiýalary	pen8iyoloru
peýdalanyjylar	peydolonujulor
pursadyna	pur8oduno
pälwanlary	pElbonloru
raýatlygyna	royotluXuno
raýatlyk	royotluq
sadaka	8odoqo
saklanan	8oqlonon
salýar	8olyor
sanlysy	8onlu8u
satylmagy	8otulmoXu
sazlaşygyny	8o8loSuXunu
