va	vE
Marokash	mErokES
Marshall	mErSEll
Mashhur	mEShur
Matematik	mEtemEtik
Mavlono	mEvlono
Metallsozlik	metEllsozlik
Mirza	mirzE
Muhim	muhim
Mulla	mullE
Muqaddas	muqEddEs
Nasafiy	nEsEfiy
Norin	norin
Olimpiada	olimpiEdE
Olmoniya	olmoniyE
Oʻzaro	ozEro
Oʻzi	ozi
Platon	plEton
Qashqar	qESqEr
Qisqa	qisqE
Qoʻngʻirot	qoN7irot
Records	retsords
Registon	registon
Renault	renEult
Rimning	rimniN
Sayd	sEyd
Sin	sin
Slovakiya	slovEkiyE
Surxon	surXon
Tailand	tEilEnd
Tayyor	tEyyor
Texnik	teXnik
Texnika	teXnikE
Toʻplamga	toplEmgE
Turkistondagi	turkistondEgi
UEFA	uefE
Uygʻur	uyXur
XV	Xave
XXR	XaXaer
Xotira	XotirE
Xoʻjayev	XojEyev
Xusrav	XusrEv
Yan	yEn
Yerdagi	yerdEgi
adir	Edir
ajdodlari	EjdodlEri
almashish	ElmESiS
almashtirib	ElmEStirib
alomatlar	ElomEtlEr
amaldorlar	EmEldorlEr
amerika	EmerikE
anatomik	EnEtomik
anglab	ENlEb
arqoq	Erqoq
aspirantura	EspirEnturE
atadi	EtEdi
atomlarning	EtomlErniN
atoqli	Etoqli
avliyo	Evliyo
avtomatlashtirilgan	EvtomEtlEStirilgEn
aybdor	Eybdor
baliklar	bEliklEr
banan	bEnEn
bandi	bEndi
banklari	bEnklEri
baraban	bErEbEn
belgilarning	belgilErniN
bersa	bersE
bezaklari	bezEklEri
binolarning	binolErniN
birligini	birligini
bogʻlagan	boXlEgEn
bogʻliqligi	boXliqligi
boshdan	boSdEn
bosimini	bosimini
boʻgʻim	boXim
boʻgʻinli	boXinli
boʻlayotgan	bolEyotgEn
buloqlar	buloqlEr
darsliklar	dErsliklEr
daryosidan	dEryosidEn
davlatlararo	dEvlEtlErEro
devorlariga	devorlErigE
deyilgan	deyilgEn
dizayni	dizEyni
dogʻ	doX
dogʻlari	doXlEri
donli	donli
dunyosiga	dunyosigE
ehtimol	ehtimol
ekinlarni	ekinlErni
elektrod	elektrod
elementlarni	elementlErni
evakuatsiya	evEkuEtsiyE
fanlarning	fEnlErniN
fashistlar	fESistlEr
fazali	fEzEli
fiziologiya	fiziologiyE
fizioterapiya	fizioterEpiyE
foydalanilmoqda	foydElEnilmoqdE
foydasiga	foydEsigE
gazsimon	gEzsimon
generator	generEtor
genetika	genetikE
goʻzallik	gozEllik
gumbazli	gumbEzli
gʻishtdan	XiStdEn
hajmiy	hEjmiy
hamon	hEmon
haqiqatni	hEqiqEtni
harakterli	hErEkterli
haykallar	hEykEllEr
hid	hid
hijriy	hijriy
hisobi	hisobi
hisoblanadigan	hisoblEnEdigEn
hodisalarini	hodisElErini
hududlaridan	hududlEridEn
hujayralardan	hujEyrElErdEn
ideal	ideEl
ifodalagan	ifodElEgEn
ijrosida	ijrosidE
ijtimoiysiyosiy	ijtimoiysiyosiy
ikkalasi	ikkElEsi
iklim	iklim
imoratlar	imorEtlEr
in	in
internet	internet
intida	intidE
iqtisodiyotga	iqtisodiyotgE
isbot	isbot
ishlaridan	iSlEridEn
ishlatib	iSlEtib
ishlayotgan	iSlEyotgEn
it	it
jarayonlarga	jErEyonlErgE
jasorat	jEsorEt
jazosi	jEzosi
jazosiga	jEzosigE
joniga	jonigE
jozibador	jozibEdor
karst	kErst
kasbiy	kEsbiy
katoliklar	kEtoliklEr
katorda	kEtordE
kengashining	keNESiniN
ketganda	ketgEndE
ketganidan	ketgEnidEn
ketsa	ketsE
kiritib	kiritib
kompaniyaning	kompEniyEniN
kompaniyasiga	kompEniyEsigE
konstitutsiya	konstitutsiyE
kooperativ	kooperEtiv
korxonalaridan	korXonElEridEn
koʻmilgan	komilgEn
koʻr	kor
koʻtarilish	kotEriliS
kuylagan	kuylEgEn
landshaft	lEndSEft
lavozimidan	lEvozimidEn
lavozimini	lEvozimini
loyqa	loyqE
maskani	mEskEni
mavzuda	mEvzudE
maydonning	mEydonniN
metallni	metEllni
metallurgiyada	metEllurgiyEdE
mezozoy	mezozoy
mingta	miNtE
minorasi	minorEsi
mohirona	mohironE
molekulasi	molekulEsi
motor	motor
muassasalarda	muEssEsElErdE
narsaga	nErsEgE
nemislar	nemislEr
nok	nok
noqonuniy	noqonuniy
nutqi	nutqi
oblast	oblEst
ohang	ohEN
okrug	okrug
oktyabr	oktyEbr
operatsiyalar	operEtsiyElEr
oqar	oqEr
oqibatlarga	oqibEtlErgE
oʻldirish	oldiriS
oʻlik	olik
oʻrik	orik
oʻtkazishga	otkEziSgE
oʻtloq	otloq
oʻylab	oylEb
oʻyma	oymE
oʻzbeklarning	ozbeklErniN
oʻzgarmaydi	ozgErmEydi
panjara	pEnjErE
patent	pEtent
payvand	pEyvEnd
poʻstida	postidE
puflama	puflEmE
qarindoshlari	qErindoSlEri
qarorlari	qErorlEri
qasd	qEsd
qatlamining	qEtlEminiN
qatnovi	qEtnovi
qaytaradi	qEytErEdi
qidirib	qidirib
qilmaslik	qilmEslik
qiymatini	qiymEtini
qizaradi	qizErEdi
qobigʻi	qobiXi
qonda	qondE
qonning	qonniN
qoplamali	qoplEmEli
qoʻllanila	qollEnilE
qurdi	qurdi
rafiqasi	rEfiqEsi
rangbarang	rENbErEN
rayonlashtirish	rEyonlEStiriS
roʻyxatdan	royXEtdEn
ruhidagi	ruhidEgi
safarbar	sEfErbEr
saqlashga	sEqlESgE
sarflangan	sErflENEn
sarmoyasi	sErmoyEsi
sathining	sEthiniN
sayr	sEyr
shafqatsiz	SEfqEtsiz
shakarqand	SEkErqEnd
sharqshunos	SErqSunos
shikastlanish	SikEstlEniS
shubhasiz	SubhEsiz
shved	Sved
sigʻinish	siXiniS
silindrik	silindrik
silindrsimon	silindrsimon
sintaktik	sintEktik
sirtining	sirtiniN
sistemasidagi	sistemEsidEgi
soatdan	soEtdEn
sobori	sobori
soylar	soylEr
spektri	spektri
standart	stEndErt
statik	stEtik
sulolasiga	sulolEsigE
sulolasining	sulolEsiniN
suyultirilgan	suyultirilgEn
tadbirlarini	tEdbirlErini
talabalarga	tElEbElErgE
tanasida	tEnEsidE
tanasiga	tEnEsigE
tanlanadi	tEnlEnEdi
taqsimlanadi	tEqsimlEnEdi
tartibsiz	tErtibsiz
tarziga	tErzigE
tasavvurlar	tEsEvvurlEr
tasdiqladi	tEsdiqlEdi
tayinlagan	tEyinlEgEn
tepasida	tepEsidE
terib	terib
termin	termin
tiklanishi	tiklEniSi
tomondagi	tomondEgi
tovarlari	tovErlEri
toʻldiriladi	toldirilEdi
toʻlqinlari	tolqinlEri
toʻlqinlarning	tolqinlErniN
toʻyinadi	toyinEdi
tumanlarda	tumEnlErdE
tunda	tundE
tusda	tusdE
tushganda	tuSgEndE
tushish	tuSiS
tutishi	tutiSi
tuzilma	tuzilmE
unti	unti
urinib	urinib
urinish	uriniS
urushga	uruSgE
urushlari	uruSlEri
vakolatli	vEkolEtli
vaziyatni	vEziyEtni
vena	venE
vodiysining	vodiysiniN
vohasi	vohEsi
xitoylar	XitoylEr
xonadon	XonEdon
xonalari	XonElEri
xonning	XonniN
xotirasiga	XotirEsigE
xususiyatlarni	XususiyEtlErni
yakunlandi	yEkunlEndi
yelim	yelim
yigʻma	yiXmE
yilqi	yilqi
yolgʻon	yolXon
yoshiga	yoSigE
yoshligidan	yoSligidEn
yoʻnalishidagi	yonEliSidEgi
yoʻqotgan	yoqotgEn
yuklatilgan	yuklEtilgEn
yuragi	yurEgi
yurishga	yuriSgE
yutib	yutib
yutish	yutiS
yuzasini	yuzEsini
zarurligi	zErurligi
ziyoratgoh	ziyorEtgoh
Abdulaziz	EbdulEziz
Albom	Elbom
Amerikasi	EmerikEsi
Asrlar	EsrlEr
Bemorning	bemorniN
Besh	beS
Boburiylar	boburiylEr
Boris	boris
Boyazid	boyEzid
Britaniyadagi	britEniyEdEgi
Dashti	dESti
Dastur	dEstur
Devoni	devoni
Ertasi	ertEsi
Federatsiyasidagi	federEtsiyEsidEgi
Filippin	filippin
GFR	geefer
Ganja	gEnjE
General	generEl
Haj	hEj
Hamid	hEmid
Hayvon	hEyvon
Hyundai	hyundEi
Jeneva	jenevE
Kanadada	kEnEdEdE
Kemasozlik	kemEsozlik
Kime	kime
Konning	konniN
Koʻk	kok
Kuvayt	kuvEyt
Laos	lEos
Liviya	liviyE
Maqbara	mEqbErE
Matbuot	mEtbuot
Mesopotamiya	mesopotEmiyE
Movarounnahrni	movErounnEhrni
Moʻgʻul	moXul
Muborak	muborEk
Nodir	nodir
Orollar	orollEr
Osiyodan	osiyodEn
Osiyoni	osiyoni
Osmon	osmon
Ota	otE
Oʻlka	olkE
Panama	pEnEmE
Past	pEst
Peru	peru
Qushlar	quSlEr
Quyoshga	quyoSgE
Ravshan	rEvSEn
Samarqandiy	sEmErqEndiy
Shisha	SiSE
Shtat	StEt
Stadion	stEdion
Sugʻoriladigan	suXorilEdigEn
Surunkali	surunkEli
Suvning	suvniN
Tbilisi	tbilisi
Tojikistonda	tojikistondE
Tumandagi	tumEndEgi
Uy	uy
Uzeyir	uzeyir
Vazir	vEzir
Vikipediya	vikipediyE
XIV	Xiv
XVI	Xvi
Xoʻjalik	XojElik
Yevklid	yevklid
Yevropadan	yevropEdEn
Yuqorida	yuqoridE
afzal	EfzEl
agregatlar	EgregEtlEr
ajralish	EjrEliS
aksar	EksEr
albomini	Elbomini
almashinadi	ElmESinEdi
aralashgan	ErElESgEn
asbest	Esbest
asoslar	EsoslEr
atlas	EtlEs
atroflarida	EtroflEridE
ayolning	EyolniN
azotli	Ezotli
baholangan	bEholENEn
bajarilishi	bEjEriliSi
bajarishi	bEjEriSi
bek	bek
belgilagan	belgilEgEn
bemorlarni	bemorlErni
berganlar	bergEnlEr
berishdan	beriSdEn
berishdi	beriSdi
bildirdi	bildirdi
binobarin	binobErin
bogliq	bogliq
bordilar	bordilEr
boriladigan	borilEdigEn
boshlanish	boSlEniS
boyitish	boyitiS
boʻlgandan	bolgEndEn
boʻlganini	bolgEnini
boʻshligʻiga	boSliXigE
buyumlarga	buyumlErgE
buyurtma	buyurtmE
byudjeti	byudjeti
daraja	dErEjE
daraxtlari	dErEXtlEri
daryolarning	dEryolErniN
dasturini	dEsturini
dasturlash	dEsturlES
davridayoq	dEvridEyoq
demak	demEk
detal	detEl
dizayn	dizEyn
dizel	dizel
dolomit	dolomit
doni	doni
dushmani	duSmEni
efirlar	efirlEr
ehtimollar	ehtimollEr
ehtiyojini	ehtiyojini
ekini	ekini
elementlardan	elementlErdEn
emasligi	emEsligi
eroniy	eroniy
ettirdilar	ettirdilEr
f	ef
fakultetlari	fEkultetlEri
faunasi	fEunEsi
fazilatlar	fEzilEtlEr
fizikaning	fizikEniN
foizga	foizgE
fosforli	fosforli
gazlarni	gEzlErni
geolog	geolog
gullaydi	gullEydi
guruxlari	guruXlEri
haftalik	hEftElik
harakatlanish	hErEkEtlEniS
harbiylar	hErbiylEr
haykallari	hEykEllEri
hayotdagi	hEyotdEgi
hayotdan	hEyotdEn
hayotidan	hEyotidEn
hikoyasi	hikoyEsi
homiysi	homiysi
hovli	hovli
huquqni	huquqni
ikkitasi	ikkitEsi
imzo	imzo
instituta	institutE
iplar	iplEr
iqlimli	iqlimli
iqtidorli	iqtidorli
isbotlab	isbotlEb
ishonarli	iSonErli
ishqorlar	iSqorlEr
ixtiyoriga	iXtiyorigE
jagʻ	jEX
janriga	jEnrigE
janrlarida	jEnrlEridE
janubga	jEnubgE
jihati	jihEti
jinssiz	jinssiz
joydagi	joydEgi
joylaridan	joylEridEn
joylariga	joylErigE
joylashishi	joylESiSi
kanalar	kEnElEr
kanalining	kEnEliniN
kasalligini	kEsElligini
katalizatorlar	kEtElizEtorlEr
kelin	kelin
kelishuv	keliSuv
kesim	kesim
ketishini	ketiSini
kombinatlari	kombinEtlEri
kompressor	kompressor
konlarda	konlErdE
kora	korE
korxonalarni	korXonElErni
kukuni	kukuni
kunduzgi	kunduzgi
kunjut	kunjut
lugʻaviy	luXEviy
madaniyatida	mEdEniyEtidE
mahkum	mEhkum
majlisida	mEjlisidE
majmualari	mEjmuElEri
mamlakati	mEmlEkEti
manbalaridan	mEnbElEridEn
massasini	mEssEsini
mavhum	mEvhum
mavjudot	mEvjudot
mavzuli	mEvzuli
mazmundagi	mEzmundEgi
meni	meni
mexanikasi	meXEnikEsi
minerallarning	minerEllErniN
misra	misrE
mitti	mitti
moddadan	moddEdEn
moʻljallanadi	moljEllEnEdi
muguz	muguz
muhimdir	muhimdir
mukofotlari	mukofotlEri
muomalada	muomElEdE
muomalaga	muomElEgE
musiqasida	musiqEsidE
musodara	musodErE
mustahkamlashga	mustEhkEmlESgE
muttasil	muttEsil
namoz	nEmoz
nayza	nEyzE
neytronlar	neytronlEr
nuqtasidan	nuqtEsidEn
oilada	oilEdE
oldinga	oldiNE
omillarga	omillErgE
operatsion	operEtsion
orden	orden
organlariga	orgEnlErigE
orolida	orolidE
orta	ortE
oshgan	oSgEn
oshirilishi	oSiriliSi
oyogʻi	oyoXi
oʻtagan	otEgEn
oʻtishini	otiSini
oʻtkazadigan	otkEzEdigEn
oʻzgartirildi	ozgErtirildi
passiv	pEssiv
paytdan	pEytdEn
pirit	pirit
pishib	piSib
platosi	plEtosi
plitalar	plitElEr
pnevmatik	pnevmEtik
podsholik	podSolik
predmeti	predmeti
prokat	prokEt
pullar	pullEr
qanot	qEnot
qasida	qEsidE
qatagʻon	qEtEXon
qatlamida	qEtlEmidE
qatlamini	qEtlEmini
qogʻozga	qoXozgE
qoldiq	qoldiq
qoldirdi	qoldirdi
qoldirilgan	qoldirilgEn
qolmoqda	qolmoqdE
qonunni	qonunni
qorakoʻl	qorEkol
qotib	qotib
qozoqlar	qozoqlEr
qoʻmondonlik	qomondonlik
qoʻshiniga	qoSinigE
qoʻyilmaydi	qoyilmEydi
qoʻyishi	qoyiSi
qoʻymaslik	qoymEslik
qurbonlik	qurbonlik
qurila	qurilE
ra	rE
raqami	rEqEmi
reaksiyasini	reEksiyEsini
rejimini	rejimini
rezavor	rezEvor
risolalar	risolElEr
ritmik	ritmik
rivojlantirildi	rivojlEntirildi
rostlash	rostlES
ruhoniylar	ruhoniylEr
sahnaga	sEhnEgE
saklangan	sEklENEn
sakrash	sEkrES
saltanati	sEltEnEti
sanab	sEnEb
saroyda	sEroydE
sayyoralarning	sEyyorElErniN
serhosil	serhosil
shaharlardan	SEhErlErdEn
shaharlarning	SEhErlErniN
sharoitlarga	SEroitlErgE
shartnomasiga	SErtnomEsigE
shaxmat	SEXmEt
shimolidagi	SimolidEgi
shirali	SirEli
shish	SiS
shoirlarning	SoirlErniN
shoxlari	SoXlEri
shuki	Suki
simmetrik	simmetrik
sistemalari	sistemElEri
sistemani	sistemEni
soʻzlarni	sozlErni
spirtlar	spirtlEr
sugʻorilgan	suXorilgEn
suradi	surEdi
suvlarni	suvlErni
suyuqliklar	suyuqliklEr
tadbiq	tEdbiq
tadbirlarni	tEdbirlErni
tahlili	tEhlili
tanishadi	tEniSEdi
tanlagan	tEnlEgEn
taraqqiyotning	tErEqqiyotniN
tarqala	tErqElE
tasarrufida	tEsErrufidE
tashhis	tEShis
tashishda	tESiSdE
tashkilotlarning	tESkilotlErniN
tasvirini	tEsvirini
tavsif	tEvsif
taxminlar	tEXminlEr
tayinlash	tEyinlES
tebranma	tebrEnmE
tengligi	teNligi
terida	teridE
tezlashadi	tezlESEdi
tilni	tilni
togʻlik	toXlik
topshirgan	topSirgEn
toshbaqa	toSbEqE
toʻplamida	toplEmidE
toʻplamlarida	toplEmlEridE
toʻxtatish	toXtEtiS
tugʻilishi	tuXiliSi
turning	turniN
tutdi	tutdi
tuxumdan	tuXumdEn
tuzatishlar	tuzEtiSlEr
umurtqasizlar	umurtqEsizlEr
uslubidagi	uslubidEgi
usulidan	usulidEn
usullarida	usullEridE
uzatma	uzEtmE
vakillar	vEkillEr
vakillik	vEkillik
vakolatlari	vEkolEtlEri
valentli	vElentli
vatan	vEtEn
vaziyati	vEziyEti
viruslar	viruslEr
xabarlar	XEbErlEr
xalqini	XElqini
xarita	XEritE
xayol	XEyol
xonali	XonEli
xonasi	XonEsi
xristianlar	XristiEnlEr
yashaydilar	yESEydilEr
yerida	yeridE
yerlardan	yerlErdEn
yevropalik	yevropElik
yilida	yilidE
yorilib	yorilib
yoriqlar	yoriqlEr
yozishga	yoziSgE
yoʻlning	yolniN
yoʻnalishlarda	yonEliSlErdE
yuklar	yuklEr
yuradigan	yurEdigEn
yurishlarida	yuriSlEridE
zahar	zEhEr
zamonda	zEmondE
zanjir	zEnjir
ziddiyatlar	ziddiyEtlEr
zulm	zulm
Allohga	EllohgE
Amur	Emur
Aviatsiya	EviEtsiyE
Avtonom	Evtonom
Barg	bErg
Belarus	belErus
Bizning	bizniN
Boshida	boSidE
Boy	boy
Budda	buddE
Davosi	dEvosi
Dnepr	dnepr
Fitrat	fitrEt
Fransiyaga	frEnsiyEgE
Fuqarolar	fuqErolEr
Gippokrat	gippokrEt
Gretsiya	gretsiyE
Group	group
Gʻijduvon	Xijduvon
Hindistondan	hindistondEn
Huquqiy	huquqiy
Iyulning	iyulniN
JAR	jEr
Jahonda	jEhondE
Jalilov	jElilov
Kamerun	kEmerun
Kishi	kiSi
Kommunistik	kommunistik
Koreyaning	koreyEniN
Koʻl	kol
Lanka	lEnkE
Londonda	londondE
Malakka	mElEkkE
Matematika	mEtemEtikE
Mendeleyev	mendeleyev
Millat	millEt
Misol	misol
Nasaf	nEsEf
Navbahor	nEvbEhor
Oltiariq	oltiEriq
Ossuriya	ossuriyE
Ozarbayjonga	ozErbEyjoNE
Oʻsh	oS
OʻzRning	oz rniN
PSA	psE
Pastki	pEstki
Perm	perm
Pomir	pomir
Qadim	qEdim
Qirgʻiz	qirXiz
Qurama	qurEmE
Radio	rEdio
Rivojlangan	rivojlENEn
Robert	robert
Rossiyadan	rossiyEdEn
Sharkda	SErkdE
Shashmaqom	SESmEqom
Shosh	SoS
Sil	sil
Soliq	soliq
Sudan	sudEn
Suvni	suvni
Togʻlar	toXlEr
Tuproqlari	tuproqlEri
Tyanshan	tyEnSEn
Urta	urtE
Us	us
Uzun	uzun
Xalil	XElil
Xitoydagi	XitoydEgi
Yapon	yEpon
Yevropaga	yevropEgE
Yevrosiyo	yevrosiyo
Yo	yo
Zangiota	zENiotE
adabiyotidagi	EdEbiyotidEgi
adiblar	EdiblEr
ahvol	Ehvol
alevrolit	Elevrolit
almashinish	ElmESiniS
almashlab	ElmESlEb
amaliyot	EmEliyot
amaliyotga	EmEliyotgE
ammoniy	Emmoniy
anatomiya	EnEtomiyE
armiyasining	ErmiyEsiniN
ashulalar	ESulElEr
asimmetrik	Esimmetrik
asrlik	Esrlik
ataydi	EtEydi
avvaliga	EvvEligE
ayollarda	EyollErdE
aytiladigan	EytilEdigEn
azaliy	EzEliy
bariy	bEriy
bayroq	bEyroq
belorus	belorus
bemorni	bemorni
beqiyos	beqiyos
berishadi	beriSEdi
bezovta	bezovtE
bin	bin
binafsha	binEfSE
birgina	birginE
birikmalardan	birikmElErdEn
birjasi	birjEsi
bobdan	bobdEn
bobo	bobo
bogʻliqligini	boXliqligini
boisdan	boisdEn
bolasi	bolEsi
boqiladigan	boqilEdigEn
boradilar	borEdilEr
boshini	boSini
boshlash	boSlES
boshqarilgan	boSqErilgEn
boshqasiga	boSqEsigE
boʻlimlar	bolimlEr
boʻlishni	boliSni
boʻrtib	bortib
buyuradi	buyurEdi
buzilishiga	buziliSigE
byudjet	byudjet
demokratiya	demokrEtiyE
devoriga	devorigE
di	di
dialektik	diElektik
dinini	dinini
dispers	dispers
dollarini	dollErini
dutor	dutor
effekti	effekti
ekishdan	ekiSdEn
ekspeditsiya	ekspeditsiyE
elektronlarning	elektronlErniN
endemik	endemik
ertaklar	ertEklEr
ertalab	ertElEb
eshitib	eSitib
eslatadi	eslEtEdi
etaklari	etEklEri
evolyusion	evolyusion
feodal	feodEl
fikri	fikri
filologiya	filologiyE
fondida	fondidE
fonema	fonemE
galaktikalar	gElEktikElEr
golland	gollEnd
goʻng	goN
gʻoyani	XoyEni
hamkorligi	hEmkorligi
haqiqatga	hEqiqEtgE
harakatning	hErEkEtniN
havzasining	hEvzEsiniN
hidli	hidli
hodisalarga	hodisElErgE
hodisasini	hodisEsini
hokimiyatining	hokimiyEtiniN
holdagi	holdEgi
hollari	hollEri
hududlarga	hududlErgE
hukmdorlar	hukmdorlEr
ijodkorlari	ijodkorlEri
intensiv	intensiv
ipi	ipi
iqtisodiyotda	iqtisodiyotdE
irqiy	irqiy
isbotladi	isbotlEdi
ishida	iSidE
ishlashda	iSlESdE
ishtirokidagi	iStirokidEgi
ispanlar	ispEnlEr
jamgʻarmasi	jEmXErmEsi
jamiyatga	jEmiyEtgE
jangga	jENgE
janglar	jENlEr
jismi	jismi
karab	kErEb
karbonatli	kErbonEtli
kashtan	kEStEn
kattalar	kEttElEr
kelajak	kelEjEk
kelishik	keliSik
kelsa	kelsE
kengaytirilgan	keNEytirilgEn
kesilgan	kesilgEn
kirishiga	kiriSigE
kitobdan	kitobdEn
klublari	klublEri
koloniya	koloniyE
kompyuterlar	kompyuterlEr
konkret	konkret
konlarida	konlEridE
konstruksiyalari	konstruksiyElEri
korxonaning	korXonEniN
koʻlami	kolEmi
koʻlamli	kolEmli
koʻrinma	korinmE
kunidan	kunidEn
kurort	kurort
kutilmagan	kutilmEgEn
lingvistik	liNvistik
linza	linzE
majmuini	mEjmuini
majoziy	mEjoziy
makaron	mEkEron
maktabning	mEktEbniN
maqbul	mEqbul
marjon	mErjon
mashgʻuloti	mESXuloti
masjidlar	mEsjidlEr
mazmunga	mEzmuNE
mazmuniga	mEzmunigE
medali	medEli
meliorativ	meliorEtiv
mexanizmini	meXEnizmini
mirzo	mirzo
moslashtirilgan	moslEStirilgEn
muhimi	muhimi
muhitdagi	muhitdEgi
muhtoj	muhtoj
muljallangan	muljEllENEn
mulkdorlar	mulkdorlEr
munosabatlarga	munosEbEtlErgE
muqaddam	muqEddEm
murabba	murEbbE
muzeylarida	muzeylEridE
muzokara	muzokErE
namunalaridan	nEmunElEridEn
nasl	nEsl
natijalarga	nEtijElErgE
navli	nEvli
niderland	niderlEnd
nihoyasiga	nihoyEsigE
nomida	nomidE
nurash	nurES
nurlarni	nurlErni
obrazlarning	obrEzlErniN
odamlarda	odEmlErdE
oilalari	oilElEri
olishdi	oliSdi
omillardan	omillErdEn
operator	operEtor
operatsiyalari	operEtsiyElEri
oqadigan	oqEdigEn
oqibatda	oqibEtdE
oqish	oqiS
orbital	orbitEl
oshiriladigan	oSirilEdigEn
oshmaydi	oSmEydi
oʻlimga	olimgE
oʻlkalarda	olkElErdE
oʻrmonli	ormonli
oʻrnatishga	ornEtiSgE
oʻrtasidan	ortEsidEn
oʻsma	osmE
oʻzani	ozEni
parametrlari	pErEmetrlEri
pastroq	pEstroq
payt	pEyt
paytdagi	pEytdEgi
payvandlash	pEyvEndlES
periferik	periferik
polimer	polimer
portreti	portreti
pravoslav	prEvoslEv
preparatlari	prepErEtlEri
pusti	pusti
pyesalar	pyesElEr
qahramonning	qEhrEmonniN
qalinlikda	qElinlikdE
qar	qEr
qatoridan	qEtoridEn
qatorlar	qEtorlEr
qilganida	qilgEnidE
qirgʻogʻida	qirXoXidE
qolip	qolip
qoʻltiq	qoltiq
qoʻngʻizlar	qoN7izlEr
qoʻriqxonalari	qoriqXonElEri
qoʻshiklari	qoSiklEri
qoʻshinining	qoSininiN
qoʻshinni	qoSinni
qoʻzgʻalmas	qozXElmEs
qurilmalarda	qurilmElErdE
qutisi	qutisi
quyiladigan	quyilEdigEn
rahbarligi	rEhbErligi
raqam	rEqEm
ratsional	rEtsionEl
ravoq	rEvoq
reflekslar	reflekslEr
rejalarini	rejElErini
rejali	rejEli
rivojlantirdi	rivojlEntirdi
roʻyobga	royobgE
roʻyxatiga	royXEtigE
safarda	sEfErdE
sahnalashtirgan	sEhnElEStirgEn
saltanat	sEltEnEt
sana	sEnE
sen	sen
senat	senEt
shaharlarini	SEhErlErini
sharhlar	SErhlEr
sharqshunoslik	SErqSunoslik
shartlar	SErtlEr
shaxslarni	SEXslErni
shilimshiq	SilimSiq
shina	SinE
shogirdlar	SogirdlEr
shugʻullanish	SuXullEniS
shugʻullanishgan	SuXullEniSgEn
sinfiga	sinfigE
sirtqi	sirtqi
skelet	skelet
slanetslar	slEnetslEr
smolalar	smolElEr
soda	sodE
sohaga	sohEgE
sohasining	sohEsiniN
solinib	solinib
sozandalar	sozEndElEr
soʻradi	sorEdi
soʻragan	sorEgEn
strukturasini	strukturEsini
sugʻorma	suXormE
surib	surib
tadbir	tEdbir
tahdid	tEhdid
takrorlanadi	tEkrorlEnEdi
taktik	tEktik
taqqoslash	tEqqoslES
taraqqiyotini	tErEqqiyotini
tarzini	tErzini
tashladi	tESlEdi
tashlagan	tESlEgEn
tasodifan	tEsodifEn
tasvirlaydi	tEsvirlEydi
tavallud	tEvEllud
tekisligining	tekisliginiN
tekislikka	tekislikkE
tennis	tennis
terini	terini
tildagi	tildEgi
tovarlarni	tovErlErni
tozalangan	tozElENEn
toʻldirilgan	toldirilgEn
toʻqimalarda	toqimElErdE
toʻqimalarga	toqimElErgE
toʻqimasi	toqimEsi
tugadi	tugEdi
tugʻiladi	tuXilEdi
tuklar	tuklEr
tukli	tukli
turishga	turiSgE
turkmanlar	turkmEnlEr
tusiga	tusigE
tuxumi	tuXumi
tuzilmalari	tuzilmElEri
ulash	ulES
umid	umid
umri	umri
undoshlar	undoSlEr
urilgan	urilgEn
urinishlar	uriniSlEr
urishi	uriSi
usullarni	usullErni
uygʻunligi	uyXunligi
uyushgan	uyuSgEn
uzoqqa	uzoqqE
uzoqroq	uzoqroq
uzunlikdagi	uzunlikdEgi
virus	virus
vodoprovod	vodoprovod
xarakterga	XErEktergE
xavfsizligi	XEvfsizligi
xizmatiga	XizmEtigE
xotin	Xotin
xoʻjayin	XojEyin
xudosi	Xudosi
yaxshilab	yEXSilEb
yaylovlar	yEylovlEr
yeb	yeb
yetish	yetiS
yevropa	yevropE
yiriklari	yiriklEri
yopishqoq	yopiSqoq
yorqinligi	yorqinligi
yoshligida	yoSligidE
yovuz	yovuz
yoyish	yoyiS
yoʻlni	yolni
yurt	yurt
yuzini	yuzini
zallari	zEllEri
zardushtiylik	zErduStiylik
zarralarni	zErrElErni
zaytun	zEytun
zilziladan	zilzilEdEn
zulmiga	zulmigE
бўлган	bolgEn
деб	deb
AKSH	EkS
Adib	Edib
Allohdan	EllohdEn
Ashxobod	ESXobod
Asl	Esl
Avesto	Evesto
Avgust	Evgust
Bahouddin	bEhouddin
Baland	bElEnd
Bangladesh	bENlEdeS
Benkov	benkov
Binobarin	binobErin
Boburning	boburniN
Boshqaruv	boSqEruv
Bosma	bosmE
Bosniya	bosniyE
Burun	burun
Buxoroni	buXoroni
Buyrak	buyrEk
Dala	dElE
Davolash	dEvolES
Elektromagnit	elektromEgnit
Eshitish	eSitiS
Faol	fEol
Fargona	fErgonE
Finlyandiya	finlyEndiyE
Fizik	fizik
Galiley	gEliley
Geologik	geologik
Hasharotlar	hESErotlEr
Hayvonot	hEyvonot
Ijodi	ijodi
Ijodida	ijodidE
J	je
Jalil	jElil
Jon	jon
Kanal	kEnEl
Karib	kErib
Kavkazning	kEvkEzniN
Kitobda	kitobdE
Koreyada	koreyEdE
Krasnoyarsk	krEsnoyErsk
Madagaskar	mEdEgEskEr
Manguberdi	mENuberdi
Mariya	mEriyE
Mart	mErt
Narimonov	nErimonov
Nikaragua	nikErEguE
Nur	nur
Nutq	nutq
Olimjon	olimjon
