abdisere	obdiser3
mandigst	monikst
mandigste	monikst3
mane	mon3
manen	mon
manene	mon3
mange	moN3
mangesidig	moN3sidi
mangesidige	moN3sidi3
mangesidigere	moN3sidir3
mangesidigst	moN3sidikst
mangesidigste	moN3sidikst3
mangfoldig	moNfoldi
mangfoldige	moNfoldi3
mangfoldigere	moNfoldir3
mangfoldigst	moNfoldikst
mangfoldigste	moNfoldikst3
mangle	moNl3
mangslungen	moNSLuN3n
manifest	monifEst
manipulere	monip3ler3
mann	mon
mannen	mon
mannlig	monli
mannlige	monli3
mannligere	monlir3
mannligst	monlikst
mannligste	monlikst3
mannskap	monskop
mannsterk	monstErk
manuell	mon3El
manøvrere	monEvrer3
marg	morg
margarin	morgorin
marit	morit
maritim	moritim
mark	mork
markant	morkont
marked	morkEd
markedsføre	mork3dsfer3
markedsføring	mork3dsferiN
markere	morker3
markert	morket
marokkansk	morukonsk
mars	moS
marsjere	moSer3
mas	mos
masasje	mosoS3
mascara	moskoro
mase	mos3
masete	mos3t3
maske	mosk3
maskin	moSin
maskinell	moSinEl
maskingevær	moSing3vEr
maskulin	mosk3lin
massakrere	mosokrer3
masse	mos3
masseprodusere	mos3prud3ser3
massere	moser3
massiv	mosiv
mat	mot
matbit	motbit
mate	mot3
matematiker	mot3motik3r
matematisk	mot3motisk
materiale	mot3riol3
materialistisk	mot3riolistisk
materie	moteri3
materiell	mot3riEl
matforgiftning	motforyiftniN
matt	mot
matte	mot3
maule	mE3l3
maur	mEwr mEv3r
med	me
meddele	medel3
medfødt	medfEt mefEt
medgi	medyi
medgjørlig	m3dyeLi
medgjørlige	m3dyeLi3
medgjørligere	m3dyeLir3
medgjørligst	m3dyeLikst
medgjørligste	m3dyeLikst3
medikament	mEdikomEnt
medisin	m3disin
medisin for blodomløpet	mEdisinforbluumlep3
medisinsk	m3disinsk
meditere	m3diter3
medium	medi3m
medlem	medl3m
medlemskap	medl3mskop
medskyldig	medSildi
medskyldige	medSildi3
medskyldigere	medSildir3
medskyldigst	medSildikst
medskyldigste	medSildikst3
medvirke	medvirk3
meg	mEi
megle	mEgl3
megler	mEgl3r
megling	mEgliN
meie	mEi3
mekanisk	m3konisk
mekre	mEkr3
meksikansk	m3ksikonsk
mektig	mEkti
mektige	mEkti3
mektigere	mEktir3
mektigst	mEktikst
mektigste	mEktikst3
mel	mel
melankolsk	m3lonkulsk
melding	mEliN
melert	m3let
melk	mElk
melke	mElk3
mellom	mElom
mellomlanding	mElomloniN
melon	mElun
men	men
mene	men3
mening	meniN
menn	mEn
mennene	mEn3n3
menneske	mEnsk3 mEn3sk3
menneskelig	mEn3sk3li
menneskelige	mEn3sk3li3
menneskeligere	mEn3sk3lir3
menneskeligst	mEn3sk3likst
menneskeligste	mEn3sk3likst3
mens	mEns
menstruasjon	mEnstr3oSun
mental	m3ntol
meny	mEni
mer	mer
mer enn	merEn
merkantil	mErkontil
merkbar	mErkbor
merke	mErk3
merkelig	mErk3li
merkelige	mErk3li3
merkeligere	mErk3lir3
merkeligst	mErk3likst
merkeligste	mErk3likst3
merkverdig	mErkvEdi
merkverdige	mErkvEdi3
merkverdigere	mErkvEdir3
merkverdigst	mErkvEdikst
merkverdigste	mErkvEdikst3
merr	mEr
mesenat	mEsnnot
messe	mEs3
mester	mEst3r
mestre	mEstr3
mesén	mEsen
metafysisk	m3tofisisk
meteorolog	m3t3urulog
meteorologisk	m3t3urulogisk
meter	met3r
mett	mEt
midd	mid
middag	midog
middel	mid3l
middelalder	mid3lold3r
middelaldrende	mid3loldr3n3
middelmådig	mid3lmodi
middelmådige	mid3lmodi3
middelmådigere	mid3lmodir3
middelmådigst	mid3lmodikst
middelmådigste	mid3lmodikst3
middels	mid3ls
midje	midy3
midlertidig	midl3tidi
midlertidige	midl3tidi3
midlertidigere	midl3tidir3
midlertidigst	midl3tidikst
midlertidigste	midl3tidikst3
midnatt	midnot
midte	mit3
migrene	migren3
mikroskopisk	mikruskupisk
mikse	miks3
mild	mil
miljø	milye
miljøvennlig	milyevEnli
miljøvennlige	milyevEnli3
miljøvennligere	milyevEnlir3
miljøvennligst	milyevEnlikst
miljøvennligste	milyevEnlikst3
millimeter	milimet3r
mime	mim3
min	min
mindreverdig	mindr3vEdi
mindreverdige	mindr3vEdi3
mindreverdigere	mindr3vEdir3
mindreverdigst	mindr3vEdikst
mindreverdigste	mindr3vEdikst3
mindreårig	mindr3ori
mindreårige	mindr3ori3
mindreårigere	mindr3orir3
mindreårigst	mindr3orikst
mindreårigste	mindr3orikst3
mine	min3
mineralvann	min3rolvon
minibank	pEN3E3tumot
minibar	minibor
minigolf	minigolf
minimal	minimol
minister	minist3r
minke	miNk3
minne	min3
minne en om noe	min3enumnu3
minnes	min3s
minnesmerke	minEsmErk3
minnested	min3sted
minneverdig	min3vEdi
minneverdige	min3vEdi3
minneverdigere	min3vEdir3
minneverdigst	min3vEdikst
minneverdigste	min3vEdikst3
minske	minsk3
minst	minst
minutt	min3t
mirakuløs	mirok3les
misbruke	misbr3k3
misfornøyd	misfonEyd
misforstå	misfoSto
mishandle	mishonl3
mislike	mislik3
mislykka	misliko
mislykkes	mislik3s
mislykket	mislik3t
miste	mist3
mistenke	mistENk3
mistenksom	mistENksom
mistrives	mistriv3s
misunne	mis3n3
misunnelig	mis3n3li
misunnelige	mis3n3li3
misunneligere	mis3n3lir3
misunneligst	mis3n3likst
misunneligste	mis3n3likst3
misunnelse	mis3n3ls3
mit	mit
mitt	mit
mjaue	myEw3
mjød	myed
mjøl	myEr
mjølk	myErk
mo	mu
mobbe	mob3
mobil	mubil
mobilisere	mubiliser3
modell	mudEl
modellere	mud3ler3
moden	mud3n
moderat	mud3rot
moderere	mud3rer3
modern	modEn
moderne	mudEn3
modernisere	mudEniser3
modifisere	mudifiser3
modig	mudi
modige	mudi3
modigere	mudir3
modigst	mudikst
modigste	mudikst3
modne	mudn3
molefonken	mul3fuNk3n
molo	mulu
momentan	mum3nton
moms	mums
monne	mon3
montere	monter3
mor	mur
mor'n	mon
moralisere	muroliser3
moralsk	murolsk
mord	mud
morder	mud3r
more	mur3
more seg	mur3sEi
morgen	moon
morken	mork3n
moro	muru
morsk	muSk
morsom	muSom
mose	mus3
mosjonere	muSuner3
mot	mut
motarbeide	mutorbEid3
motbevise	mutb3vis3
motbydelig	mutbid3li
motbydelige	mutbid3li3
motbydeligere	mutbid3lir3
motbydeligst	mutbid3likst
motbydeligste	mutbid3likst3
mote	mut3
motell	mutEl
moteriktig	mut3rikti
moteriktige	mut3rikti3
moteriktigere	mut3riktir3
moteriktigst	mut3riktikst
moteriktigste	mut3riktikst3
motesmykke	mut3smik3
motivere	mutiver3
motløs	mutles
motor	mutur mutur
motoren	mutun mutuun
motorsykkel	mutuSik3l
motorvei	muturvEi
motorvei klasse b	muturvEiklos3be
motsatt	mutsot
motsetning	mutsEtniN
motsette	mutsEt3
motsi	mutsi
motstand	mutston
motstandsdyktig	mutstonsdikti
motstandsdyktige	mutstonsdikti3
motstandsdyktigere	mutstonsdiktir3
motstandsdyktigst	mutstonsdiktikst
motstandsdyktigste	mutstonsdiktikst3
motstå	mutsto
motta	muto
mottagelig	mutok3li
mottaker	mutok3r
motvillig	mutvili
motvillige	mutvili3
motvilligere	mutvilir3
motvilligst	mutvilikst
motvilligste	mutvilikst3
mugge	m3g3
muggen	m3g3n
mule	m3l3
mulig	m3li
mulige	m3li3
muligere	m3lir3
muliggjøre	m3liyer3
mulighet	m3lihet
muligst	m3likst
muligste	m3likst3
mulkt	m3lkt m3lt
multiplisere	m3ltipliser3
mumle	muml3
munn	m3n
munne	m3n3
munning	m3niN
munter	m3nt3r
muntlig	m3ntli
muntlige	m3ntli3
muntligere	m3ntlir3
muntligst	m3ntlikst
muntligste	m3ntlikst3
murre	m3r3
museum	m3se3m
musical	my3sik3l
musikalsk	m3sikolsk
musiker	m3sik3r
musikk	m3sik
musikkforretning	m3sikfor3tniN
muskel	m3sk3l
muskulær	m3sk3lEr
muskuløs	m3sk3les
musli	m3sli
muslimsk	m3slimsk
musling	m3SLiN
mye	mi3
mygg	mig
myk	mik
myke	mik3
mykost	mikust
myldre	mildr3
myndig	mini
myndige	mini3
myndigere	minir3
myndighet	minihet
myndigst	minikst
myndigste	minikst3
mynt	mint
mynte	mint3
myntvaskeri	mintvosk3ri
myr	mir
myrde	mid3
myse	mis3
mystisk	mistisk
myte	mit3
mytologisk	mitulogisk
måke	mok3
mål	mol
målbevisst	molb3vist
måle	mol3
målene	mol3n3
målet	mol3
målmann	molmon
målrettet	molrEt3t
måltid	moltid
måne	mon3
måned	mon3d
månedlig	mon3dli
månedlige	mon3dli3
månedligere	mon3dlir3
månedligst	mon3dlikst
månedligste	mon3dlikst3
måpe	mop3
måse	mos3
måte	mot3
måteholden	mot3hol3n
måtte	mot3
møbel	meb3l
møblere	mEbler3
møkk	mEk
møkkete	mEk3t3
møne	men3
mønje	mEny3
mønster	mEnst3r
mør	mer
mørk	mErk
mørke	mErk3
mørkeblå	mErk3
mørklegge	mErklEi3
mørkt brød	mErktbre
møte	met3
møtt	mEt
møysommelig	mEysom3li
møysommelige	mEysom3li3
møysommeligere	mEysom3lir3
møysommeligst	mEysom3likst
møysommeligste	mEysom3likst3
nabo	nobu
nagle	nogl3
naiv	noiv
naken	nok3n nokn
nakent	noknt
nakke	nok3
nakne	nokn3
naknere	nokn3r3
naknest	nokn3st
nappe	nop3
narkoman	norkumon
narkose	norkus3
narr	nor
narre	nor3
narren	non
nasjonal	noSunol
nasjonalitet	noSunolitet
nasjonalitetstegn	noSunolitetstEin
nasjonalpark	noSunolpork
naske	nosk3
natt	not
nattbord	notbur
nattklubb	notkl3b
natur	not3r
naturkostbutikk	not3rkostb3tik
naturlig	not3Li
naturlige	not3Li3
naturligere	not3Lir3
naturligst	not3Likst
naturligste	not3Likst3
naturligvis	not3Livis
naturvitenskap	not3rvit3nskop
naust	nEwst
naut	nEvt nEwt
nautisk	nE3tisk
navigere	noviger3
navle	novl3
navlebeskuende	novl3b3sk33n3
navn	novn
navngi	novnyi
nazistisk	nosistisk
ned	ned
nedbrutt	nedbr3t
nede	ned3
nedenfor	ned3nfor
nederlandsk	ned3Lonsk
nedlate	nedlot3
nedlatende	nedlot3n3
nedsette	nedsEt3
nedsettende	nedsEt3n3
nedslående	nedSLo3n3
nedstemme	nedstEm3
nedstemt	nedstEmt
nedtrykt	nedtrikt
nedverdige	nedvEdig3
negativ	negotiv
neglisjere	n3gliSer3
nei	nEi
neie	nEi3
nekte	nEkt3
nemnd	nEmd
neppe	nEp3
nerve	nErv3
nervepirrende	nErv3pir3n3
nervøs	nErves
nese	nes3
nesebor	nes3bur
nesevis	nes3vis
neshorn	neshun
neste	nEst3
neste år	nEst3or
nesten	nEst3n
nestsiste	nEstsist3
nett	nEt
nettopp	nEtop
nettside	nEtsid3
nevenyttig	nev3niti
nevenyttige	nev3niti3
nevenyttigere	nev3nitir3
nevenyttigst	nev3nitikst
nevenyttigste	nev3nitikst3
nevne	nEvn3
ni	ni
nifs	nifs
nikke	nik3
nippe	nip3
nisse	nis3
nitten	nit3n
nitti	niti
nivå	nivo
noe	nu3
noen	nu3n
nok	nok
nominere	numiner3
nordisk	nudisk
nordlig	nuLi
nordmann	nurmon
noreg	noreg
normal	nurmol
normalisere	nurmoliser3
normalt	nurmolt
normere	normer3
norrøn	nurEn
norsk	noSk
nostalgisk	nustolgisk
notere	nuter3
notorisk	nuturisk
november	nuvEmb3r
nudiststrand	n3diststron
nulle	n3l3
nummer	num3r
nummerere	num3rer3
nummerskilt	num3Silt
ny	ni
nyansere	nioNser3
nybakt	nibokt
nydelig	nid3li
nydelige	nid3li3
nydeligere	nid3lir3
nydeligst	nid3likst
nydeligste	nid3likst3
nye	ni3
nyhet	nihet
nylig	nili
nylige	nili3
nyligere	nilir3
nyligst	nilikst
nyligste	nilikst3
nynne	nin3
nynorsk	ninoSk
nype	nip3
nyre	nir3
nyrebelte	nir3bElt3
nyrebetennelse	nir3bEtEnEls3
nyrestein	nir3stEin
nyse	nis3
nysgjerrig	niSEri
nysgjerrige	niSEri3
nysgjerrigere	niSErir3
nysgjerrigst	niSErikst
nysgjerrigste	niSErikst3
nyss	nis
nyte	nit3
nytte	nit3
nyttig	niti
nyttige	niti3
nyttigere	nitir3
nyttigst	nitikst
nyttigste	nitikst3
nyttår	nitor
nå	no
nåde	nod3
nådeløs	nod3les
nål	nol
når	nor
nåværende	novEr3n3
nær	nEr
nærgående	nErgo3n3
nærhet	nErhet
næring	nEriN
næringsrik	nEriNsrik
nærliggende	nELig3n3
nærme	nErm3
nærsynt	nESint
nærtagende	nEtog3n3
nødsfall	nedsfol
nødt	nEt
nødvendig	nEdvEni
nødvendige	nEdvEni3
nødvendigere	nEdvEnir3
nødvendigst	nEdvEnikst
nødvendigste	nEdvEnikst3
nøkkel	nEk3l
nøklene	nEkl3n3
nøktern	nEktEn
nøle	nel3
nøste	nEst3
nøtt	nEt
nøyaktig	nEyokti
nøyaktige	nEyokti3
nøyaktigere	nEyoktir3
nøyaktigst	nEyoktikst
nøyaktigste	nEyoktikst3
nøye	nEy3
nøytral	nEytrol
obdusere	ubd3ser3
objektiv	ubyEktiv
obligatorisk	ubligoturisk
observant	opsErvoN
observere	opsErver3
obskur	opsk3r
obskøn	opsken
odde	od3
offensiv	ofoNsiv
offentlig	ofEntli
offentlige	of3ntli3
offentligere	of3ntlir3
offentliggjøre	of3ntliyer3
offentlighet	of3ntlihet
offentligst	of3ntlikst
offentligste	of3ntlikst3
offer	of3r
offisielt	ofisi3lt
offside	ofsoid
ofre	ofr3
oft	oft
ofte	oft3
og	o o
også	oso
ohne	on3
okkupere	ok3per3
oktober	oktob3r
olaf	ulof
oliven	uliv3n
olje	oly3
oljemaleri	oly3mol3ri
olympisk	ulimpisk
om	om
om dagen	omdog3n
om ei uke	omEi3k3
om formiddagen	omformidog3n
om kvelden	omkvEl3n
om morgenen	ommon3n
ombestemme	omb3stEm3
ombestille	ombEstil3
omfang	omfoN
omfangsrik	omfoNsrik
omfatte	omfot3
omfattende	omfot3n3
omfavne	omfovn3
omgi	omyi
omgivelser	omyivEls3r
omgjengelig	omyEN3li
omgjengelige	omyEN3li3
omgjengeligere	omyEN3lir3
omgjengeligst	omyEN3likst
omgjengeligste	omyEN3likst3
omgå	omgo
omgående	omgo3n3
omhyggelig	omhig3li
omhyggelige	omhig3li3
omhyggeligere	omhig3lir3
omhyggeligst	omhig3likst
omhyggeligste	omhig3likst3
omkomme	omkom3
omkostninger	omkostniN3r
omkring	omkriN
omringe	omriN3
område	omrod3
omsette	omsEt3
omstendelig	omstEn3li
omstendelige	omstEn3li3
omstendeligere	omstEn3lir3
omstendeligst	omstEn3likst
omstendeligste	omstEn3likst3
omstendighet	omstEnihet
omstridt	omstrit
omtale	omtol3
omtenksom	omtENksom
omtrent	omtrEnt
omveg	omvEi
omvei	omvEi
omvende	omvEn3
omvendt	omv3nt
omverden	umvEd3n
omvisning	omvisniN
onanere	unoner3
ond	un
ondskapsfull	unskopsf3l
onkel	uNk3l
onsdag	unsdog
opera	up3ro
operasjon	up3roSun
operativ	op3rotiv
operere	op3rer3
operette	up3rEt3
opp	op
oppbevare	opbEvor3 op3vor3
oppbyggelig	opbig3li
oppbyggelige	opbig3li3
oppbyggeligere	opbig3lir3
oppbyggeligst	opbig3likst
oppbyggeligste	opbig3likst3
oppdage	opdog3
oppdatere	opdoter3
oppdikta	opdikt3t
oppdiktet	opdikt3t
oppdra	opdro
oppe	op3
oppfatte	opfot3
oppfinne	opfin3
oppfordre	opfodr3
oppfostre	opfustr3
oppfylle	opfil3
oppfølger	opfEl3r
oppføre	opfer3
oppførelse	opferEls3
oppgi	opyi
oppgitt	opyit
oppgradere	opgroder3
oppheve	ophev3
opphold	ophol
oppholde	ophol3
oppholde seg	ophol3sEi
oppholdsrom	opholsrum
opphøre	opher3
oppklare	opklor3
opplagt	oplokt
oppland	oplon
oppleve	oplev3
opplevelse	oplev3ls3
opplyse	oplis3
opplysning	oplisniN
opplyst	oplist
oppmerksom	opmErksom
oppmerksomhet	opmErksomhet
oppmuntre	opm3ntr3
oppnå	opno
oppofrende	opofr3n3
oppover	opov3r
oppreist	oprEist
opprette	oprEt3
opprettholde	opr3thol3
oppriktig	oprikti
oppriktige	oprikti3
oppriktigere	opriktir3
oppriktigst	opriktikst
oppriktigste	opriktikst3
opprinnelig	oprin3li
opprinnelige	oprin3li3
opprinneligere	oprin3lir3
opprinneligst	oprin3likst
opprinneligste	oprin3likst3
opprøre	oprer3
oppsummere	ops3mer3
oppsvulmet	opsv3lm3t
oppta	opto
opptatt	optot
opptre	optre
oppvakt	opvokt
oppvarte	opvot3
oppvaskbørste	opvoskbESt3
oppvaskklut	opvoskl3t
oppvaskkum	opvoskum
oppvaskmiddel	opvoskmid3l
optiker	optik3r
optimal	optimol
optimistisk	optimistisk
optisk	optisk
orange	oroNS3
oransje	uronS
ord	ur
ordbok	urbuk
orden	odn
ordenen	odn
ordener	odn3r
ordentlig	ontli
ordentlige	ontli3
ordentligere	ontlir3
ordentligst	ontlikst
ordentligste	ontlikst3
ordinær	odinEr
ordklasse	urklos3
ordlegge	uLEi3
ordne	on3 odn3
ordre	odr3
organisere	orgoniser3
organisk	orgonisk
orgel	org3l
orientere	ori3nter3
original	originol
originalversjon	originolvESun
orke	ork3
orkester	orkEst3r
orm	orm
ortodoks	otudoks
ose	us3
oslo	uSLu
oss	os
ost	ust
oval	uvol
over	ov3r
overalt	ov3rolt
overanstrenge	ov3ronstrEN3
overbevise	ov3rb3vis3
overbærende	ov3rbEr3n3
overdrive	ov3driv3
overdådig	ov3dodi
overdådige	ov3dodi3
overdådigere	ov3dodir3
overdådigst	ov3dodikst
overdådigste	ov3dodikst3
overdøve	ov3dev3
overfall	ov3rfol
overfalle	ov3rfol3
overfladisk	ov3rflodisk
overfor	ov3rfor
overfore	ov3rfer3
overføre	ov3rfer3
overføring	ov3rferiN
overført	ov3rfet
overgang	ov3rgoN
overgrep	ov3rgrep
overgå	ov3rgo
overholde	ov3rhol3
overhøre	ov3rher3
overkjøre	ov3rSer3
overkommelig	ov3rkom3li
overkommelige	ov3rkom3li3
overkommeligere	ov3rkom3lir3
overkommeligst	ov3rkom3likst
overkommeligste	ov3rkom3likst3
overlappe	ov3Lop3
overlate	ov3Lot3
overlegen	ov3Leg3n
overleve	ov3Lev3
overlevere	ov3L3ver3
overmanne	ov3rmon3
overnatte	ov3not3
overnatting	ov3notiN
overnattingssted	ov3notiNstEd ov3notiNste
overnaturlig	ov3not3Li
overnaturlige	ov3not3Li3
overnaturligere	ov3not3Lir3
overnaturligst	ov3not3Likst
overnaturligste	ov3not3Likst3
overraske	ov3rosk3
overrasket	ov3rosk3t
overrekke	ov3rEk3
overrumple	ov3rumpl3
overse	ov3Se
oversette	ov3SEt3
oversettelse	ov3SEt3ls3
oversiktlig	ov3Siktli
oversiktlige	ov3Siktli3
oversiktligere	ov3Siktlir3
oversiktligst	ov3Siktlikst
oversiktligste	ov3Siktlikst3
overskride	ov3Skrid3
overskrift	ov3Skrift
overskuelig	ov3Sk33li
overskuelige	ov3Sk33li3
overskueligere	ov3Sk33lir3
overskueligst	ov3Sk33likst
overskueligste	ov3Sk33likst3
overskyet	ov3Si3t
overstige	ov3Stig3
overta	ov3to
overtale	ov3tol3
overtre	ov3tre
overtroisk	ov3truisk
overveie	ov3rvEi3
overveiende	ov3rvEi3n3
overvektig	ov3rvEkti
overvektige	ov3rvEkti3
overvektigere	ov3rvEktir3
overvektigst	ov3rvEktikst
overvektigste	ov3rvEktikst3
overvelde	ov3rvEld3
overvinne	ov3rvin3
overvurdere	ov3rv3der3
overvåke	ov3rvok3
overvære	ov3rvEr3
overøse	ov3res3
p-pille	pepil3
pacemaker	pEismEik3r
padde	pod3
paddle	podl3
padle	podl3
paff	pof
pai	pEi
pakistansk	pokistonsk
pakke	pok3
pakke inn	pok3in
palass	polos
pale	pol3
palme	polm3
pannekake	pon3kok3
pannelugg	pon3l3g
pannerett	pon3rEt
panser	pons3r
pant	pont
pante	pont3
pantsette	pontsEt3
papir	popir
papirhandel	popirhon3l
pappa	popo
paprika	popriko
par	por
parade	porod3
paradere	poroder3
paradoksal	porodoksol
parallell	porolEl
parallellitet	porolElitet
paralysere	poroliser3
paraply	poropli
parat	porot
pare	por3
parere	porer3
parfyme	porfim3
parfymeri	porfim3ri
park	pork
parkere	porker3
parkeringslys	porkeriNslis
parkeringsplass	porkeriNsplos
parkeringsplass for funksjonshemmede	porkeriNsplos for f3NkSunshEm3d3
parkett	porkEt
parkometer	porkumet3r
parodiere	porudier3
partere	poter3
partisk	potisk
parykk	porik
pasient	posiEnt
pass	pos
passasjer	posoSer
passe	pos3
passe på	pos3po
passelig	pos3li
passelige	pos3li3
passeligere	pos3lir3
passeligst	pos3likst
passeligste	pos3likst3
passende	pos3n3
passere	poser3
passiv	posiv
passkontroll	poskuntrol
passé	pose
patent	potEnt
patetisk	potetisk
patruljere	potr3lyer3
patte	pot3
pause	pE3s3
pedagogisk	p3dogugisk
pedantisk	p3dontisk
peke	pek3
pen	pen
pendle	pEnl3
pengeanvisning	pEN3onvisniN
pengepung	pEN3puN
penger	pEN3r
pengeseddel	pEN3sEd3l
penn	pEn
pensjonat	poNSunot
pensle	pEnsl3
pepper	pEp3r
pepre	pEpr3
per	per
perfekt	pErfEkt
perle	pEL3
permanent	pErmonEnt
permittere	pErmiter3
perpleks	pErplEks
perrong	pEroN
persille	pESil3
persisk	pESisk
person	pESun
personalia	pESonolio
personlig	pESunli
personlige	pESunli3
personligere	pESunlir3
personligst	pESunlikst
personligste	pESunlikst3
pertentlig	pEtEntli
pertentlige	pEtEntli3
pertentligere	pEtEntlir3
pertentligst	pEtEntlikst
pertentligste	pEtEntlikst3
pervers	pErvES
pese	pes3
pessimistisk	p3simistisk
pianist	pionist
piano	piyonu
piffe	pif3
pigg	pig
pikant	pikont
pil	pil
pile	pil3
pille	pil3
pine	pin3
pinlig	pinli
pinlige	pinli3
pinligere	pinlir3
pinligst	pinlikst
pinligste	pinlikst3
pinne	pin3
pinse	pins3
pinsett	pinsEt
pipe	pip3
piple	pipl3
pirke	pirk3
pirre	pir3
piske	pisk3
pissoar	pisuor
pjokk	pSok
pjusk	py3sk
plage	plog3
plagiere	plogier3
plagsom	ploksom
plakat	plokot
plan	plon
planke	ploNk3
planlegge	plonlEi3
planlegging	plonlEyiN
plante	plont3
plaske	plosk3
plass	plos
plassbillett	plosbilEt
plassere	ploser3
plast	plost
plaster	plost3r
plastfolie	plostfuli3
plastisk	plostisk
plastpose	plostpus3
plate	plot3
platt	plot
plattfot	plotfut
plausibel	plE3sib3l
pleie	plEi3
pleietrengende	plEi3trEN3n3
plen	plen
plikt	plikt
pliktig	plikti
pliktige	plikti3
pliktigere	pliktir3
pliktigst	pliktikst
pliktigste	pliktikst3
plomme	plum3
pludre	pl3dr3
plukke	pluk3
plump	plump
plumpe	plump3
plutselig	pl3ts3li
plutselige	pl3ts3li3
plutseligere	pl3ts3lir3
plutseligst	pl3ts3likst
plutseligste	pl3ts3likst3
plyndre	plindr3
plystre	plistr3
pløsete	ples3t3
pløye	plEy3
pneumatisk	pnEwmotisk
poeng	poEN
poengtere	po3Nter3
poet	puet
polar	pulor
polere	puler3
poliomyelitt	puliumi3lit
politi	puliti
politibil	pulitibil
politiker	pulitik3r
politikk	pulitik
politimann	pulitimon
politisk	pulitisk
pollen	poln
polsk	pulsk
pompøs	pumpes
pop	pop
poppel	pop3l
populær	pup3lEr
porselen	puS3len
porsjon	puSun
porsjonere	puSuner3
port	put
portal	putol
portier	putier
porto	putu
portrett	putrEt
portugisisk	put3gisisk
porøs	pures
pose	pus3
posere	puser3
positiv	pusitiv
poste	post3
poste restante	post3rEstont3
postkasse	postkos3
postkontor	postkuntur
postkort	postkot
postlegge	postlEi3
postnummer	postnum3r
postsparebankbok	postspor3boNkbuk
potensial	put3nsiol
potensiell	put3nsiEl
potet	putet
potte	pot3
pragmatisk	progmotisk
praktfull	proktf3l
praktisere	proktiser3
praktisk	proktisk
prange	proN3
prate	prot3
pratsom	protsom
prege	preg3
preke	prek3
prektig	prEkti
prektige	prEkti3
prektigere	prEktir3
prektigst	prEktikst
prektigste	prEktikst3
prekær	pr3kEr
prelle	prEl3
premie	premi3
premiere	pr3miEr3
preposisjon	pr3pusiSun
presang	pr3soN
presentabel	pr3soNtob3l
presentasjon	prEsoNtoSun
presentere	pr3soNter3
presentere noen for noen	prEsoNter3nu3nfonu3n
presis	prEsis
presisere	pr3siser3
presse	prEs3
presserende	prEser3n3
prest	prEst
prestere	pr3ster3
prestisjefylt	pr3stiS3filt
pretensiøs	pr3toNsies
prevensjon	prev3nSun
preventiv	prEvoNtiv
prikke	prik3
prima	primo
primitiv	primitiv
primær	primEr
prinsipiell	prinsipiEl
printe	print3
prioritere	priuriter3
prippen	prip3n
pris	pris
prise	pris3
privat	privot
privatisere	privotiser3
prn jeg	yEi
problem	prublem
problematisk	prubl3motisk
problemer med blodomløpet	prublem3rmebluumlep3
produksjon	prud3kSun
produkt	prud3kt
produktiv	prud3ktiv
produsere	prud3ser3
profesjonell	pruf3SunEl
proff	pruf
profittere	prufiter3
program	prugrom
programhefte	prugromhEft3
programmere	prugromer3
progressiv	prugr3siv
proklamere	pruklomer3
promille	prumil3
prominent	pruminEnt
promotere	prumuter3
prompe	prump3
proporsjonal	prupuSunol
proppe	prop3
prosaisk	prusoisk
prosent	prusEnt
prosesjon	prus3Sun
prosess	prusEs
prosjektere	pruSEkter3
prospektkort	pruspEktkut
prost	prust
prostituere	prustit3er3
protese	prutes3
protest	prutEst
protestantisk	prut3stontisk
protestere	prut3ster3
prove	prev3
provisorisk	pruvisurisk
provosere	pruvuser3
prute	pr3t3
pryde	prid3
pryle	pril3
prøve	prev3
pseudonym	s3vdunim ps3vdunim
psyke	psik3 sik3
psykiatrisk	sikiotrisk psikiotrisk
psykisk	psikisk sikisk
publisere	p3bliser3
pudder	p3d3r
pudre	p3dr3
pugge	p3g3
pukkel	puk3l
pulk	p3rk
puls	p3ls
pulsere	p3lser3
pult	p3lt
pulver	p3lv3r
pumpe	pump3
punkt	puNt
punktere	puNter3 puNkter3
punktert	puNtEt
punktlig	p3Ntli p3Nktli
punktlige	p3Ntli3 p3Nktli3
punktligere	p3Nktlir3 p3Ntlir3
punktligst	p3Nktlikst p3Ntlikst
punktligste	p3Nktlikst3 p3Ntlikst3
pupp	p3p
purke	p3rk3
purre	p3r3
pusle	p3SL3
pussa	p3so
pusse	p3s3
pussig	p3si
pussige	p3si3
pussigere	p3sir3
pussigst	p3sikst
pussigste	p3sikst3
puste	p3st3
putre	p3tr3
putte	p3t3
pynte	pint3
pysete	pis3t3
på	po
på bakkenivå	pobok3nivo
på baksiden	poboksid3n
på denne tiden	podEn3tid3n
på forhånd	poforhon
på hverdager	povEdog3r
på norsk	ponoSk
påberope	pob3rup3
påbud	pob3d
påby	pobi
pådra	podro
påfallende	pofol3n3
påfølgende	pofElg3n3
pågripe	pogrip3
pågå	pogo
pågående	pogo3n3
påholden	pohol3n
påkledning	pokledniN
pålegg	polEg
pålitelig	politli
pålitelige	politli3
påliteligere	politlir3
påliteligst	politlikst
påliteligste	politlikst3
påpasselig	popos3li
påpasselige	popos3li3
påpasseligere	popos3lir3
påpasseligst	popos3likst
påpasseligste	popos3likst3
påpeke	popek3
påske	posk3
påskynde	poSin3 poSind3
påstand	poston
påstigningshjelp	postigniNsyElp
påstå	posto
påståelig	posto3li
påståelige	posto3li3
påståeligere	posto3lir3
påståeligst	posto3likst
påståeligste	posto3likst3
påtatt	potot
påvirke	povirk3
påvise	povis3
pære	pEr3
