we 	w i
dilindäki	d i l i n d 3 k i
diýmek	d i w i t a
dok	d o k
dokumentleri	d o k u m e n t l e r i
dostlugy	d o s t k e
düzgünleriň	d 3 z gw~ n l e r i a
düýbünden	d 3 b " a nd~ e n
düşündirilýär	d 3 S 3 nd~ i r i l 3 r
edinen	e d i n e n
elinden	e l i n d e n
eltilen	e l t i l e n
esaslandyryjylaryň	e s a s l a n dy~ cy~ hy~  i a
eserler	e s E r l e r
etmeginde	e t a w a n i d e
eýelemäge	e e l e m 3 g e
galar	g a l a r
galasynyň	g p i S k 5 a
galdyryp	g a u l d u z cy~ p
garşylyknama	g a r S y ly~ k n a m a
gatnaw	g a t n 3
gatnawlaryny	g a t n 3
gazynyň	g a z y 5 a
gelmeginiň	g e l a w a n i n i a
gelýänleriň	g e l 3 n l e r i a
genetiki	g e n e t i k i
geologik	g e o l o g i k
gimnastika	g i m n 3 s o t i k a
girer	g i r e r
girmäge	g i r m 3 g e
goraghananyň	g o r a x a n a 5 a
goraglylygyny	g o r a g ly~ ly~ Z n
goraýan	g o r a
goşgy	g o S gy~
gurşalyp	g u r S t a ly~ p
görnüşlerinden	g a r tn~ 3 S l e r i n d e n
gözelligine	g o 8 ly~ i g i n e
hasylynyň	h a s 3 ly~ 5 a
haýryna	h a cy~ n a
hemmesiniň	h e m y a h i a
howasyny	h o w a s 3 n
häkimiýeti	h 3 u m i e t i
häsiýetlerini	h a e S i e t l e r i n i
hökümiň	h k 3 m i a
höweslendirmäge	h k e s l e n d i r m 3 g e
hüjüm	h n t a n 3 m
hünärleri	h i r i e l e r i
iberiji	i b e r i h i
ipoteka	p o t e k a
iýmiti	i m i t i
işewürligi	i S e v a l i g i
jemlenýär	j e m l e n 3 r
kalbynda	k a l b 3 n d a
kottejler	k o t b 3  l e r
köprüleri	k o p r k e l e r i
köprüleriniň	k o p r k e l e r i n i a
köpöwüşginli	k o p k 3 S g i n l i
küştçüleriň	k 3 S t k e l e r i a
lezzet	l e z z e t
logistik	l o g i S t i k
maksatnamalaryna	k s a t n 3 m o l o hy~ n a
mallar	m a l l a r
manysynda	m a 5 a nd~ a
meşgullanmagy	m e S 3 r u gy~
möhletlere	h w a L e t l e r e
möhür	h w a t a 7 i r
nepis	n e p i s
netijä	n e t i E
nyşanlarynyň	5 S a*  i 5 a
obalarda	o b a l a r d a
okuwlar	o k u w l a r
okuwçylaryň	o k u w u y o ry~ a
paýtagtymyza	p a t o x ty~ my~ i n c a
pikire	p i k i r
sazyň	s a z y a
saýlawlarda	s a l a w  d a
sebitdäki	s e b i t 8 o r i k i
senagatda	s e n a g a t d a
senagatyň	s e n a g a t a
seýilgähiň	s e i l g a t i a
strategiýanyň	s t r a t e g i a 5 a
synagyndan	s  y 3 nd~ a n
synladylar	s 3 n l a o l a r
syýahatçylygyň	s i m E h a r y ly~ Z a
tabşyryklaryň	t a b S y ry~ k l o ry~ a
tapan	t a p a n
tehnikalarynyň	t e h n i k a l a hy~ 5 a
temmisini	t e m m i s i n i
terbiýe	t E r b i E e
terbiýeläp	t E r b i E  3 p
toparlaryna	t o p a l a hy~ n a
ulanylmagynyň	u l a 5 l m o Z 5 a
uniwersitetiň	u n i w e r s i t  a
uşu	u S u
wekilhanalarynyň	w e k i l a n a l a cy~ 5 a
ygtybarlylygyny	y g Th~ b a X l u k ly~ Z n
zerurlygyny	z e r u r ly~ Z n
zähmetkeşleri	z E h t i m e t k e S l e r i
Çäräniň	r i e 3 n i a
Ýeňiş	g a i S
ätiýaçlandyrýan	3 t i a l a n dy~ r
çempionatda	3 mp~ i o n a t d a
çykaryjy	y k a r i L
çykyşlarda	y ky~ S  d a
çözülişi	o z l i S i
öndürijileri	n d 3 r e l e r i
önüme	n m 3
ösdürilýän	o s d a 3 r e l 3 n
ösdürilýändigini	o s d a 3 r e l 3 nd~ i g i n i
üýtgemegine	3 t N g E m E g i n e
ýadygärligi	a o g r i e l i g i
ýadygärligiň	a o g r i e l i g i a
ýadygärliklere	a o g r i e l i k l e r e
ýatan	a t a n
ýaşululary	o S u l u l a r
ýetginjek	e t g r o n o x e k
ýetirmeli	 r m e l i
ýokarydyr	k a d y o r
ýygyndynyň	y Z ndy$ 5 a
ýükler	3 k l e r
Şolaryň	o l 3 b ry~ n
Şweýsariýa	w e s a r i a
şaýat	S a a t
Afrika	f r i k a
Alp	l p
Aşgabatdan	S g a b a t d a n
Braziliýada	r a z i l i a d a
Dag	a g
Derňew	e r a o
Dynç	y n
Garabogaz	a r a b o g a z
Garagumuň	a r a g u m u a
Gruziýa	r u  a
Hiç	i
Iýun	u n
Konsern	o s E r n
Noýabr	o a b r
Owgan	w g a n
Resmi	e s m i
Salgydyň	a l Z o a
Seýdi	e d i
Türkmenpatentiň	3 r k m E n p a t e n t i a
Ygtyýarnama	g Th~ a X n a q a m a
Ylalaşyk	l a l a S k
adwokat	a d w o k a t
aladanyň	a l a d a 5 a
aliment	a l i m E n t
almaklary	a l m a q
alynan	t a ly~ n a n
alynmagynyň	t a ly~ n m a x y a 5 a
amallarynyň	o m o l  i 5 a
arka	m a X a
arçanyň	a r a 5 a
awlamak	a w l a m a k
azalýar	t r o l a r
aýanlyk	a a* ly~
aýdyňlyk	a o a ly~
aýlanyp	a l a 5 p
aşyrylmagyny	o S y hy~ l m y 3 n
baglaşylýan	b o g l o S u y
bagçylyk	b o g y ly~
bankynda	b a n ky~ nd~ a
baryjy	b a r i L
bazaryny	b o n d r o cy~ n
başarnyklaryny	b o S a r 5 k l o cy~ n
bellemegiň	b e l l E m E g i a
berkemegine	k E m E g i n e
beslenýär	b e s l e n 3 r
beýlekileriň	b e l e k i l e r i a
bolmazlygy	b o l 3 m a z ly~ gy~
borçlar	b o r l a r
derňewiň	d e r a e w i a
deslapdan	d e s l a p d a n
diňledi	d i a l e d i
dolmaga	d o l m o g o
duşuşmaga	d u S u S m a g a
duşuşyklarynyň	d u S u S a q  i 5 a
däplere	d 3 p l e r e
döwürleriň	d k 3 l e r i a
dükanlar	d 3  l a r
dünýewi	d i e i
düzmegiň	d 3 z a w a n i a
energetiki	e n e r g e t i k i
esaslanyp	e s a s l a 5 p
galyndylar	g a ly~ ndy$ l a r
galýandygyny	g a l a n dy~ Z n
gatnaşyjylarynyň	g a t n 3 S y hy~  i 5 a
gaýdýar	g a d a r
gelmelidigini	g e l m e l i d i g i n i
gelmezligi	g e l m e z l i g i
geňeşmeleri	g e N e S m e l e r i
goldamagyň	g o l d a m a x y a a
goramagy	g o r a m a j
gowragyny	g o w r y 3 n
gowuşdy	g o u S t a
gozgamak	g o z g a m a k
goýýarlar	g o a l a r
goşulyşmagyna	g o S u ly~ S m y 3 n a
guraljak	g u r a lx~ a k
gurallaryny	g u r a ly~ a cy~ n
gurluşykçylary	g u r l u S a q y
gurşawyny	g u r S a w 3 n
gyzyklanyp	gy~ z a q l a 5 p
göreşde	g a r e S d e
görkezijileriň	g a r k e z i j i l e r i a
görýän	g a r 3 n
göterimini	g o t E r i m i n i
gülleri	N L e r i
habarnama	h a b a X n a q a m a
harmanyna	h a r m a 5 n a
hasabyndan	h a s a by~ nd~ a n
hoşallygyny	h o S a ly~ y Z n
hyzmatyndan	h u z  T nd~ a n
hökmandyr	h k m a n dy~ r
hünärini	h i 3 r i n i
isleýji	i w t a u
içindäki	i i d 3 k i
iýulda	i u l d a
işleýärler	i S l e r i e l e r
jaýyndan	y a y nd~ a n
jemgyýetçiligi	j e m Z e t i l i g i
jemlenendir	j e m l e n e n d i r
kadalaşdyrmak	k a d a l o S o r m a k
kenaryndaky	k e n a cy~ h k
keseller	k e s  e r
kesgitli	k e s g i L i
keşbine	k e S b 3 n i 7
keşbiniň	k e S 3 t i a
koreý	k o r e
kärendä	k 3 r e n d
kätibi	k a t i b i
küştdepdi	k 3 S t d 3 p d i
lebaply	l e b a p kw~ a
meselelerinde	S e l e l e r i d e
meselesini	S e l e s i n i
meşhurdyr	m e S u r o r
mätäç	m a g o e N
möwsüme	m k s 3 m e
müdiriýetiniň	m 3 d i r i e t i n i a
nahallarynyň	n a h a l l a cy~ 5 a
nyşan	5 S
näbelli	n 3 b e l l i
obada	o b a d a
ownuk	o w n u k
paý	p a
paýyna	p a y n a
pyýada	p 3 a d a
päk	p 3 7
sahnasynda	s a n a s 3 n d a
saýtynda	s a Th~ nd~ a
seljermäni	s e l x e r m 3 n i
serişdelerden	s e r i S d e l e r d e n
seçilip	s  i l i p
seýsmiki	s e s m i k i
soňraky	s o a r a k
sylaglaryny	s i m g a b o
synlamak	s 3 n l a m a k
syýahatçylar	s i m E h a r y l a r
söýgüsi	s o N s i
tabşyrygyna	t a b S y hy~ Z n a
tapawutly	t a p a w i c kw~ a
tapmak	t a p
tapyndylar	t a p i ndy$ l a r
taýýarlanylanda	t a a l a 5 l a n d a
taýýarlanylmagy	t a a l a 5 l m o g
taýýarlykly	t a a r ly~ k kw~ a
teatrynyň	t e a t hy~ 5 a
tehnologiýasy	t e h n o l o g i a s
teplisadaky	t e p l i s a d a k
tertipnama	t E r t e p n a m a
topragymyzyň	t o p r a x y a my~ i n z y a
typmak	t 3 p
ulaglarynyň	u l a g  i 5 a
uludygyny	u l u o Z n
umumylygy	u m u m ly~ gy~
umumytoparlaýyn	u m u m 3 t o p a l a y n
ussatlygynyň	u s s a t ly~ Z 5 a
utukdan	u t u k d a n
wekiliň	w e k i l i a
yklymyň	y k ly~ my~ i n a
ylalaşmagy	y l o l o S gy~
Ýaponiýada	a p o n i a d a
öwrenilýär	k r e n i l 3 r
öwrenmekde	k r e n k d e
öňdeligi	o a d e l i g i
öňýanynda	o a a 5 nd~ a
ýaşaýjylar	o S a hy~ l a r
ýetişdirmegiň	 S dy~ s a y m 3 i a
ýokarlandyrylmagyna	k a d l a n dy~ ry~ l m y 3 n a
ýöredilýär	a r e d i l 3 r
Şertnamada	e r t n a m a d a
Şikaýat	i k a a t
şatdygyny	S a t o Z n
žurnalyň	Z u v i n a q t a ly~ a
Alnan	l n a n
Balkanabat	a l u m a b a t
Bedenterbiýe	e d e n t E r b i E e
Bereketli	e r e k e
Daşoguzda	o S o g u z d a
Düýn	3 n
Energiýa	n e r g i a
Ermenistan	s a y m 3 n i s t a n
Etrap	tr~ a p
Fransiýanyň	r a s i a 5 a
Galla	a ly~ a
Gurbansoltan	u r b i s o l t 3 n
Kazyýetde	a z y e t d e
Kompaniýa	p a n i a
Konserniň	o s E r n i a
Konstitusiýanyň	o s t i t u s i a 5 a
Mahmud	a h m u d
Mekdep	e k d 3 p
Merdana	e r d a n a
Meňli	g a l i
Oýunlar	u l i
Prezidentlige	r a  d e n t l i g e
Rysgal	y s g a l
Sergiler	e r g i l e r
Türkiýede	3 r N e d e
abadançylygyna	a b a d a y ly~ Z n a
agzybirligini	y z a* i r l i g i n i
almaly	a l m o l
alynmalydyr	t a ly~ n m a ly~ o r
anyklaýjy	5 k l o hy~
arap	a r a p
artisti	i t i s t i
arzalary	a r z a l a r
atlandyrmak	a t l a n dy~ r m a k
aýyplanýanyň	a y p a nz~ a 5 a
baglaryň	b o g  i a
barlamagyň	b a r  Z a
baýlaşdyryjy	b a l o S o cy~ hy~
baştutanlyk	b a S t u t a n ly~
belentden	b e l e n t d e n
berjek	v e l a x k
berkidilmegi	k d i l m E g i
berkitmekde	k n e n k d e
bermekde	b E k d e
betbagtçylyklaryň	b e t b a g t y ly~ k l o cy~ n
bilimlerini	b i l i m l e r i n i
binagärligiň	b i n a g r i e l i g i a
birleşdirmek	b 3 r l e S d i r w i t a
birlikleri	b 3 r l i k l e r i
birnäçesinde	b 3 r n 3 nd~ e
dabaralaryny	d a b a r 3 l 3 cy~ n
daşyna	d o S
deputatlar	d e p u t a t l a r
dilli	d i l l i
dolandyryşyň	t o r a n dy~ hy~ S y n
dolanyşygyny	t o r a 5 S y Z n
dostlary	d o s tL~ a X n a
däpleriň	d 3 p l e r i a
döremegine	d a r E m E g i n e
döwletlerine	d k l e t l e r i n e
edaralaryndaky	e d a r 3 l 3 hy~ h k
edendigini	e d e n d i g i n i
eksporty	e k s p o r ty ~
elleri	e l l e r i
eneler	e n e l e r
ençemesini	e n e S i n i
erkek	E a X k
etegindäki	e t e g i d 3 k i
etmekleri	e t k l e r i
eýerýär	e e r 3 r
fakty	f a k ty ~
forumlaryň	f o r u m l E ry~ a
galdyrylan	g a u l d u z ry~ c
galmagy	g a l m o g
galyndylaryň	g a ly~ ndy$  i a
gatnawlary	g a t n 3
gatnaşanlara	g a t n 3 S a* l a r a
gazyny	g a z
gaýtarmak	g a t a r m a k
geologiýa	g e o l o g i a
giňeltmegi	g i a e l t m E g i
goragçylarynyň	g o r a g u y o ry~ 5 n
gowuşýar	g o u S a r
goşmaga	g o S m a g a
gullukçysynyň	g u L u k y 5 a
gutlaýar	g u tL~ a X a r
gyssagly	gy~ 7 G kw~ a
gönükdirilýän	g 3 3 k d i r i l 3 n
görnüşlerde	g a r tn~ 3 S l e r d e
göze	g o z e
güller	N L e r
güýzünde	N z 3 nd~ e
halatlardan	h o l o tw~  d a n
hasylyň	h a s 3 ly~ a
häkimiň	h 3 u m i a
häsiýetnamalary	h a e S i e t n a m a l a r
işjeňligi	i S i n l i g i
işjeňlik	i S i n b u C o
işleriňizde	i S l e r i a i z d a e
jemlenen	j e m l e n e n
kanunçykaryjylyk	k a n u n k  hy~ hy~ ly~
kazylar	k a Z y l a r
kemçiligi	k e m i l i g i
kitaplaryň	k i t 3 p l a y i cy~ n
kiçijik	k i i j i k
kyrk	ky~ r
käni	k 3 n i
mata	m a t a
materiallaryň	m a t e r i a l l a hy~ a
maşklary	m o S k
medallarynyň	m e d a ly~ a hy~ 5 a
meýdana	m e d a n a
meýilnamalar	m e i l n a m a l a r
mikromaliýe	7 u m o l i e
mikroshemalaryň	7 r o s a m o l o cy~ a
myhmanlarynyň	m 3 t  i 5 a
mähir	m a g i r
müňýyllyklaryň	m 3 n y u l ly~ k l o hy~ n
nyrhlary	5 r L a r
operasiýa	o p e r a s i a
ornuň	u r n u a
otly	o t kw~ a
pajyň	p a h y a
paçsyz	p a s u z
paýynyň	p a y 5 a
pederlerimiziň	p e 8 r r xy~ E kw~ e r i m i L n
peýdalanylmagyna	p e d a l a 5 l m y 3 n a
polietilen	p o l i e t i l e n
razy	r a z
rowaç	r o w a
russiýaly	r u s s i t a ly~
salnan	s a l
sanyna	s a 5 n a
sapaklar	s a p a k l a r
sapara	s a p a r a
saparynda	s a p a hy~ nd~ a
saýlamaga	s a l a m a g a
saýlanyldy	s a l a 5 u l d u z
sekretarynyň	s e k r E t a cy~ 5 a
standart	s t a n r
suwuklandyrylan	s u w u k l a n dy~ ry~ c
sylagy	s i m g a b o
sütüni	s i i i
tabşyran	t a b S r i
tanalmaz	t a n a l m o
taýýarlygynyň	t a a r ly~ Z 5 a
ter	t e r
tertipnamasy	t E r t e p n a m a k
tutulmalydyr	t u t u l m o l y o r
tölenilmegini	h a l e n i l a w a n i n i
töleýär	h a l e 3 r
ulanylanda	u l a 5 l a n d a
ulanylypdyr	u l a 5 ly~ p o r
ulular	u l u l a r
uzalyp	u z t a ly~ p
uçarlary	u a l a r
uçastoklarynyň	u a s t o k l o cy~ 5 a
walýuta	w a l u t a
welosipedli	w e l o s i p e d l i
ykbaly	y k b a l u k
zawod	z a w o d
zähmetiniň	z E h t i m e t i n i a
Çaryýew	a r y o
Ösümlikleriň	s 3 m l i k l e r i a
Ýangyn	a N
Ýeňillikli	g a i l l i k l i
Ýurdumyzy	g o m u z
Ýüzlenme	3 z l e n m e
çagaly	a g a l u k
çagyryş	y 3 cy~ S
çapyksuwar	a py~ k s u w a r
çapyksuwarlaryň	a py~ k s u w a l a ry~ a
çeýe	e e
çeşmelerini	e S m e l e r i n i
çykarylandan	k  hy~ l a nd~ a n
ölçegi	o l e g i
ölçegleriniň	o l g l e r i n i a
öndürilişini	n d 3 r i l i S i n i
öwrenildi	k r e n i l d i
öňlerinde	o a l e r i d e
ýazgylary	l Z
ýazgyny	l Z n
ýazgysyny	l Z s
ýaýran	a r i
ýaşaýjylaryň	o S a hy~  i a
ýerleşdirilmegi	r xy~ E kw~ e S d i r i l m E g i
ýetirijileriň	e t i r i j i l e r i a
ýetirijisiniň	e t i r i j i s i n i a
ýetirilmeli	e t i r i l m e l i
ýeňijilerine	a g a i j i l e r i n e
ýokarlanmagyny	k a d a nz~ m y 3 n
ýokdugyny	o k t o Z n
ýolbaşçylar	o l b o S y l a r
ýugrulan	u g r u l a n
ýurdunda	g o n d a
ýygnalan	y g n a l a n
ýylylygy	y u l y ly~ gy~
ýüklemek	3 k l E m E k
şahadatnamasyny	S a h a d a t n a m a s 3 n
şertnamadan	S e r t n a m a d a n
Ahmad	h m a d a r
Aýazbaba	l b a b a e
Baha	a h a
Baýdak	a d a k
Baýramaly	a r o m o l
Gutlagyny	u t l y 3 n
Hasabatda	a s a b a t d a
Hasan	a s a n
Jemleýji	e m l e u
Kongresler	o N r e s l e r
Kümüş	3 m 3 S
Mukaddes	t u k a d m 3 s
Olardan	l a r d a n
Oýunlary	u l i
Sambo	a m b o
Synçylar	y n y l a r
Temmäki	e m 3 k i
Tertipnamasyna	e r t e p n a m a s 3 n a
agentliginiň	y L i g i n i a
agşam	y S a m
ammaryna	a m ry~ n a
aralykdan	a r a ly~ k d a n
arhitektura	a r i a t e k t u r a
arzuwlarymy	a L a*  i m
auditorçylyk	a u d i t o r y ly~
awtoryň	a w t o hy~ a
aýallara	a a ly~ a r a
aýdymçylar	a o m y l a r
aýyplaw	a y p l a w
aňryçäk	a n hy~ 3
aşakdakylar	o S a k d a ky~ l a r
bardygyna	b a r o Z n a
bardylar	b a r o l a r
barlyşy	b a X l u k S
barýarys	b a r a hy~
baýragynyň	b a r y 3 n 3 a
başartdy	b o S i t t a
bedewiň	b e d e w i a
bergini	b e r g i n i
berilmelidigini	b E r e l m e l i d i g i n i
berkidýär	k i d 3 r
bilime	b i l i m e
birinden	b i r i n d e n
boljakdygy	b o l n i 5 o gy~
bozulmagynda	b o z u l m o Z nd~ a
boşatmaýar	b o S a t a r
bähbidi	b E h t i b i d i
bökmek	b k w i t a
bölegiň	b u w o l e g i a
bütewi	b i  i
býujetiň	b u h e t i a
dem	d E* m
derejelerde	d e r e h e l e r d e
dessurlary	d 3 s a
dikeldilýär	d i k e l d i l 3 r
dikeltmäge	d i k e l t m 3 g e
dokalan	d o k a l a n
doldurylan	d o l d u hy~ c
döretmekden	d a r e t k d e n
döwletlerde	d k l   d e
döwrebaplaşdyrylýar	d k r e b a p l o S o cy~ l a r
düzedişler	d 3 z e d i S l e r
düzgünli	d 3 z N n l i
düýbüniň	d 3 b i i a
edilişini	e d i l i S i n i
elde	e l d e
elmydama	e l m i 8 a m a
esgerleri	e s g e r l e r i
eýelemek	e e l e m e k
eýelerine	e e l e r i n e
gala	g a l a
garaşsyzlyk	g a r a S s u z  ly~
garaşylýan	g a r a S u y
garşydaşyň	g a r S y d o S y a
gatnaşyjylarda	g a t n 3 S y hy~  d a
gatyna	g a t 3 n a
gepleşikleriniň	g E p o l e S i k l e r i n i a
gerimde	g e r i m d e
geçelgesini	g   g 3 s i n i
geçirijilik	g  i r i j i l i k
gitmäge	g i t m 3 g e
goldamaga	g o l d a m a g a
goraglylygy	g o r a g ly~ ly~ gy~
gowşurýar	g o w S u r a r
goýmagy	g o gy~
guramalara	g u r a m a l a r a
gurlanda	g u r l a n d a
gölleri	g o L e r i
görkezilip	g a r k e z i l i p
görkezilişi	g a r k e z i l i S i
göterdi	g o t E r d i
göterip	g o t E r i p
gözlemek	g o 3 z l E m E k
günlerini	g i l e r i n i
günsaýyn	N sh~ 3 y n
gürrüňsiz	N r 3 a i t e
halylarynyň	h a ly~  i 5 a
hasaplanan	h a s a p l a n a n
hasyllylygyny	h a s y L y ly~ Z n
haýyşnamaçy	h a y S
howada	h o w a d a
howasy	h o w a s
hödürlenýän	h o p d 3 l e n 3 n
ilçi	i l i
jemgyýetimizde	j e m Z  m i z d a e
jemgyýetçiligiň	j e m Z e t i l i g i a
kanunlarynda	k a n u l i  i nd~ a
kazyýetleri	k a Z y e t l e r i
kesgitleniler	k e s g i L e n i l e r
kesgitnamanyň	k e s g i t n 5 a
kän	k a n
kärhanalaryna	k a r a n a l a cy~ n a
köşgüne	k o S N n e
liganyň	l i g a 5 a
maddany	d
maliýeleşdirilmegi	m a l i e l e S d i r i l m E g i
maşgalalar	m o S g a l a l a r
maşgalalaryň	m o S g a l a l a ry~ a
medeniýetleriň	m e d e n i   a
media	m e d i a
mekdebine	k d E b 3 n i 7
metjit	m e t i t
ministrligiň	m i n i s t r l i g i a
minutda	m i n u t d a
miweleri	w e l e r i
müşderileri	m 3 S d e r e l e r i
neşiriň	n e S i r i a
nji	nj~ i
obýektiniň	o b Nw~ t i n i n
oňarmandygy	o a a r m a n dy~ gy~
pagtanyň	p a x t a 5 a
parkynyň	p i ky~ 5 a
paýnamalaryň	p a n o m o l o ry~ a
pensiýalar	p e ns~ i a l a r
pikirler	p i k i r l e r
port	p o r
pudagyndaky	p u d a x y a h k
radio	r a d i o
rektory	r e k t o r
resminamalarda	r e s m i n a m a l a r d a
resminamasynyň	r e s m i n a m a s 3 n 3 a
ruhubelent	r u h u b e l e n t
salamyny	s a l a m 3 n
sanalyp	s a n a ly~ p
saýlawlarynda	s a l a w  i nd~ a
seljermegi	s e l x e r m E g i
senäniň	s e n 3 n i a
serhediniň	s e r h e d i n i a
serişdelere	s e r i S d e l e r e
stadionlar	s t a d i o n l a r
stadionynda	s t a d i o 5 nd~ a
standartlarynyň	s t a n tL~ a X ry~ 5 n
subýekti	s u b Nw~ t i
syýasatymyzyň	s i m a s a t i m u z  y a
söhbetdeşlikde	s o t d e S  k d e
söwdasyny	s k d a s 3 n
tagamlary	t a g a m
tanyş	t a 5 S
tanyşlygy	t a 5 S ly~ gy~
tapyşy	t a p i S
tassyklandy	t a s a k l a n dy~
taýýarladylar	t a a l a o l a r
tehnologiýalara	t e h n o l o g i a l a r a
topluma	t o p l u m a
tutulanlardan	t u t u l a  d a n
tälimçiler	t 3 l i m i l e r
türkmenistanlylara	m a n t r k m E n i s t a n ly~ l a r a
ulagyň	u l a x y a a
usulyýet	u s u ly~ e t
utgaşdyrylan	u t gh~ u o S o cy~ c
utgaşýar	u t gh~ u o S a r
uçastoklary	u a s t o k
wekilleriň	w e k i l l e r i a
ygtyýarnamany	y g T a X n a q 5
yssy	y 7
zallarynyň	z a ly~ a ry~ 5 a
zolagyna	z o l y 3 n a
zolaklaryny	z o l a q
Özi	z i
Ýanwar	a n w a r
Ýyldyz	y u l d u z
çaý	a
çek	k
çempionatlarynda	3 mp~ i o n a tL~ a X cy~ nd~ a
çeşme	e S m e
çözgüdinde	o z N Z u g e
önümlere	n m 3 l e r e
önümçilikde	n m 3 i l i k d e
öwrülmegi	k r l m E g i
öýe	o e
öňdengörüjilikli	o a q i s i r a r 3 j i l i k l i
ýadygärligine	a o g r i e l i g i n e
ýazylyp	l y ly~ p
ýekşenbesinde	Nw~ S e n b e s i n d e
ýerlerden	r xy~ E kw~ e r d e n
ýerleşdirilip	r xy~ E kw~ e S d i r i l i p
ýetirilende	e t i r i l e n d e
ýolbaşçysyny	o l b o S
şekiller	S e k i l l e r
şerekete	S e r e k e t e
şäherleri	S 3 i* l e r i
şöhlelendirýär	S o L e l e n d i r 3 r
Astrahan	s t r a h a n
Britaniýadan	r i t a n i 3 s 3 r 3
Britaniýanyň	r i t a n i a 5 a
Diýarymyzda	i i i m z d a a
Durdyýew	u r o o
Erkekleriň	r k e k l e r i a
Geljekki	e l x e k k i
Germaniýadan	e r m a n i 3 s 3 r 3
Gyrgyzystandan	y r Z z y s t a nd~ a n
Hindistandan	i n d i s t a nd~ a n
Ilçihanasynyň	l i h a n a s 3 n 3 a
Indiki	n t i k i
Kärhanalar	r i e a n a l a r
Manat	a n a t
Maryda	a r y d a
Meniň	e n i a
Minsk	s k
Müşderä	3 S d i n
Patyşalygynyň	t u s S t a ly~ Z 5 a
Paýtagtymyzdaky	a t o x T my~ i n z d a a k
Rejep	j 3 p
Ruhy	a h
Söweş	k e S
Talyp	t a ly~ p
Talyplar	t a ly~ p l a r
Taryh	a r y
Taýyp	a y p
Topar	o p a r
Toý	o
Usuly	s u l u k
Watanym	a t a 5 m
Watanyň	a t a 5 a
adyl	a o
artdyryp	i t o hy~ p
aşyp	o S y p
baglaşmagyň	b o g l o S Z a
bagtyýarlygynyň	b o g T a r ly~ Z 5 n
bagyşlanylan	b a x y a S  5 c
bahadan	b a h a d a n
baýragyna	b a r y 3 n a
başladylar	b a S  o l a r
belgisine	b e l g i s i n e
berijileriň	b E r e l e r i a
berilmeli	b E r e l m e l i
beripdir	b e r i p d i r
bezeginde	b e z e g i d e
binada	b i n a d a
birleşdirilen	b 3 r l e S d i r i l e n
bitarap	b i t a r a p
bolarlar	b o l a l a r
bolmady	b o l 3 m  dy~
bouling	b o l i N
boýy	b o y
boşadylan	b o S a o c
bölünen	b u w o l i e n
dadyp	d a o p
desgada	d e s g a d a
duýgularyny	d u 3 r 3 hy~ n
dänesi	d 3 n e s i
döwletde	d k l e t d e
döwletimizi	d k l  m i z i
döwrebaplaşdyrylmagy	d k r e b a p l o S o cy~ l m o g
düzümindäki	d 3 z 3 m i n d 3 k i
esgerleriň	e s g e r l e r i a
etraplarda	a t 3 r a p  d a
gadym	g a o m
garamagynda	g a r a m a x y a nd~ a
garaýarys	g a r a a cy~
garaýyşlaryny	g a r a y S
garaýyşlarynyň	g a r a y S  i 5 a
gatnawlaryň	g a t n 3  i a
gatnawynyň	g a t n 3 w 3 n 3 a
gazdan	g a z d a n
geçireris	g  i r e r i s
geçiriljekdigini	g  i r i l x e k y a N i n i
geçirilmäge	g  i r i l m 3 g e
geçmegiň	g  a w a n i a
girdiler	g i r d i l e r
goýulman	g o u l 3 m
goşulyşmak	g o S u ly~ S
guradylar	g u r a o l a r
gurallarynyň	g u r a ly~ a cy~ 5 a
guraýar	g u r a a r
gymmatlyk	gy~ m m a t ly~
gyrgyz	gy~ r Z
güýjüne	N j 3 n e
harajatlary	h a r a q tL~ a X n a
hasaplaşyga	h a s a p l o S y g a
hatara	h a t a r a
hemrasynyň	h e m r a s 3 n 3 a
hirurgiýa	h i r u r i a
hödür	h o p d a r
hödürleýän	h o p d 3 l e 3 n
hüjüme	t a 7 i j 3 m e
hünärmeniň	h i r i e m E n i a
ilatyny	i l a t
ilkibaşdaky	a l k i b o S d a k
içi	i i
jogapkärçiliginden	j o x a p k 3 r i l i g i n d e n
kartlaryny	k a r tL~ a X n a
kilogramdan	k i l o g r a m d a n
konsertiň	q o n i k e r t i a
kosmos	k o s m o s
kuwwatlyklarynyň	k u w w a t ly~ k l o ry~ 5 a
köne	k 3 e
körpeler	k o r p e l e r
maksatlaryň	k sw~ tL~ a X cy~ a
maliýeleşdirilýär	m a l i e l e S d i r i l 3 r
mazmunyna	m a z m u 5 n a
maýyplaryň	m a y p l a n i n ry~ n
maşgalada	m o S g a l a d a
mejlislerinde	m e h l i w t a r i d e
mejlisleriniň	m e h l i w t a r i n i a
merkeze	m e r k e z e
meýilnamalaryny	m e i l n o m o l o hy~ n
meýilnamanyň	m e i l 5 a
mirasymyzyň	m i r a s 3 my~ i n z y a
miýesser	m i 3 s a e r
mugallymy	m u g a ly~ i m
nahalyny	n a h a ly~ n
nahar	n a h a r
neşirleriň	n e S i r l e r i a
nyrhlar	5 r L a r
obasy	o b a s
orunbasarlarynyň	u r u nb~ a s e r  i 5 a
paýlamak	p a l a m a k
pensiýalaryň	p e ns~ i a l a hy~ a
pidasy	p i d a s
professor	p r o f e s  r
pulda	p u l d a
sahnalaşdyrylan	s a n o l o S o hy~ c
saýlan	s a c
