di	d i
Sector	e k t o r
Sinterklaas	i n t E a X l a
Transporte	r a s p o r t e
World	u r l
bancarota	b a n k a r o t a
confia	r o n f i a
data	d a t a
encurasha	e n k u r a s a
informativo	i n f o r m a t i b o
inicial	i n i C y a l
manifestacion	n i f e s t a k i o n
masculino	s k u l i n o
mitiga	m i t i g a
naturalmente	n a t u r a l m e n t e
staciona	s t a k i o n a
temporalmente	t e m p o r a l m e n t e
unidadnan	u n i d a d n a n
Arubus	r u b u s
Biblioteca	i b l i o t e k a
Finanzas	i n a n c~ 3 s
Inglatera	N l a t e r a
Kiermen	i e s a y m 3 n
Miami	i a m i
Ni	i
Promer	r o m e r
adelanta	a d e l a nt~ a
apunta	a p u n t a
atake	a t a k e
caro	k a r o
cende	k e n d e
combersa	k o mb~ e r s a
conscientisacion	r o n S e e n t i s a k i o n
contracto	r o n tr~ a k t o
culpable	k u l p a b l e
equipo	e k i p o
eventonan	e b e n t o n a n
fayecido	f a y o j i d o
grandemente	g r a n d E m E n t e
gremio	g r e m i o
impresion	i m p r e s i o n
incluso	i n k l u s o
inversionistanan	i n e r S i o n i s t a n a n
ladronnan	l a n a n
lagando	l a g a n d o
miles	l e
pazuid	p a a f o i
promesa	p r o m 3 s a
radio	r a d i o
recomendacion	r E c o m e n d a i o n
talento	t a l e n t o
varia	v a r i a
vecindario	s k a* b i n d a r a o
voluntario	v o l u n t a r i o
Cacique	a c i k E
Caribense	a r i b e s e
Chines	h i n e
Madiki	a d i k i
One	n e
Prensa	r e s a
Uno	n o
accionnan	a k i o* n a n
alternativa	a l t E r n a t i v a
anticipa	a n t i k i p a
barconan	b a r k o n a n
bentana	b e n t a n a
bibo	b i b o
candidatonan	k a nd~ i d a t o n a n
constitucional	k o s t i t u k i o n a l
copia	k o p i a
cushina	k u s i n a
dr	d r
fuera	f u e r a
keha	k e h a
marihuana	m a r i w a n a
page	p a g e
piedra	p i e d r a
pinta	p i t a
pronostica	p r o n o s t i k a
reconocimento	r E c o n o k i m e n t o
renobacion	r e n o b a i o n
separa	s e p a r a
transferi	i t r i s f e r i
valioso	v a l i o s o
voor	v o r
Asociacion	s o k a i o n
Bombero	d o mb~ e r o
Democratico	e m o k r a t  o
Lago	a g o
Mansur	s u r
agradecido	a b o ch~ b i d o
awacero	a w a S a sk~ a
banconan	b a n k o n a n
cachonan	k a C o n a n
creatividad	k r e a t i v i d a d
cuchiu	k u C i w
fantasia	f a nt~ a s i a
financia	f i n a n C i w a
mascara	s k a r a
mente	m e n t e
moral	m o r a l
obra	o b r a
positivity	p o s i t i b i t
prijsnan	p r i j s n a n
prima	p l i m a
regimen	r e g i m e n
restaurantnan	r e s t a u r a nt~ n a n
sangura	s a N g u r a
shelter	S e l t e r
sikiera	s i k i r e r a
simpel	s i m p e l
sindical	s i n d i k a l
spaar	s p a r
specificamente	s p e k  k a m e n t e
sucedido	s u s e d i d o
television	t e l e i s i o n
Ami	m i
Guaidó	u a i d o
Ministernan	i n i S t E r n a n
Renaissance	e n a i s s a*  e
anda	a n d a
bari	b a r i
caracter	k a r a k t e r
complica	k o m p l i k a
corant	k o r a nt~
cronico	k r o n i k o
escoge	e s k o g e
ideanan	d e a n a n
indicando	i n d i k a n d o
instituto	s t i t u t o
lanza	l a n c a
piscadornan	p i s k i s  o r n a n
programanan	p r o g r a m a n a
raport	r a p o r
resalta	r e s a l t a s a
seriedad	s e r i e d a d
speranza	s p e r a n c a
temporal	t e m p o r a l
topiconan	t o p i k o n a n
Bushiri	u s i r i
Cosecha	o s E r C a
Festival	e s t i w a l
Figaroa	i N a r o a
Hooiberg	o i b a rx~
Italia	t a l i a
Kruis	r u i s
Kustwacht	u s t w o t
Lejuez	j u e z
Manager	a n a g a r
Medico	e d i k o
Nelson	e l o*
Nissan	i s s a n
Real	e a l
Rusia	u s i a
Sea	e a
Task	a s k
agentenan	a g 3 n t e n a n
anteriormente	a n t E r i o s a y m 3 n t e
autonomo	a u t o n o m o
barionan	b a r i o n a n
comentario	k o m e n t a r i o
educativo	e d u k a t i b o
fruta	f k a 7 a n
glas	g l a
gobiernonan	g o b i E a n o n a n
goza	g o y a 7
hereda	h e r e d a
hulandes	h u l a n d e
limitacion	l i m i t a i o n
localnan	l o k a l
mitar	m i t a r
persigui	p e r s i g u i
suministra	s u m i n i s t r a
Amsterdam	m s t E r d a m
Keda	e d a
Personanan	e r s o n a n a n
Reclassering	e k l a s e r i N
Restaurant	e s t a u r a nt~
Santo	a n t o
Tene	e n e
Tweede	w e n d e
adecua	a d e kw~ a
anja	a n j a
atrae	a t r a e
boter	b o t e r i s
botica	b o t i k a
cama	k a m a
contribuyentenan	r o n b u y e n t e n a n
dump	d u m p a
eficiente	e f i C y e n t e
financieramente	f i n a n C y e r a m e n t e
fundeshi	f u n d e s i
mask	s k
necesidadnan	d e* k a* b e s i d a d n a n
pare	p a r e
piloto	p i l o t o
problematica	p l o b l a e m a t i k a
recurso	r E C u r s o
representacion	r e p r e s e n t a  i o n
resolve	r e s o l v e
sacrificio	s a q  i o
secundario	s e k u n d a r a o
sugeri	s u g e r i
tini	t i n i
yabi	y a b i
Avenida	f e n i d a
Boneiru	n e r u
Diferente	f e r e n t e
Euro	u r o
Investigacion	n v e s t i g a i o n
Vanessa	a n 3 s a
acompaña	a k o mp~ a 5 a
acorda	a k o r d a
bez	b e z
bruto	b r u t o
capital	k a p i t a l
cauteloso	k a u t e l o s o
cometi	k o m e t i
continuo	r o n t i n u o
crusero	k r u s e r o
cumbre	k u mb~ r e
delibera	d e l i b e r a
diploma	d i p l o m a
drasticamente	d r E s t i k a m e n t e
exacto	" a k t o
hues	h u i e
link	l i n
musico	s i k o
otorgamento	k o t o r g a m e n t o
paketenan	p a k e t e n a n
pesar	p e S a r
petrolero	p e t r o l e r o
posiblemente	p o s i b l E m E n t e
redaccion	r e d a k i o n
reformanan	r e f o r m a n a
registro	r e g i s t r o
riesgonan	e s g o n a n
rij	r i
sincero	s i n S a sk~ a
solidaridad	s o l i d a r i d a d
sorprendi	s o r p r e n d i
tiramento	t i r a m e n t o
Lions	i o* s
Master	a s t e r e n
aglomera	a g l o m E r a
ancra	5 u k a r a
bus	b u s
casino	k a s i n o
cientifico	C y e n t i f i k o
destaho	d e s t a h o
estableci	e s t a b l E c i
factornan	f a k t o r n a n
gaña	g a 5 a
lus	l u s
mercadonan	m e r k a d o n a n
mortal	m o r t a l
naci	n a k i
plamamento	p l a y i mw~ a mw~ e n t o
potretnan	p o t r e t n a n
solidario	s o l i d a r i o
sorteo	s o r o
structural	s t r u k t u r a l
Akinan	ly~ o
Ambulans	b u l a
Frank	r a n
Pabien	a b i e n
Presupuesto	r e s u p u e s t o
Ultimo	l t i m o
accident	a k i b a 5 a
agresivo	y r e s i b o
bandera	b a n d e r a
bendi	b e n d i
beneficionan	b e n e f i n i o n a n
cash	k 3 s o
concentra	r o n C i e n t r a
contexto	r o n t " t o
desmenti	d e s m e n t i
domestico	b e s t  o
echo	e T h o
expone	" p o n e
fiha	f i h a
instrumento	s t r u m e n t o
likides	l i k i d e
pidiendo	p i d i e n d o
potencial	p o t e n C i w a l
schedule	S E d u l e
todo	t o d o s
Atraco	tr~ a k o
Boso	o s o
City	i t
Companianan	p a n i a n a n
Dellanire	e y a n i r
Food	o d
Force	u r k e
Hubenil	u b e n i l
Importante	p o r t a n t e
Primario	l i m a r i o
Vista	i s t a
bisto	b i s t o
caduca	k a d u k a
canto	k a nt~ o
comporta	k o m p o r t e
ehecutivo	e h e k u t i b o
enfrente	e n f r e n t e
fungi	f u N i
instante	s t a n t e
intermedia	i n t E r m e d i a
inversionnan	i n e r S i o n n a n
mannan	n n a n
oktober	o k t o b e r e
pagando	p a x a n d o
partnernan	p e r t n e r n a n
preocupacionnan	p r e o k u p a i o* n a n
rason	r a s o*
reanuda	r e a n u n d~ a
remedinan	r E m E w
temperatura	t e N p e r a t u r a
tradicional	i t r i w C i w r o n a l
vacacion	v a k a i o n
Guera	u e r a
Plenipotenciario	l E n i p o t e n C i w a r i o
Señor	e 5 o r
Solamente	o l a m e n t e
Tres	r e
acuerdonan	a 7 kw~ e r d o n a n
beneficia	b e n e f i n i a
berguensa	b e r g e s a
bicicleta	b i C i w C i l e t a
boga	b o N a
canal	k a n a l
clima	k l i m a
delito	d e l i t o
dialoga	d i a l o g a
disponible	d i s p o n i b l e
eligi	e l i g i
gobernante	g o b E a n a n t e
hustifica	h u s t i f i k a
inspira	s p i r a
labor	l a b e r
palabracion	p a l a b r a i o n
relacionnan	r e l a i o* n a n
sernan	s E r n a n
traspasa	t r a s p a s a
Finansa	i n a s a
Informacion	n h i o n
Kibrahacha	i b r a h a C a
Linda	i n d a
Of	f
Shelter	h e l t e r
Toyota	o y o t a
adaptacion	a d a p t a i o n
agricultura	y i cy~ u l t u r a
birando	b 3 r a n d o
borchi	b o r C i
calor	k a l o r
capaz	k a p a z
diseña	d i s y u* k a* a
forensico	f o r e ns~ i k o
ganashi	g a n a S i
golpi	g o l p i
imposibel	i m p o s i b e l
inmediato	i n d dy~ a t o
kedando	k e d a n d o
kehonan	k e h o n a n
labora	l a b o r a
leve	l e v e
likidez	l i k i d e z
liña	l i 5 a
mando	m a n d o
operacional	o p e r a c i o n a l
plasma	p l a s m a
portal	p o r t a l
pro	p r o
responsable	r e s p o i r a r u w l e
security	s e k u r i t u s
vocifera	v o k i f e r a
American	m e r i k a n
Berdad	e r d a d
Biden	d e n
Green	r e n
Lider	d e r
Marriott	a r o t t e
Patruya	a t r u y a
Renny	e 5
Rooi	o i
Vocero	o k
Voz	z
acumula	a 7 kw~ N u l g u r
ambtenaar	a m b t e n a r
biblioteca	b i b l i o t e k a
capitan	k a p i t a n
clase	k l a s e
confirmacion	r o n f i r m a c i o n
cualifica	k u a l i f i k a
debito	d e b i t o
despedi	d e 8 p e n e d i
dicta	d i k t a
directora	d i r E C t o r a
era	e r a
fortifica	f o r   k a
getest	g e t e s
is	i s
nanishi	n a n i S i
notificacion	n a   k a i o n
operacionnan	o p e r a i o* n a n
pertenece	p e r t e n e k e
ppt	p p
salvaguardia	s a l v a g u a r d i a
scan	s k a n
spanta	s p a n t a
takelwagen	t a k e l w a g 3 n
taxi	t a x i
tormenta	t o r m e nt~ a
vigilancia	v i g i l a n k o i a
Carnival	a r n i v a l
Cifranan	f r a n a n
CoronaVirus	o r o n a i r u s
Democrata	e m o k r a t a
John	o h E 5
Laga	a g a
Ling	i N
Toch	T h
Wit	i t
acelera	a C E l E r a
adecuado	a d e kw~ a d o
adelante	a d e l a n t e
aniversario	a n i v e r s a r i o
aplicabel	a p l i k a b e l
aserca	a s E r k a
aya	a y a
bebida	b e b i d a
bisiñanan	b i s i 5 a
certificado	C E r   a y
compila	k o m p i l a
desvia	d e s v i a
eleva	e l e v a
funcionamento	f u n C i w o n a m e n t o
generacionnan	g e n e r a i o* n a n
global	g l o b a l
inespera	i n e 8 p e n e r a
intercepta	i n t e r e p t a
internacionalmente	i n t E r n a g a o n a l m e n t e
localidadnan	l o k a l i d a d n a n
memey	m e m
monitorea	m o n i t o r e a
naturaleza	n a t u r a l E z E
obtenibel	o b b e l
ordena	u r d e n a
ponencia	p o n i n C i w a
rapidamente	r a  l o p i N t e
sla	s l a
stap	s t a p
supermarket	s u p e r m a r k e t
teni	t e n i
tension	t e s i o n
toyota	t o y o t a
Civil	i v i l
Clientenan	l i e n t e n a n
Helicopter	e l i k o p t e r
Hunta	u n t a
Mexico	e n  o
Misa	i s a
Organisacion	r g a n i s a k i o n
Ras	a s
asalto	a s a l t o
blauw	b l a u n a
cai	k a i
ehercicio	e h e r C i w C i w r o
keintura	k e i t u r a
liderazgo	l i d e r a z g o
ma	m a
militar	m i l i t a r
minimalisa	m i n i m a l i s a
papelnan	p a  l n a n
pober	p o b e r e
purbando	p u r b a n d o
recomendacionnan	r E c o m e n d a i o* n a n
siguiendo	s i g i e n d o
taxista	t a x i s t a
tayer	t o w u r
terminal	t E r m i n a l
vence	f e n C i e
Albertus	l k t u s
Estadistica	s t a d i s t i k a
Happiness	a p p i n e s
Informantenan	n h t e n a n
Ingles	N l e
Jan	a n
Mama	a m a
Proteccion	r o t e k i o n
Siglo	i L o
Supermarket	u p e r m a r k e t
Total	o t a l
Unda	n d a
Wardakosta	a r d a k o s t a
alivia	a l i v i a
amiga	a m i g a
bise	b i s e
cansa	k i s a
captura	k a p t u r a
carni	k a g i n i
cayente	k a y e n t e
chauffeurnan	C a u f e u r n a n
consehero	k o s e h e r o
der	d e r
dinamico	d i n a m i  o
encargo	e n k a r g o
escenario	e s k e n a r i o
famoso	f a m o s o
fenomeno	f e n o m E n o
fiho	f i h o
finanzas	f i n a n c~ 3 s
fout	f o u t
fresco	f r e s k o
futbol	f u t b o l
geel	g e
griep	g r i 3 p
hit	h i t
inspeccion	s p E kh~ a m e* i o n
luganan	g a n a n
matanan	m a t a n a n
musiconan	s i k o n a n
poniendo	p o n i e n d o
pronostico	p r o n o s t  o
proposito	p r o p o s i t o
reconstrui	r E c o s t r u i
regularmente	r e g u l a s a y m 3 n t e
sperando	s p e r a n d o
status	s t a t u s
suerte	s u e r t e
supera	s u p e r a
terminacion	t E r m i n a g a o n
tire	t i r
yora	y o r a
Balashi	p i S
Care	a r e
Flip	l i p
Ki	i
Maneho	a n e h o
Mayornan	a y o r n a n
Naturalmente	a t u r a l m e n t e
Obispo	b i s p o
Rasmijn	a s m i j n
Sindicatonan	i n d i k a t o n a n
Taxi	a x i
Willemstad	i l l e m s t a d
adultonan	a d u l t o n a n
airco	a i r k o
berdura	b E r d u r a
birada	b 3 r a d a
corectamente	k o r e k t a m e n t e
coy	k o y
dicon	d i k o n
entiero	e n t i e r o
exporta	" p o r t e
festival	f e S t i w a l
gas	x a s
gosa	g o s a
incidente	m a i d e n t e
jong	j o N
labamento	l a b a m e n t o
mericano	m e r i C i t a
nort	n o r
orguyo	u r g u y o
pleno	p l E n o
publicidad	p u b l i k i d a d
pulmon	p u l m o n
rementa	r E m E n t a
specialisa	s p e k i a l i s a
stricto	s t r i C t o
tratado	tr~ a t a d o
verifica	e r  k a
Dama	a m a
Douane	o o d u
Expertonan	S p e r t o n a n
Inspector	s p E kh~ a m e* t o r
Isla	s l a
Masha	a s a
Quota	u o t a
administrativo	a d m i n i s t r a t i b o
alavez	a l a v e z
aprecio	a p r E c i n o
atractivo	a t r a k t i b o
bala	b a l a
cercania	C E r k a n i a
cobransa	k o b r i s a
compromete	k o m p r o m e t e
contratista	r o n tr~ a t i s t a
duracion	d u r a i o n
empeora	3 mp~ e o r a
escrito	e s k r i t o
firme	f E i r m e
gradualmente	g r a d u a l m e n t e
identidad	d e n t i d a d
ministerial	m i n i S t E r i a l
mobilisa	m o b i l i s a
obtene	o b t e n e
operador	o p e r a d o r
patruyando	p a t r u y a n d o
posibilidadnan	p o s i b i l i d a d n a n
principionan	p r i n k i p i o n a n
promocion	p r o m o k i o n
regional	r e g i o n a l
relevante	r e l e v a n t e
repasa	r e p a s a
restriccion	r a i cy~ i o n
Barcadera	a r k a d e r a
Bestuurskantoor	e s t u r s k a n t o o r
Bomberonan	d o mb~ e r o n a n
Fondo	o n d o
Instituto	s t i t u t o
Jossy	o s
Marina	a r i n a
Obispado	b i s p a d o
Place	l a k e
Proyecto	r o y o j t o
Registro	g i s t r o
Smith	m i
Via	i a
Vicente	C " e l e n t e
average	E b e r a g e
barata	b a r a t a
concierto	r o n C y e r t o
conflicto	r o n f l i k t o
conosi	r o n o s i
contrato	r o n tr~ a t o
creacion	k r e a i o n
credito	k r e d i t o
culmina	k u l m i n a
curazon	k u r a z u n
fundamental	f u nd~ a m e n t a l
inconveniencia	i n k o n e 5 i a
interino	i n t E r i n o
limpiesa	l i m p i e s a
moneda	m o n e d a
publicamente	p u b l i k a m e n t e
puesto	p u e s t o
sumanan	s u m a n a
trayectoria	tr~ a y o j t o r i a
Ariba	b a
Bario	a ry~ o
Carlos	a r l o s
Casonan	a s o n a n
Claro	l a r o
Edgard	d a r d
Freewinds	h r e % d
Futuro	u t u r o
Gele	e l e
Industria	d u s t r e
Jacobs	a k o b
Kizas	i r o s
Meta	e t a
Rancho	5 u k u n C o
Wayaca	a y a k a
abase	a b a s e
accidenta	a k i d e nt~ a
animal	a n i m a l
asesinato	a s e s i n a t o
basicamente	b a s i k a m e n t e
botonan	b o t o n a n
creando	k r e a n d o
delicado	d e l i C i
deportivo	d e p o r t i b o
desconfiansa	d e s k o n f i a s a
docternan	d o k t E r n a n
estrecho	e s t r e T h o
fluho	f l u h o
garganta	g a r g a nt~ a
hipoteca	h i p o t e k a
hotelero	h o t e l e r o
kia	k i a
monumento	m o n u m e n t o
paramedico	p a r a m e d i k o
parkinglot	p i i N l o t
periodista	p e r i o d i s t a
posponi	p o s p o n i
proceduranan	p r o k e d u r a n a n
proyeccion	p r o y o j i o n
rescata	r e s k a t a
robez	r o b e z
shinishi	S i n i S i
sink	s i n
top	t o p
vergunning	v e r g u n n i N
vital	v i t a l
workshop	e* C o p
zuid	a f o i
Anto	nt~ o
Control	o t r o l
Daphne	a p n e
Drive	r i v E
Hefe	i f e
Himno	i m
Jurette	u r e t
Pau	a u
Paul	a u l
Pontilius	n t i l i u s
Spaña	p a 5 a
acentua	a k 3 n t u a
alarmante	a l a r m a n t e
animo	a n i m o
antemano	a n c i
artistanan	i t i s t a n a n
buraco	b u r a k o
cercano	C E r k a
colabora	k o l 3 b u a o r a
combinacion	k o mb~ i n a g a o n
considerando	k o s i d e r a n d o
consistiendo	k o ns~ i s t i 3 n d o
debate	d e b a t e
deposita	d e p o s i t a
druk	d r u k
finansas	f i n a sh~ 3 s
herment	h e r m E n t
hombernan	h o b E a n a n
jega	h e g a
memoria	m e m o r i a
mentira	m e n t i r a
museo	s a i o
ocho	T h o
oficinanan	o f i k i n a n a n
paralisa	p a r a l i s a
parke	p e r k e
pension	p e ns~ i o n
prescribi	p r e s k r i b i
profesion	p r o f i S i o n
projecto	p t o n o x e k t o
pruebanan	p r u e b a n a n
rechasa	r e C a s a
reina	r e i n a
resorta	r e s o r t e
stabilidad	s t a b i l i d a d
temblor	t e mb~ l o r
Alex	l E 7
Boluntario	o l u n t a r i o
Bon	o n
Corridor	u r i d o r
Decreto	e T r e t o
Fuera	u e r a
Groningen	r o n i N 3 n
Helder	e l d e r
Informacionnan	n h i o* n a n
Mega	e g a
National	a t i o n a l
Puerto	u e r t o
adiccion	a d i k i o n
aereo	a e r a o
atracadornan	a t r a k a d o r n a n
aumentando	a u m e n t a n d o
centronan	C E n t r o n a n
cero	C E r u
ciclista	C i w C i l i s t a
clubnan	k l u b n a n
contagionan	r o n t a h i r i o n a n
coregi	k o r e g i
cuentanan	kw~ e n t a n a n
detayenan	d e t a y e n a n
diseño	d i s y u* k a* o
disparce	d i s p a r k e
distrito	d i u z i t o
een	e n
frontal	f r o n t a l
instalacion	s t a l a i o n
matutino	m a t u t i n o
mediante	m e d i a t e
mensahenan	m e sh~ 3 a n a n
mensual	m E n s u a l
mln	l
nesesario	n e s e s a r i o
palabracionnan	p a l a b r a i o* n a n
pedofil	p E d o f i l
pic	p i k
preparacionnan	p r e p a r a i o* n a n
ramo	r a m o
relativamente	r e l a t i v a m e n t e
sanitario	s a n i t a r i o
sexo	s e g o
strea	s t r e a
terenonan	t e r e n o n a n
trese	t r e s e
trucknan	t o u k k n a n
votacion	v o t a i o n
yudando	y u d a n d o
Ady	d
Air	i r
Beatrix	e a t r i S
Bida	i d a
Bucuti	u k u t i
Cuminda	m i n d a
Danies	a n i e
Digicel	i g i k
Distanciamento	i s t a n C i w a m e n t o
Entertainment	t E r t a i N m E n t
Francisco	r a n C i s k i s  o
Hesus	e s u s
Musica	u s i k a
Nobo	o b o
Tampoco	a m p o k o
Teritorial	r i t o r i a l
Trahadornan	r a h a d o r n a n
Village	i l l a g e
Waf	a f
Whatsapp	h a c a p p
actualisacion	a k t u a l i s a k i o n
art	a r
bahada	b a h a d a
baki	b a k i
beachnan	b a C n a n
brasa	b r a s a
buelo	b u e l o
cabesante	k a b e s a n t e
cobertura	k o b e r t u r a
conserva	r o n e r v a
descarta	d e s k i t a
determinacion	d e t e r m i n a g a o n
diaranzon	d i a r a n z o n
enfrentando	e n f r e n t a n d o
estadonan	e s t a d o n a n
extenso	e S s o
fuentenan	f u e n t e n a n
innovativo	i n n o w a t i b o
institutonan	s t i t u t o n a n
investigashon	i n v e s t i g a s o n
mashin	S i n
negosacion	n e g o s a k i o n
oracion	o r a i o n
organonan	u r g a n o n a n
piscado	p i s k i s
pushi	p u s i
respiratorio	r e s p i r a t o r i o
sospecho	s o s p e T h o
supuesto	s u p u e s t o
tanda	t a n d a
tradicion	i t r i w C i w r o n
traficacion	tr~ a f i k a i o n
yaris	y a r i s
Accidente	kh~  i d e n t e
Bandera	a n d e r a
Botica	o t i k a
Casi	a s i
Emergencia	m e r g e n C i w a
Henriquez	e n r i k a
Ken	e n
March	a r
Ministerial	i n i S t E r i a l
Post	o s
Reclasering	e k l a s e r i N
Rica	i k a
Romano	a m i a s a
Saba	a b a
Sostenibel	o s t e d i b o
Tabatin	a b a t i n
atravez	a t r a v e z
bendemento	b e n d E m E n t o
boletin	b o l e t i n
cumplimento	k u m p l i m e n t o
depresion	d e p r e s i o n
desastroso	d e s a s t r o s o
disponibilidad	d i s p o n i b i l i d a d
experticio	" p e r w C i w r o
fianza	f i a n c a
formanan	f o r m a n a
fundacionnan	f u nd~ a i o* n a n
gratitud	g r a t i t u d
habilidad	h a b i l i d a d
honda	h o n d a
ideal	d e a l
instrui	s t r u i
intercambio	i n t E r k a m b i o
intimo	i n t i m o
jama	y a m a
mercadeo	m e r k a d e o
mitad	m i t a d
motociclista	t o  C i w C i l i s t a
nacemento	n a C E m E n t o
obvio	o b i o
pier	p i e r
placer	p l a y i 5 i r a t
provee	p r o p e m u e
resta	r e s t a
rico	r i k o
salarionan	s a l a r i o n a n
saldo	s a l d o
sosega	s o s e N a
suavisa	t a i s a
suela	s u e l a
tolera	t o l e r a
train	tr~ a i n
tranca	tr~ a C a
transaccion	i t r i s a k i o n
trato	tr~ a t o
vulnerable	v u l n e r a b l e
yerba	y e r b a
zink	5
Academy	k a d e m
Hyundai	y u n d a i
Net	e t
Nunca	u n k a
Organization	r g a n i z a t i o n 3
Parce	a r k e
administracion	a d m i n i s t r a i o n
agencia	y i n C i w a
asociacion	a s o* k a i o n
avanza	m a v a n c a
balornan	b a l o r n a n
bebi	b e b i
berdadero	b E r d a d e r o
competi	k o m p e t i
cunukero	k u n u k e r o
cuponan	k u p o n a n
deliberacion	d e l i b e r a i o n
detenidonan	d e t e n i d o n a n
districto	d i s t r i C t o
download	d o w n l o a d
enemigo	i n i m i g o
especial	e s p E kh~ a m e* i a l
habon	h a b o n
hogarnan	h o g a r n a n
incorecto	i n k o r e k t o
ingreso	i N X i e s o
inhusto	L u s t o
magnitud	m a h n i t u d
materialnan	m a t e r i a l
matrimonio	m a t r i m o* i o
original	u r i g i n a l
paspoort	p a s p o r
poderoso	p o d e r o s o
precedente	p r E C E d e n t e
provoca	p r o v o k a
realistico	r e a l i s t  o
satisfaccion	s a t i s f a k i o n
screen	s k r e n
sucu	s u k u
videonan	v i d e o n a n
Blok	l o k
Blvd	l i N d
Business	u s i n e s
Gran	r a
Hato	a t o
Shaba	h a b a
Sigui	i k i h
Triple	r i p l e
alimentacion	a l i m e n t a  i o n
atraves	a t r a v e
boluntarionan	b o l u n t a r i o n a n
castigonan	k a s t i g o n a n
cellular	C E L u l a r
chevrolet	C e b r o l e t
compleho	k o m p l e h o
conference	r o n f m i n C i e
documentacion	d o k u m e n t a  i o n
dokternan	d o k t E r n a n
ekipa	e k i p a
electronicamente	e l e k t r o n i k a m e n t e
estudionan	e s t u d i o n a n
evaluando	p i r a l u a n d o
flexibilisa	f l " i b i l i s a
funcionario	f u n C i w o n a r i o
intercambia	i n t E r k a m b i a
localmente	l o k a l m e n t e
machine	m a C i n e
manager	m a n a g a r
manipula	n i p u l a
mentalidad	m e n t a l i d a d
necesariamente	d e* k a* b e s a r i a m e n t e
notario	n o t t a r i o
numbernan	n u mb~ v e l a n a n
plantacion	p l a y i nt~ a i o n
propaganda	p r o p a g a n d a
red	r e d
regreso	r e g r e s o
rescate	r e s k a t e
run	r u n
transferencia	i t r i s f m i n C i w a
voz	v o
Aduana	d u a n a
Garage	a r a g e
Humano	u m a n o
Mary	a r
Paisnan	a i s n a n
Refineria	e f i n e r i a
Ruiz	k i z
Service	e r v i k e
Taekwondo	a a k w o n d o
Trinidad	r i n i d a d
Tropical	r o p i k a l
University	n i v e r s i t
Washington	a S i N r t o n
academico	a c a d 7 e m i  o
ameno	a m e n o
animalnan	a n i m a l
aventura	E b e n t u r a
baila	b a i l a
bordo	b o r d o
coleccion	k o l e k i o n
cunukeronan	k u n u k e r o n a n
dentista	d e n t i s t a
diversificacion	d i e r   k a i o n
encamina	e n k a m 3 n a
fatal	f a t a l
fauna	f a u n a
gemeente	g e m e n t e
grabacion	g r a b a i o n
hubenil	h u b e n i l
instruccionnan	s t r u C a i o* n a n
kiermeen	k i e r m e n
mientrastanto	m i e n t r a s t a n t o
optimal	a t i m a l
parcialmente	p i r i a l m e n t e
pensionadonan	p e ns~ i o n a d o n a n
peor	p e o r
plastic	p l a y i s t
psicologo	p s i k o l o g o
recesion	r E c o n
restaura	r e s t a u r a
retraso	r E t r a s o
seriamente	s e r e a m e n t e
shock	S o k
significante	s i g  k a n t e
smartphone	s m i t f o n e
sufriendo	s u f r i e n d o
telefoon	t e l e f o n
uniform	u n i h m
uzando	u z a n d o
Aparentemente	p a r e n t E m E n t e
Auto	u t o
Autoridad	u t o r i d a d
Derecho	e r e T h o
Fase	a s e
Halto	a l t o
Hendenan	E d i n a n
Joe	o e
Michael	i C a
Onderwijs	d i n w i j
Peru	e r u
Rico	i S
Roadservice	o a d s g a r 3 v i j e
Roberto	o b e r t o
Shady	h a t a
Taskforce	a s k h r e
Teniendo	e n d o
apropia	a p r o p i a
azeta	a z e t a
boluntad	b o l u n t a d
brindando	b r i d a n d o
buska	s k a
camera	k a m E r a
cannabis	k a* n a b i s
cargamento	k a r g a m e n t o
circumstancianan	l r u m s t a n C i w a n a n
communidad	k o m u n i d a d
conocimento	r o n o k i m e n t o
conscientisa	r o n S e e n t i s a
contagioso	r o n t a h i r i o s o
continuacion	r o n t i n u a i o n
convence	r o n e nC~ e
creciente	k r E C y e n t e
desempleo	d e s 3 mp~ l e o
desicion	d e s i i o n
dignidad	d i g i E 5 i d a d
discriminacion	d i s k l i m i n a g a o n
doloroso	d o l o r o s o
drentando	d r e n t a n d o
