ve 	v e
kooperatifi	k o p e r a t i f i
kopardı	k o p a r d 3
kopyalamak	k o p y a l a m a k
kopyasının	k o p y a s u n  n
korkmaya	k o r m a y a
korumacı	k o r u m a k k
kovanı	k o w n
kovmak	k o p
kovulmuştur	k o v u l m u S t u r
koyulması	q u y u l m o s k
kozmonot	7 o y m o* t
kraldan	k r a l d a n
kralıdır	k r o l u d 3 r
kravat	k r a v a t
kuarkın	k u a r k 3 n
kulaklar	k u l a q
kulede	k u l e d e
kulelerin	k u l e l e r i n
kullanmalarını	k u l l a n m a r  u n
kullanıldıkları	k u l u a nz~ u l d u k  k
kulübesi	k u l u 3 b e s i
kumandası	k u m a n s k
kumları	k u m  k
kurtadam	k u r t a d a m
kurtulabildi	k u r t u l a b i l d i
kutularda	k u t u l a r d a
kutuplara	k u t u p l a r a
kuvvetidir	k u b b e t i d i r
kuyular	k u y u l a r
kâğıdı	k o X u d 3
kökeninde	k o t o nd~ e nd~ e
kökenlerini	k k l e r i n i
kökenliler	k k l i l e r
köklere	k k l e r e
kölemen	k o l E m E n
köylüyü	k o u y 3 m v 3
köşedeki	k o S e d e k i
kültüne	k 3 l t i e
kültürlerinde	k 3 l t 3 l e r i d e
küreyi	k 3 r e y i
kürsüsünde	k 3 s 3 s 3 nd~ e
kütleyi	g u t l e y i
kütüphanelerde	k 3 t 3 ph~ a n e l e r d e
kütüphanelerin	k 3 t 3 ph~ a n e l e r i n
küçültme	k 3 l t m e
küçüğüdür	k 3 3 X 3 d a r
kılmaya	k u l m a y a
kırılmasına	k u r u l s u n a
kısaltmasıyla	k u s a l t a s s u y l a
kısaltılmıştır	k u s a l t a s u l m u S t u r
kısımında	k u s u m u nd~ a
kıtadan	k u a d a n
kıvılcımlar	k u v u l k u m l a r
kıyısını	k u y u s u n
kızkardeşinin	k u s  k a r d e S i n i n
kışa	k u S a
labirent	l a b i r e n t
ladin	l a d i n
lagün	l a g u n
lahitler	l a h i L e r
lansman	l a s m a n
leylak	l e y l a k
lezyon	l e z o n
liderdir	l i d e r d i r
liderlerden	l i d i n l e r d e n
lifin	l i f i n
ligine	l i g i n e
live	l i v E
lord	l o r d
lütuf	l i f n a
maaşlar	m a S
mahallelerin	m a h a l l e l e r i n
mahkemesine	m a k e S i n e
makaleden	m a k a l e d e n
makamından	m a k a m u nd~ a n
makinesiyle	k i n e s i y l e
malını	m o l u n
mamul	m a m u l
manastırların	m a n a s t u r  3 n
manastırına	m a n a s t u r u n a
manyetit	m a 5 e t i
masalar	m a s a l a r
matrisler	m a tw~ a n w r a r
meblağ	m e b l o X
mekanizmaya	m e k a n i z m a y a
mekaniğine	m e k a n i X i n e
memelileri	m e m e l i l e r i
memleketinde	m e m l e k e t i n d e
menfaat	m E n f a t
merakını	m e r a k u n
merceğin	m e r u X i n
merdivene	m e r dy~ f e n e
mesaja	m e s a h a
mevzilerinin	m e b  l e r i n i n
mevzuatı	m e b z u a t k
mezarlarda	m e z a l a r d a
mezarında	m e z a r u nd~ a
mezhepsel	m e Z u L a e l
meşruiyetini	m e S e t i n i
mikroorganizma	7 o r g a n i z m a
miktarlar	7 t a l a r
miladi	l a d i
milletvekilliğinden	m i l l e t b e k i l l i X i n d e n
minerali	m i n e r a l i
mirasa	m i r a s a
mizahı	m i 3 a h k
mobilyaları	m o b i r a l a r k
modeldi	m o d e l d i
modunu	m o d u n u
morfolojisi	m o r f o l o h i s i
motiflerini	m o t i f l e r i n i
motiflerle	m o t i f l e r l e
mozaikler	m o z a i k l e r
muhabbet	m u h a b b e t
muhalefetini	m u h a l e f e t i n i
muhaliflere	m u h a l i f l e r e
muhasebeci	m u h a c e b e k i
mukoza	m u k o y a 7
my	m 3
mücadelelerini	m k 3  e l e l e r i n i
mücevherat	m 3 u s e r a t
müdahalenin	m 3 d a h a l e n i n
müfettişliği	m 3 f e t i S  X i
mülklerine	m l k l e r i n e
mülkünü	m l k i 3
nakliyatı	n a k p o l i y a t k
namazından	n a m a z u nd~ a n
nazırı	n a z u r k
nemlidir	n e m l i d i r
nitelemesi	n i t e l e m e s i
niteliklerine	n i t e l i k l e r i n e
notaya	n o t t a y a
nöbetler	n o t
nötronlar	n o tr~ u l a r
nüfusla	n 3 f u s l a
obezite	o b a  t e
ocağa	o k a X a
odadaki	o d a d a k i
odaklanırken	o d a k l o n  r k e n
ohm	o h E m
okları	o k  k
okumakta	o k u m a k t a
okunduğu	o k u n d u N X u
okunmuştur	o k u n m u S t u r
okunuş	o k u n u S
okuyacak	o k u y a k a k
olabilmeleri	o l 3 b u a i l m e l e r i
olagelmiştir	o l o g e l m i S t i r
olgularında	o l g u l a r u nd~ a
olgunlaşan	o l k i l o S
olmazken	o l m o n d k e n
olumsuzluklar	o l u m t a z l u k l a r
olumsuzluklara	o l u m t a z l u k l a r a
olunabilir	o l u n a b i l i r
oluşabilmektedir	o l u S a b i l k  r
oluşturduğuna	o l u S t u r dw~ X u n a
oluşturulmasıyla	o l u S t u r u l m o s u y l a
oluşumlara	o l u S u m l a r a
oluşumudur	o l u S u m u d u r
oluşuyla	o l u S u y l a
operasyonuna	o p e r a s o n u n a
opsiyonu	o p s i y o r o n u
optimizasyonu	a t i m i a y e a o n u
oranlarından	o r a n  u nd~ a n
organizatörü	u r g a n i r o t a r 3
ortaklıkları	u r t a k l 3 k k  k
ortaokulda	u r t a o k u l d a
otobiyografisini	k o t o b i y o g r a f i s i n i
otoyolunun	k o t o y o l u n u n
otuzdan	o t u z d a n
oylamasının	o y l a m a k u n  n
oynanırken	i s  n  r k e n
oyuncusuna	o y u n k u s u n a
oyunlardır	o y u l i  d 3 r
parietal	p a r i e t a l
parkurları	p e r k u r  k
partizanlara	p e r t i r a w o l a r a
parçacığa	p i a k u X a
pasını	p a s u n
patlamasından	p a t l a m a k u nd~ a n
penaltılara	p e n a l t u l a r a
perdeler	p e r d e l e r
performanslarının	p e r h s  u n  n
performanstan	p e r h s t a n
perspektiften	p e r 8 p e n e k t f t e n
pik	p i k
planladıklarını	p l a y i n l a d 3 k  u n
pnömoni	p n o m o n i
poker	p o k a r
politikalarından	p o l i t i k a l a r u nd~ a n
pozitron	p o  tr~ u n
pratikleri	p r a t i k l e r i
prodüktörlüğü	p r o t 3 h a r 3 3 X 3
programcılar	p r o b o ch~ l u l a r
projeyle	p t o n o x e y l e
prososyal	p r o s o s y a l
protokollerini	p r o t o k o l l e r i n i
protonların	p r o t o n l a r 3 n
prototipler	p r o t o t 3 p l e r
radyasyonunun	r a d y a s o n u n u n
radyatör	r a d t h a r
rahatlığı	r E h a r l 3 k X k
raporlarda	r a p o r  d a
rauntta	r a u n t t a
realizm	r e a l i z m
reddedilince	r e d e d i l i n k e
reddedilmiş	r e d  l m i S
rekorun	r e k o r u n
repertuvarına	r e p e r t u b a r u n a
risklerin	r i s k l e r i n
risklerini	r i s k l e r i n i
rolden	r o l d e n
romanındaki	r o m o n  nd~ a k i
rotayı	r o t a y u
ruhudur	r u h u d u r
rüzgârları	r 3 z g a r  k
sa	s a
saatlere	s a L e r e
sabırla	s a b u l a
safhalarında	s a f l o 7 r u nd~ a
sahildeki	s a h i l d e k i
sahnelenmiş	s a n e l e n m i S
sakalı	k a l 3 k
saklanırlar	s a q  n  l a r
saksofon	s a q  o n
saldırdıktan	s a l d 3 r d 3 a
salim	s a l i m
sallar	s a y a r
sallayarak	s a l l a y a r a
salonlarda	s a l o n l a r d a
saltanatını	s a l t a n a t u n
salık	s a l 3 k
saniyedir	s a n i y e d i r
sansasyon	s a* s a s o n
santralin	s a n t r a l i n
santraller	s a n t r a l l e r
sarılan	s a r u l a n
sattılar	s a t u l a r
satışından	s a t u S u nd~ a n
savaşlarını	s a v a S  u n
savunmakla	s a b u n m a k l a
sayfadır	s a y f a d 3 r
saçmalık	s a m o l u
sağladıktan	s o X l a d 3 a
sağladığından	s o X l a d 3 X u nd~ a n
sağlanamamıştır	s o X a nz~ o m o m u S t u r
sebeplerin	s e b e p l e r i n
sebzelerin	s e b z a l e r i n
semptomatik	s e m p t u m o t i k
seneyi	s e n e y i
sentezinde	s e n t a  nd~ e
serdar	s e r d a r
sergilemeyi	s e r g i l 3 m e y i
servislerin	s e r i s l e r i n
sesidir	s e s i d i r
seslerine	s e s l e r i n e
sesleriyle	s e s l e r i y l e
sezonluğuna	s e z o n l u X u n a
seçili	s  i l i
sinagogun	s i n a g o g u n
sinyale	s i 5 a l e
siperler	s i p e r l e r
sistemleriyle	s i s t e r e p l e r i y l e
siyahların	s i y a L a r 3 n
sofralık	 r o l u
sokaktan	s o k t a n
sokağında	s o k o X u nd~ a
solistlik	s o l i s t b u C o
solu	s o l u
solungaç	s o l u N a
solunumu	s o l u n u m u
sonlanan	s o n l a n a n
sonlarındaki	s o n l a r u nd~ a k i
sonuçlarıyla	s o n u  u y l a
sorgulamak	s o r g u l a m a k
sosyalistlerin	s o s m a r i s t l e r i n
soundu	s o u n d u
soyun	s o y u n
sporla	s p o r l a
sporunun	s p o r u n u n
sq	s
stadyumudur	s t a d m i f a l d u r
standardizasyon	s t a n dy~ a y e a o n
steroid	S t E r o i d
stratejiyi	s t r a t e h i y i
stresli	s t r e s l i
subaylığı	s u b a y l 3 k X k
sureti	s u r e t i
suçlanmış	s u a nz~ m u S
sömürgecilik	s o m 3 r g e j i l i k
söylemesiyle	s o " a s a S i y l e
söylenmeye	s o " a s a n m e y e
söylentisi	s o " a s a n t i s i
söyleyecek	s o y l e y o j k
sözleşmede	s o 3 z l e S m e d e
sözlükler	s o r L 3 k l e r
sübvansiyon	s 3 b v a s i y o n
sürdükten	s 3 o 3
sürdürdükleri	s 3 o 3 o 3 k l e r i
sürdürmesine	s 3 o 3 s a y m 3 s i n e
sürtüşme	s 3 r t 3 S m e
sürümlerinden	s 3 r m 3 l e r i n d e n
süslemesi	s 3 s l e m b E e s i
sıfatla	s u b o t l a
sıkıntılardan	s u k u nt~ u l a r d a n
sıkıntılarını	s u k u nt~ u l a r u n
sınıflandırır	s u n  f l a n d 3 r u r
sınıflarında	s u n  f  u nd~ a
sırlar	s u l a r
sırtüstü	s u r t 3 s t u*
tabakalanma	t a b a k a l a n m a
tabakasından	t a b a k a s u nd~ a n
tabletleri	t a b l e t l e r i
tablolarına	t a b r o r a r u n a
taburları	t a b u l  k
tahlil	t a h l o
tahminlerini	t a h m i n l e r i n i
tahtaya	t a k i a y a
tahvil	t a h v i l
tahılların	t a h u l l a r 3 n
takılabilir	t a k u l a b i l i r
taleplerin	t a l e p l e r i n
tanımlanmasında	t o n  b a nz~ s u nd~ a
tanıyarak	t o n  y a r a
taraftarlara	t a r a f t a l a r a
tarihlenir	t a r i L e n i r
tarihçinin	t a r i h i n i n
tartışmaktadır	t a r t u S a d 3 r
tartışmalarla	t a r t u S b o i l a
tasarlanabilir	t a s a l a n a b i l i r
tasarlayıp	t a s a l a y u p
tasarımcısıdır	t a s e r u l u s u d 3 r
tasfiyesi	t a s f i y e s i
tatlısu	t a t l 3 k s u
tavsiyede	t a b s i y e d e
tavırlarıyla	t a b u r  u y l a
taşlarıyla	t a S  u y l a
taşma	t o S m a
taşıdılar	t o S u d 3 l a r
taşımamaktadır	t o S u m a m a k a d 3 r
taşımanın	t o S u m o n  n
taşıyabilmektedir	t o S u y a b i l k  r
tehlikesinin	t e h l i k e s i n i n
tekerleğin	t a k e r l e X i n
teknolojide	t a k n o l o h i d e
tekrarlanması	t a k r a r a nz~ s k
telaffuzu	t e l a f u z u
telef	t e l e f
temaların	t e m a l a r 3 n
temasta	t e m a s t a
temsilcilikleri	t e m s i l c i l i k l e r i
temsilcisinin	t e m s i l i a h i n
tensörü	t e s o r 3
teokratik	t e 7 r a t i k
teoridir	t e o r i d i r
tepkinin	t e p k i n i n
terimlerini	t e r i m l e r i n i
termodinamiğin	t E r m o d i n a m i X i n
tespitine	t e s p i t i n e
testtir	t e s t m 3 t i r
tezahürat	t e z a S i n a
time	t i
toplanırdı	t o p l o n  r d 3
topluluklarını	t o p l u l u g i t  u n
torunlarının	t o r u l i  u n  n
tramvaylar	tr~ a mv~ a y l a r
transferinin	i t r i s f e r i n i n
transferler	i t r i s f e r l e r
transferleri	i t r i s f e r l e r i
transistörler	i t r i s i s t a r l e r
triple	t r e p l e
turlarına	t u r  u n a
tutarsızlık	t u t a r  u s  l 3 k
tutulduğunda	t u t u l d u X u n d a
tutulmakta	t u t u l m o k t a
tutumla	t u t u l a
tuvalete	t u b a l e t e
tuzaklar	t u z a q
tuzağına	t u z o X u n a
törenlere	h a r e n l e r e
törenlerine	h a r e n l e r i n e
tüfeğiyle	m a n t f X i y l e
tükendiği	m a n t k e n d i X i
tüketiminde	m a n t k e t i m i n d e
türlerle	m a n t l e r l e
tırnakları	t u r n a q  k
ulaşamayan	u l o S a m E n
ulaşmasının	u l o S s u n  n
ulaşıma	u l o S u m a
ulaşımının	u l o S u m u n  n
unsurunu	u n s u r u n u
uyarlamak	u y a l a m a k
uyarlandığı	u y a l a n d 3 X k
uydusunun	u y a n u n
uygulanamaz	u y g u l a
uygulanma	u y g u l a m a
uygulanmadı	u y 3 r a n m a d 3
uygulayıcıları	u y g u l a y u k u l a r k
uymaz	u y
uzaklaştırmaya	u z a k l o S t u r m a y a
uzama	u z a m a
uzanıyordu	u r o n  o r d u
uzatılır	u z a t u l u r
uzlaşı	a z l o S k
uzmanlığını	u z l 3 k X u n
uzunluğundan	u z u n l u X u nd~ a n
uçaklık	u a k l 3 k
uğratılmış	u X r a t u l m u S
uğrunda	u X r u n d a
vadisinden	v a d i s i n d e n
vakalarında	v a k a l a r u nd~ a
valilerin	v a l i l e r i n
vampirleri	v a m p i r l e r i
varlığıdır	v a X l u x X u d 3 r
varoluşun	v a r o l u S u n
varoşları	v a r o S  k
vatandaşlarından	v a t a n S  u nd~ a n
vatandaşını	v a t a n d o S u n
vazgeçmedi	v a z g  m e d i
verdiğim	e r dy~ X i m a
vereceklerini	v e r a T e k l e r i n i
veremeyeceğini	v e r a m e y o j e X i n i
veriminin	e r i m i n i n
videolarının	v i d e o l a r u n  n
villalar	v i l l a l a r
virgül	v i r N
viskozite	v i s k o  t e
vokalistliğini	v o k a l i s L e X i n i
vurduktan	v u r l u 7 t a n
vurgulanan	v u r g u l a n a n
yakalaması	y a k a l a m a k k
yakalanmasına	y a k a l a n m a s u n a
yaktığı	y a k t u X k
yakıtının	y a k u t u n  n
yamuk	y a m u k
yansımaktadır	y a s u a d 3 r
yanıklar	y a n  k l a r
yanıtladı	y a n  L a d 3
yapabilmektedirler	y a p a b i l k  r l e r
yapamayacağı	y a p a m a y a k o X k
yapmamaktadır	y a p m a m a k a d 3 r
yapraklarda	y a p r a q  d a
yapışma	y a p u S m a
yaralıların	y a r o l u l a r 3 n
yaratacağı	y a r a t a k o X k
yaratıldığını	y a r a t u l d u X u n
yargılarını	y a r g u l a r u n
yarışların	y a r u S  3 n
yasaklamaktadır	y a s a q  w a d 3 r
yatalak	y a t a l a k
yatmaya	y a t m a y a
yatmış	y a t m u S
yatırımcıları	y a t u r u l u l a r k
yatırımlarla	y a t u r u m l a l a
yavaşlaması	y a v a S  s k
yaver	y a v e r i
yayarlar	y a y a l a r
yaylalara	y a y l a l a r a
yayımlanmamıştır	y a y u b a nz~ mw~ a mw~ u S t u r
yazmanın	y a z m o n  n
yazıldığına	y a z u l d u X u n a
yazılıma	y a z u l u m a
yazımını	y a z u m u n
yazışmaları	y a z u S b o i k
yaşamadığı	y o S a m a d 3 X k
yaşamaz	y o S
yaşasa	y o S a s a
yedili	y e d i l i
yemeğine	y e m e X i n e
yeniliklerin	y e n i l i k l e r i n
yeraltından	y e r a l t u nd~ a n
yerleşimlerine	y e r l e S i m l e r i n e
yerleşirken	y e r l e S i r k e n
yeten	y e t e n
yetisine	y e t i s i n e
yetişkinlik	y e t i S 3 5 i p e b u C o
yetişmek	y e t i S w i t a
yetiştiricisi	y e t i S t i r i C y a
yetkiyi	y e t v a s i
yin	y i
yokluğunu	y o k l u X u n u
yolcudan	y o l u k u d a n
yolculuklarda	y o l k u l u g i t  d a
yorumlamak	y o r u m l a m a k
yummuştur	y u m u S t u r
yunusları	y u n u s  k
yuvanın	y u  n  n
yönelme	y n  m e
yöneltir	y n  m 3 t i r
yöneterek	y 3 n e t e r a
yöneticilerden	y 3 n e t i i l e r d e n
yönetiyor	y 3 n e t i y o r o
yönetmendir	y 3 n e t m e n d i r
yönlendirerek	y 3 l e n d i r e r a
yönlendirmeye	y n l e n d i r m e y e
yöresini	y 3 r e s i n i
yüklenebilir	y 3 k l e n e b i l i r
yüklerini	y 3 k l e r i n i
yükselmesiyle	y 3 k s l 3 m l e
yürüttükleri	y 3 r i m a n t k l e r i
yürütüldüğü	y 3 r i l d 3 X 3
yürüyüşüne	y 3 a s m v 3 S i e
yüzerler	y 3 r i ly~ l e r
yüzeylerinin	y 3 z e y l e r i n i n
yıkımın	y 3 k u m 3 n
yılana	y 3 l a n a
zam	z a m
zannederek	z a n i d e r a
zarın	z a r 3 n
zayıflamaya	z a y u f l a m a y a
zayıflayan	z a y u f l a y a n
zenginleşen	z e N i n l e S e n
zevkine	z e b k i n e
zevkleri	z e b k l e r i
zihninin	z i h n i n i n
zindan	5
zirveler	z i r b e l e r
ziyaretlerinde	z i y a r e t l e r i d e
zombiye	m a q 3 s
zuhur	z u h u r
Çalı	E l u k
Çalışmalarında	o l u S b o i u nd~ a
Çamoluk	a m o l u k a 7
Çapı	a p k
Çatışmaların	a t u S b o i 3 n
Çaylak	a y l a k
Çepniler	a p n i l e r
Çivi	i v i
Çocuklarının	o k u k  u n  n
Çöp	n 3 p
Çırak	u r a
Étienne	t i E n n e
Ömrü	m a s
Öne	n e
Öneme	n i m i
Ör	r
Özay	z a y
Özerklik	z e r k l i k
Üniversiteleri	n i v e r s i t e l e r i
çalılıklarda	o l u l u k  d a
çalışınca	o l u S u C a
çalışıyoruz	o l u S u o r u
çarptırılır	a r p t u r u l u r
çarpışarak	a r p u S a r a
çatma	a t m a n
çatışmalarının	a t u S b o i u n  n
çatıştı	a t u S t k
çayırlık	a y u X l u x
çağından	o X u nd~ a n
çekiciliğini	r i l i X i n i
çekileceği	e k i l 3 u X i
çekilirler	e k i l i l l e r
çekimin	r m i n
çekiminin	r m i n i n
çekindiği	e k i n y a X i
çevirmesi	e i s a y m 3 s i
çevrelerden	u s r e l e r d e n
çevrelerinden	u s r e l e r i n d e n
çevriliydi	u s r i l i y o d i
çeşmeden	e S m e d e n
çile	l
çizgilerini	i z g i l e r i n i
çiçeklerle	i e k l e r l e
çoraplar	o r a p l a r
çoğaldı	o X a l d 3
çoğaltma	o X a l t m a n
çoğulcu	o X b k u
çoğunluğuna	o X u n l u X u n a
çukurun	u k u r u n
çökmesini	k S i n i
çözeltileri	o z e l t i l e r i
çözümdür	o z 3 m d a r
çıkaracağını	u k a r a k o X u n
çıkılması	u k u l s k
çıkıntıları	u k u nt~ u l a r k
ödemesine	o b S i n e
ödenecektir	o b d e* k a* b Nw~ m 3 t i r
ödeyecek	o d e y o j k
ödüllendirmek	o d l l e n d i r w i t a
ödüllerde	o d l l e r d e
ökaryotik	k a r y o t i k
öldürdüğünde	o l d 3 o 3 X 3 nd~ e
öldürecekken	o l d 3 r E C E k E k e n
öldürmüştü	o l d 3 r m 3 S t u*
öleceği	o l e u X i
ölçmenin	o l m E n i n
ölçülerek	o l k e l e r a
ölçülmektedir	o l l k  r
ölçümünde	o l 3 m 3 nd~ e
ölümsüzlüğü	o l m 3 s 3 z 3 3 X 3
öncekilerden	n u k i l e r d e n
öncüsüdür	n k 3 s 3 d a r
önerdiler	n e r d i l e r
öneriye	n e r i y e
öngörülmüştü	n g a r l m 3 S t u*
öngörüyor	n g a r 3 n i o z i
önlemeyi	n l e m e y i
önleyebilir	n l e y e b i l i r
örter	o r t e r
öykülerden	w a  g u l e r d e n
öyleyse	w a  l e y s e
özelikle	o z e l i k
özelliktedir	o 8 ly~ i k  r
özetle	o 8
ücretle	i k a r
ücretlerin	i k a r r e t l e r i n
üretimiyle	3 r e t i m i y l e
ürpertici	3 p e r t i C i
üyeliğe	3 y e l i X e
üzümler	3 z 3 m l e r
üçlemesinin	3 l e y a h i n
İlhami	L a m i
İlhanlılar	L a* l u l a r
İmparatoriçesi	p a r a t o r i e s i
İmparatorlukları	p a r a t o r l u k  k
İmparatorluğunu	p a r a t o r t X u n u
İndirme	n t i r m e
İstasyonda	s t a s o n d a
İstinaf	s t i n a f
İsyancı	s y a n C i k
İsyancıların	s y a n C i u l a r 3 n
İçerdiği	e r dy~ X i
İçten	t e n
İşkodra	S k o d r a
İşlemler	S l e m l e r
ına	u n a
ıslahı	u w a h k
ısrarlarına	u s r a r  u n a
ısısını	u s u s u n
ısıtılarak	u s u t u l a r a
Şairler	a i r l e r
Şapka	a p
Şapsığ	a p s u X
Şereflikoçhisar	e r e f l i k o i s a r
şampiyonluğuyla	S a m p i y o n l u X u y l a
şapeli	S a p e l i
şapkasını	S a p k a s u n
şarkılardır	S m a X u l a r d 3 r
şaşırmış	S o S u r m u S
şehire	S e h i r
şemsiyesi	S e m s i y e s i
şeritlerin	S e r i L e r i n
şiddetinin	S i d a e t i n i n
şivesi	S i v e s i
şişkinlik	S i S 3 5 i p e b u C o
şovunu	S o b u n u
şövalyenin	S o v a l e n i n
Abrams	b r a m
Accademia	kh~  a m i a
Adolphe	t o r ph~ e
Adult	d u l
Afdal	f d a l
Aida	i d a
Akademinin	k a d e m i n i n
Akademisinin	k a d e m i s i n i n
Akman	m a n
Akpınar	kp~ u n a r
Aksel	k s
Algoritma	l g o r e m a
Almanlardan	l  d a n
Altınova	l t u n o v a
Amiga	m i g a
Amik	m i k
Amrabat	m r a b a t
Ananda	n a n d a
Anglia	N l i a
Annesiyle	n l e
Antrenörü	t r e n a r 3
Anıtkabir	n  t k a b i r
Aragonlu	r a g o n l u
Araplardan	r a p  d a n
Arapçadan	r a p 3 s 3 r 3
Ararat	r a r a t
Araştırmanın	r a S t u r m o n  n
Aris	r i s
Arkadaşlarıyla	r k a d a S  u y l a
Arkaik	r k a i k k i
Arkasından	r k a s u nd~ a n
Armada	r m a d a
Armand	r m a n d
Armağan	r m o X
Armen	s a y m 3 n
Around	r o u nd~
Arpa	p a
Arrigo	r i g o
Ateşin	t e S i n
Atik	t i k
Atkins	t 3 5 i p e
Atlar	L a r
Atletico	L e   o
Augustinus	t u g u s t i n u s
Avrupası	v a m a s k
Aydoğdu	y bw~ X d u
Aztekler	z t e k l e r
Bacher	a E r
Bakteriler	a k t E r e l e r
Banco	5 u k a o
Bari	a r i
Batlamyus	a t l a m y u s
Bayrakta	a y r a k t a
Bayırı	a y u r k
Bazılarında	a z u l a r u nd~ a
Başkanlığında	o S  l 3 k X u nd~ a
Belediyesine	e l e d i y e s i n e
Bernardo	E a n a r d o
Bernice	E a n i k e
Biden	d e n
Bilbao	i l b a o
Binaların	i n a l a r 3 n
Birand	i r a n d
Birtakım	i r t a k u m
Blanc	l a n k o
Blanche	l a n C e
Botan	o t a n
Boyce	o y k e
Boyz	o u z
Bragg	r a g
Braille	r a i l l e
Brennan	r e n
Brie	r i e
Briggs	x n u
Broadcasting	r o a d k a s t i N
Buddha	u d a
Bulak	u l a k
Bulletin	u l l e t i n
Bulutsu	u l u c u
Bye	y e
Byron	y r o n
Bölgeden	o l 3 k  e n
Büyükçekmece	3 m v 3 k e k m e k e
Canavarı	a n a b a r k
Cardiff	a r dy~ f
Casey	a s u y
Cassandra	n i a nd~ r a
Casus	a s u s
Centauri	e n t a u r u
Cevher	e b u r
Cezası	d a s k
Chemical	h e m i k a l
Chromatica	h r o n a t i k a
Cin	i n
Ciudad	i u d a d
Crimson	l i m o*
Crush	r u S
Cynthia	y nt~ i a
Dalgalar	a l g a l a r
Dalmaçya	a l m o y a
Dalış	o l u S
Danişmend	a n i S m E n d
Darbesi	a r b e s i
Davet	E b e t
Def	i f
Demi	e m i
Denemeler	i n i m e l e r
Derinlik	r i n b u C o
Dogg	o g i
Doku	o k u
Dokuma	o k u m a
Dolu	o l u
Donanmasının	o a* s u n  n
Doris	u r i s
Dulkadiroğlu	u l k a d i r o X l u
Duvarları	u w a l a r k
Ebe	b e
Ebro	b r o
Eddington	d i N t o n
Ekoloji	k o l o h i
Ekranın	k r o n  n
Ela	l a
Elder	l d e r
Electronics	l e k t r o n i k s
Elektra	l E k E t r a
Elektronlar	l E k E tr~ u l a r
Elçiler	l i l e r
Emeritus	m e r i k u s
Emirates	m i r a t e
Episode	p i s o t e
Erinç	r i n
Esnaf	s n a f
Etrafında	tr~ a f u nd~ a
Evlerin	v l e r i n
Familia	a m i l i a
Fandango	a n n g o
Farah	a r a h
Farsçada	a r S a d a
Fatal	a t a l
Fiction	i k t i o n 3
Fierro	i e r o
Finike	i n i k e
Forces	u r k m 3 s
Foreign	o r e i N n i s
Format	o r m a t
Fortuna	u r t u n a
Frida	r i d a
Gable	a b l e
Galaksinin	a l a k a h i n
Gamma	a m a
Ganj	a n T i
Geiger	e i g e r
Geleceğe	e l e u X e
Gelmiş	e l m i S
Gencebay	i n C i e b a y
Geronimo	e r o n i m o
Getty	e t
Geçmişten	 m i S t e n
Gianni	i a n i
Goetz	N c
Going	o i N
Gonna	o n a
Gregoryen	r e g o r e n
Guerra	u e r a
Gus	u s
Göreceli	o r E C E l i
Görülen	o r k e l e n
Gültekin	l t e k i N
Gürcan	3 w E L E
Gürcücede	3 r i k a r e d e
Hacıbektaş	a k u b e k t o S
Hai	a i
Hamzaoğlu	a m z a o X l u
Hana	a n a
Hancock	5 u k a o k
Hanedanının	a n e d o n  n  n
Hanife	a n i f e
Hansa	s a
Hanımı	n  m k
Hao	a o
Harekat	a r e k a t
Harlan	a r c
Hasar	a s a r
Hasidik	a s i d i k
Hay	a y
Hayatım	a y a t u m
Hayranları	a y r a n  k
Hazırladığı	a z u l a d 3 X k
Haşimi	o S i m i
Hellen	e l l e n
Hellenistik	e l l e n i S t i k
Hertz	e r c
Higher	i t e r
Hindular	i d u l a r
Hişam	i S a m
Holocaust	o l o k a u s
Host	o s
Hoş	o S
Huber	u b e r e
Hume	u
Hutchinson	u t C i Th~ o n
Hükûmetine	3 3 m e t i n e
Hüsamettin	3 s a m e t i n
Ibiza	b i z a
Iki	k i
Izzy	z z
Jacobson	a k o b o*
Jamaikalı	a m a i k a l 3 k
January	a n u a r
Jasper	a 8 p e n e r
Jensen	e n e n
Jovian	o v i a n
Juilliard	u i l a r d
Kadısı	a d 3 s k
Kaide	a i d e
Kalsiyum	a l s i y u m
Kambriyen	a m b r i y e n
Kamer	a m e r
Kanadalılar	a n a d o l u l a r
Kandilli	a nd~ i l l i
Karakuş	a r a k u S
Karargâh	a r a r g o
Kartacalıların	i t a k o l u l a r 3 n
Kavurt	a b u r
Kayalık	a y o l u
Kaybolan	N a y b o r a n i
Kazası	l a u k a s k
Keaton	e a t o n
Kemp	3 mp~
Kentler	e n
Kenyatta	5 e 5 a t t a
Kesik	e k u
Keşap	e S a p
Kierkegaard	i e r g i g a r d
Kilisede	i l i s e d e
Kirov	i r o N
Klavye	l a v y e
Kocasinan	o k a s i n a n
Kolçak	o l a k
Komün	o N
Kooperatif	o p e r a t i f
Kraft	r a f
Kraliçenin	r a l i e n i n
Krallıkta	r a l l u k t a
Krasnodar	r a s n o d a r
Kuomintang	u o m i n t a N
Kupada	u p a d a
Kupayı	u p a y u
Kurallara	u r a ly~ a r a
Kuruluşun	u r u l u S u n
Kuzeye	u z e y e
Kylie	y l i e
Köklü	k 3 3
Köksal	k s a l
Köpeği	o m X i
Kürşat	3 r S a t
Kılavuz	u l a v u
Kırımlı	u r u m l 3 k
Kızkardeşi	u s  k a r d e S i
Kızılderilileri	u s  u l d i n i l i l e r i
