li 	l i
tweġġa	t w e X i X i a
umanitarji	u m a n i t a r u
urban	u r b a n
us	u s
veteran	f e t e r i
waħedna	gw~ a 3 d n a
wettaqna	w e t q l a
weġġa	w e NG~ i a
xemgħa	f e m g a
xjenza	S o x e n z a
xkora	S k o r a
xtrat	S tr~ a t
zgħir	z h i r i
zokk	z o k
zona	z o n a
ċkejknin	k e h k n i n
ġeneruża	N g 3 n 3 q  i
ġudizzjarja	N g u d i z z y a r j a
Ħabib	a b i
Ħadu	a d u
Ħallieq	a ly~ i a q
Ħareġ	a r e i
ħaddem	a d b
ħaga	a g a
ħamrija	a m r i j a
ħidmiet	d m i e t
ħloqna	l o x n a
ħofra	o f r a
żiemel	i e m e l
Abram	b r a m
Aid	s e i
Avukat	m a n u
Bejniethom	j n i e t o m
Bierku	i e r k u
Bonanno	o a m
Clarke	l a r k e
Damasku	a m a s k u
Deċiżjoni	e i j o n i
Dottor	o t o r
Dumnikani	u m n i k a n i
Dħalt	a l t a s
Fitzel	i c
Forti	u r t i
Fortunato	u r t u n a t o
Francizi	r a n C i i z i
Geremija	e r e m i j a
Għadhom	a d o m
Insemmu	s e m
Interni	t E r n i
Ipprova	p p r o v a
Kappella	a p p m u S
Kullhadd	u L a d
Kunsillier	u n i l l i e r
Leader	e a d e r
Learning	e a r n i N
Mawru	a w r u
Mediku	e d i k u
Mużew	k i k "
Nadia	a d i a
Nappella	a p p m u S
Nerga	e r g a
Night	i t
Nipprova	i p p r o v a
Pajjiż	a x i
Parramatta	a r a m a t t a
Peugeot	u  o t o
Pjuttost	x u t o s
Poplu	o p l u
Quintano	k i nt~ a
Ruggieru	u m i e r u
Sagramentali	a g r a m e n t a l i
Selmun	e l m u n
Share	h a r e
Sostna	o s t n a
Staqsejna	t a q sx~ e xe n a
Studies	t u d i e
Superjur	u p e r h u r
Surgent	u r g e n t
Technik	e T n i k
Tfajla	f a l a
Tfisser	f i s e r
TwitterShare	w i t t u r xy~ E h a r e
Ulied	l i e d
Vergni	a rx~ n i
Waslet	a s l e t
Waterfront	a t e r f r o n s
abbażi	a b " b a i
affarjiet	a f f a r
affettwat	a f f e t tw~ a t
alfejn	a x t o a  n
applikant	a p p l k a nt~
assi	n i i
attakkata	a t t a k a t a
attrezzat	a t t r e z z a t
avviżi	a b v i
bar	b a r
battala	b a t t a l a
bilanc	b i l a*
blokki	b l o k k i
bnejna	b j n a
bżonnha	b o n h a
chairman	C a i r m a n
darek	d a r 3
ddaħħlu	d l u
definittivament	d e f i n i t i w a* m E n t
dei	d e i
deċiża	d e i a
disprezz	d i s p r e z
distribuzzjoni	d i s t r i b u z z y a r o n i
down	d o w n
drammatiku	d r E m m a t i k u
duhhan	d u h a n
eccessiva	e T k 3 s a Ng~ e a
edukati	e d u k a t i
esprimiet	e s p l i m i e t
falliet	f a ly~ i e t
fdal	f d a l
fedeltà	f e d e l t 7
felah	f e l a h
fiH	f i
fini	f i n i
frekwenti	f r e kw~ e z i n t i
ghandhiex	x a nd~ hy~ e 7
ghaqal	x a q a l
gheluq	g h e l u
gherf	g i* f
gimghatejn	g i x a t e n
għeni	g e n i
hdejja	h d e h a j a
hienja	hy~ e n j a
idahhal	i d a h a l
idejat	d e h a a t
identifika	d e n t i f i k a
ifaħħar	f a r a
iffinanzjat	f f i n a n z y a t
ihejju	i h e h C u
ikissru	i k i 7 r u
ikkontesta	i k k o nt~ e s t a
ikollkom	i k o l l k o m
iljieli	i l x e l i
ilum	i l u m
imbarazz	i m b a r a z
imfittex	i m f i t t E 7
impekkabbli	i m p e k b o r bl~ i
imsallab	i m s a ly~ a b "
imħarsa	i m a r
indipendentement	i n d i p e n d e n t E m E n t
inehhu	i n e h u
informattiv	i n f o r m a t t i
inhalli	h a l l i
injorant	y i n j o r a nt~
innovazzjoni	i n n o w a z z y a r o n i
intervistati	i n t E r i s t a t i
inġustizzji	i n i u s t i z z y a r i
ippreżentata	i p p h r e n t a t a
iqarraq	q a l u k r a q
irabbu	i r a b b u
irrappurtat	i r a p p o r d a t
isejjaħlu	i sx~ e xe q
isuqu	i s b u
iwissi	i w i s s i
ixerred	i S e r
iħejju	i e h C u
jafni	y a f n i
jamministraw	y a m i n i S th~ l a w
japprova	y a p p r o v a
jaqax	y a q a
jarani	h a r a n i
javvanzaw	y a b v a n c~ 3
jaġġorna	y a X i X i o r n a
jedukaw	h e d u k a w
jehlu	h e h l u
jeskludi	p i p 3 l 3 l u d i
jfakkarna	h f a k a r n a
jghaqqad	h x a k " o a d
jgħidx	h g i d 7
jgħum	h g u m
jiccelebraw	T i T s e l e b l a w
jifdi	h i f d i
jikkonċernaw	h i k k o n e r n a w
jikkuntattja	h i k k u n t a t y a
jimponu	h i m p o n u
jinqraw	j i n k l a w
jintlaqat	h i t a q a t
jirrapreżenta	h i r a p h r e n t a
jirrikjedu	h i r k u n d u
jiskadi	h i s k a d i
jitkattar	h i t k a t t a r
jitnaddfu	h i t n 3 d w u
jixbħu	h i S b u
jkisser	s e r
jsalvaw	h t o s v a w
jtemmu	h t a m
jużawhom	w a l o m
jxerred	h f e r
jħabbar	y a b b a r
kafe	k a f e
kapital	k a p i t a l
kappillani	k a p p i l l a n i
kimika	k i m i k a
kisbiet	k i s py~ e t
kkompona	k i m p o n a
kommemorattiva	k o m e m o r a t t i v a
kompliċi	m i p l i
konsekuttivi	q o n i k e k u t t i b i
konvenjenti	q o n i k % d o k l e v e n t i
konġunt	k o  u n t
kreatura	k r E a t u r a
kumplessi	k u m p l e s
kuntest	k u n t e s
kwestjoni	kw~ e s ty~ o n i
lecturer	l e k t u r e r
letteralment	l e t t E r a l m E n t
lewwel	l e w w e l
lift	l i f
liċenzjati	l i e n z y a t i
mad	m a d a r
maghqud	m a gh~ k d
manifestazzjoni	n i f i S t a z z y a r o n i
massa	s a
midinba	d i n b a
mifrud	m i f o u
miftuhin	m i f hy~ a
milqugha	l k gh~ a
minfejn	m i n f n
ministeru	m i n i S t E r u
minsi	s i
mirquma	m i r q u m a
misterjuża	m i s t E r xy~ a
mix	m i S
mlievez	l i e p e m u
mmirat	m m i r a t
mnedija	m i d i j a
morra	m o r a
morru	m o r u
mortx	m o r 5
mqajjem	m q a
mudlam	r u g l a m
nbatu	n b a t u
necessarju	d e* k a* b 3 s a  C u
nee	n e
nghamel	x a m e l
ngħollu	N o L u
nidhru	n i d r u
nimmaġinaw	n i m X i a n a w
nipproteġu	pw~ p r o t e N g u
nirċievi	n i r i w i
nispjegaw	n i S ph~ E g a w
nisħqu	n i s kw~
nitilgħu	n i t i l g u
nonfqu	n o n f k
not	n a t
ntalbet	nt~ a l b e t
ntbagħtet	nt~ b a g e th~
nteressanti	t e r e s s a n t i
nteressat	t e r e s
ntlaqtu	t a q t u
nġib	 Ch~ o
nħarġet	n a r x
off	o f
okkazjonijiet	o k kh~ a z y o* e
opposti	o p p o s t i
plattini	p l a y i t t i n i
pompa	p o m p a
ponot	p o n o t
posittiv	p o s i t i
ppjanar	p p j a n a r
privileġġi	p r i v i l e N g NG~ i
profitti	p r o f i t t i
proprjeta	p a z r o x e t a
protettiv	p r o t e d t i
provvista	p r o w i s t a
psikoloġiċi	p i k o l o X i a
qattus	q a t t u s
qliegħ	q  e
raghaj	r a x a x
rank	r a n
rebha	r e b a
regolati	r e g o l a n
rifle	r i b u Ng~ l e
rivista	r i i s t a
rrifjuta	r fy~ u t a
rutina	r u t i n a
sawru	s a w r u
saħħitha	s e i t h a
sellum	s e L u m
service	s e r v i k e
sieħbi	s i e b i
skolpita	s k o l p i t a
skuzi	s k u z i
sostnut	s o s t n u t
splużjoni	s p  o n i
stands	s t a nd~
strateġiċi	s t r a t e X i a
suffiċjenti	s u f i y e n t i
suġġetta	s u X i x t t a
tarġiet	t a l X i a e t
tassumi	t a s s u m i
tattakka	t a t k
taz	t a z
tefghu	t e f x u
teorija	t e o r i j a
tewmin	t e w m i n
tghamel	t x a m e l
tiftahar	t i f t a h a r
tikkritika	t i k k r i t i k a
timmaġina	t i m X i a t u
timplika	t i m p l i k a
tintebaħ	t i n t e b a
tintrabat	t i n t r a b a t
tinxtered	t i n r e r e d
tirriżulta	t i r u l t a
tistieden	t i s t i 3 d e n
tisħiħ	t i s i
titfassal	t i t y 7 a l
tiġġustifika	t i X i N g u s t i f i k a
tkeċċew	t k e
tlaqqa	L a k " o a
tmiemhom	m i e m o m
tmint	m i nt~
tniżżel	t n i
tqabbad	t k mp~
tqieghed	t g w i e x 3 d
trasferiment	t r a s f e r i m E n t
ttrattat	t tr~ a t
twelled	t w e l l e d
urtat	u r t a t
uzat	u z a t
verbali	e r C i C i
way	w a y
wiesgha	w i e s gh~ a
xagħar	S a g a r
xebh	S r
xehed	f e h e d
xelter	f e l t e r
xogħolha	t " a m g o l a
Ġen	e n
ħallejt	a l j
ħanina	a n i n a
ħarist	a r i s
ħassejna	a s sx~ e xe n a
ħlejjaq	j a q
ħuna	u n a
Żejtuni	j t u n
żminijietna	m i n i j i e t n a
żvolta	v o l t a
żżewġu	e w X i u
Agatha	g a t a
Area	r e a
Audrey	u d r e
Bussan	u s a
Carl	a r
Christine	h r i s t i n e
Clint	l i n t
Conti	o t i
Daqskemm	a q s k e m m
Deal	e a l
Di	i
Dumnikan	u m n i k a n
Editur	d i t u r
Eżodu	o d u
FRanco	5 u k a o
Franġiskan	r a  i s k a n
Ganado	a n a d o
Garden	a r d e n
Gerald	e r a l
Ghamilt	h a m i s t a s
Ghaqda	h a q d a
Ghawdxija	h a u w i j a
Gilbert	i l k
Għoxrin	o i S i n
Hili	i l i
Ikompli	m i p l i
Jacques	a k s o X
Jaqaw	a q a w
Jiddependi	i d a e p e n d i
Jirrakkuntali	i r a k k u n t a l i
King	i N
Kunċizzjoni	u n i z z y a r o n i
Language	a n g u a j
Libjana	i b j a n a
Lira	i r a
Lorry	u r
Manchè	5 u k u n C
Mendelssohn	e n d e l 7 o h E 5
Miftuħ	f t u
Missjunarji	i s C i x u n a r u
Mlievez	l i e p e m u
Nagħtu	y t u
Napprezza	a p p r e z c a
Nitolbuk	i t o l b u k
Onorarji	n o r a r u
Ornis	r n i s
Owen	w e n
Patrun	a t r u n
Pentekoste	e n t Nw~ 3 s t e
Perit	e r i k
Possibli	o s s i b l i
Propju	r o mb~ e C u
Puppies	u p k a
Qawmien	a w m i e n
Queen	e 7 e n
Rapporti	a p p o r t i
Rebecca	e b e k k a
Reġina	e X i a t u
Ridna	d n a
Sajjar	a x a r
Seba	e b a
Segretarji	g r e t a r u
Stajt	t a h
Stanley	t a n l e
Sturnell	t u r n "
Tajba	c b a
Tara	a r a
Tessie	e s s i e
Tgħidli	g i d l i
Tmenin	m E n i n
Tommaso	s o
Trasport	r a s p o r
Uffiċjal	f a q
Utd	t d
West	e s t
alija	a l i j a
alloka	o l  k a
apoloġija	a p o l o X i a h a
appelli	a p p e l l i
approvazzjoni	a p p r o w a z z y a r o n i
appuntat	a p p u n t a t
arkata	a t a
arkitettura	a r k i t e t u r a
attrazzjonijiet	a t tr~ a z z y a r o* e
awtonoma	a w t o n o m a
aħniex	a n i e 7
biblika	b i b l i k a
bid	b i d
bilanċjata	b i l a T a t a
birra	b 3 r a
borza	b o r c a
borża	b o r a
centru	C E n t r u
clubs	k l u b
danakollu	d a n a q u L u
daqqew	d a k " o o
daqsu	d a q s u
dekorazzjoni	d e k o r a z z y a r o n i
distint	d i s t i n t
diviżjoni	d i v i j o n i
dokumentarju	d o k u m e n t a r C u
ekonomici	e k o n o m i C i
elementari	l E l E m E n t a r i
elenkati	e l e Nkw$ a t i
emenda	E m E n d a
esperimenti	e s p e r i m e n t i
etajiet	e t a
etiku	e t i k u
fahhruh	f a h h r u
fantasija	f a nt~ a s i j a
farag	f a r a g
ferħana	f e r a n a
fieragħ	f i e r a g
fortuna	f o r t u n a
fotografu	f o t o g r a f u
gabar	g a b a r
gabet	g a b e t
gbir	gb~ i r
ghaddejt	x a d j
ghallem	x a l l 3 m
ghandkhom	x a nd~ o m
ghenu	g h e n u
ghidna	w i d n a
gieb	g i e
goal	g o a l
goffa	g o f a
good	g o d
gradwati	g r a d w a t i
għoġobhom	g o NG~ o b o m
haduh	h a d u
halaq	h a l a q
hila	h i l a
hlewwa	L e w w a
holqu	h o q
hunting	h u n t i N
hutha	h u t a
iddeċidiet	i d a i d i e t
ikkundannati	i k k u n d a n a t i
ikona	i k o n a
ilesti	i l e s t i
ilmentaw	i l m e n t a w
imbarazzanti	i m b a r a z u k a n t i
imdorrijin	i m d o r i j i n
imfassal	i m y 7 a l
imfassla	i m f n i l a
imgħax	i m g a
imkissra	i m k i 7 r a
imniżżla	i m n i l a
imqassma	i m  7 m a
imsakkar	i m k a m k a r
imħallsa	i m a ly~ s a
imżejna	i m j n a
inehhi	i n e h
infezzjoni	i n f E z z y a r o n i
infisser	i n f i s e r
iniżżel	i n i
installati	s t a l l a t i
investew	i n v e s t i a
inzomm	z o m m
inħallsu	i n a ly~ s u
inżammet	i n a m e
irrestawrata	i r a* 7 " i x a t a
irċeviet	i r e v i e t
ispirata	i s p i r a t a
itaffu	i t a f u
itemm	i t E m
ixandru	i S o n d r u
iċempel	i 3 mp~
jabbuzaw	y a b z a w
jaghmilhom	h a n a m i L o m
jaghtik	h a n a t i k
jagħmillu	h a n k i m  L u
jbigħu	h b i x u
jehodha	h e h o d a
jesplora	h e s p l o r a
jeħodna	h e b n a
jghinuna	h x i n u n a
jgħanni	h g a n i
jiddejjaqx	h i d a j j a q 7
jider	h i d e r
jifformaw	h i f o r m a w
jifirħu	h i f i E
jiggarantixxu	y i g N a r a n t i T T u
jikkoperaw	h i k k o p e r a w
jimirħu	h i m i r u
jimporta	h i m p o r t e
jinghaqad	h i N a q a d
jingħatawx	h i N a t a w S
jintrabtu	h i t r a b t u
jirfes	h i r f
jirreaġixxu	h i r  a X i a T T u
jitniżżel	h i t n i
jizviluppa	h i z v i l u p p a
jiżra	h i r a
joghlew	h t r e w a
joqgħodx	j o k o d 7
jpoggi	h p o g g i
jrabbu	h r a b b u
jsaltan	h s a l t 3 n
jsejjah	h sx~ e xe j a h
jsemma	h e m a
jsofri	h  r i
jsuqu	h s b u
jzuru	h z u r u
jħallix	y a ly~ i S
jħejji	h e i
kabbar	k a b b a r
kampnari	k a m p n a r i
kiesah	k i e s a h
kixfu	k i S w u
klawsola	k l o s o l a
kodiċi	k o d i
kolonjali	k o l o n j a l i
komplet	m i p l e t
kompleta	m i p l e t a
konklużi	k o nk ~ l u i
konnessa	q o n i k n 3 s a
kontanti	k o nt~ a n t i
kontenituri	k o nt~ e n i t u r i
kontinwazzjoni	k o nt~ i n w a z z y a r o n i
kumplimentari	k u m p l i m e n t a r i
kurjuża	k u r xy~ a
kwadra	kw~ a d r a
lajk	l a
leġislatura	l E X i a h l a t u r a
liturgika	t u r g i k a
mahfra	m a h f r a
malvizz	m a l p i t e
maqbul	m a q b u l
maratona	r a t o n a
marittima	m a r i t i m a
maħmuġ	m a m u X i
mdawrin	m d a r a n
merhba	m e r b a
mfittxija	m f i 5 i* j a
mghammdin	m x a m i a n
mifni	m i f n i
minsija	s i j a
mistħoqq	m i s t o q o
mitlufin	m i  f i n
mixgħula	m i S 3 r 3
mixtrija	m i S i j a
mniedi	m n i e d i
moħħha	o* h a
mtellgħa	m t e l a g a
nagħmlux	n a g m  S
nattendu	n a t  e n d u
nefqu	n e f k
ngibu	N i b u
ngħinuhom	N u a o m
nibzghu	n i b z x u
nidentifikaw	n i d e n t i f i k a w
niffrankaw	n i f p a p a
nikkowċja	n i k k o w j a
ninbidlu	n i n py~ i t l u
niġbed	n i NG~ b e d
nosservaw	n o s e r v a w
npoġġu	n p o X i i u
nru	n r u
nsegwu	s e gw~ u
nutar	n u t a r
nwassal	n w a s s a l
oghla	t l a
omnipotenti	o m i i p o t e n t i
orħos	o r o s
osa	o s a
oxxen	o T T e n
pagament	p a g a m E n t
passati	p a s s a t i
pavaljuni	p a v a l C i x u n i
pensjonanti	p e s j o n a n t i
perikoluzi	p e r i k o l u z i
personalità	p e r s o n a l i t 7
persważ	p e r s w a
pinġa	p i  a
poeziji	p o d a l w a
posters	p o s t E r
pozittivi	p o  t t i b i
pprovdut	p p r o w d u t
pressure	p r 3 s a
qalziet	q a l  e t
qasma	q a s m a
qatgħa	q a t g a
quddiemnett	q u d i e m n e t
rappreżentazzjoni	r a p p h r e n t a z z y a r o n i
realistika	r e a l i s t i k a
record	r E c o r d
ribelljoni	b e l lx~ o n i
rieqda	r i e k d a
riha	r i h a
rijabilitazzjoni	r i j a b i l i t a z z y a r o n i
rivedut	r i v e d u t
rreġistrat	r  X i a s t r a t
rwoli	r w o l i
sebgha	s e b gh~ a
segwaċi	s e gw~ a i
sejhu	s e j u
sfruttat	s f k a 7 a
skavi	s k a v i
sodisfatta	s o d i s f E t
spikka	s p i k
spissi	s p i s s i
sponsors	s p o Th~ o r
ssuq	a d a b
stand	s t a nd~
statura	s t a t u r a
stennew	s t e i a
stipulati	s t i p u l a t i
stop	s t o p
superjur	s u p e r h u r
suspettuz	s u s p e t t u s
suwiċidju	s u w i  j u
sħaba	s a b a
sħana	s a n a
taraha	t a r a h a
taxxabbli	t a T T a b bl~ i
te	t e
tebgħa	t e b g a
tegħleb	t e g l e
thaddan	th~ a d
thossok	t h o s s o k
tibzax	t i b z a X
tifraħ	t i f r a
tikkundanna	t i k k u n d a n a
tinghaqad	t i N a q a d
tinzerta	t i n z e r t e
tippermettix	t e p T s a y m 3 t t iT
tippreferi	t e p p r e f e r i
tirrepeti	t i r e p e t i
tirringrazzja	t i r i N X i l z y a r m
titwila	t i t w i l a
tkabbret	t b o r o*
tqiegħdu	t g w i e g d u
trabbew	tr~ a b n o
track	tr~ a k
traġedji	tr~ a x a j i
tħejja	t a  j a
ugiegh	t u g i e x
uċuh	u
waqqa	w a k " o a
waslitx	w a s l i C
weġibx	w e X i a b 7
wings	w i Ng~
xbihat	b " i 7 a t
xeħet	S o t a x a
xjentifikament	S i n t i f i k a m E n t
zgħar	z g a r
ċempilli	3 mp~ i l l i
ċertifikazzjoni	e r t i f i k a Z z y a r o n i
ċirkostanza	i r k o s t a n c a
Ġejt	j
Ħuti	u t i
ħaduh	a d u
ħlewwa	l e w w a
żeffiena	e f o N a
żerriegħa	e r e g a
żomm	o m m
Accident	kh~  i d e n t
Agrikoltura	g r i k o l t u r a
Amen	m e n
Analiżi	n a l i
Ateni	t e n i
Basta	a s t a
Beatu	e a t u
Bidla	d l a
Black	l a k
Bugibba	t u g i b b a
Dahal	a h a l
Dawl	a w
Design	e s i N n i s
Drago	r a g o
Drake	r a k e
Dritt	r i t
Emeritu	m e r i k u
Esterni	S t E r n i
Etienne	t i E n n e
Fondazzjoni	d a z z y a r o n i
Francisco	r a n C i s k i s  o
Gargallo	a r g a l o
Gino	i n o
Hewitt	e w i t
Hotspurs	c p i r
Ibqa	q a
Independent	d e p e n d e n t
Insellem	s e l l 3 m
Isa	s a
Jisimha	i s i m a
Joanne	o a* n e
Karen	a r e
Klarissi	l a r i s s i
Kumbinazzjoni	u mb~ i n a z z y a r o n i
Kummenti	l u m m e n t i
Kuntent	u n t e n t
Liberali	i b e r a l i
Maastricht	a u z i t
Maddalena	a d d a l e n a
Madrid	a d r i d
Magdala	y y e z i
Mejlak	j l a k
Mghallem	x a l l 3 m
Mgħallem	g a l l 3 m
Michel	i C
Miżuri	i u r i
Mussolini	u s s o l i n i
Nassaba	n i a b a
Niehu	i e h u
Piscopo	i s k o p o
Project	t o n o x e k s
Rev	e v
Rocks	T k
Rosa	o s a
Sabbath	a b " b u
Sean	e
Setaw	e t a w
Shakespeare	h a k e 8 p e n e a r e
Sistu	i s t u
System	y s t e m
Temmen	e m e n
Tkompli	m i p l i
Vinci	m a i
Wirja	i r j a
You	o u
adottata	a d o th~ a t a
afdat	a f d a t
aggressiv	y g r e s s i
agħti	y t i
album	a l b u m
ammettew	a m t z u o
an	a n
analizi	a n a l i z i
anonimi	a n o n i m i
antikwata	a n t i k w a t a
arloġġ	a r l o X i i
attribwiti	a t b w i t i
avvanzi	a b v a nz~ i
barriera	b a r e r a
bitħa	b i t a
bixra	b i S
buthom	b u t o m
centri	C E nt~ u z i
dalodu	d a l o d u
daħħlet	d a l e t
ddecieda	d k 3 r i e d a
ddedika	d e d i k a
ddejjaq	d j j a q
definiti	d e f i n i t i
definittiva	d e f i n i t i v a
destinazzjonijiet	d e s t i n a z z y a r o* e
diżappuntat	d i a p p u n t a t
dmirijiethom	d m i r e  o m
doganali	d u g u a n a l i
elettrika	e l e t i k a
eliminati	e l i m i n a t i
energija	e n e r g i j a
esperta	e s p e r t e
ewropa	e w a z i
eċċezzjonijiet	e z z y a r o* e
eżekuttivi	e k "  t t i b i
fadalx	f a d a l 7
famuża	f a m u a
farfett	f a r f e t
fejjaq	f e h j a q
fejjieda	f e h j i e d a
ferrieħa	f e r e a
fiziku	f i z i k u
ftakru	f k r u
fuljetti	f u l x e t i
gassijiet	g a s C e
ggradwa	g b o ch~ dw$ a
ghalijja	x a l i j j a
ghallinqas	x a ly~ i n q o s
ghandhu	x a n d u
ghanja	x a n j a
gharfu	x a r f u
gismi	g i S m i
grassa	g r a s a
gusta	g u s t a
għadhomx	g a d o m 7
għaraft	g a r a f
għodod	k a t o d
hand	h a n d
hejja	h e h j a
hmieg	m i a
hunter	h u n t e r
ibatuli	i b a t u l i
iblah	i b l o h
identita	d e n t i t a
idha	i d a
ihalluna	i i s k a d u n a
ikmamar	i k m a m a r
ikolna	i k i
imgieba	i m g i e b a
immut	i m
imnissel	i m n i 7
imparzjali	i m p a r z y a l i
important	i m p o r t a nt~
imwaħħal	i m w a l o
imħallas	i m a l l a
indikati	i n d i k a t i
inharsu	L 3 y s u
iniex	i n i e 7
inkwetat	i n kw"$ e t a t
inmur	i n m u r
intiża	i n t i a
inħeġġu	i n e i NG~ u
ipassu	i p a s s u
ipinġi	i p i  i
ippreparati	i p p r e p a r a t
iqsar	i k s e r
irranġata	i r a  a t a
isolvi	i s o l w i
iwieġbu	i w k X i b u
jafuha	y a f u h a
jagħmlilna	h a n k i m t o n a
jaharqu	y a h a r X u
jahfer	y a h f e r
jallega	y a l l e g a
jappoġġja	y a p p o NG~ NG~ j a
jaqbadni	y a q b a d n i
jaċċettax	y a e t a X
jemenda	j e m e n d a
jfasslu	h y 7 l u
jgħattu	h g a t t u
jibghatu	h i b x a t u
jibqghux	h i b k w 7
jiffunzjonaw	h i f u n z y o n a w
jikkollaboraw	h i k k o l l a b o r a w
jikkonvinċu	h i k k o n v i n u
jikru	h i k r u
jilaghbu	h i o 8 a n a b u
jimbotta	h i m b o t t a
jimmarka	h i m n a l i m a
jimmarkaw	h i m m a r k a w
jingabar	h i N a b a r
jinjoraw	j i n j o r a w
jintagħżlu	h i t o x l u
jintlahaq	h i t a h a q
jipprotegi	h i p p r o t e g i
jirnexxieli	h i r n " n e l i
jirrakkuntaw	h i r a k k u n t a w
jirrigwardaw	h i r gw~ a r d a w
jissarrfu	h i 7 a r w u
jistiednu	h i s t a o n u
jitbiegħed	h i t a g 3 d
jitkabbar	h i t b o r b a r
jkanta	h k a nt~ a
jkissru	h k i 7 r u
jqiegħed	h g w i e g 3 d
jtih	h t i h
jwaddab	fw~ a d a b "
jħabbat	h mp~
kalendarju	k a l e n d a r e C u
karatterizzata	k a r a t t E r i z z a t a
karru	k a r u
kawt	k a w
kellimni	k e ly~ i m n i
kellmu	k e ly~ m u
kemxejn	k e m j n
kimiċi	k i m i
kkontrollati	k k o nt~ r o l l a t i
kliemi	k l i e m i
koerenti	k o e r e n t i
kollega	q u L e g a
komplu	m i p l u
konsistenza	q o n i k s i s t e n z a
konsulenza	q o n i k r e p e n  z a
kontemporanji	k o nt~ e m p o r a nj~ i
korrotti	k o r o t t i
kostrett	k o s t r e t
ktibna	k t b n a
kubrit	k u b r e
kurjuż	k u r C u
lahjar	l a h j a r
lampa	l a m p a
likwidu	l k w i d u
lis	l i s
listess	l i s t e s
mahtura	m a h t u r a
marċ	m a r
mess	m e s
mewta	w e t a
mewġa	w e N g a
mfassal	m y 7 a l
mifrudin	m i f r u d i n
migburin	m i g i n
mignun	m i g n u n
minorenni	m i n o r e n i
mislufa	C i w o k u p a
mitkellma	m i t k e ly~ m a
mittiefsa	m i t t i e f s a
miġnun	m i NG~ n u n
motivazzjoni	m o t i v a z z y a r o n i
mpatt	p a t
mħallta	m a l l t a
nammira	n a m m i r a
naqqset	n a k " o e t
ndunax	d u n a
nicca	n i C k a
niftah	n i f k i t a h
nippjanaw	pw~ p j a n a w
nipproponi	pw~ p r o p o n i
nispicca	n i S C o* a* k a
nivvutaw	n i v b u t a w
nixtiq	n i S i k
nkitbet	k i t b e t
nnutat	n t a t
nobdu	n o b d u
nominali	n o m i n a l i
nqalbet	n q a l b e t
nqatlu	n q a t l u
nsibux	s i b u S
ntalbu	nt~ a l b u
ntlaqgħet	tL~ a nz~ i k e t
number	n u mb~ v e r
nwarrbu	n o m a n b u
nzomm	n z o m m
nħadem	n a d E* m
obda	o b d a
oht	o h E
okkupat	o k k u p
oħti	o t i
palazz	p a l a z
personaġġi	p e r s o n a N g i i
pitgħada	p i t g a d a
plan	p l a n k o
polemika	p o l e m i k a
pparkjati	p a d a n k j a t i
ppropona	p p r o p o n a
presenti	p r e s l e v e n t i
preventiv	p b e b e n t i
priedki	p r i e d k i
proceduri	p r o k e d u r i
profetika	p r o f e t i k a
proporzjon	p r L o k r cx~ o*
pubblikati	p u b b l k a t i
qabilx	q a b i l 7
qaltilha	q a l t i L a
qbat	q b a t
rapprezentanti	r a p p r e z e n t a n t i
rappreżentata	r a p p h r e n t a t a
rawnd	X o N
regolat	r e g o l a n
regulation	r e g u l a t i o n 3
rhula	r u l a
ritwali	r i t w o l i
rix	r i S
riċeviment	r i p i r i v
rjali	r q
sabuh	s a b u
safe	s a f e
segwejt	s e g w e j
sellem	s e l l 3 m
sharing	S a r i N
speċijiet	s p e e
spjegali	s p h m e g a l i
spjegati	s p E g a t i
spray	s p r a y
strajk	s t r a
studjata	s t w a j a t a
studjaw	s t w a j a w
survey	s u r e
taghtu	t a g k i w
tagħtiha	t a g t i h a
taret	t a r e t
tathom	t a t o m
tazzi	t a z
taħwid	t a w i d
telghet	t E l gh~ e t
tellghu	t e l a x u
terapija	t e r a p i j a
terribbli	t e r b bl~ i
territorji	t e r i t o r u
tiehdu	t i e h d u
tilwim	t i l w e m
tinsiex	t i n s e i 7
tirranġa	t i r a  a
tirrikjedi	t i r k E d i
titgawda	t i t kh~ o d a
titħabbar	t i t a b b a r
tkeċċa	t k e a
tlabtu	L a b t u
tnehhi	t n e h
tnizzel	t n i z z e l
truf	t o u f
urbani	u r b a n i
uzaw	u z a w
varjata	v a r j a t a
vendikazzjoni	f e n d i k a Z z y a r o n i
wegħdiet	w e g d i e t
wicci	w i kh~  i
widien	w i d i e n
www	w w
wżata	w a t a
xbajt	b " a X
xbin	b " i n
xellug	S i L u g
xettiku	f e t t i k u
xettiċiżmu	f e t i m u
xitwa	S i t w a
xogholhom	t " t o lx~ o m
xokkanti	S o q k a n t i
xxandret	T T a ndr$ e t
zbalji	z C i C u
zero	z e r o
zijuh	z i o n u
zoni	z o n i
ċċelebrati	e l e b r a t
Ġust	u s
Ġusta	u s t a
Ġustizzja	u s t i z z y a r m
ġabret	N g a o*
ġiegħel	X i a g
ġieh	N g i e x
ġilda	X i a l d a
ġmiel	N g m i e l
ġralu	N g r a l u
ġudizzjarji	N g u d i z z y a r u
Ħamruniż	a m r u n i
Ħares	a r e
Ħelwa	e l w a
ħabrieki	a b " r i e k i
ħakmet	a k m e t
ħarsu	3 y s u
ħarġiet	a r X i a e t
ħassewhom	n i w u o m
Żejtun	j t u n
