eta 	e t a
presoa	p r e s o a
prezioan	p m u  o a n
printzipioz	p r i t a k o n s
programazioaren	p r o g r a m a z i o a r e
promozio	p r o m o  o
prostituta	p r o s t i t u t a
prototipo	p r o t o t 3 p o
puskatu	p u s k a t u
rockaren	r o k k a r e
sabelean	s a b e l e
sakonagoa	s a q o n a g o a
sakonetan	s a k o n e t a n
sasi	s a s i
sasoia	s a s o* i a
seinalatu	s e i n a l a t u
sekretupean	s a q r e t u p e a n
sekuentziak	s e k u e n t a a k
sekzioa	s a q L o a
selektiboa	s e l e k t i b o a
selekzioa	s e l e k 5 o a
sendotzea	s e n d o c e a
senti	s e n t i
sinboloaz	s i n b o l o a z
sindikatuek	s i n d i k a t u e k
singleak	s i N l e a k
sinpleagoak	s i n p l e a g o a k
sistemarik	s i s t e m a r i k
sobera	s o b e r a
sobietarrek	s o b i e  r k
sobietarren	s o b i e  r
sortzailetzat	s o r w i i l e c a t
sozialari	S o z i a l a r i
sudur	s u d u r
sudurra	s u d u r a
sukarra	s u k a r a
sumendia	s u m e n d i a
sutsu	s u c u
sutsuak	s u c u a k
tailerra	t a i l e r a
teilatuak	t e i l a t u a k
teklatu	t a k l a t u
teklatua	t a k l o t u a
telefonia	t e l e f o n i y a
teorien	t e o r i e n
teorikoan	t e o r i k a
tesiak	t e s i a k
tolestu	t o l e s t u
tontorrik	t o n t o r i
torturak	t o r t u r a
tradiziozko	i t r i w L o c o k o
transgeneroa	i t r i s g e n e r o a
transistore	i t r i s i s t o r e
tratatua	tr~ a t a t u a
tratatuak	tr~ a t a t u a k
tresnaren	t r e s n a r e
tresnarik	t r e s n a r i k
tropikalak	t r o p i k a l a k
txakurren	T a k u r
txapel	T a p e l
txarren	T a r
txertoak	T e r t o a k
txinatarrak	T i n a t a r a k
txinatarrek	T i n a t a r k
txiro	T i r o
txirrindulariak	T i r i d u l a r i a k
txoriak	T o r i a k
ubidearen	u b i d e a r e
udaberri	u d a b e r i
udaberria	u d a b e r i a
udaletxearen	u d a l 3 t " e a a r e
udaletxeko	u d a l 3 5 e k o
ukan	t u k a n
ukitua	u k i t u a
uniformeki	u n i f o r m e k i
uranio	u r a n i o
urtekin	u r t e k i N
usadio	u s a d i o
uzkurdura	u z k u r d u r a
xurgapena	S u r x a b e n a
zaiolako	z a i o l a k o
zakila	z a k i l a
zaleen	z a l e n
zegozkien	z e g o z k i e n
zenbateraino	z e n b a t e r a i n a m b a
zerbaiti	z e r b a i t i
zientifikorik	z i e n t i f i k o r i k
zigorraren	z i g o r a r e
zilegitasuna	z i l e g i t a s u n a
zilindriko	z i l i n d r i k o
zinka	z i n
zirenik	z i r e n i k
zopa	z o p a
zoruan	z o r u a n
zuzendaritzako	z u z e n d a r a c a k o
zuzenduak	z u z i a k
AEBn	n
Abeltzaintza	b e l w i i n c a
Abokatu	b o k a t u
Afrodita	f r o d i t a
Agente	g e n t e
Agnes	g n i
Aguirre	g i r
Ainhoa	h o a
Akats	k a c
Albaniako	l b a n i a k o
Albuma	l b u m a
Alicia	l i i a
Alpeetako	l p e d a t a k o
Amaierako	m a i e r a k o
Amets	m e c
Ane	n e
Angeleseko	g e l e s e k o
Antton	nt~ t o n
Apolok	p o r
Ar	r
Argitaratu	r g i t a r a t u
Argudio	r g u d i o
Arrasate	r a s a t e
Arratsaldean	r a c o l d e
Arrosa	r s a
Artes	r t e
Artxibo	r 5 i* b o
Atenearen	t e n e a r e
Atzean	c e
Aurrekoaren	u r Nw~ 3 a r e
Australiara	u s t r a l i a r a
Auzoaren	u z o a r e
Aztarna	z t a r n a
Banakako	a N k a k o
Bapatean	a p a t e a n
Basileako	a s i l 3 a k o
Basilika	a s i l i k a
Battista	a t t i s t a
Batuetatik	a t u e t a t i k
Be	e
Beach	E w e
Behean	e h e
Belaunaldi	e l a u n a l d i
Berdintasun	e r d i n t a s u n
Bero	e r o
Biblioteka	i b l i o t e k a
Biltzarreko	i l w i r e k o
Bira	i r a
Bitxia	C i a
Bretainia	r e t a i
Bretainiako	r e t a i a k o
Britainiarren	r i t a i a r
Brothers	r o th~ e r
Burdina	g o w
Caja	a h a
Castrok	a s t r o k
Claire	l a i r
Claudio	l a u d i o
Cross	r o s
Daily	i t
Death	e u
Derion	r i o n
Do	o
Doako	o a k o
Dublinen	u b l i n e n
Egilea	g i l e a
Egunez	g u n e z
Egurrezko	g u r d k o
Elektra	l E k E t r a
Enperadore	n p e r a d o r e
Enperadorearen	n p e r a d o r e a r e
Epaitegi	p a i t e g i
Erabateko	r a b a t e k o
Erregai	r g a i
Erreginak	r e g i n a k
Erreka	r r e k a
Errusiara	r s a r a
Ertz	r c
Estazio	s t a L o
Etengabeko	g a b e k o
Etxeberria	T e b e r i a
Euskarari	u s k a r a r o
Eve	v e
Express	S p r e s
Ezkonduta	z k o t a
Federazioko	e d e r a z i o k o
Feminista	e m i n i S th~ a
Florentzian	l o r e n c i a n
Francisca	r a n C i i s k a
Frantziari	r a n t a a r i
Frantziarrek	r a n t a m a n e k
Freezer	h r e 8 e
Fruituak	r u i t u a k
Gaitasun	i t a s u n
Galizia	a l i L a
Gay	a y
Getariako	e t a r i a k o
Gineako	i n e a k o
Girls	i r d
Gorteak	u r t e a k
Gorteetan	u r t i 3 t a n
Gorteko	u r t e k o
Gotorleku	k o t o r l e k u
Goya	o y a
Gustavo	u s t a b o
Hannon	a n n o n
Harresiak	a r a k
Hasi	a s i
Hauetaz	a u e t a z
Haziak	a z i a k
Hegoafrikan	e g o a f r i k a n
Herbert	e r k
Herrien	e r i e n
Herritarrak	e r i t a r a k
Hezur	d u r
Hilaren	i l a r e
Hildakoen	i l 7 a k o e n
Hodei	o d e i
Idazkaritza	d a z k a r i c a
Ikerketaren	k e r  e t a r e
Ikerlari	k e r l a r i
Ilargiak	l a r i a k
Ilargian	l a r N i
Ilargiko	l a r g i k o
Inariko	n a r i k o
Indiak	n t i a k
Inkisizioaren	k i s i L o a r e
Irakasleak	r a k a s l e m a k
Iran	r a
Irish	r i S
Itsasoaren	c a s o* a r e
Jabier	a b i e r
Jasokundearen	a s o k u n d e a r e
Jason	a s o*
Jeronimo	e r o n i m o
Jerry	e r
Joakin	o a k i n
Johannes	o h a n i
Johnsonek	o h E 5 s o i k
Junior	u n i o r
Katedrala	a t e d r a l a
Kirk	i r
Kissek	i s s a q
Kodeak	o d e a k
Kolonbia	o l o n b i a
Kolonbian	o l o n b i a n
Kontserbatorioko	n c  b a t o r i o k o
Kontxa	o C a
Landetako	a n d e t a k o
Legebiltzarra	E g E m e l c r a
Letoniako	e t o n i a k o
Letretako	a t 3 r e t a k o
Lily	i l
Literaturako	i t E r a t u r a k o
Lives	Ng~ e r e
Lost	o s
Lourdes	o g o m 3 s
Lu	u
Luisek	k i s a q
Luzio	u  o
Madeleine	a d e l e i n e
Madre	a d r e
Maitasun	i t a s u n
Malagako	a l a g a k o
Manhattan	a n a t t a n
Margolanaren	a r o l a n a r e
Maximiliano	a x i m i l i a
May	a y
Mediku	e d i k u
Medikuntzan	e d i k u n w i
Medina	e d i n a
Mendizabal	e nd~ i z a b a l
Mi	i
Michelangelok	i C e l a n g 3 l u d
Mondragon	o ndr$ a g o n
Mugimenduak	t u g i m E d u a k
Mutila	u t i l a
Nabarmentzekoa	a b " 3 s a y m 3 n c Nw~ 3
Naturaren	a t u r a r e
Neguak	e g u a k
Nekazarien	e k h a z a r i e n
Nelson	e l o*
Nigeriako	i g e r i a k o
Norberaren	u r b e r a r e
Obraren	b r a r e
Operazio	p e r a a o
Orban	r b a n
Ostera	S t E r a
Pakistango	a k i s t a n g o
Paleolito	a l e o l i t o
Parkeak	a r k e a k
Pascal	a s k a l
Pascual	a s kw~ a l
Percy	e r
Persiar	e r s i a r
Pertsonak	e r c o n a k
Pio	i o
Prezipitazioak	r a  p i t a z i o a k
Realak	e a l a k
Rocket	T k e t
Rudolf	u d o l f
Sandra	a n d r a
Sean	e
Sekula	e k u l a
Semea	3 m 3 a
Serra	e r a
Shakespeareren	h a k e 8 p e n e a r e r e n
Shin	h i n
Sin	i n
Siria	i r i a
Studies	t u d i e
Telebistarako	e l e b i s t a r a k o
Teorema	e o r e m a
Texas	" 3 s
Tierra	i e r a
Translation	r a s l a t i o n 3
Txapelketak	S a p e l k e t a k
Unamuno	n a m u n o
Unibertsoa	n i b e r c o a
Urdaibai	r d a i b a i
Ustezko	s t e z k o
Vietnam	i e t n a m
Vitoria	i t o r i a
Water	a t e r
Zeregin	e r e g i n
Zibilen	i b i l e n
Zientzialariek	c i a l a r i e k
Zigorra	i g o r a
Zipre	i p r e
Zutabeen	u t a b e n
aberasteko	a b e r a s t a k o
aberria	a b e r i a
abstraktua	a b " s t r a k t u a
abstraktuak	a b " s t r a k t u a k
administrazioari	a d m i n i s t r i  o a r i
afinitate	a f i n i t a t e
afroamerikar	a f r o a m e r i k a r
ahultasun	a h u l t a s u n
aipatzearren	i p a c e a r
airera	a i r e r a
aireratu	a i r e r a t u
akabera	a k a b e r a
akta	a k t a
albumeko	a l b u m e k o
aldagaien	a l d a g a i e n
aleko	a l e k o
altuerarekin	a l t u e r a r e k i N
aluminiozko	a l u m i n i o z k o
amaitzear	a m a i c e a r
amesten	a m e s t e i n
amorrua	a m o r a
antropologia	a n t r o p o r o g i a
apezpikuaren	a p e z p i k u a r e
aplikatutako	a p l k a t u t a k o
aprobetxatzeko	a p r o b a C " a c e k o
apuntatzen	a p u n t a c e n
arazoek	a r a z o k
arduratzeko	a r d u r a c e k o
argitaraturiko	a r g i t a r a t u r i k o
argudioa	a r g u d i o a
arkeologo	a r k e o l o g o
arkudun	a r k u d u n
armadura	a r m a d u r a
arrakastarekin	a r k a s t a r e k i N
arrazekin	a r a z e k i N
arrazoiketa	a r a z o i k e t a
arriskuaren	m a n i s k u a r e
arroketan	a r o k 3 t a n
arrotzak	a r o c a k
arruntetan	m a n u n t e t a n
asmatzea	a s m a c e a
astronomiaren	a s t r o n o m i a r e
atalez	a t a l e z
atrakzio	a t r a k 5 o
atzerapena	a t r i ly~ a p e n a
aurpegitik	a u r p e g i t i k
autoan	a u t o a n
autobusen	a u  s e n
autoz	a u t o
auzitara	a u  t a r a
auzune	a u z u n e
azpimarratzeko	a z k u a r a c e k o
aztarnategia	a z t a r n a t e g i a
aztertzerakoan	a z t E r c e r a k a
babestuz	b a b e s t u s
badirela	b a d i r e l a
bailara	b a i l a r a
baketsu	b a k a C a u
baliatuko	b a l i a t u k o
balioan	b a l i o a n
banaturiko	b a n a t u r i k o
banderak	b a n d e r a
baraila	b a r a i l a
barrak	b a r a k
barregarri	b a r g r i
barreiatzen	b a r  a c e n
basamortua	b a s a m o r t u a
baserrietan	b a s E r 3 t a n
bateraezinak	b a t e r a n k a  a k
bazkaria	b a z k a r i a
bazterrak	b a z t e r a k
beharraz	b e h a r a z
behia	b e h i a
berdegune	b E r d e g u n e
bermatuko	b E r m a t u k o
berriztagarriak	b E r i z t a g a r a k
bertsolarik	b E c o l a r i k
bestearengandik	b e s t e a r e N a nd~ i k
besterako	b e s t E r a k o
bidaliz	b i d a l i z
bidezidor	b i d e z i d o r
bigarrenez	b i g a r  i
bigunak	b i g u n a k
bikoizketa	b i k o i z k e t a
bikoteka	b i k o t e k a
bileran	b i l e r i
bilkuran	b i l k u r a
biluzia	b i l u z i a
biratu	b 3 r a t u
bistakoa	b i s t a k a
bitarra	b i t a r a
bitartekaritza	b i t a r d u a r i c a
bizikidetza	b i s i k i d e c a
bizitzarekin	b i s i m w i r e k i N
blokeen	b l o k e n
boikota	b o i k o t a
borrokatzera	b o r r a c e r a
bostehun	s t e h u n
burdinbidea	p l a n i n a n b u  d e a
burura	b u r u r a
deabruak	d e a b r u a k
definituko	d e f i n i t u k o
deformazioa	d e h 5 o a
demokrata	d e m o k r a t a
denboraldiak	d e n b o r a l dy~ a k
denok	d e n o k
depresioa	d e p r e s i o a
derrigortua	d e r x o r t u a
desagertuz	d e s a g a t u s
desberdinean	d e s k Z u i
desberdinetakoak	d e s k d i n e t a k o a k
desberdintzeko	d e s k d e s i a N 8 k o
desorekak	d e s o r e k a k
desplazamendua	d e s p l a n l a m e nd~ i
diagramak	d i a g r a m a k
dimentsioak	d i m E n c i o a k
dinastiak	d i n a s t i a k
diseinaturiko	d i s e i n a t u r i k o
diskak	d i s k a k
diskoetxe	d i s k o a C e
dobela	d o b e l a
dorretxea	d o r  f e a
drogaren	d r o g a r e
duelakoan	d u e l a k a
duintasuna	d u i n t a s u n a
ebakuatu	e b a k u a t u
eboluzionatzen	e b o l u z i o n a c e n
edatea	e d a t e a
edukiontzi	e d u k i o c
egindakoan	g i d a k a
egonkortzen	e g o nk ~ o b r c e n
egundaino	e g u n d a i n o
egungoa	e g u N o a
eguraldiaren	e g u r a l dy~ a r e
ekarria	e k a r i a
ekimenaren	r m E n a r e
ekintzek	r c k
ekologista	e k o l o g i s t a
eleberriarekin	e l e b e r a r e k i N
elezaharra	e l e z a h a r a
elizara	e l i z a r a
elizen	e l i z a n
elkarbanatzen	e l u l b a n a c e n
elkarreragina	e l l 3 m a n e r a g i n a
elkarrizketan	e l l 3 m a n i z k 3 t a n
elkartze	e l u l c e
energiaz	e n e r g i a z
engainatzen	g a i n a c e n
enplegua	e n p l e g u a
entzimaren	e n c i m a r e
entzuleak	e n c l e a k
epaitzeko	a p a i c e k o
erabakita	e r a b a k i t a
erabakitako	e r a b a k i t a k o
erabiltzeaz	e r a b i l c e a z
eragileek	e r a g i l E k
eragozpena	e r a g o z p e n a
eraikinetako	e r a i n a 7 i n e t a k o
erakarriko	e r a k a r k o
erakartzea	e r a k a r c e a
eramanda	e r a m a d a t
erbesteratua	e r b e s t E r a t u a
eremuari	e r e m u a r i
eroaleak	e r o a l e a k
erregaiak	e r g i a k
erreinuko	E r  n u k o
errekuntza	E r e k u n c a
errekurtsoak	E r e k u r c u a k
erremediorik	E r E m E d i o r i k
errepikatuko	E r e p i k a t u k o
errepublikako	E r e p u b l k a k o
errepublikanoen	E r e p u b l k a n o e n
erresumen	E r e s u m e n
erretiratzen	e r  r a c e n
ertzaren	e r w i
esaldian	e s a l e dy~ a n
eskainita	p i p 3 l 3 m i n i t a
eskandinaviar	p i p 3 l 3 m nd~ i n a v i a r
eskarmentu	p i p 3 l 3 m s a y m 3 n t u
eskolen	e s k o l e n
eskubideei	e s k u b i d e i
esleitutako	e s l e i t u t a k o
espazial	e s p a z i a l
estaliko	e s t a l i k o
estatikoa	e s t a t i k a
estimua	e s t i m u a
estudiora	e s t u d i o r a
etapetan	e t a p 3 t a n
etorbidearen	e t o r b i E b a r e
etorkizunaren	e t u r q i z u n a r e
etsi	 s i
euskera	u s k e r a
exekutatuko	" e k u t a t u k o
exotiko	" o t i k o
ezaguera	d a g e r a
ezagutuak	d a g u t u a k
ezartzean	d i t 8
ezberdinetarako	d k d i n e t a r a k o
ezegonkorrak	d e g o nk ~ o b r a k
ezkutatuz	d k u t a t u s
eztabaidetan	d t a b a i d 3 t a n
facto	f a k t o
faltaren	f a l t a r e
faltsuaren	f a l c u a r e
familiakoak	f a m i l i a k o a k
filmari	b i l m a r i
filosofiari	b i l o s o f i a r i
finantzatzen	f i n a n w i c e n
fisikoan	f i s i k a
fokua	f o k u a
formalean	f o r m a l e
foro	f o r o
forua	f o r u a
funtziona	f u n c i o n a
funtzionatuko	f u n t a o n a t u k o
gailurrak	g a i l u r a k
gainaldea	g a i n a l d e a
gainazalak	g a i N tr~ u r i
gaineratzen	g a i n e r a c e n
gaitzespena	g a i c e 8 p e n e n a
garaituz	g a r a i t u s
garraioak	g a r a i o a k
garrantzitsurik	g a r a n t a c u r i k
gastronomia	g a s t r o n o m i a
gastua	g a s t u a
gatazken	g a t a z k e n
gazteekin	g a z e k i N
gaztelaniara	g a z t e l a n i a r a
gehiagotara	g e h i a g o t a r a
gehienean	g e h i i n i
geletan	g e l e t a n
generikoa	g e n e r i k a
genituzke	g e n i t u z k e
geologikoa	g e o l o g i k a
gerraontzi	g e r y c
geruzen	g e r u w Z e n
gidatuak	g i d a t u a k
giharrak	g i e n a r a
gitarrak	g i t a r a k
gizartetik	g i z i t e t i k
gizonez	g i z o n e z
gorenak	g o r e n a k
gorputzek	g o r p u c k
gozamena	g o z a m e n a
gozoak	g o t a k
gramatikal	g r a m a t i k a l
grekoa	g r e k o
gudariak	g u d a r i a k
gurtzeko	g u r t 8 k o
gurutzadura	g u r u c a d u r a
gutunaren	g u t u n a r e
haatik	h a t i k
hamarraldiaren	h a m a r a l dy~ a r e
hare	h a r e
harrizkoak	h a r i z * a w a k
hartzaileek	h a r w i i l E k
hautsiz	h a u c i t e
haztea	t r o n d t e a
hedatuak	h e d a t u a k
hedatuena	h e d a t u e n a
heldutako	h e l d u t a k o
herbeheretar	h e r b e h e r e t a r
heredatu	h e r e d a t u
heroiaren	h e r o a r e
herrigunearen	h e r i g u n e a r e
herrikoiaren	h e r k o a r e
hibridoak	h i b r i d o a k
hidraulikoak	h i dr~ a l i k o a k
hilgarria	h i l a r i a
hiriburuak	h i r i b u r u a k
historialarien	h i s t o r i a l a r i e n
hizketa	h i z k e t a
hobeago	h o G e l g o
hondamena	h o nd~ a m e n a
hornigaiak	h o r n i g a i a k
hotsak	h o d s a k
hutsetik	h u c e t i k
ibarra	i  r a
idazkunak	i d a z k u n a k
idaztean	i d a z
ideian	d e i a n
ideietan	d e i 3 t a n
igandeko	i g a n d e k o
iharduera	i e n a dw~ e r a
ikasteari	i k a s t e a r i
ikerketari	i k e r  e t a r i
ikertzailea	i k e r w i i l e a
ikusezin	i k u s n k a
ikuskatu	i k u s k a t u
iletsua	i l a c u a
independenteki	i n d e p e n d e n t e k i
independentista	i n d e p e n d e n t i s t a
infektatzen	i n f a c e n
ingeniarien	i N E n i a r i e n
inguruneetan	i N u r u n i 3 t a n
inportanteena	i n p o r t a nt~ e n a
interpretazioan	i n t E r p r e t a z i o a n
iparralde	i p a r a l d e
iparraldekoa	i p a r a l d Nw~ 3
irakasgai	i r a k a s g a i
irekien	i r e k i e n
iritzita	i r i c i t a
irregularrak	i r e g u l a r a k
irudiari	i r u d i a r i
irudikapenak	i r u d i k a p e n a k
isolatzea	i s o l a c e a
istorioen	i s t o r i o e n
izaerak	i r o e r a
izoztua	i z o z t u a
jabetzako	y a b e c a k o
jaialdietan	y a i a l d i 3 t a n
jak	h a k
jakintsuak	k i n c u a k
jakintzak	k i nt~ z a k
jarduerek	h a r d u e r a
jarraikiz	y a r m a i k i z
jarraitzaileei	y a r m a i c i t e i
jendartean	h e n d a r e
jendetsuena	h e n d e c u e n a
jipoitu	h i p o i t u
jokabideak	j o k a b i d e a k
jokaturiko	j o k a t u r i k o
jotzera	j o c e r a
kaiaren	k a i a r e
kakao	k a k a o
kalifa	k a l i f a
kalifikazioa	k a l i f i k a Z  o a
kantabriar	k a n t a b ry~ a r
kantuz	k a n t u s
katedradun	k a t e d r a d u n
kazetaritzaren	k a Z e t a r i w i
kezkarik	k e z k a r i k
kidez	k i d e z
klinikoa	k l i n i k a
klubeko	k l u b e k o
kognitibo	k o g i E 5 i t i b o
kokagune	k o k a g u n e
koloniaren	k o l o n i a r e
komertzialki	k o * c i a l k i
komikian	k o m i k i a n
komiko	k o m i k o
konbentzionalak	q o n i k b e n t a o n a l a k
konektaturik	k o n e k t a t u r i k
konkistak	k o nk ~ i s t a k
konkistatzea	k o nk ~ i s t a c e a
kontakizunetan	k o nt~ a k i z u n e t a n
kontseilaria	k o nt~ a b e i l a r i a
kontseilua	q o n c  l u a
kontzentratzen	k o nt~ z e n t r a c e n
korapilatsua	k o r a p i l a c u a
koroatu	k o r o a t u
korronteek	k o r b u* d a k k
kostatzen	k o s t a c e n
kurbak	k u r b a k
kutsuko	k u c u kh~ o
labana	l a b a n a
labar	l a b a r
labean	l a b e
laborari	l a b o r a r o
laburragoak	l a b u r a g o a k
laburrez	l a b u r m u
lagunari	l a g u n a r i
laguntzaren	l a g u n w i
lankideak	l a g o t e a k
lankideek	l a g o t E k
lasaitu	l a s e i t u
lasterketaren	l a s t E r k e t a r e
lauz	l a u
lehiaketako	l E nt~ a k e t a k o
lehorrera	l e h o r e r a
lehorte	l e h o r t e
lekukotasun	l E k E u k o t a s u n
lelo	l e l o
lerrokatze	l E r r a c e
letraz	l E t r i
leundu	l e u n d u
lez	l e z
liberalismo	b e r a l i s m o
libururen	l i b u r u r e n
limitea	l i m i t e a
lorez	l o r e z
lortua	l o r t u a
lotsatia	l o c a t i a
lurrundu	l u r u n d u
luzanga	l u z a Ng~ a
luzatuz	l u z a t u s
maillot	m a i l l o t
margolanean	m a* r g o l a n 3 s 3 m
margolaritzan	m a* r o l a r i w i
margotuta	m a* r g o t u t a
markatua	m a a t u a
markatzeko	m a* r k a c e k o
materialik	m a t e r i a l i k
meategi	m e a t e g i
medikuntzaren	m e d i k u n w i
mendeaz	m e n d e a z
mendialdean	m e n d i a l d e
mentalak	m e n t a l a k
merkantzien	m e r  c i e n
metafisika	m e t a f i s i k a
metil	m e t i l
militarrei	m i l i t a r
minduta	m i d u t a
minutukoa	m i n u n k a
misiolari	m i s i o l a r i
mitoak	m i t o a k
moldatutako	o l d a t u t a k o
motorren	m u t u r
munizio	m u n i 5 o
musikarako	s i k a r a k o
muturrera	m u t u r e r a
nabariena	n a b a r i e n a
nabigatzen	n a b i g a c e n
nafarra	n a f a r a
nahastua	n a h a s t u a
narratzaile	n a r a w i l
nazionalen	n a z i o n a l e n
neoklasikoa	n e 7 l a s i k a
nerabea	n e r a b e a
nerbioa	n e r b i E o a
nion	n i o n
nobelan	n o b e l a n
objektuek	o by~ E k E t u e k
obrari	o b r a r o
obrek	o b r e k
oharra	o h a r a
oinarriaren	o i N r a r e
oinarririk	o i N r i r i k
okerrena	o k e r
ontziko	o c i k o
op	o p
operaren	o p e r a r e
opioa	o p i o k a
ordaina	u r d a i n a
ordukoa	u r d u k o
ordutegia	u r d u t e g i a
orekatzen	o r e k a c e n
organismoen	u r g a n i S m o e n
originalaren	u r i g i n a l a r e
orrialdearen	u r a l d e a r e
ospitaleetan	o s p i t a l e 3 t a n
ostatua	o s t a t u a
oszilazio	o s  l a a o
oxidatzen	o X i d a c e n
padura	p a d u r a
paketea	p a k e t e a
palestinarren	p a l e s t i n a r
parekidea	p a r e k i d e a
paretetan	p a r e t e t a n
parlamentuan	p a l a m e n t u a n
parodia	p e r o d i a
partekatzea	p e r t e k a c e a
partizio	p e r t i 5 o
patogenoak	p a t o x e n o a k
perimetroa	p e r i m E t r o a
pikor	p i k o r
pinua	p i n u a
plataformaren	p l a y i t a h r b i r e n
pluralean	p l u r a l e
portzentaje	p o r c e n t a e
poza	p o y a 7
prebenitzeko	p r e b e n i c e k o
presidentetzarako	p r e s i d e n t e c a r a k o
prestaturiko	p r e s t a t u r i k o
programako	p r o g r a m a k o
programatzaile	p r o g r a m a c a i l e
promozioa	p r o m o  o a
proposatuko	p r o p o s a t u k o
proposaturiko	p r o p o s a t u r i k o
protagonisten	p r o t a g o n i s t e i n
prozesioan	p r o z e s i o a n
publikora	p u b l i k o r a
punikoa	p u n i k a
salerosketaren	s a l e r o s k e t a r e
saltsa	s a l c a
sarien	s a r i e n
sartzeak	s i t 8 a k
se	s e
selekzioan	s e l e k L o a n
selekzioaren	s e l e k 5 o a r e
semantiko	s e m a n t i k o
semeei	s e m e i
sendotasuna	s e n d o t a s u n a
sentikortasun	s e n t i k o r t a s u n
sentsibilitatea	s e n c i b i l i t a t e a
sexualitatearen	s e m a l i t a t e a r e
sinesgarritasuna	s i n e s a r i t a s u n a
sinonimoa	s i n o n i m o a
sinonimotzat	s i n o n i m o c a t
sintaktiko	s i n t a k t i k o
sintesian	s i n t e s i a n
sintetikoa	s i n t e t i k a
ska	s k a
solairuen	s o l a i r u e n
solairutik	s o l a i r u t i k
sorrerak	s o r e r a
sortak	s o r t a k
sortzaileek	s o r w i i l E k
sortze	s o r c e
sozialistek	S o z i a l i s t e k
substratu	s u b s t r a t u
sukalde	s u k a l d e
sultanak	s u l t a n a k
supernoba	s u p E a n o b a
suziri	s u z i r i
talentua	t a l 3 n t u a
taularen	t a u l a r e
taxonomia	t a g n o m i a
teklatuak	t a k l o t u a k
tirano	t i r o
topografia	t o p o g r a f i a
tradizionaletan	i t r i w 5 o n a l 3 t a n
tragikoa	tr~ a g i k a
trainerurik	tr~ a i n e r u r i k
transferitzen	i t r i s f e r i c e n
transmisioan	i t r i s m i s i o a n
trantsizioak	t r a n t i t e  o a k
tresnek	t r e s i k
tropikaletan	t r o p i k a l 3 t a n
turismoak	t u r i s y a k
txabola	T a b o l a
txalo	T a l o
txandakatzen	T a n k a c e n
tximino	C m i n o
txirlo	T i r l o
txistu	T i s t u
txostenaren	T o s t e n a r e
tzat	c a t
udalerritik	u d a l e r i t i k
ugal	t u g a l
urdaileko	g o i l e k o
urik	u r i k
urpeko	u r p e k o
urrira	u r i r a
ustean	u s t e a n
vida	v i d a
villa	v i l l a
xedapen	f e d a p e n
xurgapen	S u r x a p e n
xurgatzeko	S u r g a c e k o
zabalpen	z a b a ly~ p e n
zaharberritua	z a h a r e k r i t u a
zakarra	z a k a r a
zaldunek	z a l d u i k
zapaltzen	z a p a l c e n
zaparrada	z a p a r a d a
zatidura	z a t i d u r a
zatien	z a t i 3 n
zatituz	z a t i t u s
zegokienez	z e g o k i e n e z
zentraleko	z e n t r a l e k o
zentru	z e n t r u
zerbitzarien	z e r b i E w i i e n
zerbitzatzeko	z e r b i E w i c e k o
zertarako	z e r t a r a k o
zibileko	z i b i l e k o
zibilizazioak	z i b i l i z a z i o a k
ziezaion	z i e z a i o n
zinemak	5 m m a k
zinez	5 i
zirkuituaren	z e m a  i t u a r e
ziurgabetasuna	z i u r g a b e t a s u n a
zoragarria	z o r a g a r i a
zoriz	z o r i z
zorizko	z o r i z k o
zorroztasuna	z o r u z t a s u n a
zuhaitzaren	z u a i w i
zurrunak	m a g o r u n a k
zuzentasuna	z u z e n t a s u n a
Act	k s
Action	k t i o n 3
Ada	d a
Aginte	g i nt~ e
Ahalmen	h a l m e n
Ahizpa	h i z p a
Aintzina	i n c i n a
Aireseko	i r e s e k o
Akitaniako	k i t a n i a k o
Alberdi	l k d i
Alderantziz	l d e r a n t a
Algoritmo	l g o r e m o
Anaren	n a r e
Andaluzia	nd~ a l u z i a
Android	ndr$ u i d
Animaliak	n i m a l i a k
Antonioren	th~ o n i o r e n
Ara	r a
Arabiako	r a b i a k o
Arartekoa	r i t e k o
Arazoak	r a z o a k
Arazoetarako	r a z u 3 t a r a k o
Argazkian	r a z k i a n
Arkitekto	r k a m u t o
Arreta	r e t a
Asmoa	s m o a
Aspalditik	s p a l d i t i k
Astean	s t e a n
Atlantikoan	L a n t i k a
Atxilotu	C l o t u
Atzerrian	c e r i a n
Aurrealdean	u r  a l d e
Aurrerantzean	u r e r a nt~ 8
Auzitegiaren	u z i t e g i a r e
Azkena	z k e n a
Azkoitiko	z k o i t i k o
Azkue	z sw~ e
Babiloniako	a b i l o n i a k o
Badia	a d i a
Bankuaren	a n k u a r e
Barearen	a r e a r e
Batek	a t e k
Batxilergoa	a 5 i* l E w 7  a
Batzarrak	a w i r a
Beatriz	e a t r e
Benny	e 5
Berezia	e r a  a
Berrogei	e r o g e i
Biarritz	i a r i c
Bidasoa	i d a s o a
Bilbotik	i l b o t i k
Blake	l a k e
Bon	o n
Brigada	x a d a
Britaniar	r i t a n i a r
Bruselan	r u s e l a n
Budaren	u d a r e
Bularreko	b e r r e k o
Buruz	u r u
Café	a f e
Cambridgeko	a m b r i d g e k o
Carolina	a r o l i n a
Caroline	a r o l i n e
Christmas	h r i s t m a s i
Chuck	h u k
Clarke	l a r k e
Co	o
Codex	o d e 7
Computer	i m p u t e r
