an 	a n
wourunner	w o n n 3 q
würdeg	v a r b
zerbriechen	z e r o* i e C e i n
zeréckgräife	z e r e S k hr~ a ha 3 i f e
zoubleiwen	z o u b l a s e n
zougedroe	z o u g e d r o e
zréckkomm	z r e S k k o m m
zuelräichen	z  r 3 i E N
zuer	z i a
zweeërlee	z w e t 3 l e
zéihen	z E i h e n
Äerderwiermung	e r d i n % e r m u N
ëmfänglech	m f 3 N l E C
Aarbechtskonditioune	a r G C c nd~ i t i o u n e
Abattement	b a t t E m E n t
Alpha	l p a
Ambassaden	b a s s a d e n
Anker	k a r
Annexioun	n " i o u n
Aretha	r e t a
Asteroiden	S t E r o i d e n
Astérix	s t a r o i S
Avicii	v i k i
Baastenduerf	a s t a n  f
Balthasar	a l 8 a s a r
Barock	a r o k
Barrage	a r a g e
Baseng	a s u N
Baustell	a u s t e l l a
Bausubstanz	a u s u b Sx~ nz~ i
Beaver	e a v e r i
Becheren	e T h e r e n
Bedingung	e d i N u N
Beleidegungen	e l e i d e g u N 3 n
Beméiunge	e m u i u N a
Benotze	e n o c e
Berbourg	e r b o u r
Beruffung	e r u w f u N
Bestoen	e s t o 7 o n
Biirger	i r g e r
Biren	i r
Bläistëft	l 3 i s y f
Blécker	l e S k a r
Bornen	u r n e n
Bour	o u r
Bukarest	t u k a r e s
Butler	u t l e r
Bébé	e b e
Cadre	a d r e
Canal	a n a l
Chaplin	h a p l i n
Chemin	h e m i n
Churchill	h u r C i l
Cinemathéik	i n e m a t h e i k
Clara	l a r a
Communauté	o m u n a u a
Conference	o f m i n C i e
Contenue	k o l  a
Curry	u r
Dabo	a b o
Dadechin	a d e C i n
Damon	a m o n
Denker	e n k a r
Densitéit	e ns~ i t e 7 i t
Digitalen	i g i t a l e n
Diskretioun	i s k r e t i o u n
Donven	o b e n
Doo	o
Doodle	d l e
Doru	u r u
Dysfonctionnementer	y s h nC~ t i o n 3 n i m e n t e r
Dän	a* d
Déierepark	e i e r e p a r
Echantillon	C a n t i l l o n
Eestëmmegkeet	e s t b a w a n k a
Eil	i l
Eltrona	l t r o n a
Enkel	k
Enkpass	l kp~ a s
Entloossungen	t o 7 u N 3 n
Etage	t a g e
Expositioun	S p o s i t i o u n
Faschist	a s k a n C i X
Favoritteroll	a v o r i t t E r o l o
Fillen	i l l e n
Flut	l u t
Flying	l i N
Foodsharing	d S a r i N
Forgiarini	u r i a r i n i
Formalitéit	o r m a l i t e i t
Forson	u r o*
Fotograféieren	k o t o b o ch~ o f o k i e r e n
Frichen	r i E N
Fräiberuffler	r 3 i b e r u w f l e r
Fëscherei	e s S e r e i
Gedéiesch	p i e d e i e S
Gemengebuet	E m E N o bw~ a
Gerson	e r o*
Geschwindegkeet	3 S % d e g k a
Gesellschaftspolitik	e s m u S S a f c p o l i t i k
Gesichter	e s i t E r
Gilsdref	i l s ndr$ e f
Grondausbildung	r o n d a u s b i l d u N
Guitar	k i t a r
Gun	u n
Gymnase	i m n 3 s o e
Halet	a l e t
Harespelen	a r e 8 p e n e l e n
Hariko	a r i k o
Heaven	e o
Hellegowend	e l l e g o w e n
Helmsange	e l m s a n g e
Henn	e n n
Horn	u r n
Hostel	o s t e l
Hour	o u r
Howard	o w a r d
Härz	r i e
Igel	g e l
Imunsystem	m u n a s t e m
Independant	d e p e z i
Individualiséierung	n t i v i d u a l i s e i e r u N
Industriellen	u z i e l l e n
Informatiounsversammlungen	n f o r m a t i o u s e r s a m l u N 3 n
Infrastrukturprojeten	n f r a s t r u k t u r p t o n o x e t e n
Inhaltlech	h a l L n
Int	nt~ a
Ir	r
Iwwerfäll	w w e r f 3 l o
Iwwergangszäit	w w e r g a N s z 3 i t
Iwwergrëff	w w e r g r e f
Iwwernuechtungen	w w e r n u e t u N 3 n
Iwwerraschend	w w e r a S
Izeger	z e g e r
Jep	3 p
Justizkommissioun	u s t i z k o m m i s s i o u n
Kaes	a e
Kallek	a l y o x
Kantonen	a n t o n e n
Keeper	e e p e r
Killer	i l l e r
Kniet	n i e t
Kommissariater	o m m i s s a r i a t e r
Kompetenzzentren	i m p e t e n z z e n t r e n
Konsbrück	o* s o* i k a r
Kopien	o p i e n
Käercher	3 i l l a g r
Kürbis	3 r b i s
Law	o
Leitmotiv	e i t m o t i
Lickes	i S k e s
Liesch	i e S
Liewenspartner	i e w e s p i t n e r
Liewenssituatioun	i e w e s s i t u a t i o u n
Linke	m e
Littering	i t t E r i N
Loutrengen	o u t r e N e n
Lëtzbuerger	3 c e r g e r
Maps	a p
Matgedeelt	a t g e d e l
Mediathéik	e d i a th~ e i k
Meekranz	e k "  r i
Melu	e l u
Metaller	e t a l l e r
Mines	i n i
Minnen	i n n e n
Mirkes	i r k e s
Miwwele	i w w e l e
Mobilitéitswoch	o b i l i t e i sy~ o
Moldawien	o l d a w i e n
Monolog	n o l o
Montpellier	o t p e ly~ i e r
Musiker	s k a r
Märei	3 r e i
Nationalspillerin	a t i o n a l s p i l l e r i n
Negatives	g a t i b e
Next	"
Nieweneffekt	i e w 3 n 3 q f Nw~
Nirvana	i r v a n a
Nokommen	o k o m e n
Nothing	o th~ i N
Nott	o t
Observateur	b e r v a i u r
Odyssee	o s s E r e
Olympiad	ly~ f u k a d
Onmutt	n
Onwieder	l a n u i e d e r
Onwiesen	l a n u i e s e n
Opener	p 3 n 3 q
Orangen	r a n g 3 n
Originen	x i n e n
Oxfam	S f a m
Ozon	z o n
Paradise	a r a d i s e
Paragliding	a r a g l i d i N
Passerell	n i e "
Pete	e t e
Photovoltaik	h o t o w o l t 3
Pipeline	i p e l i n e
Plooschter	l o S t E r
Portefeuille	u r t e f e u i l
Primär	l i m 3 r
Probeieren	r o b e i e r e n
Programmen	r o g r a m e n
Prosa	r o s a
Protestaktioun	r o t e s t a k t o u n
Prozentpunkten	r o z e n t d o m a t e n
Präsidentin	r 3 i d e n t i n
Président	r e i d e n t
Pudderzocker	u d a z o k k a r
Quaien	u a i e n
Quim	k i m
Radare	a d a r e
Regimmer	g i m e r
Reiden	e i d e n
Reis	e i s
Renseignement	e n e i N n i s m E n t
Reputatioun	e p u t a t i o u n
Responsablen	e s p o i r a r u w l e n
Restaurateuren	e s t a u r a t e u r e n
Revival	p i r i w a l
Ritual	i t u a l
Rocklab	T k l a b "
Rodgers	o d g e r
Ruben	u b e n
Ruling	l i N
Récksäit	e S k s i t
Saxophon	a g f o n
Schalter	C a l t e r
Schartz	C a r c
Schléissung	C l e i 7 u N
Schlëmmer	C l b a m e
Schnitzel	C n i c
Schocki	C o k k i
Schokela	C o k e l a
Scholl	C o l o
Schëlleg	C E ly~ l a
Shampoing	h a m p o i N
Shuttle	h u t
Silvio	i l i o
Skript	k r i p
Spezialisatioun	p e  a l i s a t i o u n
Spillplang	p i l l p l a N
Spillzäit	p i l l z 3 i t
Stafelter	t a f e l t e r
Standing	t a nd~ i N
Stierwe	t a o r w e
Ställ	t 3 l o
Stéckstoff	t e S k s t o f
Stëmmziedel	t 3 m  e d
Stëppel	t 3 p p e l
Succèsen	a kh~  e e n
Suffix	u f i S
Suggestiounen	t u g g 3 s t i o u n e n
Surprise	u r p r i s e
Szeen	z e n
Tandel	a n d e l
Tanja	a n j a
Telekommunikatioun	e l e k o m u n i k a t i o u n
Teppecher	a p p e C e i r
Thematiken	h e m a t i k e n
Tips	i p
Tor	o r
Toure	o u r e
Trierweiler	r i e r w e i l e r
Tube	u b e
Turnen	u r n e n
Ufang	f a N
Ufäng	f a* d
Uleedung	l e n d u N
Unhang	h a N
Ureiz	r e i z
Utopolis	t o p o r i s
Valerija	a l e r i j a
Valorisatioun	a l o r i s a t i o u n
Vandivinit	a n d i v i n i t
Verdun	e r d u n
Verzerrung	e r r i ly~ r u N
Videospill	d e o s p i l
Virkafsrecht	i r % k a f s a t
Virsëtz	i r o c
Vlaischt	l a i s t
Volontaire	o l o n t a i r
Volumen	o l u m e n
Voyage	o y a g e
Vëlossport	3 l o s s p o r
Waasserdamp	a s e r i d a m 3 h
Wahlowend	a h l o w e n
Wahlsonndeg	a h l s o nd~ e n
Walresultat	a l r e s u l t 3 t
Watson	a c u n
Weimeschkierch	e i S C o mb~ o
Welte	e l t e
Weltkricher	e l t k r i C e r
Weltmeeschtertitel	e l t m e S t E a i p
Westafrika	e s t a f r i k a
Wifi	f i
Wine	i n e
Workshoppe	u r X C o p p e
Wuertspill	u e r c p i l
Wuesstëm	u 3 s a y m
Zesummefaassung	e s u m e t a u t a l 7 u N
Zilgrupp	i l g a m p
Zouso	o u s o
Zowaasch	o w a i S
agetraff	a g e t r a f
agreabele	y r e a b e l e
alleréischten	a l l e r e i S t E n
ambitiéist	a m b i t i e i s
amendéiert	a m e n d e i e r
amplaatz	a m p l a c
amüseiert	a m 3 s e i e r
anhëlt	a n e t a s
antisemitesch	a n t i s e m i t e S
architektonesche	a r C i t e k t o n e s C e
aschléit	a s C l e i t
asiateschen	a s i a t e s E N
ausenanerzesetzen	a u s e n a n e r 8 e c e n
ausgespillt	a u s g 3 s p i l l
ausgin	a u s g i n
aviséiert	a v i s e i e r
baufälleg	b a t u f 3 l l a
bedengt	b e q i s i r
bedréckend	b e d r e S k 3 n d
befall	b e f o l
befrote	b e f r o t e
behuele	b e h u i e l e
beileiwen	b e i l s e n
beispillhaft	b e i s p i l l a f
berodend	b E r o t
bestehenden	b e s t e h e n d e n
besënnen	b e s 3 n n e n
bevirdeelegt	b e v i r b E l E g
bewaffent	b e w a f
bezweiwelen	b e z w s e l e n
blond	b l o n d i
blénkeg	b l ky~ 7 o g
budgetäre	b u d g e t 3 r e
bäikritt	b 3 i k r i t
centre	C E n
chef	C e f
chiffréieren	C i f r e i e r e n
chronescher	C r o n e S E r
couvréieren	k o u b r e i e r e n
deelhëlt	d e n L E ly~
delegéierten	d e l e g e i e r t e n
denks	d e Nkw$
dodrunner	t o t r u n n 3 q
dohigestallt	d u h i g 3 s t a ly~
duerchgezu	d u i l l g e z u
déidleche	d e i d l e 5
ebeschen	e b e sy~ s E N
enormt	e n o r m
entscheedenden	e n c C e n d e n d e n
entspaanten	e n c k a n t e n
entstoungen	e n t s t o u N 3 n
erausgefuerdert	e r a u s  pw~ e r d e r
erauskomme	e r a u s k o m
erausstellt	e r a u s s t e l l a
erstaunlecherweis	e r s t a u n l e 5  w e i s
erueweren	e r u w a w e r e n
etabléierte	e t a b l e i e r t e
ewechzehuelen	a w e C 8 w e l e n
extravagant	e S a w a h i
f	f
faarwegt	f a r w e g
feat	f e a t
feindlech	f e i d l E C
festhale	f e S 8 a l e
fills	b i l l
fonkelnei	f o m a l n e i
formelle	f o r m
fortgaang	f o r t t u
freie	f r e i e
fëlle	f E ly~ l e
gebuerene	g e b u e r e n e
gefaang	g e f a r a N
gefill	g e f i l
gefälleg	g e f 3 l l a
gefëscht	g e f e s t
geschriwwene	g e S  ry~ u e n e
gespiert	g e s p i e r
gestion	g e s t i o n 3
gestärkt	g e s t 3 r k
gesënnt	g e s 3 n a 5 a
geziilte	g e z i l t e
gon	g o n
grell	g "
guerre	g e r
haaptberufflech	h a s u t k f l E C
harmonescht	h a r m o* e s t
higeluecht	h i x e l u e t
hueste	h u i e s t e
immenz	i m e N
intellektueller	i n t e l a Nw~ a k o n u l l e r
interessantes	i n t e r e s s a n t e
islamescher	i s l a m e S E r
iwwerfëllte	i w w e r f 3 L t e
iwwernuecht	i w w e r n u e t
iwwerspëtzt	i w w e r s a p i c
jüddesch	j 3 8 i S
kadreiert	k a d r e i e r
kanadeschen	k a n a d e S E N
kengesfalls	k e N e s y L
klimatesch	k l i m a t e S
kloteren	k l o t E r E n
kommender	k o m e n d e r
konstruktiver	q o n i k s t r u k t Ng~ e r e n
konventionéiert	q o n i k f e n t i o n 3 e i e r
kriminelle	k r i m i n
kriten	k r i t e n
kryptéiert	k r 3 p n i e r
kuurz	k u r
lageren	l a g e r e n
lauert	l a u e r
legaler	l e 7 a l e r
lenker	l E n k a r
letztendlech	l e c l E C
liersen	l i e r e n
luusse	l u s s e
längerem	l 3 N e r a m
läsche	l a e S C e
léen	l e e n
lëtzebuergeschem	l 3 c o bw~ a  g 3 s C e m
maximalen	m a S i m a l e n
monochrom	m o* T h r o n
motiveiert	m o t i b e i e r
mus	n o s
must	s
méiglechem	m u i l e C e i m
mémoire	m 7 n w a i r
mëndlechen	m E nd~ l e C e i n
nation	n a t i o n 3
ned	n e d a n
nemmi	n e m m i
niddregst	n i d g s d a
normalem	n o r m a l e m
noréckelen	n o r e S k e l e n
nosteet	n o s t a
numm	n u mp~ m
nur	n u r
ofgeschwächt	o f g 3 s C w 3 t
onbeschreiflech	o % s a m a C r e i f l E C
ondemokratesch	d e m o k r a t e S
openaner	o p e d a n 3 q
opgaang	o p t u
opgestanen	o p g 3 s t a n e n
optriede	a t r i e d e
opzezielen	o p z a  e l e n
organiséierten	u r g a n i S e i e r t e n
paff	p a f
plastesch	p l a y i s t i S
plécken	p l a e S k e n
ppm	p p m
praktescher	p r a k t e S E r
procédure	p r o k e d u r e
proposéierte	p r o p o s e i e r t e
proppere	p a z p e r e
pédagogique	p e d a g o g i k E
quitt	k i t
rabbelt	r a b b e l
realistesche	r e a l i s t e s C e
rétention	r e t e n t i o n 3
saudesche	s a u d e s C e
scheien	S E i e n
schéisse	S e i s s e
see	s e
shoppen	S o p p e n
société	s o m e T i e a
souwéisou	s o u wy~ i s o u
stoppe	s t o p p e
strofrechtlech	s t r o f r e C L n
städtesche	s t a r t e s C e
time	t i
turbulent	t u r l e n t
typescher	ty~ e T a g r
ugëtt	t u g 3
ukoum	u k o u m
uleeft	u l e f
ultra	u l t r a
unilateral	u n i l a t e r a l
unter	u n t e r
unzeweisen	u n z e w e i s e n
uweisen	u w e i s e n
validéieren	v a l i d e i e r e n
verdréint	e r ndr$ e i nt~
verkleeden	e r k l e n d e n
verstärken	e r s t 3 r k e n
vertraue	e r tr~ a u e
virgeluechten	v i r g e l u e t E n
viruginn	v i r u g i n n
vollkomme	v o l l k o m
weiderzefueren	w e i d i n 8 pw~ e r e n
wennt	w 3 n
widderluecht	w i d a m b u g t
zack	z a k
zeréckbezuelen	z e r e S k b d u e l e n
zeréckginn	z e r e S k g i n n
zeréckkucken	z e r e S k k u k k e n
zesummenzestellen	z e s u m e n z e s t e l l l e n
zougewise	z o u g e u s e
zouzeschreiwen	z o u z i S  r s e n
zréckbezuelen	z r e S k b d u e l e n
zréckgräife	z r e S k hr~ a ha 3 i f e
Éieregäscht	i e r e g a e S t
Éiergäiz	i e r g 3 i z
äntwere	a* d t w e r e
éierleche	e i r xy~ E kw~ i n
ëmdréinen	m ndr$ e i n e n
ënnermaueren	3 n n e r m a u e r e n
ënnerschiddlechst	3 n n e r S i d a l e C s d a
ökologescher	k o l o g 3 S E r
Aarbechtskolleegen	a r k C c q u L e x e n
Acquis	k k i s
Affaires	f a i r e
Akommessteier	m i S S t a i e r
Akzident	k  d e n t
Albumcharts	l b u m p i t
Algorithmen	l g o r i th~ m e n
Allerwichtegst	l l e r E f  t E g s d a
Almeida	l m e i d a
Altwis	l t w i s
Amber	mb~ e r
Aneres	n e r e
Appe	p p e
Ardennenoffensiv	r d 3 n o f s i b E
Ariana	r i a n a
Ariichtunge	i C t u N a
Arizona	r i z o n a
Aspuerungen	s p u e r u N 3 n
Ausfäll	u s f 3 l o
Ausgangspositioun	u s g a N s p o s i t i o u n
Ausrutscher	u s r u c E r
Ausübung	u s 3 b u N
Automobil	u t o m o b i l
Autossteier	u t o s S t a i e r
Avenir	f e n i r
Bast	s d a
Bastelen	a s t e l e n
Befrote	i f r o t e
Beléiftheet	e l e i f i 3 th~ i
Beraich	e r a i C
Berechtegung	e r e t E g u N
Beruffsstand	e r u w f 7 t a n d i g
Beschof	3 S
Besonneg	e s  S
Bezos	e z o s
Bifdeck	f d e k
Bildungsminister	i l 7 u N s m i n i s t e r e n
Billiounen	i ly~ i o u n e n
Birthday	i r t d a y
Blanchiment	l a n C i m E n t
Bloalgen	l o a l g 3 n
BnL	n
Boly	o l
Botschafter	c C a f t e r e n
Bouneschlupp	o u n i S  n o z p
Bram	r a m
Brandstëftung	r a nd~ s y f t u N
Brennweit	r e w e i t
Bud	u d
Budgetsried	u d k  s u r i e d
Buff	u f
Bumb	mp ~ C i
Bäifuerer	3 i pw~ e r a r
Cast	s d a
Cavalcade	a b a l k a d e
Chercheuren	h i l l a g u r e n
Classes	l a s e
Concertatioun	o z i r t a t i o u n
Constructeur	o s t r u k t e u r
Content	n
Coupé	o m e
Deck	e T
Declaratioun	e k l a r a t i o u n
Deelercher	e l e r x e r
Detroit	a t 3 r o i t
Dino	i n o
Disko	i s k o
Doft	o f
Dokteraarbecht	o k t E r a  k t
Donnée	o a j
Drës	r 3
Duett	u e t
Dummeldenger	l u m m e l d e N e r
Détailler	e tw~ a i l l e r
Eco	k o
Editioune	d i t i o u n e
Eegestännegkeet	g a* 7 a* d n e g k a
Eemeren	E m E r E n
Eine	i n e
Employéë	p l o y e 3
Emprunten	p r u n t e n
Ensembelen	s e mb~ e l e n
Entdeckungen	nt~ b S k u N 3 n
Entitéit	t e  i t
Erennerung	r e n n e r u N
Espoir	s p o i r
Etika	t i k a
Etudë	t u d 3
Euroskeptiker	u r o s k e p t i k a r
Fabricken	a b " i cy~ k e n
Fakultéit	a k u l n i t
Farage	a r a g e
Faschisten	a s C i s t e i n
Fautsch	a u c
Feil	e i l
Filip	i l i p
Filipe	i l i p e
Finanzinstituter	i n a n c~ s t i t u t e r
Finanzsituatioun	i n a n c~ s i t u a t i o u n
Flex	l E 7
Flüchtlingsstatut	l i k a r e n L i N s s t a t u t
Francois	r a nC~ o i s
Fréi	r e i
Funktionalitéit	u n k t o n a l i t e i t
Fussballspiller	u s s b a ly~ s p i l l e r
Führerschäi	3 r e r s Ch~ a i
Gaassen	a s e n
Gefaangenschaft	i f a r a N 3 s ns~ C a f
Geisel	e i s
Gemengeplaz	E m E N E p l a n i n
Gemengeservicer	e m e N e s a i g a r 3 v i 5 i r a t
Gengler	o N l e r
Gent	e n t
Genua	e n u a
Gericht	r i t
Gerry	e r
Gesellegkeet	e s m u S g k a
Gesin	e s i n
Gespills	e s p i l l
Ghetto	h e t t o
Gilets	i l e c
Gremie	r E m i e
Grenzkontrolle	r e n z k o nt~ r o l l e
Grinsen	s e n
Groussbrand	r o u s b r a n d
Grousseltere	r o u s s l 3 i a r
Gréiss	r e i s
Guetta	u e t t a
Haaptprotagonist	a p t p r o t a g o n i S th~
Haart	a r
Hamon	a m o n
Handwierksgeschir	a n d w i e r k s g 3 s C i r
Heesprénger	e s p r e n g e r
Heiheem	e i x e m
Hertz	e r c
Hervé	e r v e
Hinsichten	s i C t e n
Hoffenheim	o f x 3 i m a
Hohepriister	h e p r i s t e r e n
Horairen	o r a i r
Horrorfilmer	u r ph~ u k a C a m e
Hysterie	y s t E r i e
Häerzblutt	3 e L bl~ t t a
Häfen	3 f e n
Händchen	a* d E N
Héichformat	e i C h e m a t
Héichtemeter	e i t E m e t e r
Héichwaasserschutz	e i C w a n i e r S u c
Iddië	d i 3
Identifikatioun	d e n t i i S t i m a  o u n
Importenz	p o r t e n z
Indiana	n t i a n a
Ineos	n e o s
Inkompetenz	l i m p e t e n z
Inten	n t e n
Iwwergank	w w e r g a n
Iwwergäng	w w e r g a* d
Jimi	i m i
Jochen	T h e n
Joreskrees	o r e s k h r e s
Justizministesch	u s t i z m i n i S th~ i S
Kalennerwoch	a l 3 n e r w o
Kanneraarbecht	a n n e r a   t
Karosserie	a r o s e r i e
Kichepabeier	i C e p a b e i e r
Kicker	i S k a r
Kierchechouer	i l l a g C o i a
Kiirchbierg	i l l a rx~
Kommunikatiounsberoder	o m u n i k a t i o u s k o d e r
Kompetenzzentrum	i m p e t e n z z e n t r u m
Komplikatioune	i m p l k a t i o u n e
Kompromiss	i m p r o m i s
Kooperatiounsminister	o p e r a t i o u s m i n i s t e r e n
Krut	r u t
Kréien	r e i e n
Kuerzgeschicht	k i k " L g 3 s C i t
Kummeren	l u m m E r E n
Kurschat	u r S
Kächin	3 C i n
Kënschtlerkollektiv	3 n S t l e r q u L Nw~ t i
Lavabo	a b a b o
Layeren	a y e r e n
Liefzäiten	i e f z 3 i t e n
List	i s t
Literaturconcours	i t E r a t u r k o nC~ o u r
Lizenzen	i z e n z a n
Lobo	o b o
Lous	u
Louvigny	o u b i g n
Luther	u t h e r
Madeleine	a d e l e i n e
Magistratur	y i s t r a t u r
Mannes	a n i
Massage	n i a g e
Masterplang	a s t E r p l a N
Maxim	a x i m a
Meeschterschaften	e S t E r S a f t e n
Melcher	e l C e r
Memorandum	e m o r a nd~ u m
Mentioun	e n t i o u n
Mi	i
Modalitéite	o d a l i t e i t e
Modalitéiten	o d a l i t e i t e n
Monday	d a y
Moselle	o s
Mängel	3 N
Méchela	e l a g u r
Méigleches	e i l e C e i
Mélenchon	3 i n C i h o n
Mëssverständnesser	e s e r s t 3 nd~ n e s e r
Mëttwochowend	3 t w o C o w e n
Nationalsozialismus	a t i o n a l s o z i a l i s m u s
Nazi	a z i
Nazie	a z i e
Neckel	e T k
Neveu	u s k u
Niklos	i k o s
Nordliicht	u r d l i i t
Notre	o t r e
Observatioune	b e r v a t i o u n e
Ogier	g i e r
Oman	m a n t a
Onméiglechkeet	n p a u i l e C k a
Opschloss	p S l o s
Partnerschaften	i t n e r S a f t e n
Parzellen	a r z e l l e n
Patronage	a t r o n a g e
Pentagon	e n t a g o n
Photoe	h o d o e
Pilz	i l
Pippi	i p p i
Platten	l a t t e n
Plaza	l a z a
Poetry	N tr~
Polver	o l v e r i
Pour	o u r
Presentatiounen	r e s e n t a t i o u n e n
Printer	r i t e r
Privileeg	r i v i l e
Prommenhaff	r o m e n a f f
Päif	3 i f i
Pëllen	E ly~ l e n
Quellesteier	 3 S t a i e r
Rapportrice	a p p o r i cy~ e
Rau	a u
Regierungsaccord	g i e r u N s a kh~  o r d
Regierungssäit	g i e r u N s s i t
Regisseuren	g s e u r e n
Reklam	e k l o m
Revis	e v i s
Ribeiro	i b e i r o
Roi	o i
Rosé	o s e
Rotspresident	c p r e s i d e n t
Roulement	o l E m E n t
Rythmus	y th~ m u s
Régis	e g i s
SMSen	e n
Saarlouis	a r l a u i s
Salmane	a l m o n e
Schaeffer	C a e f e r
Schanck	% p i s k a n C i
Schauls	C a u l
Schauspillerei	C a u s p i l l e r e i
Schintgen	C i nt~ g 3 n
Schlaangen	C l a n g 3 n
Schluechthaiser	C m b u g C 8 a z o l
Sengem	g e m
Sensatioun	e n s a t i o u n
Shoot	h o u t
Silicon	i l i k o n
Skandinavien	k a n d i n a v i e n
Skelett	k e l e t
Slalom	l a l o m a
Slowen	l o w e n
Soin	o i n
Sozialsecteur	o  a l e n i u r
Spektakelen	p e k k e l e n
Spillt	p i l l
Spoiler	pw~ a l e r
Spontan	p o n t a n
Sportlech	p o r L n
Spréng	p r e n
Spëtzenzäiten	a p i c e n z 3 i t e n
Stabilitéitsprogramm	t a b i l i t e i s p r o g r a m 3 n
Statistesch	t a t i s t i S
Stick	t i k
Stoffel	t o f
Sturm	t u r m
Styles	ty~ e l e
Stëck	t e
Séinout	e n u t
Tabernakel	a b e r u k u n
Taifun	i f u n
Tandem	a n d e m
Terres	e r
Testphase	e s t ph~ a s e
Thews	h e 3
Tiptop	i p t o p
Transferte	r a s f e r t e
Transmissioun	r a s m i s s i o u n
Tricke	r i S k e
Tréin	r e i n
Tullio	u l l i o
Twin	w i n
Universal	n i v e r s a l
Vater	a t e r
Veranstaltunge	e r i s t a l t u N a
Verbriecher	e r b r i n
Verkafsstänn	e r % k a f 7 t 3 n n
Verkéierssituatioun	e r k e i e r s s i t u a t i o u n
Verstuerwene	e r s t u e r e n e
Verteidegungsminister	e r t e i d e g u N s m i n i s t e r e n
Virgabe	i r g a b e
Virgesinn	i r g 3 s i n n
Volleksparteien	o l l e k s p i t e i e n
Waffesystemer	a f f i S k s t E m E r
Wallonie	o l  " w i e
Wandpark	a nd~ a d a n
Warren	a r
Websäite	e b s i t e
Wehrer	e h r e r
Weiher	e i h e r
Wells	i L
Weltwirtschaft	e l t w i r a c C a f
Wen	e n
Wessen	e s e n
Whitney	h i t n e
Wiechter	i e t E r
Willems	i l l e m
Wirtschaftssystem	i r c C a f c a s t e m
Wourop	o u r o p
Wuertschatz	u e r c C a c
Wunnengsbaupolitik	u n u g s b a u p o l i t i k
Wunngebidder	u n w i d 3 l 3 m  d e r
Wéinstens	e nsw$ i
Year	e a r
Zanterdeem	a n t E r b e m
Zeremonien	e r e m o* i e n
Zivilcourage	i v i l k o u r a g e
Zäitschrëften	3 i c C r e f t e n
ablécklech	a b l e S k l E C
accordéieren	a k k o r d 3 7 i e r e n
aféiere	a f e i e r e
aka	a k a
aktiivt	a k t i v
anormal	a n o r m a l
appréciéiert	a p p r e m e T i e i e r
are	a r e
ausgebilten	a u s g E m e l t e n
ausräichend	a u s r 3 i C
auszeschalten	a u s z e s p i h t e n
begeeschterte	b e  e S t E a t e
beid	b e i d
belaaschtend	b e l a 7 S t o n d
berichten	b E C t e n
beschléissen	b e S  l e s e n
besetzt	b e s a i c
bestemmten	b e s t a m t e n
bislo	b i s l o
boykottéiert	b o y o d a y n i e r
bäigetrueden	b 3 i g 3 t r u e d e n
couragéierte	k o u r a g e i e r t e
dekorativ	d e k o r a t i
demographescher	d e m o g r a p h e S E r
denk	d e n
desastréis	d e s a s t r e i s
destruktiv	d e s t r u k t
deër	d e 3 r
differenzéieren	d i f f e r e n z E i e r e n
diser	d i s e r
diversifizéiert	d i e r   z E i e r
elektrescher	e l e k t r e S E r
erageet	e r a g a
eraushalen	e r a u S a l e n
erschléissen	e r S l e s e n
erwecht	e r w e t
erëmkënnt	e r b k 3 n a 5 a
erëmspigelt	e r b s p i g e l
eventueller	p i r 3 n t u e l l e r
fichier	f i C i e r
fierchterlech	f i i l l t u r xy~ E kw~ n
filteren	b i l t E r E n
finaliséieren	f i n a l i s e i e r e n
fortgeschratt	f o r t g 3 s C r E t
fotografesch	f o t o g r a f i S
frustrant	f r u s t r i
fuddelen	f u d e l e n
fäertereg	f 3 e r t e r a
fënnefter	f 3 n n e f t e r e n
gebiertegen	g e b i e r t e g 3 n
gebitzt	g e b i c
gebraut	g e b r a u t
gedeelter	g e d e l t e r
geheimen	g e f e i m e n
gelackert	g e l a k k e r
gemengten	b i g o i Ng~ t e n
geniale	g e n i a l e
geschwate	g e S  w a t
gesondem	g e s o n d E* m
gewalttäteg	g e w a l t o e N
geweigert	g e w e i g e r
gewierdegt	g e w i e r d e g
gewéckelt	g e wy~ k n z a g u r
geübt	g e 3 b
greissten	g r e i s s t e i n
haapt	h a s u
heien	h e i e n
higeriicht	h i x e r i i t
huerteg	h u i e r t e
iergent	i e r g e n t
initiale	i n i t i a l e
intellektuellen	i n t e l a Nw~ a k o n u l l e n
ireschen	i r e S E N
islamesch	i s l a m i S
iwwerpréiwe	i w w e r p r e i w e
iwwertreffen	i w w e r t r e f e n
karéierten	k a r e i e r t e n
katapultéiert	k a t a p u l n i e r
kierchleche	k i e r h e 5
kierzester	k i e r z e s t e r e n
klimafrëndlech	k l i m a f r 3 n d l E C
kläert	k l 3 e r
komplexer	m i p l e " e a r
konkretiséieren	k o nk ~ r e t i s e i e r e n
konkurrenzfäeg	k o nk ~ u r  z f 3 o g
konsequenten	q o n i k s k e n t e n
kooperativ	k o p e r a t i
korrekte	k o r Nw~ t e
kuriéis	k u r i e i s
learning	l E a r n i N
längerfristeg	l 3 N e r f r i S t a
mathëlt	m a th~ E ly~
matzebréngen	m a c r r e n g 3 n
matzehëllefen	m a c e h E ly~ l e f e n
matzesangen	m a c e s a n g 3 n
melden	m e l d e n
meter	m e t e r
minimiséieren	m i n i m i s e i e r e n
