on 	o n
Võhmar	n a hm~ a r
Võimud	n a i m u d
Võimule	o i k l e
Võistlusele	n a i s t l u s e l e
Võrgu	o* r b i x u
Welt	e l
Wembley	e m b a l e
Wiedemanni	i e d e m a n i
Wild	i l 7
Winston	s t o n
Youtube	o u t u b e
Zuckerberg	u C k e r p l a y
aastakoosolek	a s t a k o s u k o r a
aastakümned	a s t a k 3 m i d
aastaringi	a s t a r i N i
aateid	a t e i d
abiellu	a b i i L u
abielluvad	a b i i L u b a d
abistasid	a b i s t a s i d
advendiaja	a d f e n d i a h a
advokaadibüroost	a d v o k a d i b u r o s
advokaate	a d v o k a t e
agendi	a g e n d i
ahjud	a h h u d
ahjust	a h xy~ s d a
aimatagi	a i m a t a h i r i
ajalist	s u l i s
ajaloolistest	a q  o l i s t e s
akadeemias	a k a d e m i a s
aktiga	a k t i g a
aktiiv	a k t i
aktiivsemaid	a k t i v s p o N i e i
aktsiapaki	a k c i a p a k i
albaanlaste	a l b a n l a s t e
algset	a l k e t
alkoholijoobe	a l k o h o l i j o b e
alkoholireklaam	a l k o h o l i r e k l o a m
allakirjutamine	o l  k i r h u t a m i n e
allavett	a l l a v e t
alustata	a l u s t a t a
ambitsiooni	a m b i t i o n i
ametitesse	a m e t i t 3 s a
ametivendi	a m e t i b e n d i
ametivenna	a m e t i b e
ametkondlik	a m e t nd~ b u C o
ametnikelt	a m e t n i k e l
ammuli	a m u l i
andsite	a n d s i t e
antenni	a n t 3 n i
arenguprogrammi	a r e n g u b r o g r a m m i
argielus	a r g i e l u s
argipäevast	a r i p 3 7 e b E s
arhiivid	a r i g a v i d
armeest	a r m E k 3 n C
armsat	a r m s a t
armulauale	a r m u l a u a l e
arutamaks	a r u t a m a k
arutlused	a r u t l u s 3 d
arutust	a r u t u n u s d a
arvatavad	a r v a t a v a d
arvestatuna	a r b e s t a t u n a
arvukaid	a r  i d
asendamiseks	a s e n d a m i s Nw~
asespiiker	a s e s p i o k a r
asjatundliku	a s j a t u nd~ l i k u
askeldavad	a s k e l d a v a d
astmelisest	a s t m e l i s a* 7
asumi	a s u m i
audiitorid	a u d i i t o r i d
auditoorium	a u d i t o 7 o ry~ u m
augus	a u g u s
auhindadele	a u h i n d a d e l e
auhinnagalal	a u h i n n a g a l a l
ausale	a u s a l e
ausas	a u s a s
austava	a u s t a v a
autobaasi	a u t o b a s i
autodes	a u t o d o m 3 s
autokoolide	a u t o k o l i d e
automaatse	a u t o m m a c
autorina	a u t o r i n a
autota	a u t o t a
avaldamisele	a b a l d a m a s l 3 e
avalikkuseni	a b a l i k  e n i
avalikustamisest	a b a l i k u s t a m i s a* 7
avaramad	a b a r a m a d
avaringi	a b a r i N i
avastardi	a b E s n a p a d i
baase	b a s e
bariton	b a r i t o n
bioloogia	b i o l o N i
bioloogilise	b i o l o g i l i s e
bordelli	b o r d e l l i
bossi	s s i
brittidest	b r i t i d a* 7
bürokraatlik	b u r o k r a r 3 s i g b u C o
co	k o
dekaani	d e k a n i
deklareerimine	d e k l o h r e l i m i n e
delikaatsete	d e l s u s u m a c e t e
demonstreerisid	d e m o* u z i e r i s i d
dessant	d 3 s a
detailideni	d e t a i l i d e n i
diagnostikakeskuse	d i a g n o s t i k a k e s k u s e
dikteeris	d i k % t e r i s
dimensiooni	d i * ns~ i o n i
domineerinud	b i* S i n i n u d
eakamad	e k a m a d
ebameeldivaks	e b a m e l d i v a k
ebameeldivuste	e b a m e l d i b u s t e
ebasoodne	e b a s o d n e
ebaõiglase	e b a o i k L a s e
edaspidiste	e d a s p i d i s t e
edendamisega	e d e n d a m i s e N a
edukamaks	e d u k a m a k
edutati	e d u t a t i
eeldanud	e l d a n u d
eelhääletusel	e L 3 l e t u s
eelistaksin	e l i s t a k s i n
eelistati	e l i s t a t i
eelmüügist	e l m 3 3 Ng~ i S
eelnevale	e l n e v a l e
eelringi	e l r b i N i
eeskujuna	e s k u h u n a
eestimaine	E k 3 n C i m a i n e
eestimaise	E k 3 n C i m a i s e
eestkostja	E k 3 n C k o s t y a
eestlaskonna	E k 3 n C a s k o* n a
efektiivsed	e f e k t i v e d
efektiivsema	e f e k t i v s e m a
efektiivsusega	e f e k t i v s e
ehitusfirmade	e h i t u s f i r m a d e
ehitustöö	e h i t u s t o
ehmatab	e h m a t a b "
ehtsust	e h c u s
eine	e i n e
eksemplar	e k s 3 mp~ l a r
eksimatult	e k s i m a t u l
eksminister	e k s m i n i s t e r e n
eksperdina	e k 8 p e n e r d i n a
eksperthinnangu	e k 8 p e n e r t n g u
eksporditurgudel	e k s p o r d i t u r g u d
elamused	e l a m u s 3 d
elavas	e l a v a s
elektriturul	e l e k tr~ i t u r u l
eluaastaid	e l u a s t a i d
eluaja	e l u a h a
elujõulisuse	l e  o l i s u s e
eluliste	e l u l i s t e
elupäevad	e l u p 3 7 p i r a d
elupäevade	e l u p 3 7 p i r a d e
elupäästja	e l u p 3 Sx~ a
enampakkumine	e n a m a k m i n e
energiliselt	e n e r g i l a s l 3
ennasttäis	e s t o e N i s
entusiastid	e n t u s i a s t i d
epee	e p e
erakonnalt	e r a k o l
erakonnaseaduse	e r a k o s a d u s e
erakorraliseks	e r a k o r a l i s Nw~
eralduda	e r a l d u d a
erandlikult	e r a nd~ l i k r u
erapooletuid	e r a  o l e t u i
erapooletut	e r a  o l e t u t
erastasid	e r a s t a s i d
erialane	e r i a l a n e
eriasjade	e r i a s j a d e
erinevaks	r i n e v a k
esialgseid	e s i a l k e i d
esindatuse	e s i n d a t u s e
esindusse	e s i d u s s e
esinejatega	e s i n e j a t e g a
esinemiste	e s i n i m i s t e
esinemistest	e s i n i m i s t e s
esinumbrid	e s i n u mb~ r i d
esinumbrina	e s i n u mb~ r i n a
esitajate	e s i t a j a t e
esivanemaid	e k u b "  p o N i e i
etalon	e t a l o n
etappe	e t a p p e
ettekannetega	e t g a t a  n e t e g a
ettekavatsetud	e t d u a v a c e t u d
ettekirjutuste	e t r h u t u s t e
ettevalmistuseks	e t p i r a l m i s t u s Nw~
ettevõtjalt	e t u s n a k q
ettevõtmistega	e t u s n a k m i s t e g a
eurotsoonis	u c o n i s
eurovolinik	u o v o l i n i k
facebooki	f a C E b o k i
faktoreid	f a k t o r e i d
fantaasial	f a nt~ a a s i a l
farm	f a r m
figureerib	f i g u r e r i b a
finantseeris	f i n a n s E r e r i s
finantssüsteemi	f i n a n c s 3 s t a i m i
finishisse	f i n i S i s s e
finišijoone	f i n i S i j o n e
frangi	f r a N i
franki	f p a p a
fuajee	f w a h e
geniaalse	g e n i a l s e
globaalsest	g l o b a l o
grupil	g r u p i l
gümnaasiumihariduse	N m n 3 a s i u m i t a r i d u s e
haagisega	h a g i s e N a
haigestuvad	h a i g 3 s t u b a d
haiguslehe	h a i g u w t a e
haigutab	h a i g u t a b "
haisema	h a i s e m a
hajub	h a h u b
halada	h a l a d a
haldusdirektor	h a l d u s d i r e k t o r
haldusreformist	h a l d u s r e f o r m i s
halvata	h a l v a t a
halvemat	h a l Ng~ e r e p a t
halvimaks	h a l v i m a k
halvustavalt	h a l b u s t a v a l
hammustab	h a m u s t a b "
hammustanud	h a m u s t a n u d
haridusministeeriumile	h a r i d u s m i n i S t a i n i i m i l e
harjutades	h a r w a t t a d e
harjutus	h a r h u t u s
harrastusteatrite	h a r a s t u s t e a t r e
haukuma	h a u k u m a
heaoluühiskonna	h e a o l u 3 i s k o* n a
heatahtliku	h e a t a h L i k u
heinamaa	h e i n a m a
heitgaaside	h e i t t u s i d e
heitunud	h e i t u n u d
hektarile	h e k t a r i l e
heledat	h e l e d a t
helgeid	h e l g a i d
hiidlasest	h i  l a s a* 7
hiigelsummasid	i g a   s u m u s i d
hiilga	h i l g a
hiinlastele	h i l a s t e a
hilinemine	h i l i n i m i n e
hilisemal	h i l i s e m a l
hinnalist	h i n t u l i s
hirmuks	h i r m u k
hoiakutes	h o a k u t e
hoiatused	h o a t u s 3 d
hommikusel	h o m m i k u s
hommikutundidel	h o m m i k u t u nd~ i d
hooldusega	h o l d u s e N a
hoolitsetakse	h o l i 5 u  k s e
hukatuslik	h u k a t u s b u C o
hädadest	h a r a d a* 7
hädapärast	h a r e p 3 7 s d a
häiret	h 3 i r
häirivalt	h 3 i r i v a l
hättasattunud	h 3 th~ a s a t t u n u d
hävinenud	h 3 v i n e n u d
häälele	h 3 l l e
hääletusi	h 3 l e t u s i
hääletusvoorus	h 3 l e t u s v o r u s
häälteenamuse	h 3 l % t e n a m u s e
hõivasid	n a i v a s i d
hõredaks	n a r e d a k
hülgab	h l g a b "
hüpoteegi	t a 7 i p o t e x i
hüppa	t a 7 i p p a
hüvitanud	t a 7 i v i t a n u d
hüvituse	t a 7 i b i t u s e
hüüdma	t a 7 i 3 d m a
id	s e i
ideesse	d e 3 s a
identiteedist	d e n t i t e n d i s
ideoloogiale	d e o l o g i a l e
ideoloogilist	d e o l o g i l i s
igakülgse	i g a k l g s e
igasugustel	i g a s u g u s t e l
igavik	i g a v i k
ikoone	i k o
ilmateade	i l r a i a d e
ilmnema	i l m n i m a
ilmutatud	i l a t u d
inetult	i n e t u l
inflatsioonile	i n f l a c i o l
informatsioonile	i n f o r m a c i o l
informeerib	i n h m e r i b a
informeeriti	i n h m e r i t i
ingleid	i N l e i d
inimestevaheline	i n i m e s t e b E h e l i n e
inimõigus	i n i m o* N i g u s
innukas	i n
innustav	i n s t a
inspireeris	s p i r e e r i s
instantsi	s t a n c i
instrumendi	s t r u m e n d i
internetile	i n t E r n  l
intriigi	i n t r e i g i
invaliidist	i n v a l i dy~ s d a
investeerime	i n v a* 7 e l i m e
investeerimisvõimalusi	i n v a* 7 e l i m i s v o i m a l u s i
investeeringutoetuste	i n v e s t a i n i N u t o e t u s t e
investeerisid	i n v e s t a i n i s i d
irvitamine	i r v i t a m i n e
iseenesestmõistetavalt	i s e n e s a* 7 o* 7 o* i s t e t a v a l
iseseisvumine	% l o w i s  m i n e
isikukultuse	i s i k u k u l t u s e
islamistide	i s l a m i s t i d e
isolatsioonis	i s o l a c i o " w i s
itaallaste	i t a l l a s t e
jahimeestel	y a h i m E k 3 n C
jahimehi	y a h i m e h i
jahisadama	y a h i s a d a m a
jalatsite	y a l a c i t e
jalgadel	y a l g a d
jalgratastega	y a l g r a t a s t e g a
joobnud	h o b n u d
jooksjad	h o k s a q
jooksvaid	h o k s v a i d
juhatajalt	x u a t a q
juhendasid	x u h e n d a s i d
juhtnöörid	x u nth$ n a t 3 r i d
juhtubki	x u h t u b k i
juhtumitele	x u h t u m i t e a
juhuslikke	x u h u s l i k k e
julgesin	x u l 3 k  i n
julmad	x u l m o d
jultunult	x u l t u n u l
jumalaga	x u m a l a g a
jumalikku	x u m a l i k k u
juriidilises	x u r i d i l i e
juriidilistele	x u r i d i l i s t e a
jutukas	x u n k a s
juuksuri	x u u k s u r i
juuniküüditamise	x u n i k 3 3 d i t a m i s e
juurutamine	x u t a m i n e
juutidel	x u t i d
jälgige	x o l g i g e
jälgitud	x o l g i t u d
järeleandmine	E n e l e a nd~ m i n e
järglaseks	E n L a s u
järgnevateks	E n N n i s v a t e k
järjekordsel	E n o x e k o r d
järjestikusel	E n o x e s t i k u s
järk	E n
jätkamisest	x o t k a m i s a* 7
jätkuvatel	x o t k u b a t e l
jäädvustamiseks	x o a r b u s t a m i s Nw~
jäässe	h 3 7 e
jõululaule	h o u l u l a u l e
jõulurõõmu	h o g u n 3 o m u
kaadrisse	k a d r i s s e
kaalutlused	k a l u t l u s 3 d
kaaskodanikke	k a s k o d a n i kw~ k e
kaasus	k a s u s
kadalipu	k a d a l i p u
kadestada	k a d e s t a d a
kaevandused	k a p i r a nd~ u s 3 d
kaevas	k a e b E s
kaheaastast	k a h e a s t s d a
kaheksakümmend	k a h e k s a k 3 m e N
kaheksandaks	k a h e k s a n k
kahepalgeline	k a h e p a l g e l i n e
kahepäevasel	k a h e p 3 7 e b E s
kahetsusväärse	k a h e c u s v E r s e
kahjulikku	k a h r o l i k k u
kahjulikult	k a h r o l i k r u
kahjustava	k a h h u s t a v a
kahtlustades	k a k i l u s t a d e
kaitseväest	k a i t e b 3 a* 7
kalaga	k a l a g a
kalle	k a l
kallistada	k a l i s t a d a
kandepind	k a n d e p i n d
kandidaatidel	k a n d i d a a t i d
kandideeriks	k a n d i d e r i k
kandvaid	k a n d v a i d
kangema	k a n g 3 m a
kantslist	k a n c C i w
kaosest	k a o s e s
kaotustest	k a o t u s t e s
kaplanina	k a p l a n i n a
kapol	k a p o l
karata	k a r a t a
kardina	k a r d i n a
karmima	k a r m i m a
kartulite	k a r t l i
kasseerib	k a s s e r i b a
kassipoja	k a s s i p o h a
kastidesse	k a s t i d 3 s a
kasvasin	k a s b E s i n
kasvatava	k a s v a t a v a
katkematu	k a t k e m a t u
katkine	k a t k i n e
katsetus	k a c e t u s
katuste	k a t u s t e
kaubanduskoja	k a u b a nd~ u s k o h a
kaugtöö	k a e r o
kauplejaid	k a u p j e i
kavadest	a v a d a* 7
keerukaid	k e e r u k a i d
kehad	k e h a
kehtivas	k e h t i v a s
keiser	k e z o l
kelk	k e l
kergejõustikuliidu	k e r g j o u s t i k l i d u
kergitanud	k e r g i t a n u d
kesikutest	k e s i k u t e s
keskendu	k e s k e n d u
keskendusid	k e s k a s i d
keskerakondlastel	k e s k e r a k o n d l a s t e l
keskide	k e s k i d e
keskkonnateenistus	k e s k k o % t e n i S t u s
keskmeks	k e s k k
keskmisena	k e s k C u w e n a
keskpaiku	k e s kp~ a i k u
keskpolügoonil	k e s k p o l 3  o n i l
kesksel	k e s k s
keskuseks	k e s k u s Nw~
kestmise	k e s t m i s e
kevadesse	k e v a d 3 s a
kevadiselt	k e b E i a s l 3
kevadistel	k e v a d i s t e l
kihelkonnas	k i h e l k o
kihutav	k i h u t a
kiirgab	k i r g a b "
kiitvaid	k i t v a i d
kilomeetrid	k i l 3 a  i d
kilomeetrise	k i l 3 a  s e
kimpu	k i m p u
kindlakstegemata	k i n y l a k S t E g e m a t a
kindlameelsust	k i d e L o m e l s u s
kindlustamisele	k i n y l u s t a m a s l 3 e
kinosaali	k i n a o s a l i
kippu	k i p p u
kipun	k i p u n
kirikuks	k i r i k u k
kirikukäsiraamatu	k i r i k u k a e S i r a m a t u
kirikuõpetajate	k i r i k u o p e t a j a t e
kirjanduses	l j a e
kirjatükki	l j a t 3 k k i
kirjeldati	l E l d a t i
kirjutiste	l h u t i s t e
kirurgi	k i r u r g i
kitsaste	k i s a s t e
kiusamist	k i u s a m i s
klassikaaslased	k l a s i k a l a s 3 d
klassikaliste	k l a s i k a l i s t e
kleidiga	k l e i d i g a
kliimamuutuste	k l i i m a m u t u s t e
koalitsioonilepingus	k o a l i C i o " w i l e p i N u s
kodumajapidamiste	k o t u m a j a p i d a m i s t e
kodumängu	k o t u m 3 n g u
koduni	k o d u n i
kodustel	k o t u s t e l
kodutalus	k o t u t a l u s
kodutut	k o t u t u t
koduvalla	k o t u b a ly~ a
kogemusteta	k o g e m u s t e t a
kogevad	k o g e b E d
koguduseliige	k o g u d u s l 3 N i g e
kohaletulnud	k o h a l e t u l n u d
kohanemiseks	k o h a n i m i s Nw~
kohtumääruse	k o h t u m 3 r u s e
kohtunikul	k o h t u n i k u l
kohtutäiturid	k o h t u t 3 i t u r i d
kohustuslikke	k o h u s t u s l i k k e
kokkuleppemenetluse	k o k e l e p p E m E n e  s e
kollektiiviga	q u L e k t i v i g a
kollektiivile	q u L e k t i v i l e
kolmapäevane	k o l m o p 3 7 p i r a n e
kolmekorruseline	k o l m e k o r e l i n e
kombaini	k o mb~ a i n i
komistas	k o m i s t a s
kommenteerijate	k o m e n t e r i j a t e
kommenteerimise	k o m e n t e l i m i s e
kompetentsikeskuse	m i p e t e n i k e s k u s e
komponente	k o m p o n e n t e
konkreetsetes	k o nk ~ h r e c e t e
konkurentsivõimelist	k o nk ~ u r e n k u b o i m e l i s
konsensusele	q o n i k e s e l e
konstateeris	q o n i k s t a t e e r i s
kontekst	k o nt~ Nw~ s d a
kontode	k o nt~ o t e
kontorihoone	k o nt~ o r i h o n e
konvendi	q o n i k f e n d i
konverentsilt	q o n i k e r e n i l
koodeks	k o d e k
koolikohustuse	o l i k o h u s t u s e
koolitati	o l i t a t i
koolitusest	o l i t u s a* 7
kooskäimise	k o s u k k 3 i m i s e
kooskõlastas	k o s u k k o i l a s t o s
koosolekult	k o s o l e k r u
koostamisest	k o s t a m i s a* 7
koostööl	k o s u k h a t 3
koostööpartneriks	k o s u k h a t 3 p i t n e r i k
kopa	k o p a
kopika	k o p i k a
kopsakaid	k o p k a m e i
koraale	k o r a l e
kordaminekuid	k o r d a m i n e k u i
koristamata	k o r i s t a m a t a
korja	k o r j a
korjamise	k o r C i C i s e
korjandus	k o r y a nd~ u s
korpuse	k o r p u s e
korraldamata	k o r a l d a m a t a
korrati	k o r a t i
kosmosest	k o s m o s e s
kraanaga	k r a n a g a
krediitkaarti	k r E d i t t a m t i
kristlikest	k r i s t l i k a* 7
kritiseerijad	k r i t i s E r e r i j a d
kroonika	k r o " w i k a
kroonilised	k r o " w i l i s 3 d
kuigipalju	k u i g i p a l C u
kuivalt	k u i v a l
kujutama	k u h u t a m a
kukud	k u k u d
kulgesid	k u l u g 3 s i d
kultuurid	k u l t u r i d
kultuuriinimeste	k u l t u r i i n i m a* 7
kulupõlengu	k u l u f n p o l 3 N u
kumm	k u m m
kuningliku	k u n i N l i k u
kuradima	k u r a d i m a
kurgid	k u r g i d
kuritegelikule	k u r i t e g e l i k u l e
kuritegelikus	k u r i t e g e l i k u s
kurjategijatel	k u r j a t e g i j a t e l
kurnata	k u r n a t a
kutsete	k u t e t e
kutsumas	k u c u m a s
kuuendana	k u e n d a n a
kuulmist	k u L m i s
kuulsast	k u L  s d a
kuuluvust	k u l u b u s
kuupalgaga	k u p a l g a g a
kvalifitseerub	k v a l i f i s E r e r u b
kvaliteetsete	k v a l i t i 3 t e t e
käesolevast	k a e s o l e b E s
käimasoleval	k a i m a s o l e b E l
kärbsed	k a r j 3 d
kärbseid	k a r j e i d
käsilane	k a e S i l a n e
käsitleme	k a s L e m e
käsitlevate	k a s L e b E t e
kõndimas	k o i nd~ i m a s
kõnealuses	k o i S a  e
kõnepulti	k o i n e p u l t i
kõrgepalgaliste	k o i r g 3 p a l g a l i s t e
kõrghoonete	k o i r t o o n e t e
kõrgused	k o i r g u s 3 d
köida	k o i d a
külamees	k 3 l a m e s
külmkapi	k 3 l m k a p i
külmutamine	k 3 l a m i n e
külvanud	k 3 l v a n u d
küpsemas	k 3 p e m a s
küsigem	k 3 s i g e m
küttekulud	k 3 t t 3 k u l u d
küttimise	k 3 t m i s e
küünilise	k 3 i i l i s e
laenuintressid	f e n u i t r e s s i d
laenuna	f e n u n a
laevapere	f e v a p e r e
lahendasid	l a h e n d a s i d
lahkarvamusi	l a h a r v a m u s i
lahkujaid	l a h j e i
lahkunute	l a h k u n u t e
laiapõhjalist	l a i a p o q  s
laiast	l a i s d a
lakkas	l a k
langeta	l a n g 3 t a
langusse	l a N u s s e
langustrendis	l a N u s t r e n d i s
lapsedki	l a p u t o k i
lapsevanemal	l a p s v a n i m a l
lapsuke	l a p s u k e
laskmata	l a s k m a t a
laulad	l a u l a d
laulatus	l a u l a t u s
laulukoor	l a u l u g i t o r
laulukoori	l a u l u g i t o r i
laureaadiks	l a u r e a a d i k
lausesse	l a u s 3 s a
leebemaks	l E e b e m a k
leeriõnnistuse	l e l e k i i n o* n n i S t u s e
legendaarsed	l E g E n a r S 3 d
lehelugeja	l e h e l u g 3
lehtedega	l e h t e d e g a
lehtedele	l e h t e d e l e
leibkondade	L e i b k o n d a d e
lemmikule	l E m m i k u l e
lemmikut	l E m m i k u t
lennujaamade	l e a j a m a d e
lennuväljalt	l 3 n  3 lx~ a l t a s
lepingulise	l e p i  l i s e
levikuga	l e v i k u g a
levitama	l e b i t a m a
ligimene	l i g i m E n E
liialdada	l i a l d a d a
liiati	l i a t i
liigid	l i i g i d
liigist	l i i g i S
liiklusavarii	l i i k l u s a b a r i
liiklusseadust	l i i k l u s e a d u s
liikumisharrastuse	l i k u m i S a r a s t u s e
liites	l i t e
lindid	l i n d i d
linki	l i n k i
lisaaja	l i s a x a
litsentside	ty~ y o n i d e
loengus	l o g u s
loetelus	l o e t e l u s
lollidele	l o l l i d e l e
lollused	l o l l u s 3 d
loobusin	l o s i n
loodate	l o d a t e
loogikaga	l o g i k a g a
loomu	l o m u
loosiga	l o s i g a
lootusetud	l o t u s e t u d
lootusetuse	l o t u s e t u s e
lugejaskond	g 3  s k o n d i
lugematuid	g e m a t u i
lumeta	l u m e t a
luukered	u k e r e d
läbikäimine	l 3 b i k 3 i m i n e
lähiminevikust	l a t i m i n e v i k u s
lätlanna	l 3 a nz~ i n a
lätlasest	l 3 L a s a* 7
lätlastest	l 3 L a s t e s
läänemaailmas	l 3 n i m a i l m o s
lõbusõitu	l o s o i t u
lõhkeseadeldis	l o i k e s a i a d e l d i s
lõhkudes	l o i k u d e
lõika	l o i k a
lõpetad	l o p e t a d
lõpetataks	l o p e t a t a k
lõpptulemuse	l o p p t u  s e
lüngad	l 3 N a d
lüüasaamist	l 3 3 a s a m i s
maadlevad	m a y l e b E d
maakonnaga	m a k o* n a g a
maakonnakeskuses	m a k o k e s k u e
maamees	m a m e s
maanteid	m a n t e i d
maapiirkondadest	m a b i r k o n d a d a* 7
maapinnal	m a s u  n a l
maasikate	m a i k a t e s
madratsi	d r a c i
mahavõtmise	m a h a b n a k m i s e
mahutav	m a 3 t a
maisest	m a i s a* 7
maitsnud	m a i s n u d
majaka	C i
majandussuhted	C i d u s s o k i 3 d
majapidamisi	C i p i d a m i
maksuga	k s u g a
maksustatav	k s u s t a t a
maksutulud	k o c u t u l u d
manitsevad	n i 5 u  v a d
marjamaale	m a* r  a l e
marke	m a* r k e
marsruudi	m a r S u d i
massihävitusrelvade	s s i h 3 b i t u s " v a d e
matusel	m a t u s
medalist	m e d a l i s
meedet	m e n d e t
meeleavaldusest	m e e l e a v a l d u s a* 7
meelemuutus	m e k 3  u t u s
meeletud	m e e l e t u d
meenusid	m e n u s i d
meigi	m e i g i
meiki	m e i k i
meilil	m e i l i l
meisterlikult	m e i S t E r l i k r u
meloodia	m e l o d i a
miljonäride	l x o n 3 r i d e
miljöö	m e L o
minutis	m i n u t i s
misjoni	C u w cx~ o* n i
misjonäride	m i s d s i m r i e  e
mitmekesised	m i t k s 3 d
mitmekesistamise	m i t m e k e s i s t a m i s e
mitmekordset	m i t m e k o r d  e t
mitmevõistluses	m i t y E p i r o i s t  e
mitteametlikku	m i t t e a m e  k k u
mobiilset	m o b i l e t
modernse	m o d i n s e
mokaotsast	m o k a c s d a
monopoolse	m o n o p o l s e
mooduse	d u s e
moodustus	d u s t u s
moos	m o s o
moraaliga	m o r a l i g a
moslemitele	n o S l e m i t e a
mudelist	m u d e l i s
mudilased	r u g i l a s 3 d
muistne	m u i s t n e
mullis	l l i s
murdu	r d u
muretsesid	r  o i d
mustanahalisi	s t a n a h a l i s i
musternäide	s t E r n 3 i d e
mustikaid	s t i k a i d
muudetaks	m u d e t a k
muuseumides	m u o i m i d e
muutumisega	m u t u m i s e N a
mägedel	m a g g e d
mälestusvõistlused	m a g l e s t u s v o i s t l u s 3 d
mälestusvõistlustel	m a g l e s t u s v o i s t l u s t e l
mängijal	m 3 n g i y a l
mängijatel	m a g N i j a t e l
mänguväljakute	m 3 n g u b 3 lx~ a k u t e
märga	m a g r g a
märgatavat	m a g r g a t a v a t
määrade	m 3 r a d e
määratu	m 3 r a t u
mõistest	m o i s t e s
mõjujõudu	m o xy~ o u d u
mõjukamaid	m o h u k a m a i d
mõlemasse	m o l 3 m a s s e
mõnitama	m o n i t a m a
mõrvade	m o r v a d e
mõttekaaslastega	m o t t e k a l a s t e g a
mõttetera	m o t t e t e r a
mõttetus	m o t t e t u s
mõttevahetust	m o t t e b E h e t u s
mõõduvõtt	m o o d u b n a k
mõõtmed	m o n a k y m 3 d
mõõtnud	m o n a k n u d
mööbliga	m o  bl~ i g a
mürgine	m 3 r g i n e
naase	n a s e
naerdi	n a e r d i
naftabarreli	n a f n u w o r e l i
nakatada	n a k a t a d a
naljakat	n a l  k a t
nappe	a pw~ p e
narvalased	n a r v a l a s 3 d
naudime	n a u d i m e
neliku	n e l i k u
neljaliikmeline	n e l q  i k m e l i n e
neljaliikmelise	n e l q  i k m e l i s e
neljalt	n e l X a l t a s
neljandast	n e l T a n s d a
neutraalse	n e u tr~ a l s e
niru	n i r u
nominent	n o m i n e n t
nooremseersant	n o r e m w i 7 i C s i
noorsoopolitsei	n o r  o p o r i 5 u
noorsootöötajad	n o r  o h a t 3 t a q d
noortekeskust	n o r t e k e s k u s
noortekoor	n o r d u o r
nuku	n u k u
nullida	n u l l i d a
nupu	n u p u
nurgale	n u r g a l e
nädalane	n 3 d a l a n e
näeksin	n 3 Nw~ s i n
nägude	n 3 g u d e
nähagi	n 3 a g i
näilise	n 3 i l i s e
näitering	n 3 i t E r i N
näljane	n 3 lx~ a n e
näppude	n 3 p p u d e
näpuotsaga	n 3 k c a g a
närune	n 3 r u n e
nüüdses	n 3 3 d e
ohumärke	h u m 3 r k e
ohutuses	h u t u e
ohutusse	h u t u s s e
olendid	o l e n d i d
olu	o l u
olümpiaadi	o l m 3 p i a a d i
olümpiakulla	o l m 3 p i a k u y a
omaalgatuse	u m o a l g a t u s e
omandamisel	o m a n m i s
omanikust	o m a n i k u s
omapoolne	t a  o l n e
omasel	t a s
omastamise	t a s t a m i s e
omavalitsusüksuste	t a v a l i c u s 3 k s u s t e
ootamatusena	o t a m a t u s e n a
ooteala	o t e a l a
operaatorfirma	o p e r a a t o r f i r m a
operatsioonides	o p e r a c i o " w i d e
oponent	o p o
opositsioonipoliitikud	o p o s i i o pw~ o l i i t i k u d
oravaid	o r a v a i d
ordu	u r d u
organisatsioonina	u r g a n i s a c i o n i n a
orjaks	u r n i 5
orkestrit	u r X e s t r e
osakonnaga	o s a k o* n a g a
osalemisel	o s a l 3 m i s
osalenuid	o s a l e n u i
osaleti	o s a l e t i
osanike	o s a n i k e
osapoolel	o s a p o u p
osapooltel	o s a  o l t e l
osariikide	o s a r i T i d e
osavõtjaga	o s a b n a k h 3 g g a
oskustöölisi	o s k u s h a t 3 l i s i
ostetava	o s t e t a v a
osutatavate	o s u t a t a v a t e
otsasõidu	c a s o i d u
otsesaate	o c e s a t e
otseülekandes	o c e k e l e k a n d e
otsita	c i r a
otstarbekamalt	c n a p a b e k a m a l t a s
otsustatigi	c u s t a t i g i
otsustavatel	c u s t a v a t e l
otsustus	c u s t u s
paberlehes	p a b e r l e h e s
paganama	p a x a n a m a
pahandanud	p a h a n d a n u d
paigaga	p a i g a g a
paigaldamisel	p a i g a l d a m i s
paigalt	p a i g a l t a s
paiknevas	p a i k n e b E s
paisutatud	p a i s u t a t u d
pakatavad	p a k a t a v a d
pakkide	p a k i d e
pakkujat	p a k k u h a n
palee	p a l e
palgaliste	p a l g a l i s t e
palgatöötaja	p a l g a h a t 3 t a h a
paljudega	p a l b u d e g a
paljulapseliste	p a lx~ r u a n s l 3 i s t e
palke	p a l k e
panemisel	p a n i m i s
panev	p a n e v
pangandussüsteemi	p a N a nd~ u s s 3 s t a i m i
panused	p a n u s 3 d
panustatud	p a n u s t a t u d
paratamatud	p a r a t a m a t u d
paratamatust	p a r a t a m a t u s
paremiku	p a r e m i k u
parempoolseid	p a r 3 mp~ o l e i d
parendamiseks	p a r e n d a m i s Nw~
parimates	p a r i m a t e
parkimiskohad	p i u m i s k o h a
parkimiskohta	p i u m i s k o h t a
parteilased	p e r t e i l a s 3 d
partnerlus	p e r t n e r l u s
parun	p a r u n
pask	p a s k
