të 	t 3
Keshillit	e s i l l i t
Kimi	i m i
Kines	i n i
Klaudia	l a u d i a
Konsulli	o* s u l l i
Korishë	u r i e
Kryetaren	cy~ e t a r e
Kryeziut	r d w a  u t
Kumbaro	k i
Kurani	u r a n i
Kushtetuesen	u s t e t u e s e n
Lajçakun	c a k u n
Landi	a n d i
Lazim	a z u* f o
Ledio	e d i o
Leipzigu	e i p z i x u
Lindur	i d u r
Lukas	t u k a s
Lulja	u L a
Lush	S
Lyoni	y o n i
Mahmoud	a h % m a u d
Manajn	a n a n
Mari	a r i
Marshi	3 y s i
Materiali	a t e r i a l i
Meksikën	e k i k a n
Mekë	e k 3
Meten	e t e n
Mick	i S k
Mjekimit	h e k i m i t
Molla	o l l a
Momente	e n t e
Montanelli	o t a n e l l i
Morning	u r n i N
Morris	u r i s
Morëm	u r e m
Mosrespektimi	o s a 8 p e n e k t i m i
Murinjos	u r i nj~ o s
Mësues	e s u e
Ndalesa	d a l 3 s a
Ndihmon	d i h m o n
Ndreka	d r e k a
Nevojat	e v o j a n
Nura	u r a
Nënat	3 n a t
Nëqoftëse	3 pw~ o f y s e
Oktay	k t a y
Olluri	L u r i
Operacionin	p e r a i q l
Organizmi	r g a n i z m i
Page	a g a
Panxha	a n h a
Parandalimi	a r a nd~ a r i m i
Partneriteti	i t n e r i t e t i
Perendimor	e r e n d i m o r
Peruja	e r u h a
Peshqve	e S k  v e
Pol	o l
Prince	r i n k e
Princit	r i n k i t
Problematika	r o b l a e m a t i k a
Projektin	r o q i n
Psh	S
Përsëriteni	3 r o r i r e n i
Qartësisht	i t e s i sC~ t i
Qendërmbrojtësi	e nd~ 3 r mb~ r o h y s i
Quds	u d
Queen	e 7 e n
Qytetaret	3 t e t a r e t
Qëndro	3 n d r o
Refugjatët	i f u gy~ a y
Reims	e i m
Retorika	e t o r i k a
Rivera	i e r a
Rrugë	r u g 3
Rrëmbimi	r 3 m b i m i
Sadikun	a d i k u n
Sam	a m
Sarrin	m a n i n
Shaqirin	h a q i r i n
Sharrës	h a r 3
Shefki	h e f k i
Shekspiri	h e k s p i r i
Shkoza	h o y a 7
Shkurtit	h k u r t i
Shoqja	h o x j a
Shpëtimit	ph~ 3 m i t
Shuto	h u t o
Sin	i n
Sindikale	i n d i k a l e
Sorosi	o r o s i
Sotir	h o 7 o t i r
Sovrane	o w r a n e
Srbija	r b i j a
Stanley	t a n l e
Sudani	u d a n i
Sërbisë	3 r t 3
Süleyman	u l e y m a n
Telegram	E l E g r a m
Tennessee	e n n e s s E r e
Tentativa	e n t a t i v a
Testit	e s t i
Teza	d a
Toma	o m a
Torinon	u r i n o n
Travel	r a v e l
Tregun	r e g u n
Tripolit	r i p o l i t
Ugur	g u r
Ujorit	j o r i t
Urani	r a n i
Uzunit	z u n i t
Varrezat	m a n e z a t
Varësisht	a r e s i sC~ t i
Velos	e l o s
Vendosa	e n d o s a
Vendoseni	e n d o s e n i
Veriun	r i u n
Viktimave	i k t m a b e
Vogue	o g
Vrasjet	r a s
Vullnetare	u L n e t a r e
Whatsapp	h a c a p p
Women	e n
Xhafo	a f o
Zamira	a m i r a
Zeqos	e k o s
Zodiakut	o d i a k u t
Zvicer	v i C E r
acideve	a c i d e v e
adhuruar	a d a r
adhuruesve	a d u r u e s v e
afirmuar	a f i r m u a r
afronte	a f b u* d a k
agjitacion	y j i t a i o n
agjërojnë	y T a r o x n E
alumini	a l u m i n i
amerikanit	a m e r i k a n i t
amnistie	a m n i S t i e
analistin	a n a l i s t i n
analizimit	a n a l i  m i t
anashkalohet	a n a S k a l o h e t
antiqeveritare	a n t i E e r i t a r e
antisemitizmit	a n t a s g i v z m i t
anëtareve	a n 3 b e b e
apokaliptike	a p o k a l i p t i k e
argumentojë	a r g u m e n t o h 3
arkitektë	a r k a m u 3
arkivore	a r k i v o r e
arrestojë	m a n e s t o h 3
ashpërsi	n a N t a N a p i r S i
autorizimi	a u t o r i z i m i
balanca	b a l a n k o a
balancës	b a l a n k o 3
balotazh	b a l o t a z
balta	b a l t a
banditë	b a n d i t 3
banditët	b a n d i y
banesash	b a n e s a S
barkë	b a r k 3
bashkëqytetarëve	b a S i k 3 qy~ t a r e v e
bastard	b a s n a p a d
baste	b a s t e
bastion	b a s t i o n 3
bazua	b a z i
befasishëm	b e f a s i S b
beratas	b E r a t a s
besimtare	b e b u p t a r e
biesh	b i e S
bili	b i l i
bioteknike	b i o t e k n i k e
bojkotojë	b o h k a t o h 3
bonusit	b o n u s i t
brekë	b r e k 3
brengosëse	b r e N o s e s e
brishtësinë	b r i S y s i
brokoli	b r o k o l i
brumë	b r u m 3
bujarinë	j a r i
bujq	j
buletinin	l e t i n i n
buxhete	b u h e t e
buzëqeshi	b u z 3 E S i
dashamirëse	d a S a m i r e s e
degradimit	d e g r a d i m i t
dekoron	d e k o r o n
dekretimin	d e k r e t i m i n
demarkacionit	d e m a r a q a C e i o n i t
denoncua	i s u g u a
departament	d e p i t a m E n t
depozituara	d e p o z i t u a r a
deshire	d e s i r
dheun	d u u n
dhunimit	T u n i m i t
dhuronte	T u r o n t e
dhuruara	T u r u a r a
diagnostikuara	d i a g n o s t i k u a r a
diagnostikues	d i a g n o s t i k u e
diete	d i e t e
dijet	d i y e t
diktaturat	d i k t a t u r a t
diplomës	d i p l o m E
ditarin	d i t a r i n
doktoratës	d o k t o r a y
doktorëve	d o k t o r e v e
dokumentacionet	d o k u m e n t a  i o n e t
dokumentarë	d o k u m e n t a r 3
domethënien	b e th~ 3 n i e n
dominimi	b i n i m i
dorëzat	d o r e z a t
drame	d r E m e
dridhje	d r i d e
duhanpirës	d u h a n p i r e
dukem	d u k e m
duroi	d u r o i
durojë	d u r o h 3
dylbi	o l b i
dënohej	d 3 n o h e
dëshironit	d e s i r o n i t
dëshpërimit	d e s a p i l i m i t
edukatës	e d u k a y
ef	i f
efektivin	e f e k t v i n
ekspozitën	e k s p o  t e n
ekuipazhin	e k u i p a z h i n
ekzistencial	e k a i a l
emigranti	e m i g r a n t i
emëruan	e m E r u a n
etapat	e t a p
etjen	e th~ i
eurodeputetëve	u r o d 3 p u t e v e
fasadës	f a s a d 3
fashat	f a S a t
faturuar	f a t u r u a r
federatën	f e d e r a t e n
fejesa	f e h e s a
fejsbuk	f e h s b u k
figurative	f i g u r a t i v E
fiktiv	f i k t
filmuan	b i l m u a n
fjalimeve	fy~ a dl~ i * v e
fluturuan	f l u t u r u a n
frazën	f r a z a n
fshehjes	f S e h i
ftohtin	f t o h t i n
ftonte	f  b u* d a k
ftuan	f t u a n
funksionojmë	f u n k S i o n o x m 3
fuqizojë	f u m u a z o h 3
furishëm	f u r i S b
furrave	f u r a w e
fërkoni	f 3 r q o n i l
gatimi	g a t i m i
gatuan	g a t u a n
gazetarësh	g a z e t a r e s
gjendjeve	gy~ k u s k
gjeneve	gy~ o N u s k
gjermanet	gy~ e r m a n e t
gjurme	gy~ g o m e 7
gjyqeve	g hy~ E v e
globalizimit	g l o b a l i  m i t
grash	g r a S
gurore	g u r o r e
gërmime	g 3 r m i m e
habinë	h a b i
hajdutësh	h a u dw~ y S
hakerët	h a k e r e
halleve	h a l l e v e
harmonike	h a r m q l o i
hasë	h a s 3
helmin	h e l m i n
hendbollit	h e n d b o l l i t
hierarkinë	hy~ e r a r k i
hipokrit	h i p o k r e
hipotezën	h i p o t e z a n
hiqeshin	h i k i  n
hotelierisë	h o t e l i e r i s 3
idealin	d e l i n
imponoi	i m p o n o i
improvizuara	i m p r o v i z u a r a
injorancë	y i n j o r a n C i 3
insistojë	s i s t o h 3
integrohen	i n t e g r o h e n
interesash	i n t e r e s a S
interpretoi	i n t E r p r e t o i
investuan	i n v e s t u a n
iranianët	i r a n i a
ironia	i r o n i y a
joga	j o g a
joshumicë	j o S u m i C 3
jugosllavë	x u g o s l l a v 3
jugosllavët	x u g o s l l a v E n
juria	x u r i a
kabinës	k a b i
kadastrale	k a d a s t r a l e
kafeina	k a f e i n a
kafshës	k a f e
kaliumit	k a l i i m i t
kamatë	k a m a t 3
kandidateve	k a n d i d a t e v e
kandidaturë	k a n d i d a t u r 3
kapelen	k a p e l e n
kapërceu	k a p e r e u
kardiovaskular	k a r d i o w a s k r u a r
karizmatik	k a r i z m a t i k
kartelave	k a r t e l a v e
keqkuptuar	k e k k u p t u a r
klishe	k l i S
kollitja	q u L i y a
kolonat	k o l o n a t
kombëtaret	m i b 3 a r e t
komisionerin	k o m i s i o n i n i n
kompanish	m i p a n i S
kompetencës	m i p e t e n C i 3
komplikacionet	m i p l k a c i o n e t
konstatimet	q o n i k s t a t i e
kontrolluese	q o n i k tr~ u L u e s e
kosovaret	k o s o w a r e t
krahasimet	k r a h a s i m e t
krahasoni	k r a h a s o n i
kualifikueseve	kw~ a l i f i k u e s a i v e
kujtosh	k u h t o S
kuptohemi	k u p t o h e m i
kutinë	k u t i
kuturu	k u t u r u
kyçet	ky~ e t
këshillojë	k e s i l 3
kështjellës	k e s th~ i L 3
li	l i
likuide	l i k u i d e
link	l i n
llogaritja	l l o g a r i y a
llogaritjet	l l o g a r i t
logo	l o g o
lojrat	l o h n a
lokalizimin	l o   m i n
look	l o
luanit	l u a n i t
luftuam	l u f t u a m
lëmin	l 3 m i n
lëmsh	l b S
lëndoi	l 3 n d o i
lëngshme	l 3 n g S m e
malazezë	m a l a z d 3
mallkimi	m a ly~ k i m i
manifestuar	n i f i S t u a r
margjinalizuar	m a* r gy~ i n a l i z u a r
marresh	m a* r i
masakroi	s m a s k r o i
maskash	s k a S
mbete	mb~ e t e
mbishkrime	b i S k l i m e
mbrohej	mb~ r o h e
mbroheni	mb~ r o h e n i
mbushim	 S i m
mbytja	b 3 t j a
mbërrita	b e r i t a
megjithese	a w a n j i t h e s e
melodi	m e l o d i
memorandumit	m e m o r a d i m i t
meraku	m e r a k u
meritave	m e r i k o
merrje	m e r e
mesha	S a
miellin	m i e ly~ i n
mikrobiologu	7 l o b i o l o x u
miliarderë	m i l i a r d i n 3
miligramë	m i l i g r a m 3
minimizimin	m i n i m i  m i n
minimizojnë	m i n i m i z o x n E
minorenë	m i n o r e n E
minuten	m i n u t e n
mirëmbajtja	m i r e mb~ a ty~ a
mishrave	m a S a S r a v e
misteri	m i s t E r i
misterin	m i s t E r i n
mizoritë	m i z o r i t 3
modifikime	m o d i f i k i m e
morr	m o r
mosbindje	n o S m e j e
mosmarrëveshja	n o S r 3 e S j a
mundte	nd~ t e
myftiu	m 3 f v u
mësyrë	m E s 3 r 3
ndaluarit	nd~ a r u a r i t
ndash	nd~ a S
nderuara	d i n u a r a
ndezjes	d e z i
ndikua	n t i k u a
ndjenje	g o k o
ndodhitë	d o d i t 3
ndritshëm	n d r i C e m
ndyra	ndy$ r a
ndërgjegjshme	nd~ 3 r gy~ e gy~ S m e
neglizhencën	n e g l i C i n C i a n
neutralizues	n e u tr~ a l i a f o m 3 s
nevojitej	n e v o h i t a
ngjitën	N j i t e n
ngutet	N u t
ngërthen	N 3 r t 3 n
njerezimit	n o x e r a  m i t
njoftuam	nj~ o f t u a m
njohësh	nj~ o h e s
njëpartiak	T a p i t i a k
numërim	n u mp~ 3 r i m a
numërohet	n u mp~ 3 r o h e t
nuset	n u s e t
nxiten	! i t e n
nënshkruajmë	n 3 n S k r u a h m 3
obezë	o b e z 3
odave	o d a b e
ofendimet	o f e n d i m e t
oferte	o f e r t e
offshore	o f C o r e
organesh	u r  i
organizatorë	u r g a n i z a t o r 3
pabindur	p a b i d u r
pafundësi	p a f u nd~ 3 s i
paketimin	p a k e t i m i n
paketuar	p a k e t u a r
pakontrollueshme	p a k o* tr~ u L u e S m e
pakundërshtueshme	p a k u nd~ 3 r S t u e S m e
pakëta	p a k 3 t a
pamohueshme	p a m o w i  m e
pandryshueshme	p a ndr$ u e S m e
paralajmëronte	p a r a l a h m E b u* d a k
parealizueshme	p a r e a l i z i a m a k m e
pasagjere	p a s a gy~ e r e
paskemi	p a s k e m i
patrioti	p a t r e o t i
pedagogjike	p E d a  gy~ i k e
pengese	p e N e s e
perfeksion	p e r f e k S i o n
performojnë	p e r h m o x n E
perqind	p e r q i n d
peshkim	p e S i k i m a
peshojnë	p e S k o x n E
pica	p i k a
pistolete	p i s t o l e t e
piu	p i u
plotesuar	p l o t e s u a r
politikanin	p o l i t i k a n i n
popullaritetin	p o p u y a r i t e t i n
portokallit	p o r t o k a ly~ i t
portret	p o r t r e t
poshtëruese	p o S y r u e s e
pozitivitetin	p o z i t i b i t e t i n
praktikon	p r a k t k o n
prefekti	p r e f e k t i
premteje	p r e m t e h e
prenosi	p r e Ng ~ o n o 8 i
presje	p r e s e
prezantoj	p r e z a n t o
prezantonte	p r e z a n t o n t e
priftit	p r i b u Ng~ t i
priftërinjve	p r i b u Ng~ y ry~ nj~ v e
prindin	p r i d i n
prishej	p r i S e
prite	p r i t e
pritni	p r i t n i
prodhimtarisë	p r o d i m t a r i s 3
projekton	p t o n o x e k t o n
prosperiteti	p r o 8 p e n e r i t e t i
protagonistit	p r o t a g o n i S t i
protagonistëve	p r o t a g o n i S y v e
proteinën	p r o t e i t n~ a n
psiqik	p s i k i k
punesuar	p u n e s u a r
pus	p u s
pushtetarë	p u S t a r 3
put	p u t
putem	p u t e m
pêr	p e r
përballimi	a p i r b a ly~ i m i
përballueshëm	a p i r a l i h i a e m
përcillte	a p i r i l l t e
përgjakur	a p i r gy~ a k u r
përllogaritjet	a p i r L o g a r i t
përmbyt	a p i r mb~ 3 t
përpunohen	a p i p u n o h e n
përqafoi	a p i r q a f o i
përshkallëzimit	a p i r S k a l l 3  m i t
përsosura	a p i s o s e r e
përulësi	a p i r u l e s i
qellimi	E ly~ i m i
qendërmbrojtësi	E nd~ 3 r mb~ r o h y s i
qepës	E a p i
qyteza	qy~ t E z E
qytezës	qy~ t e z 3
radarin	r a d a r i n
radarët	r a d a r e
refuzohen	r e f u z o h e n
regjionit	r E gy~ i o n i t
rekomandoj	r e k o m a n d o x
rekomandojë	r e k o m a nd~ o h 3
rekrutimi	r e k r u t i m i
rendësi	r e n d e s i
replikat	r e p l k a t
respektosh	r E 8 p e n e k t o S
rezistojmë	r a  s t o h m 3
rezultatesh	r d u l t a t e S
ribashkimin	b a S  m i n
rihapi	r i h a p i
rikonfirmoi	r i k o* f i r m o i
rimarrin	l i m a r i n
ringjalljes	r i N j a ly~ i
rishfaqet	r i S f a 7 e t
riteve	r i t e v e
rrahja	r a h j a
rregullonte	r e g u l  b u* d a k
rreshtimi	r a m a k i i m i
rrijnë	r i j
rritem	r i t e m
rrojë	r c 3
rrugicat	r u g i k a t
rrugësh	r e e s
rrëfente	r 3 f e n t e
sallata	s a l l a t a
sekondare	s e k o n d a r e
seti	s e t i
sferës	s f e r e
shampanjë	S a m a nj~ 3
shantazhi	S a nt~ a Z i
shendetit	S e n d e t i
shijoj	S i j o x
shishen	S i S e n
shkarkimeve	S k a t k i * v e
shkelës	S k e l 3
shkencëtare	S k i n C i 3 a r e
shkopin	S k o p i n
shoq	S o q
shoqëroheshin	S o x 3 r o h i  n
shpartalluar	S p i t o s k a r i
shprehitë	S p r e h i t 3
shpresave	S p r e s a b e
shpërblejë	S a p i b i r e j 3
shqiponjave	S g w i p o n j a b e
shqiponjë	S g w i p o nj~ 3
shtetrrethimi	S t r  i m i
shuajë	S u a 3
shumicen	S u m i C E n
shumëfishuar	S u m E % b i j  3 r
shënova	S 3 n o v a
siglën	s i g l a n
sintetike	s i n t e t i k e
sllav	s y a
solidare	s o l i d a r e
sportdashësve	s p o r t d a S e s v e
sporteleve	s p o r t e l e v e
sprova	s p r o v a
stolat	s t o l a t
strane	s t r a n e
studiuesish	s t u d i u e s i S
stuhie	s t i e
substancat	s u b s t a n k a t
substanciale	s u b s t a n C i w a l e
supozojnë	s u p o z o x n E
taj	t a x
tallava	t a l l a v a
tatuazhet	t a t u a z h e t
teknikat	t a k n i k a t
terminalin	t E r m i l i n
terminalit	t E r m i n a l i t
thellohen	th~ 3 o h e n
thirra	th~ i r a
thurur	th~ u r u r
toksik	t o k k u
tradhtojnë	tr~ a d t o x n E
tragjeditë	tr~ a gy~  t 3
transmetuan	i t r i s m e t u a n
tregtuar	t r e g t u a r
tretmanit	t r e t m a n i t
trevjeçare	t r E f  a r e
tripletën	t r e p l e t e n
trokiti	t r o k i t i
trustit	t o u s t i
trëndafil	t r 3 n d a f i l
tuajat	t u a j a t
tunele	t u n e l e
turistësh	t u r i s t e s
turkut	t u r k u t
udhëzuesit	u d e a f o e s i t
uebfaqen	u r f a 7 e n
ulësen	u l 3 e n
urinare	u r i n a r e
vdek	v b
vendkalimit	f e n d k a l i m i t
ventilimit	f e n t i l i m i t
verifikon	e r i f i k o n
vetizolimi	f e t i z o l i m i
vetëizolimit	e y i z o l i m i t
vijimi	v i j i m i
vizione	p i t e  o n e
vjeçarët	v  a r e
vjollcë	v 3 h u L k 3
vonuan	v o n u a n
vrasësh	v r a o S
vrullshme	v r u L S m e
vrullshëm	v r u L e m
vullkani	v u l l k a n i
vune	v u n e
vëllazëror	v E n y a z 3 r o r
with	w i c
yndyrnat	y ndy$ r n a t
zanatin	z a n a t i n
zbarkojnë	z bh~ a r k o x n E
zbrisnin	z o* i s n i n
zellshëm	z e ly~ e m
zhgënjimit	C g 3 n j i m i t
zhvilloni	z h v i l l o n i
Çabej	a b " a x
Çala	a l a
çereku	e r e k u
çetën	e t e n
çliroi	l i l o i
çokollata	o k o l l a t a
çosh	o S
çuam	u a m
çuna	u n a
ëmbëlsirat	3 m b e L i t e n a
ëmbëlsirë	3 m b e L X a 3
Afër	f 3 r
Airport	i r p o r
Aja	y a
Ajka	h k a
Ansamblit	s a m b l i t
Ante	nt~ e
Anxhelo	n h e l o
Apoloninë	p o l o n i
Arbi	b i r e
Arifaj	r i b u Ng~ a x
Arshi	y s i
Arvizu	g a r 3 v i z u
Askujt	s k u h
Atleticos	L e t i k o s
Aurel	u r e l
Bahreinit	a h r e i n i t
Bardhin	a r dh~ i n
Basta	a s t a
Batllavës	a t l l a v E n
Be	e
Beatrix	e a t r i S
Beirut	e i r u t
Bejta	j t a
Belgjikën	e l gy~ i k a n
Belortaja	e l o r t a h a
Besar	e s a r
Bindjes	g o s
Blerona	l E r o n a
Bode	o d e
Bogovinës	g o b i
Boldor	o l d o r
Borusia	u r u s i a
Brent	r e n t
Bridge	r i d g e
Brugge	r u g g e
Bundesligën	u n d e s l i g a n
Burg	u r
Burreli	u r e l i
Butrintit	u t r i t i
Cakrani	a k r a n i
Cilin	i l i n
Cokaj	o k a x
County	o N t
Dallku	a ly~ k u
Damask	a m a s k
Degën	g a n
Dema	3 m a
Disi	i s i
Divjakës	i v n i 5 3
Dorëzimi	u r e z i m i
Durham	u r h a m
Dëmtimi	m t i m i
Eduarti	d u i t i
Edukimi	d u k i m i
Egbos	gb~ o s
Ekipit	k i p i t
Ekonominë	q o n i k 3 i n E
Eksperienca	k 8 p e n e r i n C i a
Elisabeta	l i s a b e t a
Elmas	l m o s
Emirates	m i r a t e
England	N l a n d
Eno	n o
Enrique	n X i t kw~ i
Epirin	p i r i n
Eurovizion	u r o p i t e  o n
Fake	a k e
Faktorët	a k t o r e
Fejza	j c a
Filadelfia	i l a d e l f i a
Fituesit	i t u 7 e s i t
Fondacionin	d a i q l
Fontana	o t a n a
Franklin	r a n k l i n
Gadishullit	a d i S u l l i t
Gegën	g a n
General	e n e r a l
Gjenerata	h e n e r a t a
Gjithkush	h i th~ w o j
Gjuhëve	x u e v e
Gore	u r e
Grabitja	r a b i t j a
Guangzhou	u a N Z u
Gurit	u r i t
Hag	a g
Hajredin	e r e d i n
Hajrizi	c r i z i
Hamasit	a m a k u
Hap	a p
Hapat	a p
Haris	a r i s
Hashimit	a s i m i t
Hej	a x
Henderson	E d i n o*
Holokaustin	o l o k a u s t i n
Ilaçet	l a e t
Ilirit	l i r i t
Imobile	m o b i l e
Imri	m r i
Irinej	r i n e
Ishalla	S a ly~ a
Jaku	a k u
Janjiq	a* h i
Jep	3 p
Jezusit	d u s i t
Jimenez	i m E n e z
Johansson	o h a s o*
Jordanisë	u r d a n i S 3
Jul	u l
Julia	l i a
Kala	a l a
Kampi	a m p i
Kamza	a m c a
Kaninës	a n i
Kanuni	n u
Kaosi	a o s i
Kastriotëve	a s t r e o y v e
Kenan	e n a n
Kilit	i l i t
Kodër	o d 3 r
Kolonjës	o l o T a
Koncerti	o z i r t i
Konicën	q o n i C a n
Konservatore	o* s e r v a t o r e
Kontjana	o t j a n a
Kostaq	o s t a q
Kosumi	o s u m i
Kryeparlamentari	cy~ e p a l a m e n t a r i
Kryeprokurorit	cy~ e p r o k u r o r i t
Kundërshtimi	u nd~ 3 r S t i m i
Labëria	a b e r i a
Lajçaku	c a k u
Leja	E z a
Lere	e r e
Llogarasë	l o g a r a s 3
Logjika	o g i j i k a
Malajzi	a l a
Malet	a l e t
Marian	a r i a n
Marigona	a r i g o n a
Marrëdhënieve	a r 3 8 3 n i e v e
Mbështetjen	b e s th~ i
Medaljen	e d a l x e n
Mediumi	p i e d m i f a l a
Memaj	e m a x
Mesazh	e s a z
Mesjetë	e s E t 3
Mestani	e s t a n i
Miliarderi	i l i a r d E r i y a
Mjekimin	h e k i m i n
Motivi	o t i b i
Moto	o t o
Mrasori	r a s o r i
Mysafirët	y s a f i r e
Nac	a k
Ndjekësit	d h e k e s i t
Newsom	e w s o m
Njerezit	h e r e z i t
Njëlloj	T a L n d a
Norwich	o r w i C
Nxënësve	S 3 n 3 s v e
Nënpresidenti	3 n p r e s i d e n t i
Olimpico	l i m p i k o
Omer	m e r
Opel	p e l
Operatorit	p e r a t o r i t
Origjina	x j i n a
Pajtim	a h t i m
Paratici	a r a t i C i
Partnerja	i t n e r j a
Pavel	E b e l
Pema	3 m a
Peru	e r u
Peshorja	e s o r j a
Pista	i s t a
Platformës	m u h k i S
Plotësimi	l o t e s i m i
Popullsisë	o p u L s i s 3
Porsche	u r s C e
Portual	u r t u a l
Prenk	r e n
Prix	r i S
Profesoresha	r o f i S o r e s a
Protokollet	r o t o k o l l e t
Pushuesit	u s u e s i t
Përafërsisht	3 r a f 3 s i sC~ t i
Përkrahësit	3 r k r a h e s i t
Qershorin	e r T u r i n
Rafuna	a f u n a
Rambuje	a m b u j e
Reagim	E w e s i k e h
Reciprociteti	e T i p r o k i t e t i
Redjan	p i e d a d " a
Regjional	g j i o n a l
Renditja	e nd~ i y a
Reporterët	a p o r t E r e
Reshit	e s i t
Ritës	i t e
Romero	e r o
Roskovec	o s k o p e k
Rreziqet	r e z i k e t
Russell	u s e l o
Rustem	u s t e m
Sadikut	a d i k u t
Sanatorium	a n a t o r i u m
Sander	a n d e r
Sanremos	a n r e m o s
Saturnin	a t u r n i n
Sefer	e f e r
Sejdiut	j d i
Seul	u
Shano	h a n o
Shitësi	h i t e s i
Shiu	h i u
Shërbime	e b i r e
Sigurimin	i g u r i m i n
Sistemet	i s t e m
Sitit	i t i t
Sociedadit	T i e d a d i t
Sophia	o ph~ i a
Sopi	o p i
Spahiut	p a h i
Spak	p a k
Steiner	t e i t n~ e r
Stelios	t e l i o s
Strategjisë	tr~ a t e g b o
Sukth	u k
Surreli	u r e l i
Taynës	a y
Temat	e m a t
Tjetra	h e t r a
Tok	o k
Tokios	o k i o s
Tonali	o n a l i
Torasa	o r a s a
Trajnerët	r a x n e r e
Transformimi	r a s h m i m i
Tregon	r e g o n
Tsipras	s i p i a s
Turpi	u r p i
Ushqim	S k  i m a
Vajgurore	c g u r o r e
Venezuelë	e n d u e l 3
Veprime	a p l i m e
Vitore	i t o r e
Vllado	y a d o
Vrasësi	r a s e s i
Vrionin	r i o n i n
Werderi	e r d E r i y a
Wolverhampton	o l e r a m p t o n
Xhaferin	a f i n i n
Xinhua	i n w a
Zbulimet	l i m e t
Zemajt	e m a
Zonave	o n a b e
administratat	a d m i n i s t r a t a t
administrojnë	a d m i n i s t r o x n E
admirimin	a d m i r i m i n
adresës	a d r e o
afganë	a f g a n E
ajrorë	c ph~ 3
akomodohen	a k o m o d o h e n
akordua	a k o r d u a
akrepat	a k r e p
akse	a k s e
aksesueshme	a k o u e S m e
aleance	a l e a*  e
alergjive	l E ry~ x i v E
alfabeti	a l f a b e t i
ambientuar	a m b i e n t u a r
anekënd	a n e k 3 n d
ankoheni	a n k o h e n i
argëtimin	a r g 3 m i n
arkitekturore	a r k a m u o t e m e a
arkivole	a r k i v o l e
arkivolin	a r k i v o l i n
arkës	a r k 3
armatimi	a r m a t i m i
armenë	a r m E n E
armëmbajtjes	a r m E mb~ a th~ i
arrestohej	m a n e s t o h e
arrije	m a n i j e
artizanale	i t i z a n a l
asamblesë	a s a m b l e s 3
audienca	a u d i e n k a
automobilave	a u t o m o b i l a v e
autorizohet	a u t o r i z o h e t
avancojnë	a b a nC~ o x n E
balancën	b a l a n k o a n
balle	b a l
bashkonte	b a S i k o nt~ e
bashkëpunoj	b a S i k 3 p u n o x
bashkëpunëtorit	b a S i k 3 p u n E t o r i t
bashkëqeverisjes	b a S i k 3 E e r i s i
bashkëshorte	b a S i k e s o r t e
bavarezëve	b a b a r e z 3 v e
bebja	b e by~ a
bibliotekat	b i b l i o t e k a t
bikine	b 3 k i n e
bilance	b i l a n k o e
biologjisë	b i o l o g b o
bizantine	b i s a n t i n e
biçikletës	b i i k l e y
blloqet	b l l o x e t
boshnjakëve	s n j a k 3 v e
brendinë	b r e n d i
brendshem	b r e n d S e m
bronzi	b r o n z i
bytha	b 3 t a
bërthama	b e r t a m a
bërthamën	b e r t a m a n
caqet	k a q e t
censurë	C E s u r 3
cezariane	C E z a r i a n e
cigares	i N a r e
cinik	T i n i k
cmim	k m i m
cmimin	k m i m i n
dakordohemi	d a k o r d o h e m i
dallgëve	d a ly~ g 3 v e
dalluan	a z i h i
dashakeqe	d a S a k e k E
dashamirësit	d a S a m i r e s i t
dates	d a t e
dedikoj	d e d i k o x
deleguari	d e l e g u a r i
demagogji	d e m a g o gy~ i
deme	d e m e
depërtimit	d e p e r t i m i t
derdhën	d e r 8 a n
detaji	d e t a h i
detet	d e t e
deteve	d e t e v e
dhunuesit	T u n u e s i t
dhurim	T u r i m
dhurohet	T u r o h e t
dhëndër	d e nd~ 3 r
disfatës	d i s y y
disko	d i s k o
ditari	d i t a r i
diversifikimin	d i e r s i f i k i m i n
djemëve	g o k i S v e
djepi	d h e p i
djersa	d E n s a
dobësia	d o b e s i a
doktrinë	d o i
dokumentari	d o k u m e n t a r i
dokumentarit	d o k u m e n t a r i t
dollap	d o l a p
drejtuam	d r e h t u a m
drejtuesëve	d r e h t u e o v e
dëgjimi	d 3 g j i m i
dërguam	d 3 r g u a m
eksportojnë	e k s p o r t o x n E
eksporton	e k s p o r t o n
ekzistimit	e k a t i m i t
elozhe	e l o Z e
etja	e t j a
evitojë	p i r i t o h 3
evitoni	p i r i t o n i
fajësohet	f a e s o h e t
falenderimet	f a l E d i n i m e t
falenderimi	f a l E d i n i m i
falenderojmë	f a l E d i n o h m 3
fashistë	f a s i s t 3
fasonët	f a s o*
femëror	f a m E r o r
festimin	f e S t i m i n
fiku	f i k u
filluara	b i l l u a r a
fishek	f i S
fiziologjike	f i 5 o l o g j i k e
fluturonin	f l u t u r o n i n
folklorik	f o l k o r i k
fondesh	f o n d e S
forconte	h r o n t e
formulim	f o r l i m
fortit	f o r t i
frenimi	f r e n i m i
frenon	f r e n o n
fruthi	f r u c
frënge	f r 3 n g e
fshehtas	f S e h t o s
fshehën	f S e h a n
fshihni	f b a l n i
funeralit	f u n e r a l i t
funksionalizimin	f u n k S i o n a l i  m i n
garancive	g a r a n C i i v E
garonte	g a r o n t e
gjalpë	gy~ a l p e
gjenocidale	gy~ e n o k i d a l e
gjinive	gy~ i n i v E
