de	d e
expresar	" p r e s a r
fases	f a e
formacions	f o r m a c i o* s
formal	f o r m a l
fundó	f u nd~ o
fuyir	f u y i*
ganato	g a n a t o
gara	g a r a
hierba	hy~ e r b a
individuals	i n d i v i d u a d
irregulars	i r e g u l a r
italiana	i t a l i a n a
literario	t E r a r i o
malautías	m a l a u t i 3 s
marins	m a r i n
menas	m E n 3 s
mesa	m e s a
meyos	m e y o s
microtoponimos	m i C u t u p o n i m o s
morir	m o r i r
muros	r o s
museu	s e u
naixen	n a i S e n
naus	n a u s
nobleza	n o b l E z E
nombrau	n o mb~ r a u
pagar	p a x a r
patas	p a t a s
perfecto	p e r f e k t o
polaco	p o l a  o
practicament	p r a k t i k a m E n t
prencipiar	p m i n C i i p i a r
prencipioron	p m i n C i i p i o k u
principios	p r i n k i p i o s
probable	p l o b a b l e
productor	p r o C u k t o r
publicas	p u b l i k a s
puedan	p u e d a n
pueyo	p u e y o
puya	p u y a
qualos	k a l o s
quedando	k e d a n d o
quiesto	k i e s t o
raza	r a z a
reforma	r E h m a
representacions	r e p r e s e n t a q i o* s
residencia	r e s i d i n C i w a
responsable	r e s p o i r a r u w l e
restaurants	r e s t a u r a n c
risgo	r i s g o
romanas	r o m a n a s
romanica	r o m a n i k a
single	s i N l e
suma	s u m a
superficies	s u p e r f i C y e
tals	t a l
también	t a m b i e n
tiengan	g a n
titol	t i t o l
toneladas	t o n e l a d 3 s
tribu	t r i b u
trobada	t r o b a d a
títols	t t o l
venda	f e n d a
viva	v i v a
vivos	v i v o s
x	7
Astí	s t i
Baixa	i x a
Bielsa	i e l s a
Castiello	a s t i 3 l o
Cort	u r
Cristo	r i s t o
Cuenca	u e n k a
Cultura	u l t u r a
Cultural	u l t u r a l
Dios	i o s
Federal	e d e r a l
Festival	e s t i w a l
Fierro	i e r o
Filología	i l o l o g i a
Fuellas	u e y a
Henrique	e n r i k E
Historicament	i s t o r i C i C e n t
Hitler	i L e r
Joan	o a n
Macedonia	a C E d o n i y a
Manstein	s t o i n u r
Monte	b u* d a k
Pierre	i e r
Plan	l a n
Plana	l a n a
Records	e k o r d
Star	t a r
Sydney	y d n i
Tienen	i e n e n
Uniu	n i u
acceso	a k u s o
administrativas	a d m i n i s t r a t i v a s
alcuerdo	a l kw~ e r d o
alemanas	a l 3 m a n a s
alfabeto	a l f a b e t o
amigo	a m i g o
aproximadament	a p r o n l a p i N
arabismos	a r a b i s m o s
barrancos	b a r a nC~ o s
budismo	b u d i s m o
chuegos	C u e g o s
clau	k l a u
competencia	k o m p e t e n C i w a
conceptos	r o n C i e p t o s
conoiximiento	r o n o i x i m i e n t o
consello	r o n e l o
consideratos	k o s i d e r a t o s
constituyen	k o s t i t u y e n
contienen	r o n t i E n e n
contraste	r o n t r a s t e
correspondients	k o r e s p o n d i E nt~ u
creyoron	k r e y u r u n
criterios	k r i t E r i o s
criticas	k r i t i k a s
cuello	kw~ e l o
cultos	k u l t o s
cursos	k u r s o s
definiu	d e f i n i u
dentrata	d e n t r a t a
desapareixió	d e s a p a r e i n o
desembolicó	d e s e m b o l i C
desepara	d e s e p a r a
destacando	d e s t a k a n d o
difusión	d i f u s i o n
disenyos	d i s e 5 o s
diversidat	d i e r i d a t
edicions	p i e d w C i w r o* s
eleccions	e l e k i o* s
electrons	e l e k tr~ o* s
espectro	e s p E kh~ a m e* t r o
estacions	e s t a k i o* s
excepción	" u p i o n
ezquierda	d k i e r d a
faixas	f a i S o s
fama	f a m a
familiars	f a m i l i a r
ficción	f i k i o n
figurar	f i g u r a r
fixa	f i x a
formula	f o r m u l a
francico	f r a n C i w C i o
freqüents	f r e k 3 e n c
fruitos	f i t o s
funda	f u n d a
goyo	g o y o
gramatical	g r a m a t i k a l
gusto	g u s t o
habitan	h a b i t a n
homosexuals	h o m o s E r m a d
in	i n
industrias	u z i a s
intención	i n t e n C i w o n
intresant	i n t r e s a nt~
introducción	i n t r o C u k i o n
invasión	i n b E s i b o n
irregular	i r e g u l a r
italians	i t a l i a*
laterals	l a t e r a d
leit	L e i t
lingüisticos	l i N 3 i s t i k o s
magnitut	m a h n i t u t
mapa	m a p a
metals	m e t a l
metropolitana	m e t r o p o r i t a n a
meyana	m e y a n a
millón	m i l l o n
mirando	m i r a n d o
moleculas	o l k u l a
moros	m o r o s
nación	n a g a o n
noreste	n o r e s t e
novela	n o p e l a
obchectivos	o b C e k t i v o s
operación	o p e r a i o n
opinión	o p i n i o n
oración	o r a i o n
ordens	u r d e n
organo	u r g a
ortografía	u r t o g r a f i a
pareixe	p e r a i S 3
parroquial	p e r o k i a l
participación	p e r t i k i k i n i o n
pasato	p a s a t o
pastors	p a s t o r
patrimonials	p a t r i m o* i a l
permanent	p e r
pesca	m i C
pilota	p i l o t a
plastico	p l a y i s t  o
plena	p l e n a
posesión	p o s e s i o n
practicas	p r a k t i k a s
radar	r a d a r
rango	r a n g o
recibito	r E c i b i t o
relacionatos	r e l a c i o n a t o s
residents	r e s i d E nt~ u
seguridat	s e g u r i d a t
septentrional	s e p t E nt~ u z i o n a l
signos	s i g n o s
simbolos	s i m b o l o s
suposó	s u p o s o
te	t e
terminacions	t E r m i n a g a o* s
tornoron	t o r n o r o n
treballa	t r e b a ly~ a
treballan	t r e b a r u
treballó	t r e b a ly~ o
turco	t u r k o
túnel	t i r a
uga	u g a
variables	v a r i a b l e
viache	v i a C e
vivo	v i v o
vueito	v u e i t o
zaguero	z a g e r o
é	e
Aquí	k i
Archivo	r C i v o
Benedet	e n e d e t
Bohemia	h e m i a
Bulgaria	u l N a r i a
Crimea	l i m i a
Debito	e b i t o
Javier	a v i e r
Moldavia	o l d a v i a
Noruega	u r u e g a
Patrimonio	a t r i m o* i o
Paul	a u l
País	a i
Plaza	l a z a
President	r e s i d e n t
Revolución	e v o b e l i o n
Román	o m a q a n
Sancho	5 u k u n C o
Tenió	e n i o
Tién	i e n
Turquía	u r q u i a
Vicente	C " e l e n t e
Vlaquia	l a k i a
Zen	e n
adchectivo	a d C e k t i b o
afers	a f e r
alternativa	a l t E r n a t i v a
arquitectura	a r k i t e k t u r a
bronze	b r o n z e
calient	k a l i e n t
cargas	k a g i x a s
celebracions	k e l e b r a i o* s
cheneracions	C e n e r a i o* s
chermanicas	C e r m a n i k a s
chuntos	w a n t o s
cierta	C y e r t e
clamaus	k l a m a u s
clasifican	k l a s  k a n
colonización	k o l o n i r o i o n
columnas	k o l u m n 3 s
conchuntos	r o n ch~ u n t o s
conseguir	r o n e g i r
consonants	k o Th~ o n a n c
construir	k o s t r u i r
contes	r o n t e
cort	k o r
costatos	k o s t a t o s
costaus	k o s t a u s
coste	k o s t e
crei	k r e i
creixe	k r a i S 3
cristals	k r i s t a l
cubre	k u b r e
cucho	k u C o
curta	k u r t e
decenas	d e 7 e n 3 s
dentrar	d e n t r a r a
dentró	d e n t r o
dependendo	d e p e n d e n d o
descrito	d e s k r i t o
devez	d e p e m u
dients	d i E nt~ u
dificultatz	d i f i k u l t 3 c
difícil	d i f i Tw~ i l
diosa	d i o s a
directo	d i r E C t o
dispositivos	d i s p o s i t i v o s
duración	d u r a i o n
encomienzan	e nC~ o m i e n z a n
entidatz	e n t i d a c
equivalents	e k i w a l E nt~ u
esferencia	e s f m i n C i w a
estandar	e s t a n
etnico	e t n i k o
explica	" p l i k a
fembra	f e mb~ r a
ficacio	f i k a i o
fisicos	f i s i k o s
fundación	f u nd~ a i o n
graus	g r a u s
guitarrista	g i t a r s t a
habendo	h a b e n d o
habioron	h a b i o r o n
habiu	h a b i u
hongaros	h o N a r o s
legal	l e 7 a l
leito	L e i t o
localización	l o k a l i r o i o n
locución	l o k u k i o n
mando	m a n d o
mantenimiento	m a n t e n i m i e n t o
masculina	s k u l i n a
mayestro	m a y e s t r o
medallas	m e d a ly~ a
millas	m i l l a
mils	l
minoritaria	m i n o r i t a r i a
minorías	m i n o r i 3 s
muerto	m u e r t o
muestra	m u e s t r a
nacionalidat	n a g a o n a l i d a t
naixe	n a i S 3
ne	n e
nino	n i n o
operacions	o p e r a i o* s
ordinadors	u r d i n a d o r
organicos	u r g a n i k o s
pan	p a n
paralela	p a r a l e l a
pareixita	p e r a i S i t a
participan	p e r t i k i p a n
plataforma	p l a y i t a h m a
pobres	p o o*
poeta	p o e t a
precipitacions	p r E c i p i t a i o* s
prencipe	p m i n C i e p e
promoción	p r o m o i o n
publicos	p u b l i k o s
quatrena	k a t r e n a
quedar	k e d a r
quimicas	k i m i k a s
reflecta	r e f l e k t a
reglas	r e g l a
relatos	r e l a t o s
rematan	r E m a t a n
reservas	r e s E r v a s
resultaus	r e s u l t a u s
ritmo	r e m o
salas	s a l a
salen	s a l e n
scena	s k e n a
seguro	s e g u r o
seqüencia	s a q 3 i n C i w a
serbios	s e r b i E o s
sigla	s i g l a
simients	s i m i e n c
simpla	s i m p l a
simples	s i m p l e
sitúa	s i t u a
soldatos	s o l d a t o s
sonitos	s o n i t o s
sovietica	s o v i e t i k a
sovieticos	s o v i e t i k o s
substancia	s u b s t a n C i w a
tardano	t a r d a
teatro	t e a t r o
tenito	t e n i t o
treballando	t r e b a l l a n d o
trescruza	w a m i s k r u w Z a
urbano	u r b a
vechetals	f e 5  a d
vecinas	s k a* b i n 3 s
verticals	e r t i k a d
vesitants	f e s i t a n c
vientos	v i e n t o s
viviba	v i v i b a
Africa	f r i k a
Alta	l t a
Australia	u s t r a l i a
Canal	a n a l
Catalana	a t a l a n a
Consultau	o* s u l t 3
Ebro	b r o
Estatos	s t a t o s
Estau	s t a u
Fuentes	u e n t e
Galia	a l i a
González	n z a l e z
Guadalachara	u a d a l a C a r a
Guardia	u a r d i a
Guía	u i a
Herzegovina	e r z e g o v i n a
Ibn	b n
Jack	a k
James	a m e
Jesús	e s u
Leyón	e y o n
Madeira	a d e i r a
Mare	a r e
Martin	i t i n
Meyo	e y o
Millor	i l l o r
Nacions	a c i o* s
Naixitos	i S i t o s
Poco	o k o
Prensas	r E sh~ 3 s
Pérez	y e z
Road	o a d
Sin	i n
Tomás	o m a q a
Va	a
Vietnam	i e t n a m
Yugoslavia	u g o s l a v i a
actors	a k t o r
alimentos	a l i m e n t o s
altarias	a l t a r i a s
amés	a m u
apareixió	a p a r e i n o
arte	i t e
asociación	a s o* k a i o n
berbers	b E k
botigas	b o t i x a s
brazos	b r a z o s
cantidatz	k a n t i d a c
capas	k 3 p 3 s
capeza	k a p E z E
capitán	k a p i t E n
celebran	k e l e b r i
celula	C E l u l a
chaponés	C a p o n e
chenerico	C e n e r i k o
chentilicio	C e n t i l i i o
chermanicos	C e r m a n i k o s
cheso	C e s o
chica	c " i k a
chudicial	w a g w C i w r a l
cinematografica	i n e m a t o g r a f i k a
clarament	k l a r a m E n t
com	k o m
companyía	k o mp~ a 5 i a
complexos	k o m p l e S o s
comunas	k o m u n 3 s
conoixidas	r o n o i S i d 3 s
consigue	k o ns~ i a
continación	r o n t i n a g a o n
continoron	r o n t i n o r o n
convierte	r o n v i e r t e
cosacos	k o s a k o s
costumbres	k o s t u mb~ r e
crisi	k r i s i
critica	k r i t i k a
dando	d a n d o
declaró	d e 7  o
descubierto	d e s k u b i e r t o
determinar	d e t e r m i n a r
determinato	d e t e r m i n a t o
dichital	d i C i L a l
dificils	d i f i i l
dimana	d i m a n a
dispositivo	d i s p o s i t i b o
doctrina	d o k t r i n a
durada	d u r a d a
economicas	e k o n o m i k a s
electronica	e l e k t r o n i k a
emplegada	3 mp~ l e 7 a d a
escritors	e s k r i t o r
esdevenito	e s i s u s k a i t o
esleitos	e s l e i t o s
especifica	e s p E kh~ a m e*  k a
espelunga	e s p e l u N a
esportivas	e s p o r t i v a s
estable	e s t a b l e
estatus	e s t a t u s
estrato	e s t r a t o
etnonimo	e t n o n i m o
europea	u o p e a
eventos	e b e n t o s
explicación	" p l i k a i o n
expresa	" p r e s a
falla	f a ly~ a
falta	f a l t a
federación	f e d e r a i o n
fibra	f i b a b r a
flor	f l o r
foro	f o r o
francesas	f r a n C i e s a s
fósils	f o s i l
ganador	g a n a d o r
gosaba	g o s a b a
gubernador	g u b E a n a d o r
habrá	h a b r a
homosexualidat	h o m o s E r m a l i d a t
humanidat	h u m a n i d a t
imperativo	i m p e r a t i b o
infantil	i n f a nt~ i l
intensa	i n t e s a
intervención	i n t E r f e n C i w o n
latitutz	l a t i t u c
libels	b e l
lingüistas	l i N 3 i s t a s
líder	l i d e r
mantiene	m a n t i E n E
melitant	m e l i t a nt~
membrana	m e mb~ r a n a
mesuras	m e s u r a s
modernas	m o d E a n 3 s
mugants	m u g a n c
neolatinas	n e o l a t i n 3 s
nos	n o s
occitanismos	T k i t a n i S m o s
oposición	o p o s i i o n
orbita	u r b i t a
orichinau	u r i C i n a u
parcialment	p i r i a l m E n t
pareixidas	p e r a i S i d 3 s
particla	p e r t i k l a
partida	p e r t i d a
pasachers	p a s a S e r
pasan	p a s a n
pasos	p a s o s 3
pendient	p e n d i e n t
penyas	p e 5 a s
percepción	p e r e p i o n
perdió	p e r dy~ o
personals	p e r s o n a l
piensa	p y E s a
placas	p l a y i a s a
plevia	p l e v i a
polo	p o l o
positiva	p o s i t i v a
presonals	p r e s o n a l
principe	p r i n k e p e
propuesta	p r o p u e s t a
quitó	k i t o
recinto	r E c i t o
recuperación	r E C u p e r a i o n
relativos	r e l a t i v o s
representato	r e p r e s e n t a t o
romanización	r o m a n i r o i o n
saber	s a b e r
satelite	s a t e l i t e
scenas	s k e n 3 s
seguidors	s e g i d o r
segundos	s e g u n d o s
sentir	s e n o x e l
significativa	s i g  k a t i v a
solitario	s o l i t a r i o
solos	s o l o s
solución	s o b e l i o n
sovieticas	s o v i e t i k a s
subordinada	s u b o r d i n a d a
suficient	s u f i C y e n t
tercio	t E r i o
transformación	i t r i s h i o n
trobó	t r o b o
tunica	t u n i C a
une	u n e
utilizau	u t i l i z a u
variación	v a r i a i o n
violencia	v i o l e n C i w a
visión	v i s i o n
vivindo	v i v i n d o
vuelo	v u e l o
vuelta	v u e l t a
árbol	g b o l
Antón	t o n
Austria	u s t r e
Belunas	e l u n 3 s
Brasil	r a s i l
Broto	r o t o
Casas	a s a s
Cinco	m a o
Comarca	t a r k a
Conejero	o j e r o
Destaca	e s t a k a
Edad	d a d
Einstein	s t o i n u r
Escudo	s k u d o
Escuela	s k u e l a
Evolución	v o b e l i o n
Gosa	o s a
Hispania	i s p a n i a
Ligallo	i g a l o
Meseta	e s e t a
Monesterio	n e s t E r i o
Murcia	u r k i a
Nuevo	k i k " v o
Odiseu	d i s e u
Orichinalment	r i C i n a l m E n t
Paleolitico	a l e o l i t  o
Peter	e t e r
Podemos	o d e m o s
Posteriorment	o s t E r i o r m E n t
Prene	r e n e
Quasi	u a s i
Radio	a d i o
Recibió	e T i b i o
Secilia	e T i l i a
Su	u
Superior	u p e r i o r
Tiene	i e n e
Universitarias	n i v e r s i t a r i a s
Vaticano	a t i k a
Ventura	e n t u r a
Venus	e n u s
absoluta	a b " s o l u t a
achent	o t a C e n
acido	a c i d o
actuación	a k t u a i o n
actuar	a k t u a r
adaptación	a d a p t a i o n
administrativament	a d m i n i s t r a t i w a* m E n t
adultos	a d u l t o s
aerio	a e r i o
alazetz	a l a z e c
aldeyas	a l d e y a s
amaneix	a m a n e i
amariello	a m a r i e l o
ambient	a m b i e n t
apareixioron	a p a r e i n o r o n
armenia	a r m E n i a
arribar	a r b a r
artes	i t e
ataque	a t a k E
atletas	a t l e t o s
autoctona	a u t o k t o n a
bellos	b e l l o s
bizantín	b i s a nt~ l e
boca	b o k a
brazo	b r a z o
caballers	k a b a l l e r
cabecera	k a b e T E r a 7
cadenas	k a d e n 3 s
cambiar	k a m b i a r
capable	k a p a b l e
centimetros	C E n t i m E t r o s
chenetica	C e n e t i k a
cheografía	C e o g r a f i a
cheolochico	C e o l o C " i k o
chusticia	C u s t i i a
clasificar	k l a s  k a r
comité	k o m i t e 7
composau	k o m p o s a u
condicional	r o n d i k i o n a l
conoixió	r o n o i n o
considerablement	k o s i d e r a b l E m E n t
construito	k o s t r u i t o
continan	r o n t i n a n
costumbre	k o s t u mb~ r e
dato	d a t o
delta	d e l t a
des	d e
determinadas	d e t e r m i n a d 3 s
di	d i
distintas	d i s t i t o s
distintos	d i s t i n t o s
distribuye	d i s t r i b u y e
dominios	b i n i o s
duró	d u r o
emblema	e m b a l 3 m a
emplegata	3 mp~ l e 7 o
encluye	i n C i l u y e
equipo	e k i p o
era	e r a
esfuerzo	e s pw~ e r o
espacios	e s p a k i o s
esperanto	e s p e r a nt~ o
estreito	e s t r e i t o
etnica	e t n i k a
exclusiva	" k l u s i v a
exemplars	" 3 mp~ l a r
exitos	" i t o s
expedición	" p o w C i w r o n
externa	" t E r n a
ferrocarril	f e r o k a r i l
filosofía	b i l o  i a
firme	f E i r m e
flora	f l o r a
fluvial	f l u b i a l
foranos	f o r a n o s
formaban	f o r m a b a n
fuesen	f u e s e n
haigan	h a i g a n
hipotesis	h i p o t e s i s
humano	h u
impacto	i m p a k t o
individuo	i n d i v i d u o
insectos	s e k t o s
internos	i n t E r n o s
kg	k
lingüisticas	l i N 3 i s t i k a s
luitar	l u i t a r
luna	l u n a
mandato	m a nd~ a t o
mapas	m a p a s
medico	m e d i k o
mensache	m e sh~ 3 C e
minoría	m i n o r i a
miran	m i r i
misions	m i s i o* s
mitolochía	m i t o l o C i a
monarquía	m o n a r k i a
montanyosas	m o* t a 5 o s a s
mozarabe	m o z a r a b e
musclo	s k l o
musicos	s i k o s
musulmán	s u l N n
nomenclatura	n o p i n C i l a t u r a
norma	n o r m a
nuestro	n u a* 7
ocupan	o k u p a n
organismo	u r g a n i S m o
pareixiu	p e r a i S i u
parella	p i m u S
pars	p a r
partidarios	p e r t i d a r i o s
partido	p e r t i d o
perfectament	p e r f e k t a m E n t
piloto	p i l o t o
piso	p i s o
placa	p l a y i k a
planetas	p l a y i n e t o s
plano	p l a y i n o
plegada	p l e 7 a d a
plegando	p l e 7 a n d o
pleno	p l E n o
potencias	p o t e n C i w 3 s
presupuesto	p r e s u p u e s t o
produz	p r o C u
promeyo	p r o m e y o
propietario	p r o p i e t a r i o
proposicions	p r o p o s i i o* s
proposito	p r o p o s i t o
provenients	p r o w e n c
provienen	p r o v i e n e n
quadro	k i
razas	r a z a s
realiza	r e a l i c a
realment	r e a l m E n t
reals	r e a d
recipient	r E c i p i e n t
rector	r E c t o r
reformas	r e f o r m a s
relacionato	r e l a c i o n a t o
relativo	r e l a t i b o
representaba	r e p r e s e n t a b a
restauración	r a a  i o n
ronda	r o n d a
rotación	r o t a i o n
rotas	r o t o s
selva	s e l v a
semellants	s e m e y a n c
siglo	s i g l o
significar	s i g  k a r
sindembargo	s i n d e m b a l i m a g o
sinyors	s i n y u r
sobirán	s o b i r a n
sociedatz	s o k i e d a c
sonda	s o n d a
soniu	s o n i u
suelos	s u e l o s
testimonio	t e s t i m o* i o
tipicas	t e p i k a s
torismo	t o r i s m o
totalidat	t a t a l i d a t
tozuelo	t o z u e l o
traduccions	tr~ a d u k i o* s
transportar	i t r i s p o r t a r
tren	t r e n
trens	w a m i n
trobaban	t r o b a b a n
turcos	t u r k o s
vapor	v a p o r
varía	v a r i a
vertical	e r t i k a l
veyemos	f e y e m o s
viellos	v i e l l o s
vinient	v i
vivienda	v i v i e n d a
vuelos	v u e l o s
Altoaragoneses	l t o a r a g o n e e
Balbastro	a l b a s t r o
Belarrusia	e l a r s i a
Buena	u e n a
Chris	h r i s
City	i t
Comisión	o m i s i o n
Conseller	o* s  e r
Dreito	r e i t o
Fuerza	k i k " L a
Galitzia	a l i c i a
Gaulle	a u l
Jones	o i
Lei	e i
Negra	g r a
North	u r
Pacifico	a k   o
Peña	e ny~ a
Pilar	i l a r
Popular	o p u l a r
Praga	r a g a
Prencipió	r e n C i w k o
Reparo	a p a r o
Río	i o
Totas	o t o s
Ucraína	k r a i n a
Varsovia	a r S o v i a
abraca	a b " r a k a
abundant	a b u n d a nt~
acceder	a k C E d e r
achents	a E nt~ u
actor	a k t o r
administrativo	a d m i n i s t r a t i b o
aire	a i r
aon	a o n
apareixer	a p a r e i  e r
aquells	a q u m u S
aquí	a q u i
atmosfera	a t n o S f e r a
basica	b a s i k a
bispes	b i s p e 7 e s
cabos	k a b o s
caita	k a i t a
cambeó	k a m b e o
campanyas	k a m a 5 a s
campionatos	k a m p i o n a t o s
cantar	k a nt~ a r
cartas	k i t o s
catolica	k a t o l i k a
celta	C E l t a
ch	C
chaponesa	C a p o n 3 s a
cheografico	C e o g r a f i k o
chodiga	C o d i g a
chodigo	C o d i g o
cima	T i m a
coinciden	k o m a i d e n
colaboración	k o l 3 b u a o r a i o n
columna	k o l u m n a
composa	k o m p o s a
composadas	k o m p o s a d 3 s
concreta	r o n C i r e t a
conseqüencias	k o s a q 3 i n C i w 3 s
considerable	k o s i d e r a b l e
consideraus	k o s i d e r a u s
contextos	r o n t e S o s
continents	r o n t i n e n c
contién	r o n t i e n
copias	k o p i a s
correcta	k o r e k t a
correu	k o r e u
cortz	k o r c
costeras	k o s t E r 3 s
creyada	k r e y a d a
creyen	k r e y e n
debiu	d e b i u
decisions	d e 7 i s i o* s
definito	d e f i n i t o
deixan	d e i
denomina	d e n o m i n a
derivación	d e r e  i o n
desapareixe	d e s a p a r a i S 3
descripción	d e s k r i p i o n
deseparación	d e s e p a r a i o n
designa	d e s i g n a
designar	d e s i g n a r
dialectal	d i a l e k t a l
dialectals	d i a l e k t a l
dificultat	d i f i k u l t 3 t
dio	d i o
dirichita	d i r i C i n e n
disenyau	d i s e 5 a u
disponible	d i s p o n i b l e
distancias	d i s t a n C i w 3 s
distingue	d i s t i N g w e
dividiu	d i v i d i u
duques	d u s o X
eixe	a i S 3
electrico	e l e k i cy~ o
entorno	e n t o r n o
entrada	e n t r a d a
esdevinioron	e s b v i n i o r o n
eslavas	e s l a v a s
español	e s p a 5 o l
especificament	e s p E kh~ a m e*  k a m E n t
esportivos	e s p o r t i v o s
estratos	e s t r a t o s
estudiants	e s t u d i a c
etimolochica	e t i m o L o C i k a
etnicos	e t n i k o s
exposicions	" p o s i i o* s
facto	f a k t o
faina	f a i n a
fese	f e s e
feto	f e t o
figuras	f i g u r a s
fluvials	f l u b i a l
fondo	f o n d o
foranas	f o r a n a s
glandulas	g l a nd~ u l a
gol	g o l
golfo	k o r f o
gosaban	g o s a b a n
gramatica	g r a m a t i k a
guaires	g u a i r e
habla	h a b l a
hibiernos	h i b i E a n o s
hierarquía	hy~ e r a r k i a
historias	h i s t o r i a s
iban	i b a n
industrials	u z i a l
iu	i u
largos	l a r g o s
lechislativo	l e C i s l a t i b o
levó	l E f o
literarios	t E r a r i o s
mala	m a l a
maorís	m a o r i
maquina	m a k i n a
marinas	m a r i n 3 s
marrón	m a* r o n
masclo	s k l o
mayoritariament	m a y u r i t a r i a m E n t
me	m i
mencionan	m E n C i w o n a n
mencionato	m E n C i w o n a t o
metro	m e t r o
meyaus	m e y a u s
militars	m i l i t a r
ministro	m i n i s t r o
molimentos	o l i m e n t o s
muere	m u e r e
narancha	n a r a n C a
natal	n a t a l
ninvió	n i n i o
nombran	n o mb~ r i
novelas	n o s k u
obtenió	o b o
organizacions	u r g a n i r o i o* s
ortodoxa	u r t o d o s a
ortodoxos	u r t o d o s S o s
otomán	k o t o m a n
parellanas	p a r e y a n a s
participó	p e r t i k i p o
pasiva	p a s i v a
patrimonial	p a t r i m o* i a l
peix	p a i S 3
pensamiento	p e s a m i e n t o
periodico	p e r i o d i k o
permitir	p e r m i t i r
petrolio	p e t r o l i o
picos	p i k o s
poders	p o d e r
predominan	p r e d o m i n a n
presienta	p r e s i e nt~ a
primaria	p l i m a r i a
primavera	p l i m a b e r a
procesions	p r o k o* s
proteínas	p r o t e i n 3 s
psicolochía	p s i k o l o C i a
qualque	k a l kw~ i
quarta	k i t a
quimico	k i m i  o
relacionadas	r e l a c i o n a d 3 s
representau	r e p r e s e n t a u
resulta	r e s u l t a
revistas	r E i s t o s
romance	r o m a n C i e
romano	r o m a n o
romanz	r o m nz~ i
sabor	s a b e r
sape	s a p e
seccions	s e k i o* s
secreto	s e k r e t o
semellant	s e m e l l a n t i
sendicatos	s e n d i k a t o s
serían	s e r i
simient	s i m i e n t
sobiranía	s o b i r a n i a
solido	s o l i d o
sonora	s o n o r a
sus	s u s
tecnolochías	t e k n o l o C i 3 s
tematica	t e m a t i k a
tendría	t e ndr$ i a
terminolochía	t E r m i n o l o C i a
trachectoria	tr~ a C e k t o r i a
transmeso	i t r i s S o
trenta	w a m i n t a
trobato	t r o b a t o
troboron	t r o b o r o n
turquica	t u r k i k a
videos	v i d e o s
vins	v i n
votos	v o t o s
yo	r o x
être	e t r e
America	m e r i k a
Biescas	e s k a s
Cerro	e r o
Chaca	h a k a
Charles	h a l e
Comunidat	n i d a t
Costa	o s t a
Croacia	r o a c i a
Cup	u p
Democratica	e m o k r a t i k a
Dinamarca	i n a m a r k a
Domingo	o m i Ng~ o
Ella	L a
Els	d
English	N l i S
Enta	t a y
Fueva	k i k " v a
Fundación	u n d a i o n
Galicia	a l i i a
Galligo	a ly~ i g o
Han	a n
Jaime	a i m e
Karabakh	a r a b a k
Libre	i o*
Marilyn	a ry~ ly~ n
Martínez	i t x i a gw~ a
Molimento	o l i m e n t o
Montenegro	o t e n e g r o
Monts	o c
Municipal	u n i C i p a l
Nápols	a p o l
Organización	r g a n i r o i o n
Otomán	t o m a n
Pamplona	a m p l o n a
Quercus	u e r k u s
Respective	e s p E kh~ a m e* t i v E
Sciencias	C y e n C i w 3 s
Semana	e m a n a
Sinyor	i n y o r
Sobre	o o*
Talment	a l m E n t
Teneba	e n e b a
Tercera	e r u r a
Territorio	e r i t o r i o
Veïnat	e 3 n a t
accento	a k C E n t o
acidos	a c i d o s
activos	a k t i v o s
administrativos	a d m i n i s t r a t i v o s
afirma	a f i r m a
altament	a l t 3 m E n t
altra	a l t r a
amostranza	a m o s t r a n c a
amplas	a m p l a
analochía	a n a l o C i a
aniellos	a n i  o s
arriba	m a n i b a
atomos	a t u m o s
baile	b a i l e
basata	b a s a t a
bases	b a e
blancos	b l a*  o s
boiras	b o a s
bosniacos	s n i a k o s
cabal	k a b a l
calandario	k a l a n e o
calendatas	k a l e n d a t a s
calients	k a l i E nt~ u
campiona	k a m p i o n a
capiellas	k a p i e y a
capítol	k a p i t o l
causas	k a u s a s
cayen	k a y e n
celebrar	k e l e b r a r a
cercuitos	T E r a kw~ i t o s
chardín	C a r a n
charrau	C a r a u
cheneros	C e n e r o s
cheograficos	C e o g r a f i k o s
chugaban	C o g a b a n
cientos	C y e n t o s
cinqueno	T i n ky~ E n o
circulación	l r u l a k a i o n
civils	i v i l
claras	k l a r 3 s
colechio	k o l e C i o
comportamientos	k o m p o r t a m i e n t o s
composada	k o m p o s a d a
conoixeba	r o n o i S e b a
construita	r o n u z i n e n
contaminación	r o n t a m i n a g a o n
conteniu	r o n t e n i u
contrimuestra	r o n t r e m 7 o e s t r a
convertiu	r o n e r v u
copa	k o p a
creixen	k r e i  e n
cultismos	k u l t i s m o s
decreto	d e 7 r e t o
define	d e f i n e
definida	d e f i n i d a
demografica	d e m o g r a f i k a
dependencia	d e p e n d e n C i w a
derivar	d e r e  r
desaparición	d e s a p a r i C y o n
describen	d e s k r i b e n
desemboca	d e s a i mb~ o k a
despoblau	d e s p o b l a n k u
destacatos	d e s t a k a t o s
determinau	d e t e r m i n a u
dice	d i k e
dichitals	d i C i t a l
dieta	d i e t a
diya	d i y a
dominación	b i n a g a o n
dorsal	d o r s a l
eficient	e f i C y e n t
eixemplars	e i  3 mp~ l a r
electronicos	e l e k t r o n i k o s
empecipió	e m p E kh~ a m e* i p i o
entrenador	e n t r e n a d o r
eslecions	e s l e m i o* s
