va 	v a
qoldirilgan	q o l d i r i l g a n
qolmoqda	q o l m o x d a
qonunni	q o m i y a S
qorakoʻl	q o r a k o 7
qotib	q o t i
qozoqlar	q o z o q
qoʻmondonlik	q o 7 m o* d o* b u C o
qoʻshiniga	q o 7 S i n i g a
qoʻyilmaydi	q o 7 i l m o w d i
qoʻyishi	q o 7 i S i
qoʻymaslik	q o 7 i m a l i k
qurbonlik	k r b o n l i k
qurila	q u r i l a
ra	r a
raqami	r a q a m i
reaksiyasini	r e a k S i y a s i n
rejimini	r e h i m i n i
rezavor	r e z a v o r
risolalar	r i S o r a r a r
ritmik	r e m i k
rivojlantirildi	r i v o h nz~ i  r i l d i
rostlash	r o s L a S
ruhoniylar	r u h o l x l a r
sahnaga	s a n a g a
saklangan	s a q  a N a n
sakrash	s a q r a S
saltanati	s a l t a n a t i
sanab	s a* a b "
saroyda	s e r o y d a
sayyoralarning	s a y o r a l a r n i N
serhosil	s e r h o s i l
shaharlardan	S a h a r e  d a n
shaharlarning	S a h a r e  n i N
sharoitlarga	S a r o i L a r g a
shartnomasiga	S a r t s a s a s i g a
shaxmat	S a x e m a t
shimolidagi	S i m o l i d a g i
shirali	S i r a l i
shish	S i S
shoirlarning	S o i r  n i N
shoxlari	S o g l a r i
shuki	S u k i
simmetrik	s i m  i
sistemalari	s i s t e m a l a r i
sistemani	s i s t e m a n i
soʻzlarni	s o 7 z l a r n i
spirtlar	s p i r L a r
sugʻorilgan	s u g 7 o r e l g a n
suradi	s u r a d i
suvlarni	s u b l a r n i
suyuqliklar	s u y u k l i k a r
tadbiq	t a d b i 7
tadbirlarni	t a d p e t e n  n i
tahlili	t a h l i l i
tanishadi	t a n i S a d i
tanlagan	t a n l a g a n
taraqqiyotning	t a r a k " o i y o t n i N
tarqala	t a r q a l a
tasarrufida	t a s e r f i d a
tashhis	t a S i s
tashishda	t a S i S d a
tashkilotlarning	t a S k i l 3 tL~ a X n a q i N
tasvirini	t a s v i r i n i
tavsif	t a b s i f
taxminlar	t a x m i n l a r
tayinlash	t a y i p i S
tebranma	t e b r a n m a
tengligi	g l i g i
terida	t e r i d a
tezlashadi	t e z l a S a d i
tilni	t i l
togʻlik	t o x 7 b u C o
topshirgan	t o p S i r g a n
toshbaqa	t o S b a N g a
toʻplamida	t o 7 p l a n i n m i d a
toʻplamlarida	t o 7 p l a n i n m l a r i d a
toʻxtatish	t o 7 t a t i S
tugʻilishi	t u x i l i S i
turning	t u r n i N
tutdi	t u t d i
tuxumdan	t u X u m d a n
tuzatishlar	t u z a t i S l a r
umurtqasizlar	u m u r t q a s i r L a r
uslubidagi	u s l u b i d a g i
usulidan	u s u l i d a n
usullarida	u s u y a r i d a
uzatma	u z a t m a n
vakillar	v a k i l l a r
vakillik	v a k i l l i k
vakolatlari	v a k i  L a r i
valentli	v a l e n t l i
vatan	v a t a n
vaziyati	v a z i y a t i
viruslar	v i r u s l a r
xabarlar	S a b a l a r
xalqini	S a q i n i
xarita	S a r i t a
xayol	S a y o l
xonali	S o n a l i
xonasi	S o n a s i
xristianlar	S s t i a* l a r
yashaydilar	y a S a y d i l a r
yerida	y e r i d a
yerlardan	y e r  d a n
yevropalik	y e b z i  l i k
yilida	y i l i d a
yorilib	y o r i l i
yoriqlar	y o r i k l a r
yozishga	y o a m g a
yoʻlning	y o 7 l n i N
yoʻnalishlarda	y o 7 n a l i S  d a
yuklar	y u k l a r
yuradigan	y u r a d i g a n
yurishlarida	y u r i S l a r i d a
zahar	z a h a r
zamonda	z a m o n d a
zanjir	z a n j i*
ziddiyatlar	z i d i y a L a r
zulm	m a g a m
Allohga	l l o h g a
Amur	m u r
Aviatsiya	v i a c i y a
Avtonom	v t o n o m
Barg	3 y
Belarus	e l a r u s
Bizning	i r n i N
Boshida	o s i d a
Boy	o 8 a
Budda	u d
Davosi	a v o s i
Dnepr	n e p r
Fitrat	i t r a t
Fransiyaga	r a s i y a g a
Fuqarolar	b a r o l a r
Gippokrat	i p p o k r a t r i
Gretsiya	r E c i y a
Group	r o u p
Gʻijduvon	i dw~ v o n
Hindistondan	i n d i s t o n d a n
Huquqiy	u k m u a
Iyulning	y u l n i N
Jahonda	a h o n d a
Jalilov	a l i r o v
Kamerun	a m e r u n
Kishi	i S i
Kommunistik	o m u n i S t i k
Koreyaning	o r e y a n i N
Koʻl	o 7
Lanka	n
Londonda	d o n d a
Malakka	a l a k
Matematika	a t e m a t i k a
Mendeleyev	e n d e l e y e v
Millat	i l l a t
Misol	i s o l
Nasaf	a s a f
Navbahor	a b b a h 3 r u
Oltiariq	l t i a r i
Ossuriya	a d a u r i y a
Ozarbayjonga	z a r b a y j o n g a
Oʻsh	7 S
OʻzRning	7 z n i N
Pastki	a s t k i
Perm	e r m
Pomir	o m i*
Qadim	a d i m
Qirgʻiz	i r g i
Qurama	u r a m a
Radio	a d i o
Rivojlangan	i v o h l a N a n
Robert	o b e r
Rossiyadan	o s s i y a d a n
Sharkda	h a r k d a
Shashmaqom	h a S m a q o m
Shosh	h o S
Sil	i l
Soliq	o l i q
Sudan	u d a n
Suvni	u w n i
Togʻlar	o g i 7 l a r
Tuproqlari	u p r o q
Tyanshan	y a n S a n
Urta	r t e
Uzun	z u n
Xalil	a l i l
Xitoydagi	i t o i 8 a g i
Yapon	a p o n
Yevropaga	p i r a z a g a
Yevrosiyo	p i r r o s i y o
Yo	o
Zangiota	a N i o t a
adabiyotidagi	a d a b i y o t i d a g i
adiblar	a d i b l a r
ahvol	a h v o l
alevrolit	l E f r o l i t
almashinish	a l S i n i S
almashlab	a l S l a b "
amaliyot	a m a l i y o r o
amaliyotga	a m a l i y o r o t g a
ammoniy	a m " w i l
anatomiya	a n a t o m i y a
armiyasining	a r m i y a s i n i N
ashulalar	a s u l a l a r
asimmetrik	a s i m  i
asrlik	a s r b u C o
ataydi	a t a y d i
avvaliga	a b v a l i g a
ayollarda	a y o l l a r d a
aytiladigan	a i t i l a d i g a n
azaliy	t r o l i
bariy	b a r i
bayroq	b a y r o q
belorus	b e l o r u s
bemorni	b e m o r n i
beqiyos	b e k o s
berishadi	b e r i S a d i
bezovta	b e z o w t a
bin	b i n
binafsha	b i n a f a
birgina	b 3 r g i n a
birikmalardan	b i r i g b o i d a n
birjasi	b 3 r y a s i
bobdan	b o p d a n
bobo	b o N o
bogʻliqligini	b o N 7 l i k l i g i n i
boisdan	b o k a y
bolasi	b o l a s i
boqiladigan	b o x i l a d i g a n
boradilar	b o r a d i l a r
boshini	s i n i
boshlash	s a nz~ i S
boshqarilgan	b o S k  e l g a n
boshqasiga	b o S k  s i g a
boʻlimlar	b o 7 l i m l a r
boʻlishni	b o 7 l i S n i
boʻrtib	b o 7 r t i
buyuradi	b u y u r a d i
buzilishiga	b u z i l i S i g a
byudjet	by~ w a g o
demokratiya	d e m o k n a  y a
devoriga	d e v o r i g a
di	d i
dialektik	d i a l e k t i k
dinini	d i n i n i
dispers	d i 8 p e n e r
dollarini	d o l l a r i n i
dutor	d u t o r
effekti	e f Nw~ t i
ekishdan	e k i S d a n
ekspeditsiya	e k 8 p e n e d i i y a
elektronlarning	e l e k tr~ u  n i N
endemik	e n d e m i k
ertaklar	e r t a q
ertalab	e r t a l a b
eshitib	e s i t i
eslatadi	e s  t a d i
etaklari	e t a q
evolyusion	e v o r u s i o n
feodal	f e o d a l
fikri	f i k r i
filologiya	b i l o l o g i y a
fondida	f o n d i d a
fonema	f o n i m a
galaktikalar	g a l a k t i k a l a r
golland	g o l l a n d
goʻng	g o 7 N
gʻoyani	g 7 o y a n i
hamkorligi	h a m k o r l i g i
haqiqatga	h a q i k a t g a
harakatning	h a r a k a t n i N
havzasining	h a v z a s i n i N
hidli	h i d l i
hodisalarga	h o d e i s a l a r g a
hodisasini	h o d e i s a s i n
hokimiyatining	h o k i m i y a t i n i N
holdagi	h o l d a g i
hollari	h o l l a r i
hududlarga	h u d u d  g a
hukmdorlar	h u k m d o r l a r
ijodkorlari	g i y b k o r l a r i
intensiv	i n t e s i b E
ipi	i p i
iqtisodiyotda	i k  s o d i y o t d a
irqiy	i r q i
isbotladi	i s mb~ u t u a nz~ i i
ishida	i s i d a
ishlashda	i s L a S d a
ishtirokidagi	i S t u r o k i d a g i
ispanlar	i s p a n l a r
jamgʻarmasi	y a m g 7 a r m i s i
jamiyatga	y a m i y a t g a
jangga	y a N g a
janglar	y a Ng~ l a r
jismi	h i s m i
karab	k a r a b
karbonatli	k a r b o n a L i
kashtan	k a s k i a n
kattalar	k a t t a l a r
kelajak	k e l a h a k
kelishik	k e l i S i k
kelsa	k e l s a
kengaytirilgan	k e N a i t i r i l g a n
kesilgan	k e s i l g a n
kirishiga	k i r i S i g a
kitobdan	k i t o b d a n
klublari	k l u b l a r i
koloniya	k o l o n i y a
kompyuterlar	m i p y u t u r xy~ E kw~ a r
konkret	k o nk ~ r e t
konlarida	q o n i k l a r i d a
konstruksiyalari	q o n i k s t r u k s i y a l a r i
korxonaning	k o r S o n a n i N
koʻlami	k o 7 l a m i
koʻlamli	k o 7 nz~ i z d a
koʻrinma	k o 7 r i n m a
kunidan	k u n i d a n
kurort	k u r o r
kutilmagan	k u t i l m a g a n
lingvistik	l i N i s t i k
linza	l i n c a
majmuini	m a h m 7 u i n i
majoziy	m t a  z i
makaron	m a k a r o n
maktabning	k t e y a n n i N
maqbul	m a q b u l
marjon	m a* r cx~ o*
mashgʻuloti	m a Ch~ g 7 u l o t i
masjidlar	s j i d l a r
mazmunga	m a z m u N a
mazmuniga	m a z m u n i g a
medali	m e d a l i
meliorativ	m e l i o r a t i
mexanizmini	m e S a n i z m i n i
mirzo	r o
moslashtirilgan	n o S p i S t i m a i r i l g a n
muhimi	m u h i m i
muhitdagi	m u h i t d a g i
muhtoj	m u h t o
muljallangan	l j a l l a N a n
mulkdorlar	l k d o r l a r
munosabatlarga	m u n o s a b a tL~ a X n a g a
muqaddam	m b a d d a m
murabba	r mp~
muzeylarida	m u z e y l a r i d a
muzokara	m u z o k a r a
namunalaridan	n a m u n a l a r i d a n
nasl	n a s
natijalarga	n a t i q  g a
navli	n a b l i
niderland	n i d i n nz~ i
nihoyasiga	n i h o y a s i g a
nomida	n o m i d a
nurash	n u r a S
nurlarni	n u r  n i
obrazlarning	o b r a z l a r n i N
odamlarda	o d a m l a r d a
oilalari	o i l a l a r i
olishdi	o l i S d i
omillardan	o m i l l a r d a n
operator	o p e r a t o r
operatsiyalari	o p e r a c i y a l a r i
oqadigan	o x a d i g a n
oqibatda	o m g w i b a t d a
oqish	o m g w i S
orbital	u r b i t a l
oshiriladigan	o s i r i l a d i g a n
oshmaydi	o S m a y d i
oʻlimga	o 7 u r i N a
oʻlkalarda	o 7 l u r i d a
oʻrmonli	o 7 r m o* l i
oʻrnatishga	o 7 r n a t i S g a
oʻrtasidan	o 7 r t a s i d a n
oʻsma	o 7 s m a
oʻzani	o 7 u k a n i
parametrlari	p a r a m E t r l a r i
pastroq	p a u z a
payt	p a y
paytdagi	p a i t d a g i
payvandlash	p a y v a nd~ p i S
periferik	p e r i f e r i k
polimer	p o l i *
portreti	p o r t r e t i
pravoslav	p r a v o s l a
preparatlari	p r e p a r a L a r i
pusti	p u s t i
pyesalar	py~ e s a l a r
qahramonning	kp~ a h r a m o* n i N
qalinlikda	q a l i n l i k d a
qar	q o m i 7
qatoridan	q a t o r i d a n
qatorlar	q a t o r l a r
qilganida	q i l g a n i d a
qirgʻogʻida	q i r g 7 o g i d a
qolip	q o l i p
qoʻltiq	q o 7 l t i
qoʻngʻizlar	q o 7 N i r L a r
qoʻriqxonalari	q o 7 r i k S o n a l a r i
qoʻshiklari	q o 7 S i k a r i
qoʻshinining	q o 7 S i n i n i N
qoʻshinni	q o 7 S i N
qoʻzgʻalmas	q o 7 z g 7 a l m o s
qurilmalarda	k r e l m o l o r d a
qutisi	q u t i s i
quyiladigan	q u y i l a d i g a n
rahbarligi	r a h b a l i g i
raqam	r a q a m
ratsional	r a c i o n a l
ravoq	r a v o q
reflekslar	r e f l e k w a r
rejalarini	r E z a l a r i n i
rejali	y 3  l i
rivojlantirdi	r i v o h nz~ i  r d i
roʻyobga	r o 7 o b g a
roʻyxatiga	r o 7 y a t i g a
safarda	s a f a r d a
sahnalashtirgan	s a n a l a S i  r g a n
saltanat	s a l t 3 n
sana	s a n a
sen	s e n
senat	s e n a t
shaharlarini	S a h a l a r i n i
sharhlar	S a r L a r
sharqshunoslik	S a r X S u n o s b u C o
shartlar	S a r L a r
shaxslarni	S a x s  n i
shilimshiq	S i l i m S i
shina	S i n a
shogirdlar	S o g i r d l a r
shugʻullanish	S u g 7 u y a n i S
shugʻullanishgan	S u g 7 u y a n i S g a n
sinfiga	s i n f i g a
sirtqi	s i r t i r a
skelet	s k e l e t
slanetslar	s l a n e t i l a r
smolalar	s m o l a l a r
soda	s o d a
sohaga	s o h a g a
sohasining	s o h a s i n i N
solinib	s o l i n i
sozandalar	S o z a nd~ a r a r
soʻradi	s o 7 r a d i
soʻragan	s o 7 r a g a n
strukturasini	s t r u k t u r a s i n
sugʻorma	s u g 7 o r m a
surib	s u r i b a
tadbir	t a d b i r
tahdid	t a h d i d
takrorlanadi	t a k ph~ l a n a d i
taktik	t a k t i k
taqqoslash	t a k " o o s p i S
taraqqiyotini	t a r a k " o i y o t i n i
tarzini	t a L i n i
tashladi	t a S l a d i
tashlagan	t a S l a g a n
tasodifan	t a s o d i f a n
tasvirlaydi	t a s p i t e n l a y d i
tavallud	t a v a L u d
tekisligining	t a k i w i g i n i N
tekislikka	t a k i w i k
tennis	t e i s
terini	t e r i n i
tildagi	t i l d a g i
tovarlarni	t o w a l a r n i
tozalangan	t o z a l a N a n
toʻldirilgan	t o 7 l d i r i l g a n
toʻqimalarda	t o 7 g w i m a l a r d a
toʻqimalarga	t o 7 g w i m a l a r g a
toʻqimasi	t o 7 g w i m a k i
tugadi	t u x a d i
tugʻiladi	t u x i l a d i
tuklar	n a l a r
tukli	n a l i
turishga	t u r i S g a
turkmanlar	t u r k l a r
tusiga	t u s i g a
tuxumi	t u X u m i
tuzilmalari	t u  l m o l a r i
ulash	u l a S
umid	m i d
umri	u m r i
undoshlar	u n d o s L a r
urilgan	u r i l g a n
urinishlar	u r i n i S l a r
urishi	u r i S i
usullarni	u s u y a r n i
uygʻunligi	u y g 7 u n l i g i
uyushgan	u y u S g a n
uzoqqa	u z o q o
uzoqroq	u z o x r o q
uzunlikdagi	u z u n l i k d a g i
virus	v i r u s
vodoprovod	v o d o p r o v o d
xarakterga	S a r a k t e r g a
xavfsizligi	S a b f s i z l i g i
xizmatiga	S i z m a t i g a
xotin	S o t i n
xoʻjayin	S o 7 x y i*
xudosi	S u d o s i
yaxshilab	y a x S i l a b
yaylovlar	y a y v e l o v l a r
yeb	y e
yetish	y e t i S
yevropa	y e b a z i
yiriklari	i r i k a r i
yopishqoq	y o p i S pw~ o q
yorqinligi	y u r q i n l i g i
yoshligida	y o S l i g i d a
yovuz	y o b u
yoyish	y o k i S
yoʻlni	y o 7 l
yurt	y u r
yuzini	y u z i n i
zallari	z a ly~ a r i
zardushtiylik	z a r dw~ m a k i g i b u C o
zarralarni	z a r a l a r n i
zaytun	z a 3 t u n
zilziladan	z i l  l a d a n
zulmiga	z u l m i g a
Adib	d i
Allohdan	l l o h d a n
Ashxobod	S S o b o d
Asl	s
Avesto	f e s t o
Avgust	v g u s
Bahouddin	a h o u d i n
Baland	a l a n d
Bangladesh	a N l a d e S
Benkov	e n k o v
Binobarin	i n o b a r i n
Boburning	n i N
Boshqaruv	o S k  a r u
Bosma	o s m a
Bosniya	o s n i y a
Burun	u r u n
Buxoroni	u S o r o n i
Buyrak	u y r a
Dala	a l a
Davolash	a b u p i S
Elektromagnit	l E k E tr~ o m a g n i t
Eshitish	S i t i S
Faol	a o l
Fargona	a r g o n a
Finlyandiya	i n l y a n d i y a
Fizik	u
Galiley	a l i l e
Geologik	e o l o g i k
Hasharotlar	a s a r o L a r
Hayvonot	a y v o n o t
Ijodi	j o d i
Ijodida	j o d i d a
Jalil	a l i l
Jon	o n
Kanal	a n a l
Karib	a r i b a
Kavkazning	a b kh~ a z n i N
Kitobda	i t o b d a
Koreyada	o r e y a d a
Krasnoyarsk	r a s n o y a r u r
Madagaskar	a d a g a s k a r
Manguberdi	a n g u b e r d i
Mariya	a r i y a
Mart	a r
Narimonov	a r i m o n o N
Nikaragua	i k a r a g u a
Nur	u r
Nutq	u t
Olimjon	b u r cx~ o*
Ommaviy	m m a v i
Organizmning	r g a n i z m n i N
Oʻsimliklarning	7 b u p l i k l o r n i N
Purkinye	u r k i 5 e
Qibray	i b r a y
Qohira	h i r a
Qorasuv	o r a s u
Rangi	a n g i
Repertuaridan	e p e r t u a r i d a n
Sanoatning	a n o a t n i N
Saratov	a r a t o N
Shekspir	h e k s p i r a
Sibirning	i b i r n i N
Skandinaviya	k a n d i n a v i y a
Solih	o l i
Somoniylar	k o l x l a r
Soveti	o p e t i
Sugʻorish	t u g 7 o r i S
Tashkilot	a S i k i l o t
Tatariston	a t a r i s t o n
Teatrning	e a t r n i N
Tugʻma	t u g 7 m a
Uzunligi	z i l i g i
Van	a n
Vashington	a S i N r t o n
Viktoriya	i k t o r i y a
Xonkandi	o g l i
Xurosonda	u r o s o n d a
Yava	a v a
Yoz	z
Yugoslaviya	u g o s l a v i y a
Yuqoridagi	b o r i d a g i
Yura	u r a
Yuz	u
Zakavkazye	a k a b kh~ a z
afsona	a f s o n a
agregat	y r e g a t
ajraladigan	c r a l a d i g a n
ajratilib	c r a t i l i
akalari	a k a l a r i
aktrisa	a k t r i s a
algebra	a l g E m r a
aloqani	a l o x a n i
amirlar	a m i X l u a r
amirlik	a m i X l u i k
aqlli	a q L i
arqon	a r q o n
atalmish	a t a l m i S
atletika	a t l e t i k a
avtomobillarni	a o m o b i l l a r n i
ayollarga	a y o l l a r g a
badan	b a d a n
bagʻrida	b o g 7 r i d a
baliqlarning	b a l i k  n i N
barvaqt	b a r v a q
baza	b a z a
bazasini	b a z a s i n
belgilarga	b e l s e p i g a
berishini	b e r i S i n i
bezagi	b e c a G i
bilimini	b i l i m i n i
birikadi	b i r i k a d i
bitgan	b i t g a n
bob	b o b
boshlanishida	s a nz~ i s i d a
boshqaradigan	b o S k  a r a d i g a n
boshqarishga	b o S k  a r i S g a
bosilib	s i l i
bosimining	s i m i n i N
bosmaxona	s m a S o n a
boʻlajak	b o 7 l a h a k
boʻyoklar	b o 7 o k l a r
britan	b r i t a n
buyrugʻi	b u y r u g i
buyrugʻiga	b u y r u g i g a
darvozalari	d a r v o z a l a r i
dasturni	d a s t u r n i
davlatda	d a b l a t d a
devorlarini	d e v o r l a r i n i
dinida	d i n i d a
doirasidagi	d o i r a s i d a g i
dub	d u b
duragay	d u r a g a y
dushmanning	d u S n i N
effekt	e f Nw~
efirda	e f i r d a
efirga	i f a y
efirlari	e f i E l a r i
ehtimoli	e h t i m o l i
ekinlarini	r l a r i n i
ekologiya	e k o l o g i y a
ellarga	"  g a
erishilgan	r i S i l g a n
etilgandan	e t i l g a nd~ a n
etilishiga	e t i l i S i g a
etnografiya	e t n o g r a f i y a
ettirishga	e t i r i S g a
faoliyatning	f a o l i y a t n i N
farqlar	f a r q
finalga	f i n a l g a
flotining	f l o t i n i N
fojiasi	f o x a s i
fon	f o n
fosfat	f o s f a t
foto	f o t o
foydalanadilar	f o i 8 a l a n a d i l a r
funksiyalarini	f w o m s i y a l a r i n i
funksiyalarni	f w o m s i y a l a r n i
garov	g a r o N
geokimyoviy	g e 7 i m o w i
gidrologik	g i d r o l o g i k
gilamlar	g i l a m l a r
goʻyo	g o 7 y o
goʻzalligi	g o 7 z a ly~ i g i
gullab	g u l l a b
gumanitar	g u m a n i t a r
guvohlik	g u b o h b u C o
gʻarbi	g 7 a b i r e
gʻildirakli	g i l d i r a k l i
gʻoyalarni	g 7 o y a l a r n i
gʻoʻzaning	g 7 o 7 u k a n i N
hamohang	h a m o h a N
harakatlanib	h a r a k a L a n i
havoga	h a v o gw~ a
havola	h a v o l a
havosi	h a v o s i
hayvonlarini	h a y v o n l a r i n i
hisoblanmaydi	h i s o b l a n k o m a y d i
hisoblashda	h i s o b l a n k S d a
hissasiga	h i s s a s i g a
holga	h o l g a
hujayralarda	h u y a 3 r a l a r d a
hujayrasi	h u y a 3 r a s i
huquqlar	h u k q
huquqning	h u k q o n i N
ifodalab	f o d a l a b
immun	i m u n
institutda	s t i t u t d a
intildi	i n t i l d i
intlari	i n a r i
intruziv	i n t r u w Z i
irmoklari	i r m o k l a r i
islohoti	i s  h o t i
izotoplar	i z o t o p l a r
jabra	y a b r a
janrlar	h a n l a r
jarayonni	h a r a y u n i
jinslarida	h i s l a r i d a
jinslarini	h i s l a r i n i
jismga	h i s hwy$ a
joʻnatgan	j o 7 n a t g a n
joʻshqin	j o 7 S m u a n
jurnalida	x u r n a l i d a
kalendar	k a l e n d a r
kalla	k a l a
kamligi	k a m l i g i
kapillyar	k a pw~ i l l y a r
kasalxonalar	k a s e i o n a l a r
kashfiyotlar	k a s f i l i y o t l a r
kattagina	k a t t a g i n a
kelinmoqda	k e l i n m o x d a
kelishida	k e l i S i d a
kelishilgan	k e l i S i l g a n
kelishuvga	k e l i S u b g a
keltiriladigan	k e l t i r i l a d i g a n
kengaytirishga	k e N a i t i r i S g a
kilib	k i l i
kilingan	k i l i N a n
kinetik	k i n e t i k
kirishga	k i r i S g a
kishilari	k i S i l a r i
kitobning	k i t o b n i N
klublar	k l u b l a r
kolloid	q u L o i d
korporativ	k o r p o r a t i
korxonada	k o r S o n a d a
korxonalardan	k o r S o n a l a r d a n
korxonalarining	k o r S o n a l a r i n i N
kovak	k o p a k
koʻmak	k o 7
koʻrgazmalarda	k o 7 r a z b o i d a
koʻrsatishga	k o 7 s a t i S g a
kraxmal	k r a x m a l
kulgili	k u l u g i l i
kunlarda	k u n  d a
kunning	k u n n i N
lampa	l a m p a
layoqatli	l a y o x u q L i
lik	l i k
loyihalari	l o y i h a l a r i
lugʻati	t u 7 a t i
magnetit	m a j  i t
manfaatlariga	n t a u t a l L a r i g a
maqbaralar	m a q bh~ a r a l a r
maqol	m a q o l
maqomlari	m a q o m l a r i
mardlik	m a* r d b u C o
markali	m a* r k a l i
markazlar	m a* r kh~ a z l a r
maskanlari	s k a n l a r i
matbaa	m a tw~ b a
matbuotda	m a tw~ l d a
matnlar	m a t n l a r
maydonlarga	m a y d o*  g a
maydonlarida	m a y d o n l a r i d a
mehnatni	m e h n a t n i
mezbonlik	m e z b o n l i k
mikrofirmalar	7 r o f i r m a l a r
mikroskopik	7 r o s k o p i k
misolida	m i s o l i d a
moʻljallab	m o 7 lx~ a ly~ a b "
mudofaasi	r u g o f a r a s i
mufassal	m u y 7 a l
mulkni	l k n i
musobaqalarda	s o b a q a l a r d a
musulmonlarning	s u l m o*  n i N
mutafakkirlar	m u t a f a k i r l a r
muvaffaqiyatga	m u b a f a q i y a t g a
narsaning	n a r s a n i N
narxlar	n a r S
natijalariga	n a t i j a l a r i g a
navbat	n a b b a t
nazariyalar	n a z a r i y a l a r
neytron	n e y tr~ u n
nisbiylik	n i S b i y b u C o
niyatida	n i y a t i d a
noaniq	n o a n i
nomining	n o m i n i N
nuqsonlar	n u k s o n l a r
nurlarning	n u r  n i N
odamlari	o d a m l a r i
ogʻzi	o g i 7
ohaktoshlardan	o h a k t o s a nz~ i d a n
oilaning	o i l a n i N
olinmagan	o l i n t m a g a n
olishlari	o l i S l a r i
olsa	o l s a
ongli	o N l i
operatsiyasi	o p e r a c i y a s i
oradan	o r a d a n
original	u r i g i n a l
ortigʻi	u r t i g i
ovul	o w u l
oynashisha	o y n a S i S a
ozroq	o z r o q
oʻldirgan	o 7 l d i r g a n
oʻlkasida	o 7 l u s i d a
oʻlpon	o 7 l p o n
oʻrgatish	o 7 r g a t i S
oʻrnashgan	o 7 r n a S g a n
oʻrnidan	o 7 r n i d a n
oʻrtalariga	o 7 r t a l a r i g a
oʻsmalar	o 7 s m a l a r
oʻtloqi	o 7 t l o x i
oʻtmish	o 7 t m a S a S
oʻtsimon	o 7 c i m o n
oʻzgarishini	o 7 z N a r i S i n i
parlamenti	p a l a m e n t i
payti	p a i t i
pishiriladi	p i S i r i l a d i
plato	p l a y i t o
podzol	p o c o l
purkash	p u r  s o
putur	p u t u r
qatiy	q a t i
qaytdi	q a i t d i
qaytishi	q a i t i S i
qilinmoqda	q i l i n m o x d a
qimmatga	q i m m a t g a
qishlab	q i S l a b "
qismda	g w i h s m d a
qismlariga	g w i h s m l a r i g a
qisqartirish	q m i s k i t i r i S
qissalari	g w i h s s a l a r i
qizdirilganda	q i z d a i r i l g a n d a
qizgʻin	q i z g i n
qiziqib	q i z t a m u a
qolgani	q o l g a n i
qonida	q o n i d a
qoraxoniylar	q o r a g " w i l l a r
qosil	q o s i l
qoʻllanilishi	q o 7 y a n i l i S i
qoʻriqlash	q o 7 r i k p i S
qoʻshilish	q o 7 S i l i S
qoʻshiqlarini	q o 7 S i k l a r i n i
quyma	C " a m a
rahbarlaridan	r a h b a l a r i d a n
rasadxona	r a s a d S o n a
rayem	r a y e m
respublikadagi	r e s p u b l k a d a g i
rusumli	r u s u m l i
sabzavotlar	s a b z a v o L a r
sabzi	s a b z i
sahnasida	s a n a s i d a
samaradorligi	m a r a d o r l i g i
sanoatini	s a n o a t i n i
sanoatni	s a n o a t n i
savannalar	s a v a l a r
sayyohi	s a y e T h i
sayyor	s a y n i o z i
sekundiga	s e k u n d i g a
sezish	s e L
shahardagi	S a h a r e d a g i
sharbati	S a r b a t i
shaxsni	S a x s a n i l
shia	S i a
shialar	S i a l a r
shoʻro	S o 7 r o
shuvoq	S u b a
sindirish	s i n d i r i S
sinflar	s i n f l a r
singl	s i N
sistemada	s i s t e m a d a
siyosatining	s i y o s a t i n i N
sohasini	s o h a s i n
soʻrib	s o 7 m a Ch~ o
stratigrafik	s t r a t i g r a f i k
styasi	s t y a s i
suyaklar	s u y a q
suyaklari	s u y a q
suyuqlanish	s u y u k l a n i S
tadqiqotlarni	t a d g w i k o tL~ a X n a q i
tajribali	t a h l e d a l i
tanda	t a n d a
tanish	t a n i S
taolo	t a o l o
taqsimlangan	t a q b u p l a N a n
tarannum	t a r a n a m
tarixidan	t a r i S i d a n
tarmogʻini	t a r m a m i n i
tarmoqqa	t a r m o q o
tarqalishini	t a r q a l i S i n i
tartibini	t a r t i b i n i
tashrifi	t a S f i
tayyorladi	d a t a y o r l a d i
teatrning	t e a t r n i N
tegib	t e g i
tekisligida	t a k i w i g i d a
teran	t E r i
terapiya	t e r a  y a
terisidan	t e r i s i d a n
termodinamik	t E r m o d i n a m i k
test	t e s
tezlanish	t e z l a n i S
tiklanib	t i k l o n i
tildan	t i l d a n
tirnoq	t i r n a
tizimlarining	t i s i m u l a r i n i N
togʻining	t o x i n i N
togʻlaridan	t o x 7 l a r i d a n
toifadagi	t o i f a d a g i
toji	t o h i
tokni	t o k n i
tubining	t u b i n i N
tugatilgan	t u g a t i l g a n
tugʻdiradi	t u x 7 d i r a d i
tumanlar	t u m a n l a r
tungi	t u N i
tunnel	t u n
turdan	t u r d a n
turishini	t u r i S i n i
tutilishi	t u t i l i S i
tutun	t u t u n
tuzalib	t u z a l i
tuzilmalar	t u  l m o l a r
tuzilmasi	t u  l m i s i
tuzishni	t u a n i
ultratovush	u l tr~ a t o b u S
umrbod	u m r b o d
umumxalq	u m u m a q
universitetlar	u n i v e r i t e u k a L a r
ustalar	u s t a l a r
ustoz	u s t o
ustunligi	u s t u n l i g i
uyali	u y a l i
uygʻunlashgan	u y g 7 u n l a S g a n
uyqu	u y k
uzoqda	u z o x d a
vegetatsiya	f e g 3 t a c i y a
