te	t e
aitanga	i t a Ng~ a
haepapa	h a e p a p a
hakari	h a k a r i
hihiri	h i h i r i
huakita	w a k i t a
kaimoana	k a i k k y a n a
kari	k a r i
mangai	m a N a i
manuka	m a n u k a
matawhānui	m a t a w h a n u i
maui	m a u
mena	m e n a
moku	m o k u
māku	m a k u
nanakia	n a n a k i a
ngata	g a t a
pane	p a n e
penapena	p e n a p e n a
pōro	p o r o
rätou	r 3 t o u
their	th~ e r
tote	t o t e
tuanui	t u a n u i
tāra	m a r a
tī	t i
tītī	t i t i
waiwai	w a i w a i
whakaaroaro	wh~ E a k a d o a r o
whakamataku	wh~ E k a m a t a k u
whakaoranga	wh~ E k a o r a Ng~ a
whakawhanakehia	wh~ E a b o r u f 3 n k e h i a
Āpirana	p i r a n a
Ahuriri	h u r i r i
Paremata	a r e m a t a
Puta	u t a
Raumati	a u m a t i
Tāwhirimātea	a wh~ E i r i m a t e a
arahina	a r a h i n a
arohaehae	a r o h a e h a e
heihei	h e i h e i
henemita	h e n i m i t a
it	i t
kanga	k a n g a
kingi	k i N i
kohikohinga	k o h i k o h i n g a
maranga	r a Ng~ a
mirumiru	m i r u m i r u
morehu	m o r e h u
mātaitai	m a t a i t a i
mātaki	m a t a k i
ngaarara	g a r a r a
pakiaka	p a k i a k a
papatipu	p a p a t i p u
paremata	p a r e m a t a
poropiti	p o r o p i t i
pītara	p i t a r a
pūrua	p u r u a
tauākī	t a w a k i
tio	t i o
totoka	t a t o k a
unahi	u n a 7 i
whakaarahia	wh~ E a k a d a h i a
whakahe	wh~ E k a e
whakamahara	wh~ E k a m a h a r a
whitinga	wh~ E i t i Ng~ a
Kawiti	a w i t i
Pakihi	a k i 7 i
Piki	i k i
Roopu	o p u
Tamanuiterā	a m a n u i t E r
Tiamana	i a m a n a
Tūhuratia	u u r a t i a
Uru	r u
Whakapā	h a k a p u
aranga	a r a Ng~ a
hitori	h i t o r i
huakina	w a k i n a
hāereere	h a e r a e r e
kererū	k e r a i n u
kākāriki	k a a k a r i k i
motoka	m o t o k a
mätauranga	m a g a  n g a
pangia	p a N i
pauna	p a u n a
pānuihia	p nj~ 3 i h i a
taimaha	t a i m a h a
toronga	t o r o n g a
tupeka	t u p e k a
tāpiritia	m a p i r i t i a
tātaki	m a t a k i
tāutuhia	m a u t u X i a
tēra	t a N r a
whakamanaia	wh~ E k a m a n a i a
whakamatau	wh~ E k a m a t a u
whakamāoritanga	wh~ E k a m a o r i t a Ng~ a
whakararu	wh~ E k a r a r u
whakareatia	wh~ E k a r e a t i a
whakatauria	wh~ E k a t a u r i a
whakatūnga	wh~ E k a t u Ng~ a
whakaurunga	wh~ E k a u r u N a
whakawhitia	wh~ E k a wh~ E i t i a
āporo	a p o r o
Hana	a n a
Hononga	n o n g a
Hānuere	nj~ 3 a e r e
Moriori	u r i o r i
Māngai	a N a i
Ngoi	g o i
Pakiwaitara	a k i w a i t a r a
Rangatiratanga	a N a t i r a t a n g a
Ropu	o p u
Tahiti	a h i t i
Tautake	a u t a k e
Toku	o k u
Waru	a r u
Whakaputanga	h a k a p u t a Ng~ a
Wikitōria	i k i a r i a
haruru	h a r u r u
hawhe	h a l e
kawenata	k a w e n a t a
keri	k e r i
maakete	m a k e t e
maatou	m a a t o u
mārika	m a r i k a
patunga	p a t u N a
pihikete	p i t i k e t e
piko	p i k o
poupou	p o u p o u
rapunga	r a p u N a
rōpu	r o p u
takotoranga	t a k a t o r a Ng~ a
tokorima	t o k o r i m a
tunua	t u n u a
tōraro	a r a r o
whakamanatia	wh~ E k a m a n a t i a
whakaoho	wh~ E k a o h o
whakapuakina	wh~ E k a p o a k i n a
whakawehi	wh~ E k a w e h i
whata	wh~ E a t a
whāriki	w h a r i k i
Ūpoko	p o k o
ūngeri	u n g e r i
Hēmi	a N nd~ e i
Ihipa	h i p a
Manawa	a n a w a
Naku	a k u
Nama	a m a
One	n e
Pari	a r i
Pewhairangi	e w a i r a N i
Pātai	a t a i
What	h a t
angitū	a N i t u
hiakai	h i a k a i
kaingākau	k a i N a k a u
kaipatu	k a i p a t u
karaihe	k a r a i e
kīrehe	k i r e e
matakite	m a t a k i t e
meinga	m e i Ng~ a
muru	m u r u
mä	m a g
naianei	n a i a n e i
naku	n a k u
niupepa	n i u p e p a
paipa	p a i p a
piriti	p i r i t i
piro	p i r o
pātītī	p a t i t i
taihoa	t a i h o a
taokete	t a k e t e
waatea	w a a t e a
whakamāoritia	wh~ E k a m a o r i t i a
whakaruruhau	wh~ E k a r u r u h a u
whakawhetai	wh~ E k a wh~ e t a i
wheua	wh~ e i
wē	w a N
Ahu	h u
Aotea	o t e a
Kae	a e
Kawenata	a w e n a t a
Koroni	o r o n i
Mahuika	a w i k a
Mārama	a r a m a
Peretānia	e r e t nj~ 3
Pūtea	u t e a
Tāpiripiri	a p i r i p i r i
Tāpiritanga	a p i r i t a Ng~ a
Wherowhero	h e r o wh~ e r o
anei	a n e i
anōtia	a n o t i a
hae	h a e
hangai	h a N a i
hapai	h a p a i
hauota	h a w o t a
kiromita	l o m i t a
kuhuna	k u h u n a
kīngi	k i N g i
kōhao	k o a o
mahanga	m a h a Ng~ a
moheni	o* h e n i
motumotu	m o t u m o t u
mārire	m a r
ohaoha	o h a o h a
pipi	p i p i
ranga	r a n g a
raupapatanga	r a u p a p a t a n g a
rongohia	r o N o h i a
rōpinepine	r o p i n e p i n e
tuarā	t u a r
tui	t u i
tukituki	t u k i t u k i
tuumomo	t u m o m o
tōpito	a p i t o
whaka	wh~ E a k a
whakahiato	wh~ E k a h i a t o
whakapaetia	wh~ E k a p a e t i a
Akoranga	k o r a Ng~ a
Hoko	o k o
Iharaira	h a r a i r a
Makaawhio	a k a u f i o
Martin	i t i n
Matau	a t a u
Paetae	a e t a e
Pei	e i
Pepuere	e p u e r e
Purapura	u r a p i r a
Pāho	a h o
Rangitukutuku	a N i t u k u t u k u
Roa	o a
Ruru	u r u
Tame	a m e
Wera	e r a
Whakatāne	h a k a t a n e
arohia	a r o h i a
awangawanga	a w a N a w a Ng~ a
haunga	h a u N a
hura	h u r a
hōiho	h o i h o
kaitakaro	k a i t a k a r o
koroheke	k o r o h e k e
kōawa	k o w e d a
kōharinga	k o a r i Ng~ a
maka	m a k a
mama	m a m a
matimati	m a t i m a t i
moemoea	m o e m o e a
paihikara	p a i i k a r a
purei	p u r e i
raukura	r a u k u r a
ririki	r i r i k i
ruihi	r u i 7 i
rōnaki	r r 3 n a k i
taitama	t a i t a m a
tapuwae	t a p u w a e
tauaromahi	t a w a r o m a h i
tinihanga	t i n i h a Ng~ a
turakina	t u r a k i n a
tātaitanga	m a t a i t a Ng~ a
whakaea	wh~ E k a e a
whakarereke	wh~ E k a r e r e k e
whitianga	wh~ E i t i a Ng~ a
āpōpō	a t E n E p o
Hami	a m i
Kahukura	a h u k u r a
Kaihauturu	i h a u t u r u
Kaipara	i p a r a
Kawakawa	a w a k a w a
Mauri	a u r u
Onehunga	n e h u N a
Pānuihia	nj~ 3 i h i a
Pūrongo	u r o n g o
Ra	a
Tāwhiao	a wh~ E i a o
Whakatū	h a k a t u
hauauru	h a u a u r u
hauhā	h a u h a
hikoi	h i k o i
inea	i n e a
kaiwhaiwhai	S i r i r a i
korekore	k o r e k o r e
mahitahi	m a h i t a 7
maramataka	r a m a t a k a
miramira	m i r a m i r a
mou	m u
nohonga	n o h o n g a
noke	n o k e
pahū	p a h u
popo	p o p o
pāhekoheko	p a h e k o h e k o
pēhi	l u a N
pēne	l u a N n e
rangimārie	r a N i m a r i e
rango	r a n g o
ruahine	r u a h i n e
rīwai	r i w a i
taparau	t a p a r a u
tarutaru	t a r u t a r u
taurekareka	t a u r e k a r e k a
tautuhia	t a u t u X i a
whakahoutia	wh~ E k a h o u t i a
whakarara	wh~ E k a r a r a
whakarāpopoto	wh~ E k a r a p o p o t o
whakawhānau	wh~ E k a w h a n a u
wharekai	wh~ E a r e k h a i
whiria	wh~ E i r i a
Ake	k e
Hori	o r i
Irawaru	r a w a r u
Moe	o e
Moutere	o u t e r e
Ngatoro	g a t o r o
Rangihaeata	a N i t a e a t a
Rewi	e w i
Rukuwai	u k u w a i
Takurua	a k u r u a
Taniwha	a n i w a
Whakaarohia	h a k a d o h i a
Wharekauri	h a r e k a u r u
White	h i t e
Wāhi	a
anahe	a n a e
haupū	h a u p u
hohou	h o h o u
hāngī	h a N i
kaiwaiata	S i r 3 a t a
kauwhau	k a u w h a u
kohu	k o h u
mare	m a r e
marie	m a r i e
matemate	m a t e m a t e
ngētehi	N a N t e h i
paheke	p a h e k e
pao	p a o
paua	p a u a
pātapa	p a t a p a
pī	p i
rangahautanga	r a N a h a u t a Ng~ a
raupatutia	r a u p a t u t i a
taona	t a o n a
tohora	t o h o r a
toia	t o i a
tātaitai	m a t a i t a i
tōnā	a n
tūtū	t u t u
uniana	u n i a n a
waiora	w a i o r a
whakaawe	wh~ E k a w e
whakangaro	wh~ E k a N a r o
whakatangitangi	wh~ E k a t a N i t a n g i
whakauruhia	wh~ E k a i a
whakawhiwhi	wh~ E k a l i w
wikitoria	w i k i t o r i a
ākina	a k i n a
Ahi	h i
Aute	u t a
Hai	a i
Hau	a u
Hurinui	u r i n u i
King	i N
Mātaiako	a t 3 a k o
Nuku	u k u
Pōmare	k o j a r e
Ringatū	i N a t u
Rānana	a n a n a
Tairawhiti	a o n a l i t i
Taraipiunara	a r a i p i u n a r a
Tukutuku	u k u t u k u
Tuwharetoa	u w h a r e t o a
Whakahoki	h a k a h o k i
awaawa	a w a w a
haeretia	h a e r e t i a
hu	h u
hātepe	h a t e p e
kaiarahi	k a i a r a h i
kao	k a o
kaupeka	k a u p e k a
koinā	k o i N
koiwi	k o w i
korerohia	k o r e r o h i a
korerorero	k o r e r o r e r o
koreutu	k o r e u t u
marire	m a r i r
murua	m u r u a
mākete	m a k e t e
pokohiwi	p o k o h i w i
pōtitia	p o t i t i a
rawakore	r a w a k o r e
tahatika	t a h a t i k a
tapanga	t a p a n g a
tipua	t e p u a
tuarima	t u a r i m a
tuhituhia	t u h i t i a
tēna	t a N n a
tūpāpaku	t u p a E k p~ E k u
waiu	w a i u
watea	w a t e a
whakairia	wh~ E k a i r i a
whakamīharo	wh~ E k a m i e n a
whakatuwheratanga	wh~ E k a t u w h e r a t a n g a
whāea	w h a e a
Ahurei	h u r e i
Akuhata	k u h a t a
Hōri	o r i
Inia	n i a
Māmā	a m
Nu	u
Our	u r
Paikea	i k e a
Paora	a o r a
Pāpāho	a p a h o
Rawa	a w a
Rawiri	a w i r i
Rēkohu	a N k o h u
Tatau	a t a u
Tomo	o m o
Tāpiri	a p i r i
Whiriwhiria	h i r i wh~ E i r i a
Whā	h a
awheawhe	r u f e a l e
hauā	h a a
heru	h e r u
hukarere	h u k a r e r e
io	i o
itiiti	i t i t i
kaiwhakaatu	S i r k a a t u
kātua	k a a t u a
mihimihi	m i h i m i 7 i
ngaua	N a u a
nāwai	n a w a i
ohanga	o h a Ng~ a
ohu	o h u
peia	p e i a
pihi	p i 7 i
puhia	p u h i a
pēpē	l u a N l u a N
rano	r o
rīhi	r i
taetae	t a e t a e
tanumia	t a n u m i a
tauparapara	t a u p a r a p a r a
taupānga	t a u p a Ng~ a
tuemi	t u e m i
tōpū	a p u
whakaemi	wh~ E k a e m i
whakamiharo	wh~ E k a m i e n a
whakaraerae	wh~ E k a r a e r a e
whakawai	wh~ E k a w a i
wāwāhitanga	a  a  h i t a Ng~ a
Āhua	w a
Anga	N a
Haratua	a r a t u a
Herewini	e r e w i n i
Ihu	h u
Ira	r a
Karahipi	a r a h i p i
Karaka	a r a k a
Māku	a k u
Papahurihia	a p a h u r i 7 i a
Patāriana	a t a r i a n a
Poihākena	o i h a k e n a
Pāpā	a p
Taketake	a k e  k e
Takoto	a k o t o
Tamaiti	a m a i t i
Tiki	i k i
Toru	u r u
Tātou	a t o u
War	a r
Wīwī	i w i
aorangi	a o r a N i
haumanu	h a u m a n u
hautekau	h a u t e k a u
hākona	h a k o n a
hāngi	h a N i
kaupapahere	k a u p a p a h e r e
kuare	k u a r e
manomano	m i a s a s a l a p
mapi	m a p i
marara	r a r a
ngaku	N a k u
panaia	p a n a i a
parakuihi	p a r a  i 7 i
pare	p a r e
pikitanga	p i k i t a Ng~ a
potiki	p o t i k i
purua	p u r u a
pāhotanga	p a h o d a N a
pātene	p a t e n e
ro	r o
rātaka	r a t a k a
tapere	t a p e r e
tatai	t a t a i
tauhohe	t a u h o h e
taunekeneke	t a u n e k 3 n 3 q k e
taurewa	t a u r e w a
titonga	t i t o n g a
tohi	t o h i
torongū	t o r o N u
tënei	t 3 n e i
tāruarua	m a r u a r u a
tēina	t a N i n a
tūkino	t u k i n o
whakaarotanga	wh~ E a k a d o t a Ng~ a
whakaekenga	wh~ E k a e k e n g a
whakarāpopototanga	wh~ E k a r a p o p o t o t a Ng~ a
whakatuwheratia	wh~ E k a t u w h e r a t i a
ārahina	a r a h i n a
Airani	i r a n i
Aratakina	r a t a k i n a
Ati	t i
Hanga	a N a
Hemi	e m i
Hikurangi	i k u r a N i
Ingarani	N a r a n i
Kaa	a
Kī	i
Manukau	a n u k a u
Maoritanga	a o r i t a Ng~ a
Maungapōhatu	a u N a p o h a t u
More	u r e
Māu	a u
Pōtae	o t a e
Pūhipi	u i p i
Pūtahi	u t a h i
Taiwhanga	i r a Ng~ a
Tarawera	a r a w e r a
Toitū	o i t u
Tokorua	o k o r u a
Whakaritenga	h a k a r i r e n g a
Whakawhiti	h a k a wh~ E i t i
Whangarei	h a N a r e i
Whatu	h a t u
autō	a u a
haurangi	h a u r a N i
heria	h e r i a
hohipera	h o h i p e r a
hohonu	h o h o n u
hokia	h o k i a
hopi	h o p i
huahua	w a w a
hēkeretari	 k e r e t a r i
irahiko	i r a i k o
itinga	i t i Ng~ a
katia	k a t i a
kohanga	k o h a Ng~ a
kohikohia	k o h i k o h i a
kotahitanga	k o t a h i t a Ng~ a
körero	k o r e r o
kōhauhau	k o a u h a u
kōmihana	k o m i h a n a
maunu	m a u n u
moa	m o a
mätou	m a g t o u
mārena	m a r e n a
nōhanga	n o a Ng~ a
orokohanga	o r o k o h a Ng~ a
porohita	p o r o a
potae	p o t a e
pupu	p u p u
pūmotu	p u m o t u
taiora	t a i o r a
takurua	t a k u r u a
taupoki	t a u p o k i
tauwhāinga	t a u w h a i Ng~ a
toetoe	t o e t o e
tuari	t u a r i
waiū	w a i u
wana	w a n a
whakamahuki	wh~ E k a m a u k i
whakapaua	wh~ E k a p a u a
whakapuakanga	wh~ E k a p o a k a n g a
whakarerekētanga	wh~ E k a r e r e k a N t a Ng~ a
whakawhanaunga	wh~ E a b o r u f 3 n u N a
whawhati	wh~ E a l a t i
whāwhā	w h a wh~
āku	a k u
Aperira	p e r i r a
Ata	t a
Hapori	a p o r i
Hongi	o N i
Horowhenua	o r o wh~ e n u a
Hēnare	a N n a r e
Kurī	u r i
Matauranga	a t a u r a Ng~ a
MāoriHe	a o r i e
Māoritanga	a o r i t a Ng~ a
Pātaka	a t a k a
Rangahaua	a N a h a u a
Rāpare	a p a r e
Tiireni	i r e n i
Tua	u a
Tōku	 u
Tūhono	u h o n o
Wahine	a h i n e
Wairau	a i r a u
Whakaari	h a k a d i
Whakaue	h a k a u e
Whenu	h e n u
amio	a m i o
heamana	h e a m a n a
honore	h o n o r e
hōhonutanga	h o h o n u t a Ng~ a
kaitohu	k a i t o h u
kaiwhakaari	S i r a k a d i
katau	k a t a u
kawau	k a w a u
kikokiko	k i k o k i k o
kuhunga	k u h u N a
manakohia	m a n a k o h i a
mākū	m a k u
mātotoru	m a t o  r u
paahitia	p a h i t i a
pakimaero	k i m a e r o
pohewa	p o h e w a
rewharewha	r E f a r e w a
takatū	t a k a t u
tutakina	t u t a k i n a
tīmatatanga	t i m a t a t a n g a
tōkena	h  e n a
tūroa	t u r o a
werawera	w e r a w e r a
whakamātauria	wh~ E k a m a t a u r i a
whakamōhiotia	wh~ E k a m o u h a o t i a
whakaranu	wh~ E k a r a n u
whakatakotohia	wh~ E k a t a k a t o h i a
whiriwhirihia	wh~ E i r i wh~ E i r i h i a
ōpaki	o l o
Ūropi	r o p i
Aromatawai	r o m a t a w a i
Eramiha	r a m i h a
Ha	a
Hua	u a
Kaikōura	i k o u r a
Kuia	k i a
Marau	a r a u
Mātenga	a t e n g a
Pahi	a h i
Paipera	i p e r a
Paraone	a r a o n e
Parata	a r a t a
Point	o i nt~
Pāora	a o r a
Rongowhakaata	o N o w k a a t a
Ruanui	u a n u i
Tamihana	a m i h a n a
Tipene	i p e n e
Tirohanga	i r o h a Ng~ a
Waea	a e a
Whakaatu	h a k a a t u
Whakamoemiti	h a k a m o r e p e
Whakarite	h a k a r i t e
Whakatohea	h a k a t o h e a
hori	h o r i
korakora	k o r a k o r a
koropupū	k o r o p u p u
kōeke	k o e k e
maero	m a e r o
mauheretia	m a u h e r e t i a
mihia	m i h i a
momoho	C e r h o
mēra	m a N r a
nakunaku	n a k u n a k u
nekehia	n e k e h i a
neketai	n e k e t a i
ngohi	N o h i
ngongo	g o mb~ a
nē	n a N
panuku	p a n u k u
porihanga	p o r i h a Ng~ a
puawai	p u a w a i
pueru	p u e r u
pukuriri	p u k u r i r i
putunga	p u t u N a
pāwhiria	p a wh~ E i r i a
rangahaua	r a N a h a u a
rohenga	r o h i Ng~ a
rāhuitia	r a w i t i a
taiwhanga	t a a k a Ng~ a
takawaenga	t a k a w a i Ng~ a
tamatāne	t a m a t a n e
tauoti	t a w o t i
toona	o
totohu	t a t o h u
tuaahu	t u a h u
tukinotia	t u k i n o t i a
tupua	t u p u a
tōtara	t o t a r a
uia	k i a
ware	w a r e
whakareri	wh~ E k a r e r i
wīra	w i r a
wīwhara	w i wh~ a r a
āpiti	a
Ēngari	ng~ a d i
ūnga	u n g a
Aka	r o x
Aua	u a
Hinemoana	i n i m o a n a
Huri	u r i
Impromptu	p r o m p t u
Karakia	a r a k i a
Maunganui	a u N a n u i
Moananui	o a n a n u i
Muri	u r i
Mātaatua	a t a t u a
Piripi	i r i p i
Rarawa	a r a w a
Roimata	o i m a t a
Ruma	u m a
Runtime	u n t i m e
Rākau	a k a u
Taihoa	i h o a
Tiati	i a t i
Tohutohu	h u t o h u
Waikano	i k a
Whakaakoranga	h a k a k o r a Ng~ a
Whakatairanga	h a k a t a i r a Ng~ a
ae	a e
hakinakina	h a k i n a k i n a
hauhake	h a u h a k e
horapa	h o r a p a
kaiwhakanoho	S i r k a n o h o
kakā	k a l
kokiri	k o k i r i
kōnei	k o n e i
maitai	m a i t a i
maringi	m a r i N i
marino	m a r i n o
matomato	m a t o m a t o
papamahi	p a p a m a h i
patapatai	p a t a p a t a i
piripono	p i r i p o n o
pūhiko	p u i k o
pūrerehua	p u r e r a w a
rekoata	r e k o a t a
runanga	r u n a Ng~ a
rūri	r a k a i
takapau	t a k a p a u
taumahi	t a u m a h i
teetahi	% t e th~ a h i
timu	t i m u
tomokanga	t o m o k a n g a
uma	u m a
ure	u r e
urupā	u r b
weropepahia	w e r o p e p a h i a
whakahokinga	wh~ E k a h o k i Ng~ a
whakaniko	wh~ E k a n i k o
whakaorangia	wh~ E k a o r a N i
whakaroa	wh~ E k a r o a
whakatuwhera	wh~ E k a t u w h e r a
whakaute	wh~ E k a u t e
whatunga	wh~ E a t u N a
āki	a k i
ārani	a r a n i
āwhā	a wh~
ēnā	a N n
Ōtepoti	t e p o t i
Au	u
Eke	k e
Harawira	a r a w i r a 7
Hurae	u r a e
Hīkoi	i k o i
Karanga	a r a Ng~ a
Kawea	a w e a
Kawhia	r u f i a
Koinā	o i N
Kāpene	a p e n e
Kōrerohia	o r e r o h i a
Matapakia	a t a p a k i a
MauHe	a u e
Papamoa	a p a m o a
Peti	e t i
Rapua	a p u a
Tapahia	a p a h i a
Tikina	i k i n a
Tohunga	h u N a
Tokohia	o k o h i a
Tuhituhi	a h i t u h i
Tūrei	u r e i
Waihi	i 7 i
Waikanae	i k a n a e
Whakatakotoria	h a k a t a k a t o r i a
Whetu	h e t u
Wikitoria	i k i t o r i a
anö	a n o
arotakenga	a r o t a k e n g a
auahatanga	a u a h a t a n g a
aue	a u e
hongi	h o N i
hōrapa	h o r a p a
kaho	k a h o
kaitiakitanga	k a i t i a k i t a Ng~ a
karauna	k a r a u n a
koraha	k o r a h a
kōanga	k o a Ng~ a
maioha	m a i o h a
maioro	m a i o r o
manatārua	m a n a t a r u a
marena	m a r e n a
muna	m u n a
māwhitiwhiti	m a wh~ E i t i wh~ E i t i
ngenge	g 3 N a
nohinohi	n o h i n o h i
oreore	o r e o r e
paingia	p a i N i
pakihiwi	k i h i w i
poihau	pw~ a h a u
puea	p u e a
pumau	p u m a u
pure	p u r e
pākete	p a k e t e
pūoho	p u h o
pūtakenga	p u k e n g a
raka	r a k a
riterite	r i t E r i t e
rēhia	r a N i a
taima	t a i m a
taipakeke	t a i p a k e k e
tapuhi	t a p u h i
tarukino	t a r u k i n o
tatu	t a t u
taukumekume	t a u k u m e k u
ti	t i
totara	t a t a r a
tāhū	m a u
tāwere	m a w e r e
tūtohinga	t u t o h i n g a
uha	a a
wae	w a e
week	w e k
whakaaehia	wh~ E k a e h i a
whakahaua	wh~ E k a h a u a
whakamāherehere	wh~ E k a m a h e r e h e r e
whakarerekētia	wh~ E k a r e r e k a N t i a
whakatauākī	wh~ E k a t a a q i
Ākuhata	k u h a t a
ānō	nj~ 3 o
ārikarika	a r i k a r i k a
Air	i r
An	n
Hautau	a u t a u
Ingoa	N o a
Kawariki	a w a r i k i
Mataatua	a t a t u a
Meiha	e i h a
Mātāwai	a t a w a i
Paerua	a e r u w a
Pihinga	i h i n g a
Rangiātea	a N i a t e a
Rauru	a u r u
Rupe	u p e
Tuatoru	u a t o r u
Tuia	k i a
Tāngia	a N i
Waharoa	a h a r o a
Wananga	a n a Ng~ a
Whakaaetanga	h a k a e t a Ng~ a
Wāhine	a h i n e
akiakihia	a k i a k i h i a
arotakengia	a r o t a k 3 N i
hangi	h a n g i
hangā	h a N
hautaka	h a u t a k a
hinonga	h i n o n g a
hore	h o r e
huarākau	w a r a k a u
kaa	k a
kahui	k a w i
kaieke	k a i e k e
kaitoi	k a i t o i
kaiwhakawa	S i r k a w a
kawana	k a w a n a
kemu	k e m u
kiriuhi	k i r i i
kēkē	q e q e
kōpū	k o p u
mamao	m a m a o
matataunga	m a t a t a u N a
mohoa	h o  a
māhunga	m a u N a
māuiui	m a u i u i
nehu	n e h u
ohia	h i a
paetuku	p a e t u k u
parenga	p a r e n g a
paruparu	p a r u p a r u
pātiki	p a t i k i
raa	r a
rāwekeweke	r a e kw~ a w e k e
taiopenga	t a i o p e n g a
tokoono	t o k o o n o
tokotoko	t o k a t o k o
too	t o
tuaina	t u a i n a
tungane	t u N a n e
tuunga	t u n g a
tōmuri	a m u r i
uiuitanga	k i i t a Ng~ a
uka	u k a
waku	w a k u
whakahaerea	wh~ E k a h a e r e a
whakahīhī	wh~ E k a h i i
whakapumautia	wh~ E k a p u m a u t i a
whakapākehātanga	wh~ E k a p a k e h a t a Ng~ a
whakatairitea	wh~ E k a t a i r i t e a
whakatinanahia	wh~ E k a t i n a n a h i a
whao	wh~ E a o
wini	w i n i
Āperira	p e r i r a
Ōrākei	r a k e i
Akuanei	k o d u
Here	e r e
Hereturikōkā	e r e t u r i k o l
Hutt	u t
Kaihautū	i h a u t u
Kaiwhakawā	i r k a a
Kare	a r e
Koianei	o e n u
Kororāreka	o r o r a r e k a
Korowaitanga	o r o w a i t a Ng~ a
Matakite	a t a k i t e
Mokopuna	o k o p u n a
Mōhio	o i o
Nohotima	h o t i m a
Pikiao	i k i a o
Puke	u k e
Tuwhakairiora	u w k a i r i o r a
Waaka	a k a
Wehea	e h e a
Whakaako	h a k a k o
Wī	i
aki	a k i
autaia	a u t a i a
ha	s i
harakoa	h a r a k a
haumarutanga	h a u m a r u t a Ng~ a
hikareti	h i k a r e t i
hoea	h o e a
hōpara	h o p a r a
kaitoro	k a i t o r o
kakama	k a k a m a
kakano	k a k a
kapahaka	k a p a h a k a
karamu	k a r a m u
karapoti	k a r a p o t i
makau	m a k a u
mei	m e i
moata	m o a t a
mīhana	m i a n a
mīti	m i t i
nehera	n e h e r a
new	n i a
nōhia	n o i a
onamata	o n a m a t a
otiia	o t i a
pupuritia	p u p u r i t i a
pāho	p a h o
pēhia	l u a N i a
pūmua	p u a
pūrama	p u r a m a
raima	r a i m a
roia	r o i a
taiwhenua	t a i wh~ e n u a
takaia	t a k a i a
takina	t a k i n a
takitini	t a k i t i n i
tuatara	t u a t a r a
tārewa	m a r e w a
tātahi	m a t a h i
urutomo	u r u t o m o
utanga	u t a Ng~ a
whakamā	wh~ E k a m
whakamāmā	wh~ E k a m a m
whakamāramahia	wh~ E k a m a r h i a
whakanohoia	wh~ E k a n o h o i a
whakapuakitanga	wh~ E k a p o a k i t a Ng~ a
whakapūmautia	wh~ E k a p u m a u t i a
whakarei	wh~ E k a r e i
whakataka	wh~ E k a t a k a
whakatutukihia	wh~ E k a t u t u n u N i a
whakatūngia	wh~ E k a t u N i
whakawhanaungatanga	wh~ E a b o r u f 3 n u N a t a n g a
whakawhāiti	wh~ E k a w h a i t i
wharepaku	wh~ E a r e p a k u
whatumanawa	wh~ E a t u m a n a w a
wä	o
Āhia	h i a
ārahitanga	a r a h i t a Ng~ a
Aoraki	o r a k i
Aronui	r o n u i
Hato	a t o
Haumaru	a u m a r u
Huinga	k i Ng~ a
Hītori	i t o r i
In	n
Kaimahi	a i m a h i
Keepa	e p a
Koi	o i
Kokiri	o k i r i
Mike	i k e
Māna	nj~ 3
Panguru	a n g u r u
Parore	a r o r e
Pīpī	o i
Rongopai	o N o p a i
Ruatapu	u a t a p u
Rāmere	a *
Tamati	a m a t i
Tiwhikete	i w i k e t e
Tupu	u p u
Tāmati	a m a t i
Tāpirihia	a p i r i h i a
Tīhema	i h e m a
Tūturu	u t u r u
Whakauru	h a k a u r u
Whangaroa	h a N a r o a
Whetū	h e t u
akuanei	a k u a n e i
haehae	h a e h a e
hopukanga	h o p u k a n g a
horoia	h o r o i a
huawhenua	w a wh~ e n u a
kaaore	k a o r e
kaiwhakarato	S i r k a r a t o
kanorau	k a n o r a u
kirikiti	k i r i g i t i
kuini	k u i n i
kīa	k i a
kōtui	k o t u i
mango	m a n g o
mangu	m a N u
mania	n i a
matikara	m a t i k a r a
mauhere	m a u h e r e
mm	m m
mōrehu	m o r e h u
oi	o i
oko	o k o
onāianei	o a e n u
ota	o t a
paetahi	p a e t a h i
paparau	p a p a r a u
pereti	p e r e t i
pohehe	p o h e e
pouaru	p o u a r u
pōkākā	p o l l
rangirua	r a N i r u a
rangitahi	r a N i t a 7
ranunga	r a n u N a
reinga	r e i Ng~ a
reri	r e r i
rïroa	r 3 r o a
tauaro	t a w a r o
tauhono	t a u h o n o
taumahatanga	t a u m a h a t a n g a
taurua	t a u r u a
tuaono	t u a o n o
tunga	t u N a
tuu	t u
tīmataria	t i m a t a r i a
tīpakohia	t o a k o h i a
tūao	t u a o
tūwhera	t u wh~ e r a
tūāhuatanga	t u a w a t a n g a
warea	w a r e a
weheruatanga	w e h e r u a t a n g a
whaa	wh~ E a
whakamohio	wh~ E k a m o h i o
whano	wh~ E a
wāwāhia	a  a  i a
āhuahanga	a w a h a Ng~ a
Aha	s i
Anau	n a u
Ani	n i
Apa	p a
Ataata	t a t a
Eruera	r u e r a
Haane	a n e
Kaitaia	i t a i a
Kaitirotiro	a y t u r o t i r o
Manahi	a n a 7 i
Mataira	a t a i r a
Mātai	a t a i
Pango	a n g o
Patupaiarehe	a t u p a i 7 r e e
Peehi	e
Pīngao	i N g a o
Pūkenga	u k e n g a
Rakiura	a k i u r a
